Row Labels,Acute Bronchitis,Acute respiratory infections (ARI),Allergic Rhinitis,Asthma,Bronchiolitis,Bronchitis,Bullous Dermatoses,Chickenpox,Common Cold,Conjunctival Disorders,COVID-19,Croup,Denom,ECLD - Asthma exacerbations,ECLD - COPD exacerbations,Exacerbations of chronic lung disease,Herpes Simplex,Herpes Zoster,Impetigo,Infectious Intestinal Diseases,Infectious Mononucleosis,Influenza-like illness,Laryngitis,Laryngitis and Tracheitis,Lower Respiratory Tract Infections,Measles,Meningitis and Encephalitis,Mumps,Non-infective Enteritis and Colitis,Number of practices,Otitis Media,Otitis Media Acute,Otitis Media Acute New,Peripheral Nervous Disease,Pleurisy,Pneumonia,Pneumonia and Pneumonitis,Population,Practice Count,Respiratory System Diseases,Rubella,Scabies,Sinusitis,Skin and Subcutaneous Tissue Infections,Strep Throat and Peritonsillar Abscess,Symptoms involving musckuoskeletal,Symptoms involving musculoskeletal,Symptoms involving Respiratory and Chest,Symptoms involving Skin and Integument Tissues,Tonsillitis and acute Pharyngitis,Tonsillitis/Pharyngitis,Upper Respiratory Tract Infections,Urinary Tract Infections,Viral Hepatitis,Whooping Cough,Grand Total
06/01/2020,,,248,1552,,9408,24,340,9060,1952,,,10011012,,,,296,588,440,704,60,1472,,324,11572,0,12,56,596,,,2080,,1644,92,,476,,1036,33628,0,164,2940,6880,168,,556,16420,2436,3792,,19760,2208,28,16,10144040
13/01/2020,,,272,1384,,7256,28,260,6988,1916,,,9699660,,,,340,556,452,748,44,1000,,344,8904,0,16,80,560,,,1840,,1756,112,,392,,1024,27948,0,168,2228,6752,152,,700,13928,2388,3764,,16344,2056,12,12,9812384
20/01/2020,,,252,1400,,6844,20,292,8508,2256,,,9913512,,,,396,576,508,728,68,892,,472,8308,0,12,92,808,,,2492,,1800,108,,364,,1024,29860,0,288,2172,7548,272,,716,14340,2020,3904,,18528,1696,40,0,10033116
27/01/2020,,,328,1560,,7112,16,368,11392,2592,,,10426976,,,,436,732,588,868,28,1076,,472,8928,0,4,48,744,,,2748,,1848,156,,416,,1072,35120,0,132,2380,7964,316,,900,16232,1308,4708,,22856,1452,20,24,10563920
03/02/2020,,,276,1564,,6544,16,404,10760,2436,,,9816804,,,,328,760,556,884,48,960,,436,8056,0,32,104,1156,,,2676,,1952,108,,504,,1032,34184,0,164,2432,11240,240,,1112,16776,2492,5240,,22600,1548,20,8,9956452
10/02/2020,,,328,1508,,6656,16,436,10192,2616,,,9936300,,,,432,568,524,872,60,836,,364,8004,0,52,56,1116,,,2692,,1972,120,,384,,1040,33164,0,140,2504,10956,304,,1052,16536,2328,5052,,21736,1448,28,44,10072436
17/02/2020,,,376,1416,,6560,36,436,8980,2524,,,10460952,,,,380,772,528,732,60,700,,368,7744,0,84,120,1076,,,2408,,1832,96,,372,,1076,31520,0,168,2524,11916,244,,1192,16296,2568,5072,,20188,1452,36,40,10592844
24/02/2020,,,420,1480,,7028,20,532,10152,2672,,,8635575,,,,392,788,632,920,72,964,,364,8528,4,44,156,1412,,,2916,,2392,160,,436,,858,35868,0,188,2612,13080,232,,1348,18972,2988,6096,,23252,1804,68,8,8785433
02/03/2020,,,416,1692,,6772,16,476,10772,2716,,,5699756,,,,496,824,684,1088,76,1316,,504,8976,4,76,80,1356,,,2628,,2380,152,,448,,562,36936,0,144,2508,13296,292,,1408,19484,3132,6372,,24188,1740,28,16,5853810
09/03/2020,,,468,1860,,5756,24,548,10356,2316,,,2848945,,,,412,848,632,860,72,1668,,472,8140,0,96,100,1184,,,2584,,1940,88,,384,,281,34968,0,184,2408,12440,340,,1268,20152,2876,6048,,23616,1556,44,32,2995966
