,date,incidence,gr
0,29/12/2014,1371.0,25
1,14/12/2015,1289.0,20
2,21/12/2015,2118.0,22
3,28/12/2015,3477.0,23
4,04/01/2016,4113.0,21
5,11/01/2016,5060.0,21
6,18/01/2016,5024.0,19
7,25/01/2016,5488.0,22
8,01/02/2016,5096.0,25
9,08/02/2016,4612.0,57
10,15/02/2016,4356.0,100
11,22/02/2016,4892.0,75
12,29/02/2016,4756.0,44
13,07/03/2016,4952.0,36
14,14/03/2016,5116.0,28
15,21/03/2016,4592.0,19
16,28/03/2016,4344.0,18
17,04/04/2016,4456.0,14
18,11/04/2016,3712.0,14
19,18/04/2016,3072.0,12
20,25/04/2016,3156.0,10
21,02/05/2016,2816.0,12
22,09/05/2016,3648.0,11
23,16/05/2016,2247.0,9
24,23/05/2016,1382.0,8
25,30/05/2016,567.0,9
26,12/09/2016,664.0,9
27,19/09/2016,1432.0,8
28,26/09/2016,2664.0,10
29,03/10/2016,3848.0,10
30,10/10/2016,4132.0,10
31,17/10/2016,4436.0,10
32,24/10/2016,4321.0,11
33,31/10/2016,4876.0,13
34,07/11/2016,5292.0,16
35,14/11/2016,5700.0,24
36,21/11/2016,5992.0,33
37,28/11/2016,6364.0,29
38,05/12/2016,6240.0,22
39,12/12/2016,6104.0,22
40,19/12/2016,7552.0,20
41,26/12/2016,7060.0,20
42,02/01/2017,9164.0,18
43,09/01/2017,6948.0,17
44,16/01/2017,6520.0,17
45,23/01/2017,5956.0,16
46,30/01/2017,6280.0,15
47,06/02/2017,4684.0,16
48,13/02/2017,4248.0,16
49,20/02/2017,4624.0,19
50,27/02/2017,4136.0,22
51,06/03/2017,3952.0,21
52,13/03/2017,2895.0,19
53,20/03/2017,1814.0,18
54,27/03/2017,1900.0,16
55,03/04/2017,2096.0,15
56,10/04/2017,2460.0,13
57,17/04/2017,3428.0,12
58,24/04/2017,3724.0,12
59,01/05/2017,2900.0,10
60,08/05/2017,3468.0,11
61,15/05/2017,3232.0,11
62,22/05/2017,2932.0,13
63,29/05/2017,2420.0,16
64,05/06/2017,2661.0,15
65,12/06/2017,1338.0,15
66,19/06/2017,1275.0,13
67,26/06/2017,1494.0,15
68,03/07/2017,1725.0,17
69,10/07/2017,1548.0,17
70,17/07/2017,3265.0,18
71,24/07/2017,3255.0,20
72,31/07/2017,3405.0,22
73,07/08/2017,3545.0,24
74,14/08/2017,2840.0,21
75,21/08/2017,2696.0,22
76,28/08/2017,3483.0,24
77,04/09/2017,4037.0,23
78,11/09/2017,4458.0,24
79,18/09/2017,5457.0,25
80,25/09/2017,4757.0,23
81,02/10/2017,4756.0,22
82,09/10/2017,5172.0,21
83,16/10/2017,3534.0,21
84,23/10/2017,3099.0,23
85,30/10/2017,3117.0,23
86,06/11/2017,2610.0,26
87,13/11/2017,2784.0,27
88,20/11/2017,1531.0,28
89,04/12/2017,1608.0,33
90,11/12/2017,3620.0,35
91,18/12/2017,6519.0,36
92,25/12/2017,7888.0,39
93,01/01/2018,9896.0,37
94,08/01/2018,8852.0,34
95,15/01/2018,7556.0,33
96,22/01/2018,7320.0,34
97,29/01/2018,6424.0,33
98,05/02/2018,5856.0,32
99,12/02/2018,6268.0,33
100,19/02/2018,6644.0,34
101,26/02/2018,5748.0,37
102,05/03/2018,5948.0,38
103,12/03/2018,5756.0,32
104,19/03/2018,4856.0,27
105,26/03/2018,4012.0,21
106,02/04/2018,4276.0,18
107,09/04/2018,4228.0,19
108,16/04/2018,2436.0,20
109,23/04/2018,2712.0,20
110,30/04/2018,2568.0,19
111,07/05/2018,1932.0,18
112,14/05/2018,3488.0,18
113,21/05/2018,3412.0,21
114,28/05/2018,2588.0,24
115,04/06/2018,2964.0,24
116,11/06/2018,2440.0,25
117,18/06/2018,1904.0,24
118,25/06/2018,2460.0,25
119,02/07/2018,2824.0,20
120,09/07/2018,2560.0,19
121,16/07/2018,2192.0,19
122,23/07/2018,2072.0,19
123,30/07/2018,2328.0,20
124,06/08/2018,2000.0,20
125,13/08/2018,2568.0,19
126,20/08/2018,2296.0,21
127,27/08/2018,2412.0,21
128,03/09/2018,3232.0,23
129,10/09/2018,3680.0,22
130,17/09/2018,4342.0,23
131,24/09/2018,5157.0,22
132,01/10/2018,5420.0,20
133,08/10/2018,3831.0,19
134,15/10/2018,4062.0,17
135,22/10/2018,3984.0,15
136,29/10/2018,4089.0,15
137,05/11/2018,6000.0,13
138,12/11/2018,6484.0,15
139,19/11/2018,6652.0,15
140,26/11/2018,7360.0,17
141,03/12/2018,7508.0,20
142,10/12/2018,8160.0,23
143,17/12/2018,8272.0,26
144,24/12/2018,6924.0,26
145,31/12/2018,11244.0,28
146,07/01/2019,11452.0,27
147,14/01/2019,9284.0,27
148,21/01/2019,8696.0,26
149,28/01/2019,8224.0,29
150,04/02/2019,9300.0,30
151,11/02/2019,8364.0,36
152,18/02/2019,8040.0,46
153,25/02/2019,7396.0,59
154,04/03/2019,6788.0,72
155,11/03/2019,5784.0,54
156,18/03/2019,4662.0,41
157,25/03/2019,3056.0,29
158,01/04/2019,1626.0,25
159,22/07/2019,0.0,26
160,29/07/2019,0.0,27
161,05/08/2019,0.0,26
162,12/08/2019,0.0,27
163,19/08/2019,0.0,24
164,26/08/2019,0.0,23
165,02/09/2019,0.0,23
166,09/09/2019,0.0,28
167,16/09/2019,0.0,24
168,23/09/2019,0.0,22
169,30/09/2019,0.0,24
170,07/10/2019,0.0,21
171,14/10/2019,0.0,19
172,21/10/2019,0.0,19
173,28/10/2019,0.0,19
174,04/11/2019,0.0,19
175,11/11/2019,0.0,18
176,18/11/2019,0.0,19
177,25/11/2019,0.0,18
178,02/12/2019,0.0,17
179,09/12/2019,0.0,17
180,16/12/2019,0.0,16
181,23/12/2019,0.0,15
182,30/12/2019,0.0,13
183,06/01/2020,0.0,15
184,13/01/2020,0.0,15
185,20/01/2020,0.0,14
186,27/01/2020,0.0,16
187,03/02/2020,0.0,15
188,10/02/2020,0.0,15
189,17/02/2020,0.0,14
190,24/02/2020,0.0,14
191,02/03/2020,0.0,14
192,09/03/2020,0.0,15
193,16/03/2020,0.0,16
194,23/03/2020,0.0,20
195,30/03/2020,0.0,22
196,06/04/2020,0.0,22
197,13/04/2020,0.0,24
198,20/04/2020,0.0,26
199,27/04/2020,0.0,25
200,04/05/2020,0.0,26
201,11/05/2020,0.0,28
202,18/05/2020,0.0,29
203,25/05/2020,0.0,29
204,01/06/2020,0.0,40
205,08/06/2020,0.0,45
206,15/06/2020,0.0,43
207,22/06/2020,0.0,41
208,29/06/2020,0.0,39
209,06/07/2020,0.0,35
210,13/07/2020,0.0,33
211,20/07/2020,0.0,35
212,27/07/2020,0.0,37
213,03/08/2020,0.0,77
214,10/08/2020,0.0,64
215,17/08/2020,0.0,43
216,24/08/2020,0.0,41
217,31/08/2020,0.0,43
218,07/09/2020,0.0,43
219,14/09/2020,0.0,45
220,21/09/2020,0.0,44
221,28/09/2020,0.0,40
222,05/10/2020,0.0,40
223,12/10/2020,0.0,42
224,19/10/2020,0.0,43
225,26/10/2020,0.0,41
226,02/11/2020,0.0,40
227,09/11/2020,0.0,38
228,16/11/2020,0.0,35
229,23/11/2020,0.0,35
230,30/11/2020,0.0,31
231,07/12/2020,0.0,32
232,14/12/2020,0.0,32
233,21/12/2020,0.0,32
234,28/12/2020,0.0,32
235,04/01/2021,0.0,30
236,11/01/2021,0.0,29
237,18/01/2021,0.0,29
238,25/01/2021,0.0,29
