,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.15595193315242215,0.03534662589659976,0.1880069836378419,0.5357526535914314,1.0
1,0-52,53-104,0,SARIMAX,0.17918485895386854,0.044457487805391126,0.21084944345525583,0.6008454933622617,1.1489749138200123
2,0-52,53-104,0,RF,0.162313192224103,0.0425494936250571,0.20627528602587636,0.5878107808568176,1.0407898699496312
3,0-52,53-104,0,XGB,0.17548811981716378,0.048425778768437455,0.22005858031087416,0.6270882393082751,1.1252705642683354
4,0-52,53-104,0,ENet,0.1553577004948274,0.03287036774754452,0.18130186912314092,0.5166454756325249,0.9961896422469225
5,0-52,53-104,1,SNaive,0.15212324350466158,0.034414807635226106,0.18551228432431666,0.5231412508429953,1.0
6,0-52,53-104,1,SARIMAX,0.47827258127741284,0.2996660461298863,0.5474176158381152,1.5437076704979376,3.143980960823761
7,0-52,53-104,1,RF,0.14404926592041287,0.032506239701869895,0.18029486876189765,0.5084282343253403,0.9469247604886804
8,0-52,53-104,1,XGB,0.1497460182680817,0.03504268898156339,0.1871969256733758,0.5278919086540325,0.9843730308280797
9,0-52,53-104,1,ENet,0.15079880070234747,0.03154752551926482,0.17761623101300403,0.5008745248358831,0.9912936197532921
10,0-52,53-104,2,SNaive,0.1473205889465058,0.034389217697569904,0.18544330049254923,0.5171282807061379,1.0
11,0-52,53-104,2,SARIMAX,0.4070223117288459,0.23457290298381583,0.484327268470211,1.3505978753498473,2.762833862119853
12,0-52,53-104,2,RF,0.14117225423846536,0.030491187186578936,0.17461725913144707,0.4869387179608112,0.9582656113988726
13,0-52,53-104,2,XGB,0.14940755310735596,0.033599871036090266,0.1833026760199923,0.5111589226857045,1.0141661404951887
14,0-52,53-104,2,ENet,0.14218589417851382,0.02886950007741481,0.16991027066488598,0.473812782181243,0.9651461156603409
15,0-52,53-104,3,SNaive,0.1491241032805825,0.034404038558457514,0.18548325681434838,0.5121268047068204,1.0
16,0-52,53-104,3,SARIMAX,0.15071916628872145,0.03327228495067545,0.18240692133434916,0.5036329175137831,1.010696211900351
17,0-52,53-104,3,RF,0.13863601559911154,0.030574174554836568,0.1748547241421763,0.4827809943646522,0.9296687292614444
18,0-52,53-104,3,XGB,0.15290150652860543,0.035639304943257594,0.18878375179887064,0.5212396053951653,1.0253306015923904
19,0-52,53-104,3,ENet,0.13901719850094116,0.028123022666671715,0.16769920293988197,0.4630243097329458,0.9322248747365486
20,0-52,53-104,4,SNaive,0.14722655095515733,0.032918108025716736,0.18143348099432127,0.501000958308992,1.0
21,0-52,53-104,4,SARIMAX,0.15140369600919296,0.03342878131891957,0.18283539405410423,0.5048721279661466,1.028372226523923
22,0-52,53-104,4,RF,0.1508929340369919,0.030090254904295614,0.1734654285565156,0.47899839359315605,1.0249030019249128
23,0-52,53-104,4,XGB,0.16306912837871687,0.03519554755406972,0.18760476420941372,0.5180420181388162,1.1076067959262654
24,0-52,53-104,4,ENet,0.13954133917661046,0.028333396886742825,0.16832527108768555,0.46480463065794797,0.9478000963230631
25,0-52,53-104,5,SNaive,0.14704855047153337,0.031627937671350935,0.17784245182562833,0.49272075328564097,1.0
26,0-52,53-104,5,SARIMAX,0.15608434407364072,0.03522071389010215,0.1876718249767454,0.5199534870543627,1.0614476890328584
27,0-52,53-104,5,RF,0.15141667085388705,0.03340678720272299,0.18277523684220187,0.5063872627394428,1.0297052937165763
28,0-52,53-104,5,XGB,0.17747679460838675,0.04698081833288251,0.2167505901557883,0.6005175533757289,1.206926515353471
29,0-52,53-104,5,ENet,0.14173875733627556,0.029130338906701265,0.1706761228370895,0.47286610676408003,0.9638908842131992
30,0-52,53-104,6,SNaive,0.14978572771971305,0.03149866563980177,0.17747863431918157,0.494371619391491,1.0
31,0-52,53-104,6,SARIMAX,0.1511293194874006,0.03271636195440839,0.18087664844973325,0.5038368812517714,1.008970092065125
32,0-52,53-104,6,RF,0.1759665691742186,0.04427260398821249,0.2104105605434587,0.5861044060428553,1.1747886254122724
33,0-52,53-104,6,XGB,0.19560844800987381,0.052518118396705,0.229168318920188,0.638354658139007,1.3059218056870323
34,0-52,53-104,6,ENet,0.14639069642356534,0.030838639018665306,0.17560933636531204,0.4891646385054554,0.9773340801701703
35,0-52,53-104,7,SNaive,0.1551223837287407,0.03275990661920944,0.1809969795858744,0.5064652980321428,1.0
36,0-52,53-104,7,SARIMAX,0.17434380506024463,0.04424185930062721,0.21033748905182645,0.5885658386328105,1.1239113329067714
37,0-52,53-104,7,RF,0.17434214861961103,0.044773011806996076,0.21159634166732674,0.5920883568900028,1.1239006546242838
38,0-52,53-104,7,XGB,0.1936174599872338,0.05944104706024856,0.24380534666050407,0.6822155145393309,1.248159390883321
39,0-52,53-104,7,ENet,0.14707405605880947,0.03124731934632641,0.17676911310046903,0.4946348925498512,0.9481162713177153
40,0-52,53-104,8,SNaive,0.15727854053037424,0.033293970242796504,0.1824663537280134,0.5105289188930818,1.0
41,0-52,53-104,8,SARIMAX,0.15996981823518988,0.03673042195231042,0.1916518248081933,0.5362292659668116,1.0171115378852076
42,0-52,53-104,8,RF,0.17518337147096325,0.04301130516135166,0.20739167090640756,0.5802683254859319,1.1138415379505073
43,0-52,53-104,8,XGB,0.1866334807981992,0.05124962910375967,0.22638380927919663,0.6334070859906814,1.1866430103486103
44,0-52,53-104,8,ENet,0.14620667598766504,0.031135864225301933,0.17645357526925298,0.49370555818368606,0.9296034633499733
45,0-104,105-156,0,SNaive,0.12433165856148741,0.029699666452532882,0.17233591167407009,0.3992279120120571,1.0
46,0-104,105-156,0,SARIMAX,0.2607315563558427,0.11486968026692937,0.33892429872602725,0.7851412906118116,2.097064893788895
47,0-104,105-156,0,RF,0.20256549554551295,0.06421421731080686,0.2534052432583171,0.5870305566390374,1.629235046722517
48,0-104,105-156,0,XGB,0.20565382096035734,0.06577516575524706,0.2564666952164492,0.5941226192341036,1.6540744597133528
49,0-104,105-156,0,ENet,0.1851451094447978,0.05515191078167202,0.2348444395374777,0.5440331868931978,1.489122815435101
50,0-104,105-156,1,SNaive,0.1285768021709342,0.033489491994674034,0.18300134424280615,0.42551758640711895,1.0
51,0-104,105-156,1,SARIMAX,0.2550672522927769,0.12281382611055626,0.3504480362486802,0.8148672522743776,1.983773495577236
52,0-104,105-156,1,RF,0.21561133952422595,0.07639367532761938,0.27639405805411116,0.6426757845254342,1.6769069994258
53,0-104,105-156,1,XGB,0.21915244091864766,0.0789295709169747,0.28094407079875294,0.6532555452874796,1.7044477481038862
54,0-104,105-156,1,ENet,0.18707636950953888,0.05527948705350346,0.23511590131997337,0.5466951692052517,1.4549776192196275
55,0-104,105-156,2,SNaive,0.1433542008114135,0.03991873346915483,0.19979673037653753,0.46942776141968684,1.0
56,0-104,105-156,2,SARIMAX,0.2581617306394453,0.11987358279425551,0.346227645912708,0.8134711136468956,1.8008661704937712
57,0-104,105-156,2,RF,0.22089885617448485,0.08453635285887622,0.29075135916943917,0.6831280942757062,1.5409304709883147
58,0-104,105-156,2,XGB,0.22550747402695168,0.09183714536286405,0.3030464409341645,0.7120157177038261,1.573078938395486
59,0-104,105-156,2,ENet,0.19218318878519636,0.05633939858741656,0.23735921845889313,0.5576818317471787,1.340617768418372
60,0-104,105-156,3,SNaive,0.15341290738601251,0.048991131209983246,0.2213394027505795,0.5288650184993764,1.0
61,0-104,105-156,3,SARIMAX,0.2555464078832553,0.11462251202048529,0.3385594660033674,0.8089488632657887,1.6657425521586513
62,0-104,105-156,3,RF,0.21150677952911778,0.07712831802603923,0.27771985529673465,0.6635796183775831,1.3786765607468177
63,0-104,105-156,3,XGB,0.21581330069171936,0.08567389278356698,0.2927010296933835,0.6993754097096591,1.406748000340656
64,0-104,105-156,3,ENet,0.20048669082107046,0.05924620973043886,0.2434054430994485,0.581589281293485,1.3068436954695895
65,0-104,105-156,4,SNaive,0.16673607566028106,0.06192451732411974,0.24884637293744055,0.6004587264214851,1.0
66,0-104,105-156,4,SARIMAX,0.29621858552654373,0.1564850787448986,0.395581949467994,0.9545272079677636,1.7765716528562108
67,0-104,105-156,4,RF,0.2187453730513328,0.07409809982234386,0.27220966151542797,0.6568336309015386,1.311925881577175
68,0-104,105-156,4,XGB,0.2197343433671829,0.07653479883232993,0.2766492342883492,0.6675461849227858,1.317857233337337
69,0-104,105-156,4,ENet,0.20868396149053103,0.06463525045312993,0.254234636611792,0.6134604427227214,1.2515825424350115
