,date,incidence,gr
0,29/12/2014,49.0,12
1,14/12/2015,37.0,14
2,21/12/2015,46.0,44
3,28/12/2015,66.0,100
4,04/01/2016,147.0,63
5,11/01/2016,216.0,58
6,18/01/2016,236.0,34
7,25/01/2016,252.0,30
8,01/02/2016,232.0,22
9,08/02/2016,252.0,13
10,15/02/2016,268.0,9
11,22/02/2016,260.0,10
12,29/02/2016,272.0,9
13,07/03/2016,312.0,24
14,14/03/2016,392.0,40
15,21/03/2016,292.0,73
16,28/03/2016,312.0,41
17,04/04/2016,504.0,76
18,11/04/2016,672.0,39
19,18/04/2016,1004.0,27
20,25/04/2016,936.0,18
21,02/05/2016,1448.0,11
22,09/05/2016,2344.0,11
23,16/05/2016,1500.0,8
24,23/05/2016,674.0,13
25,30/05/2016,270.0,19
26,12/09/2016,114.0,42
27,19/09/2016,200.0,56
28,26/09/2016,258.0,57
29,03/10/2016,356.0,81
30,10/10/2016,364.0,35
31,17/10/2016,352.0,26
32,24/10/2016,319.0,16
33,31/10/2016,380.0,14
34,07/11/2016,448.0,10
35,14/11/2016,244.0,10
36,21/11/2016,272.0,12
37,28/11/2016,304.0,26
38,05/12/2016,224.0,29
39,12/12/2016,140.0,76
40,19/12/2016,184.0,78
41,26/12/2016,148.0,92
42,02/01/2017,200.0,39
43,09/01/2017,204.0,29
44,16/01/2017,208.0,24
45,23/01/2017,228.0,18
46,30/01/2017,268.0,11
47,06/02/2017,276.0,11
48,13/02/2017,232.0,14
49,20/02/2017,356.0,0
50,27/02/2017,372.0,0
51,06/03/2017,484.0,0
52,13/03/2017,576.0,0
53,20/03/2017,288.0,0
54,27/03/2017,432.0,14
55,03/04/2017,636.0,0
56,10/04/2017,1062.0,0
57,17/04/2017,980.0,11
58,24/04/2017,1168.0,18
59,01/05/2017,944.0,19
60,08/05/2017,1304.0,16
61,15/05/2017,1000.0,17
62,22/05/2017,1488.0,15
63,29/05/2017,1168.0,29
64,05/06/2017,1754.0,46
65,12/06/2017,2469.0,32
66,19/06/2017,2871.0,32
67,26/06/2017,1212.0,32
68,03/07/2017,1128.0,32
69,10/07/2017,648.0,21
70,17/07/2017,1080.0,29
71,24/07/2017,685.0,25
72,31/07/2017,665.0,53
73,07/08/2017,565.0,40
74,14/08/2017,384.0,33
75,21/08/2017,368.0,41
76,28/08/2017,360.0,25
77,04/09/2017,384.0,31
78,11/09/2017,376.0,20
79,18/09/2017,420.0,14
80,25/09/2017,272.0,20
81,02/10/2017,296.0,14
82,09/10/2017,344.0,14
83,16/10/2017,201.0,0
84,23/10/2017,186.0,17
