,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.025644476653897925,0.001598794421398212,0.0399849274276972,1.2995538679771432,1.0
1,0-52,53-104,0,SARIMAX,0.02688726667252815,0.0015665611922248493,0.039579807885143266,1.286387039814929,1.0484622882113417
2,0-52,53-104,0,RF,0.02379890529763343,0.0013653127250028525,0.03695013836243178,1.2009199045820134,0.9280324031887011
3,0-52,53-104,0,XGB,0.024283081938536052,0.001397960118872338,0.03738930487281541,1.2151932964316565,0.9469127510872817
4,0-52,53-104,0,ENet,0.021574705062413577,0.0011280429060475216,0.033586349995906394,1.09159310411003,0.8413002672501119
5,0-52,53-104,1,SNaive,0.026186975877420023,0.0016853784857726536,0.0410533614430372,1.3294478766831943,1.0
6,0-52,53-104,1,SARIMAX,0.029154351418868664,0.0017521059220655369,0.041858164341804775,1.3555101397307552,1.1133149377514526
7,0-52,53-104,1,RF,0.02226432135831867,0.0012860246194689269,0.035861185416393125,1.1613075064101024,0.8502058986320867
8,0-52,53-104,1,XGB,0.02352689692001967,0.0013873813072607574,0.037247567803290964,1.2062032970529635,0.8984197728728948
9,0-52,53-104,1,ENet,0.021737042899294592,0.0011214989346074208,0.033488788192579035,1.0844811920478792,0.8300707573507016
10,0-52,53-104,2,SNaive,0.027280256755357692,0.0017499589292310587,0.04183251043424311,1.3612512828364862,1.0
11,0-52,53-104,2,SARIMAX,0.02710138575575677,0.0015574956419641785,0.039465119307613636,1.2842151648830649,0.993443206887494
12,0-52,53-104,2,RF,0.022141923890376114,0.0012093292778133254,0.03477541197187066,1.1316096898436772,0.8116464624559504
13,0-52,53-104,2,XGB,0.022565961654120305,0.0012777624762423203,0.035745803617240446,1.163186730246018,0.82719022245597
14,0-52,53-104,2,ENet,0.02077116436720248,0.001097178025980891,0.03312367772426381,1.0778614127233237,0.761399152268724
15,0-52,53-104,3,SNaive,0.027568071228905682,0.0017817913320682098,0.04221127020202318,1.377660614567805,1.0
16,0-52,53-104,3,SARIMAX,0.02543717281214253,0.0013885548685915656,0.03726331800298473,1.21617296364531,0.9227041166910197
17,0-52,53-104,3,RF,0.02271699793925231,0.0012290618611191819,0.03505797856578702,1.144196705412863,0.824032909325665
18,0-52,53-104,3,XGB,0.02289855706408382,0.001289376194577643,0.03590788485246162,1.1719353262035035,0.8306187572554666
19,0-52,53-104,3,ENet,0.020565647055146533,0.001081676606604928,0.03288885231510713,1.0734023467194451,0.7459951363439251
20,0-52,53-104,4,SNaive,0.028222383269489597,0.0018036384451380221,0.042469264711530175,1.3677790932235336,1.0
21,0-52,53-104,4,SARIMAX,0.01912616755711127,0.0010074690242809678,0.031740652549703006,1.0222498848907384,0.6776949832506887
22,0-52,53-104,4,RF,0.02514051676452753,0.0012831202997613405,0.03582066861131071,1.1536522227223172,0.8908006288648987
23,0-52,53-104,4,XGB,0.025055651956280567,0.0012879481414267114,0.03588799439125446,1.1558205389120964,0.8877936252594056
24,0-52,53-104,4,ENet,0.021196127572876602,0.0010982690388874785,0.033140142408980056,1.0673223151223312,0.75103960464569
25,0-52,53-104,5,SNaive,0.029627290609793973,0.0019391517781936023,0.04403580109630802,1.3673068110750903,1.0
26,0-52,53-104,5,SARIMAX,0.01962289343908165,0.001130544131211567,0.03362356511751196,1.0440080219559214,0.6623249387709741
27,0-52,53-104,5,RF,0.02917632284718422,0.0015675643874532327,0.039592478925336724,1.2293421433066332,0.9847786364082622
28,0-52,53-104,5,XGB,0.02975381296631059,0.0016013326881832899,0.04001665513487215,1.242512768251672,1.0042704666512703
29,0-52,53-104,5,ENet,0.022547824201497476,0.0012182280350850733,0.0349031235720397,1.083738172117563,0.7610491454808824
30,0-52,53-104,6,SNaive,0.02953514856610415,0.001973824787292432,0.044427747943064054,1.3787232686973676,1.0
31,0-52,53-104,6,SARIMAX,0.01733029338478329,0.0009348946651721716,0.030576047245714603,0.9488643866549633,0.5867684513587416
32,0-52,53-104,6,RF,0.030923910983587963,0.0017984876114173305,0.04240857945530987,1.3160625508717687,1.0470206680821514
33,0-52,53-104,6,XGB,0.031705677122396796,0.0018878479781021611,0.043449372585828684,1.3483614130329935,1.0734896779487895
34,0-52,53-104,6,ENet,0.022793152148646193,0.0012010402840857402,0.034656028106027095,1.0754781541401308,0.7717297272987016
35,0-52,53-104,7,SNaive,0.030429651102598612,0.002055777267263204,0.04534068004853042,1.380269244504256,1.0
36,0-52,53-104,7,SARIMAX,0.01966315748183182,0.0011024321899835202,0.03320289430130332,1.0107685589091644,0.646184125330068
37,0-52,53-104,7,RF,0.03059163304394125,0.0016321015398271682,0.040399276476530716,1.229842136489679,1.0053231613072555
38,0-52,53-104,7,XGB,0.03135873930328688,0.0017010877418825632,0.04124424495469111,1.2555648208810914,1.0305323316904191
39,0-52,53-104,7,ENet,0.023612097037272888,0.0012400477639169074,0.03521431191883362,1.0720005005641966,0.775956876983597
40,0-52,53-104,8,SNaive,0.03141111916347448,0.002192183776328662,0.04682076223566487,1.38788320526097,1.0
41,0-52,53-104,8,SARIMAX,0.019187856278087827,0.001085067797459237,0.0329403672939334,0.9764339656041207,0.6108619109757756
42,0-52,53-104,8,RF,0.031261221707856966,0.0016933968229859435,0.04115090306403911,1.2198145548428843,0.9952278855510562
43,0-52,53-104,8,XGB,0.03197439088226475,0.0018167681420815651,0.04262356322600875,1.2634678447138823,1.017932239722463
44,0-52,53-104,8,ENet,0.024820333327460992,0.0013329291867257567,0.036509302742256756,1.0822260401640573,0.7901766631837368
45,0-104,105-156,0,SNaive,0.020478310384097736,0.002223073453485246,0.04714947988562807,0.9985678212013102,1.0
46,0-104,105-156,0,SARIMAX,0.04347716558410778,0.005651645721778208,0.07517742827324042,1.5921651932625018,2.123083631834666
47,0-104,105-156,0,RF,0.03670156412001679,0.004613121693713823,0.06791996535418597,1.438461081316645,1.7922164197939439
48,0-104,105-156,0,XGB,0.036536517960627776,0.004591167154622366,0.06775815194220078,1.4350340728610023,1.784156860372617
49,0-104,105-156,0,ENet,0.03496265511070357,0.004491603122493736,0.06701942347180954,1.4193887151406765,1.7073017477971977
50,0-104,105-156,1,SNaive,0.023091417330986647,0.0024775683652384817,0.049775178203985186,1.0499409191157496,1.0
51,0-104,105-156,1,SARIMAX,0.04369513782414181,0.005637012080241815,0.07508003782791944,1.5837131431501252,1.892267468810015
52,0-104,105-156,1,RF,0.03744197696101172,0.004548105396471166,0.06743964261820466,1.4225492084672509,1.621467250118419
53,0-104,105-156,1,XGB,0.03845860915825598,0.004620198685066731,0.0679720434080566,1.433779492211174,1.6654936597004775
54,0-104,105-156,1,ENet,0.034968196451372766,0.004483391004280219,0.06695812873938622,1.4123923161619785,1.5143373812939809
55,0-104,105-156,2,SNaive,0.02781550885184802,0.0029946188444531898,0.054723110697886955,1.1529764554377675,1.0
56,0-104,105-156,2,SARIMAX,0.042316201419672954,0.005538915234773836,0.07442388887161054,1.5680576359193925,1.521316818076529
57,0-104,105-156,2,RF,0.04143503649403842,0.005153028681685934,0.07178459919569054,1.5124497068998668,1.4896379108047684
58,0-104,105-156,2,XGB,0.043042581015159356,0.005344669343143134,0.07310724549005478,1.5403169099302834,1.547431012116813
59,0-104,105-156,2,ENet,0.03493312430055364,0.004476525719842267,0.06690684359497365,1.40967891607157,1.2558865806344124
60,0-104,105-156,3,SNaive,0.03146081374883528,0.0034397662303388065,0.05864952029078163,1.2407098633098839,1.0
61,0-104,105-156,3,SARIMAX,0.042356871247196656,0.005263884964422141,0.07255263581994896,1.5348253561945884,1.3463374337787037
62,0-104,105-156,3,RF,0.04269452013320581,0.00547079418889221,0.07396481723692833,1.5646995547241307,1.3570697971786063
63,0-104,105-156,3,XGB,0.044432348378031755,0.005783641170278577,0.07605025424203772,1.608816237157718,1.4123076641549583
64,0-104,105-156,3,ENet,0.03508353916160106,0.004466211939542926,0.0668297234734884,1.4137591691242133,1.1151504039815212
65,0-104,105-156,4,SNaive,0.0332870897608448,0.0036395426994565833,0.06032862255560443,1.30125313249946,1.0
66,0-104,105-156,4,SARIMAX,0.02914802385595955,0.0035413602773248882,0.059509329330155354,1.2835814564211845,0.8756555188626316
67,0-104,105-156,4,RF,0.042406481083626976,0.005408948664949777,0.07354555503189691,1.5863346420425903,1.2739618088664875
68,0-104,105-156,4,XGB,0.04284153108216126,0.005586947992026208,0.07474588946575061,1.612225154305811,1.2870314404161347
69,0-104,105-156,4,ENet,0.034312365965125054,0.004386902881826784,0.06623369898946294,1.4286221802532828,1.030801016599723
70,0-104,105-156,5,SNaive,0.03367325810125272,0.003789100828145551,0.061555672591123156,1.373639778111216,1.0
71,0-104,105-156,5,SARIMAX,0.025746731289578988,0.0026449339147232086,0.051428920995128885,1.1476572125772804,0.7646046964674663
72,0-104,105-156,5,RF,0.038290286429929134,0.004990887794271646,0.07064621571090447,1.576498931595108,1.1371126106892713
73,0-104,105-156,5,XGB,0.03670676280091416,0.004858975962512563,0.0697063552519608,1.55552556459359,1.0900864623951725
74,0-104,105-156,5,ENet,0.03299324094478872,0.004212660014528997,0.06490500762290223,1.4483815465983108,0.9798054243988139
