,date,incidence,gr
0,29/12/2014,185.0,52
1,14/12/2015,201.0,44
2,21/12/2015,320.0,46
3,28/12/2015,372.0,46
4,04/01/2016,555.0,41
5,11/01/2016,712.0,44
6,18/01/2016,804.0,44
7,25/01/2016,896.0,41
8,01/02/2016,828.0,43
9,08/02/2016,696.0,50
10,15/02/2016,668.0,73
11,22/02/2016,692.0,73
12,29/02/2016,696.0,68
13,07/03/2016,744.0,60
14,14/03/2016,664.0,62
15,21/03/2016,536.0,52
16,28/03/2016,512.0,49
17,04/04/2016,608.0,43
18,11/04/2016,628.0,44
19,18/04/2016,584.0,37
20,25/04/2016,564.0,36
21,02/05/2016,544.0,45
22,09/05/2016,684.0,44
23,16/05/2016,405.0,46
24,23/05/2016,244.0,33
25,30/05/2016,115.0,36
26,12/09/2016,214.0,33
27,19/09/2016,466.0,31
28,26/09/2016,747.0,36
29,03/10/2016,1144.0,34
30,10/10/2016,1160.0,32
31,17/10/2016,1212.0,27
32,24/10/2016,1084.0,33
33,31/10/2016,1160.0,34
34,07/11/2016,1200.0,42
35,14/11/2016,1192.0,45
36,21/11/2016,1248.0,47
37,28/11/2016,1284.0,49
38,05/12/2016,1228.0,38
39,12/12/2016,1052.0,46
40,19/12/2016,1240.0,45
41,26/12/2016,824.0,46
42,02/01/2017,1044.0,40
43,09/01/2017,1052.0,38
44,16/01/2017,1236.0,44
45,23/01/2017,1256.0,43
46,30/01/2017,1256.0,40
47,06/02/2017,876.0,36
48,13/02/2017,808.0,41
49,20/02/2017,932.0,36
50,27/02/2017,868.0,45
51,06/03/2017,836.0,49
52,13/03/2017,651.0,50
53,20/03/2017,416.0,48
54,27/03/2017,440.0,43
55,03/04/2017,458.0,43
56,10/04/2017,537.0,44
57,17/04/2017,708.0,41
58,24/04/2017,816.0,37
59,01/05/2017,708.0,40
60,08/05/2017,756.0,43
61,15/05/2017,820.0,38
62,22/05/2017,884.0,39
63,29/05/2017,544.0,44
64,05/06/2017,664.0,43
65,12/06/2017,405.0,49
66,19/06/2017,438.0,46
67,26/06/2017,492.0,43
68,03/07/2017,543.0,48
69,10/07/2017,520.0,41
70,17/07/2017,885.0,39
71,24/07/2017,1010.0,39
72,31/07/2017,835.0,37
73,07/08/2017,805.0,38
74,14/08/2017,628.0,40
75,21/08/2017,588.0,52
76,28/08/2017,387.0,53
77,04/09/2017,603.0,49
78,11/09/2017,672.0,46
79,18/09/2017,723.0,42
80,25/09/2017,1040.0,42
81,02/10/2017,1064.0,44
82,09/10/2017,1048.0,46
83,16/10/2017,783.0,45
84,23/10/2017,747.0,48
85,30/10/2017,714.0,49
86,06/11/2017,488.0,55
87,13/11/2017,478.0,48
88,20/11/2017,250.0,52
89,04/12/2017,308.0,54
90,11/12/2017,546.0,54
91,18/12/2017,1008.0,64
92,25/12/2017,896.0,60
93,01/01/2018,1096.0,61
94,08/01/2018,1204.0,53
95,15/01/2018,1412.0,59
96,22/01/2018,1040.0,61
97,29/01/2018,1104.0,59
98,05/02/2018,1088.0,58
99,12/02/2018,1048.0,61
100,19/02/2018,1060.0,63
101,26/02/2018,924.0,54
102,05/03/2018,972.0,61
103,12/03/2018,1000.0,63
104,19/03/2018,836.0,49
105,26/03/2018,780.0,52
106,02/04/2018,664.0,46
107,09/04/2018,816.0,52
108,16/04/2018,531.0,54
109,23/04/2018,696.0,52
110,30/04/2018,627.0,44
111,07/05/2018,459.0,43
112,14/05/2018,968.0,41
113,21/05/2018,984.0,44
114,28/05/2018,608.0,46
115,04/06/2018,852.0,47
116,11/06/2018,812.0,45
117,18/06/2018,796.0,41
118,25/06/2018,896.0,48
119,02/07/2018,896.0,47
120,09/07/2018,768.0,43
121,16/07/2018,748.0,44
122,23/07/2018,716.0,42
123,30/07/2018,740.0,44
124,06/08/2018,616.0,39
125,13/08/2018,692.0,44
126,20/08/2018,716.0,43
127,27/08/2018,576.0,48
128,03/09/2018,920.0,57
129,10/09/2018,944.0,43
130,17/09/2018,1280.0,42
131,24/09/2018,1164.0,39
132,01/10/2018,1328.0,42
133,08/10/2018,876.0,42
134,15/10/2018,840.0,37
135,22/10/2018,870.0,34
136,29/10/2018,843.0,38
137,05/11/2018,1216.0,38
138,12/11/2018,1448.0,38
139,19/11/2018,1436.0,39
140,26/11/2018,1476.0,47
141,03/12/2018,1424.0,49
142,10/12/2018,1484.0,52
143,17/12/2018,1508.0,47
144,24/12/2018,1080.0,50
145,31/12/2018,1584.0,53
146,07/01/2019,1880.0,57
147,14/01/2019,1588.0,52
148,21/01/2019,1708.0,52
149,28/01/2019,1464.0,55
150,04/02/2019,1720.0,61
151,11/02/2019,1500.0,73
152,18/02/2019,1388.0,81
153,25/02/2019,1572.0,92
154,04/03/2019,1496.0,100
155,11/03/2019,1336.0,89
156,18/03/2019,1140.0,68
157,25/03/2019,728.0,56
158,01/04/2019,392.0,58
159,22/07/2019,307.0,58
160,29/07/2019,630.0,55
161,05/08/2019,822.0,57
162,12/08/2019,1172.0,56
163,19/08/2019,1048.0,51
164,26/08/2019,880.0,57
165,02/09/2019,1260.0,50
166,09/09/2019,1351.0,51
167,16/09/2019,1710.0,52
168,23/09/2019,1746.0,51
169,30/09/2019,1820.0,54
170,07/10/2019,1952.0,56
171,14/10/2019,1752.0,54
172,21/10/2019,1716.0,53
173,28/10/2019,1380.0,55
174,04/11/2019,1047.0,49
175,11/11/2019,993.0,44
176,18/11/2019,984.0,45
177,25/11/2019,1014.0,45
178,02/12/2019,1480.0,47
179,09/12/2019,1168.0,81
180,16/12/2019,1664.0,60
181,23/12/2019,1108.0,41
182,30/12/2019,1436.0,43
183,06/01/2020,1552.0,39
184,13/01/2020,1384.0,41
185,20/01/2020,1400.0,40
186,27/01/2020,1560.0,38
187,03/02/2020,1564.0,41
188,10/02/2020,1508.0,43
189,17/02/2020,1416.0,36
190,24/02/2020,1480.0,40
191,02/03/2020,1692.0,36
192,09/03/2020,1860.0,43
193,16/03/2020,2360.0,47
194,23/03/2020,1960.0,50
195,30/03/2020,1356.0,52
196,06/04/2020,960.0,50
197,13/04/2020,1052.0,60
198,20/04/2020,1012.0,54
199,27/04/2020,1000.0,58
200,04/05/2020,932.0,65
201,11/05/2020,1084.0,64
202,18/05/2020,824.0,70
203,25/05/2020,660.0,63
204,01/06/2020,988.0,64
205,08/06/2020,952.0,69
206,15/06/2020,884.0,71
207,22/06/2020,844.0,70
208,29/06/2020,884.0,69
209,06/07/2020,888.0,63
210,13/07/2020,852.0,62
211,20/07/2020,716.0,53
212,27/07/2020,764.0,56
213,03/08/2020,808.0,56
214,10/08/2020,896.0,53
215,17/08/2020,676.0,46
216,24/08/2020,856.0,41
217,31/08/2020,633.0,41
218,07/09/2020,990.0,39
219,14/09/2020,1279.0,49
220,21/09/2020,1368.0,47
221,28/09/2020,1728.0,36
222,05/10/2020,1780.0,41
223,12/10/2020,1832.0,42
224,19/10/2020,1200.0,44
225,26/10/2020,710.0,42
226,02/11/2020,838.0,35
227,09/11/2020,848.0,43
228,16/11/2020,1329.0,44
229,23/11/2020,1368.0,37
230,30/11/2020,754.0,38
231,07/12/2020,808.0,35
232,14/12/2020,361.0,36
233,21/12/2020,582.0,33
234,28/12/2020,636.0,36
235,04/01/2021,1173.0,32
236,11/01/2021,1444.0,36
237,18/01/2021,1524.0,42
238,25/01/2021,1404.0,35
239,01/02/2021,1544.0,41
240,08/02/2021,1700.0,41
241,15/02/2021,1288.0,32
242,22/02/2021,1952.0,37
243,01/03/2021,2132.0,41
