,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.030686452409458245,0.0016965708738275024,0.04118945100177353,0.44662862501601075,1.0
1,0-52,53-104,0,SARIMAX,0.0400261177447735,0.0026079042541036815,0.05106764390593795,0.5537406065338004,1.304357936547809
2,0-52,53-104,0,RF,0.03858252788742818,0.00200860094318541,0.04481741785495245,0.4859676744043892,1.2573147059363625
3,0-52,53-104,0,XGB,0.040737510605558275,0.002414873391558499,0.04914136131161304,0.5328533908615507,1.3275405726926606
4,0-52,53-104,0,ENet,0.027480333605539673,0.0010587251705593958,0.03253805726467694,0.3528191666402436,0.8955200568270846
5,0-52,53-104,1,SNaive,0.03166856854235259,0.001777889002333786,0.04216502107593196,0.4530258255176784,1.0
6,0-52,53-104,1,SARIMAX,0.03074125952255637,0.0017432382110178282,0.04175210427053741,0.44858939997203184,0.970718315905057
7,0-52,53-104,1,RF,0.039054247162330184,0.0023921383069921884,0.0489094909704874,0.5254891840953445,1.2332179495293643
8,0-52,53-104,1,XGB,0.04119963726751892,0.002670700576475564,0.05167882135338967,0.5552431875520536,1.3009630420276108
9,0-52,53-104,1,ENet,0.028203871514898775,0.0011333639485942898,0.033665471162517384,0.3617056857952475,0.8905950856976617
10,0-52,53-104,2,SNaive,0.03335219619874289,0.0019877481990534128,0.044584169825773505,0.4763367491356432,1.0
11,0-52,53-104,2,SARIMAX,0.034506852004423334,0.0018710071816471754,0.04325514052280001,0.4621374156018283,1.0346200831513448
12,0-52,53-104,2,RF,0.040856320448763306,0.002461857088088216,0.04961710479349048,0.530108567485113,1.2249964051933486
13,0-52,53-104,2,XGB,0.04273902913970849,0.0026664104908206603,0.051637297477895375,0.5516922825049843,1.2814457220457167
14,0-52,53-104,2,ENet,0.030002916199164346,0.0012954915746487292,0.03599293784409282,0.3845481270929774,0.8995784271710183
15,0-52,53-104,3,SNaive,0.03510597500748279,0.0021132798647194623,0.04597042380400101,0.4867936065106704,1.0
16,0-52,53-104,3,SARIMAX,0.030604352712641256,0.0014328955286688296,0.03785360654770995,0.4008423705067492,0.8717704808403123
17,0-52,53-104,3,RF,0.037281910212099305,0.0019724656598915607,0.04441244937955529,0.47029578190585763,1.0619819049080026
18,0-52,53-104,3,XGB,0.03942526117791204,0.0021735508877450418,0.046621356562685325,0.49368651458014745,1.1230356419244474
19,0-52,53-104,3,ENet,0.03090188561966184,0.0014039628492305153,0.037469492246766774,0.3967748773144811,0.8802457591072501
20,0-52,53-104,4,SNaive,0.03571862840466926,0.002202171542569066,0.04692730061029577,0.49700008052184963,1.0
21,0-52,53-104,4,SARIMAX,0.03239883157920433,0.0016816691561933718,0.04100815962943682,0.434311336318616,0.9070569903229837
22,0-52,53-104,4,RF,0.036292631467713554,0.0018548084907631034,0.04306748763003367,0.45612137373408557,1.0160701317122598
23,0-52,53-104,4,XGB,0.03834134206818057,0.002091432070319935,0.045732177624949535,0.48434271024429576,1.0734270541913773
24,0-52,53-104,4,ENet,0.032172205114630995,0.0015020857263376877,0.03875675071955449,0.41046699848228135,0.9007122208092777
25,0-52,53-104,5,SNaive,0.03488616806345406,0.0021165736023524783,0.04600623438570558,0.48739004936156327,1.0
26,0-52,53-104,5,SARIMAX,0.03150885075405124,0.0016695592427796724,0.04086024036615145,0.43287338846344636,0.9031903617714663
27,0-52,53-104,5,RF,0.03283649127822429,0.001565811513405217,0.039570336281174276,0.41920814452328936,0.9412467204336793
28,0-52,53-104,5,XGB,0.033813312195912694,0.0016174092511299953,0.04021702688078763,0.4260591847676338,0.9692469558253014
29,0-52,53-104,5,ENet,0.03199274718102812,0.0014228487424464966,0.03772066731178674,0.3996127513699552,0.9170610862974939
30,0-52,53-104,6,SNaive,0.034640639030230465,0.001937020829414817,0.044011598805483276,0.4684521928908187,1.0
31,0-52,53-104,6,SARIMAX,0.03288959649149316,0.0018371678535438923,0.042862196088673435,0.4562181400997814,0.94945120564291
32,0-52,53-104,6,RF,0.03703280681401122,0.0018119722766233358,0.04256726766687446,0.45307897066064834,1.0690566874846952
33,0-52,53-104,6,XGB,0.039106564737624465,0.002064123230103764,0.04543262297186641,0.4835773395557949,1.1289215739783738
34,0-52,53-104,6,ENet,0.030816604780505366,0.0013240176485887999,0.03638705331005521,0.38729778918658203,0.8896084380433077
35,0-52,53-104,7,SNaive,0.033651507782101166,0.001840604223521552,0.042902263617687494,0.4594922795856851,1.0
36,0-52,53-104,7,SARIMAX,0.034721054309169275,0.0018201192032716528,0.04266285507642043,0.4569281636835644,1.031783019471032
37,0-52,53-104,7,RF,0.032221949980750446,0.0014557316872582863,0.03815405204245397,0.40863793352829664,0.9575187593195724
38,0-52,53-104,7,XGB,0.032481618667123416,0.0015168003182889946,0.03894612070911549,0.4171211557767993,0.9652351650168852
39,0-52,53-104,7,ENet,0.030474901336399438,0.0013054944919430682,0.036131627308260944,0.3869773386541906,0.9056028494690117
40,0-52,53-104,8,SNaive,0.03227654519604908,0.001617752050724724,0.04022128852641004,0.42850336553006163,1.0
41,0-52,53-104,8,SARIMAX,0.03492194978353595,0.002102271640717679,0.04585053588255735,0.4884753735358832,1.0819605869035416
42,0-52,53-104,8,RF,0.032603860590507905,0.0014707944750609531,0.03835093838566343,0.40857731742488224,1.0101409674570403
43,0-52,53-104,8,XGB,0.035762393301861865,0.001804420093754304,0.04247846623589774,0.4525505375762736,1.107999418297082
44,0-52,53-104,8,ENet,0.02912484531556531,0.0012181215271562336,0.034901597773687,0.3718292639625745,0.9023532456357948
45,0-104,105-156,0,SNaive,0.0464236942532176,0.003278823404764615,0.057261011209763096,0.4414558666275963,1.0
46,0-104,105-156,0,SARIMAX,0.07451068636175047,0.009039385797738046,0.09507568457675204,0.7329894782383064,1.6050141540940848
47,0-104,105-156,0,RF,0.04575580889278166,0.0036034572851764207,0.060028803795981314,0.4627942651116606,0.9856132655709612
48,0-104,105-156,0,XGB,0.04860785042220908,0.004122991348151242,0.06421052365579369,0.49503338778353806,1.0470483059163285
49,0-104,105-156,0,ENet,0.043502533458759145,0.003323189365827084,0.057647110645955915,0.4444325143955607,0.9370760806211369
50,0-104,105-156,1,SNaive,0.04755546617779108,0.003497999693573216,0.05914388973996567,0.4563998368673867,1.0
51,0-104,105-156,1,SARIMAX,0.07933252626891209,0.00977060111870577,0.09884635106419341,0.7627746280973724,1.6682104633843595
52,0-104,105-156,1,RF,0.04777465425966151,0.003916780183285271,0.0625841847696786,0.48294780483567634,1.0046091038420477
53,0-104,105-156,1,XGB,0.05145671548624571,0.0044252531338342385,0.06652257612145097,0.5133394679199225,1.082035770480504
54,0-104,105-156,1,ENet,0.04329991911460785,0.0032751755142296714,0.05722914916569764,0.44162422285922015,0.9105140290860904
55,0-104,105-156,2,SNaive,0.04944487054774019,0.0036770762052422907,0.06063890009921264,0.4702445209013907,1.0
56,0-104,105-156,2,SARIMAX,0.08702901842406464,0.011101420633546995,0.10536327934127238,0.8170745962306687,1.7601222828571483
57,0-104,105-156,2,RF,0.04713302880856833,0.003573733657839696,0.05978071309243221,0.4635894243018977,0.953244053153305
58,0-104,105-156,2,XGB,0.05130424794529957,0.004499098445532885,0.06707531919814384,0.5201578737251626,1.0376050614949859
59,0-104,105-156,2,ENet,0.043709111899773376,0.003277489210073522,0.05724935990972757,0.4439592040524277,0.883996892206871
60,0-104,105-156,3,SNaive,0.04859604160431008,0.0036367725598463025,0.060305659434636005,0.47201703325408095,1.0
61,0-104,105-156,3,SARIMAX,0.07438144529144725,0.008873340979271975,0.09419841282777526,0.737298220051841,1.5306070790105302
62,0-104,105-156,3,RF,0.047709686011339195,0.003609158946944945,0.060076276074212065,0.4702216320549196,0.9817607450378782
63,0-104,105-156,3,XGB,0.05062369791335356,0.004130684061412318,0.064270398018157,0.5030493469932245,1.0417247216461278
64,0-104,105-156,3,ENet,0.04452449099214663,0.0033045739493895677,0.057485423799338624,0.4499428320906998,0.9162164143879089
65,0-104,105-156,4,SNaive,0.04843001721041604,0.003870208537539001,0.062211000132926665,0.4860495795243682,1.0
66,0-104,105-156,4,SARIMAX,0.09407900562276666,0.012039871976279228,0.10972635041902755,0.8572832195263864,1.9425763409089336
67,0-104,105-156,4,RF,0.045063415687907685,0.0035254352162728546,0.05937537550426822,0.4638950705869865,0.9304852296896503
68,0-104,105-156,4,XGB,0.04778808513218613,0.003989209279219742,0.06316018745396297,0.49346550431731134,0.9867451610549532
69,0-104,105-156,4,ENet,0.044222172930830514,0.0032810790038453,0.057280703590697105,0.44752956608364575,0.9131149538662454
70,0-104,105-156,5,SNaive,0.047457254564501644,0.003909501940375415,0.0625260101107964,0.48738877860562607,1.0
71,0-104,105-156,5,SARIMAX,0.07886827133529759,0.009403890279709797,0.09697365765871574,0.7559073812554129,1.6618801921654272
72,0-104,105-156,5,RF,0.04610928515710486,0.0033152237835768475,0.05757798002341561,0.4488190004202114,0.9715961359381906
73,0-104,105-156,5,XGB,0.046167113812931884,0.0033269242113224606,0.057679495588315095,0.44961031186161227,0.9728146778946881
74,0-104,105-156,5,ENet,0.04401127406963983,0.003268381514669309,0.057169760491620994,0.44563693876855986,0.9273876981194056
75,0-104,105-156,6,SNaive,0.04814707422927267,0.004038086511856873,0.06354594016817182,0.4904668042131561,1.0
76,0-104,105-156,6,SARIMAX,0.08331304760914887,0.010070376832068387,0.10035126721705305,0.7745414608774758,1.7303865072344489
77,0-104,105-156,6,RF,0.04585871931935574,0.003332860466576684,0.05773093162747925,0.4455848078515033,0.9524715686976127
78,0-104,105-156,6,XGB,0.046364278202239206,0.0033693833678247287,0.05804638979148254,0.4480196094635682,0.9629718720073431
79,0-104,105-156,6,ENet,0.04456569087527258,0.0033087009061683885,0.057521308279353214,0.4439668713889733,0.925615763546798
80,0-104,105-156,7,SNaive,0.050038816970966786,0.004205891127722629,0.06485284209441117,0.4952887387668895,1.0
81,0-104,105-156,7,SARIMAX,0.09697554207689217,0.012421342719937011,0.1114510776975127,0.8511649131221142,1.9380062908593287
82,0-104,105-156,7,RF,0.04749805588943735,0.003581570186701368,0.059846221156405255,0.45705258920448594,0.9492241976263422
83,0-104,105-156,7,XGB,0.047120097320191213,0.003522495005204904,0.059350610824193746,0.4532675551422388,0.941670890171743
84,0-104,105-156,7,ENet,0.044595421601744574,0.0033245670650757964,0.05765905882925767,0.44034897475202484,0.8912165454994561
85,0-104,105-156,8,SNaive,0.05117994238252021,0.004429980158142352,0.06655809611266199,0.5091120534876525,1.0
86,0-104,105-156,8,SARIMAX,0.06300373082405837,0.006509447364772292,0.08068114627824949,0.6171412113400737,1.2310238716793946
87,0-104,105-156,8,RF,0.05118778058092459,0.0037088929147892085,0.06090068074159113,0.46583770333011315,1.0001531498090754
88,0-104,105-156,8,XGB,0.051608001244631004,0.0037050320259037,0.060868974247178666,0.46559517598299827,1.0083638011725662
89,0-104,105-156,8,ENet,0.0443479550605037,0.003311845052675647,0.0575486320660678,0.44019742086624036,0.8665104530412704
90,0-156,157-208,0,SNaive,0.06118115833582761,0.004982830209753946,0.0705891649600273,0.4663718208012878,1.0
