,date,incidence,gr
0,29/12/2014,0.0,58
1,14/12/2015,0.0,47
2,21/12/2015,0.0,42
3,28/12/2015,0.0,49
4,04/01/2016,0.0,45
5,11/01/2016,0.0,44
6,18/01/2016,0.0,35
7,25/01/2016,0.0,39
8,01/02/2016,0.0,41
9,08/02/2016,0.0,39
10,15/02/2016,0.0,44
11,22/02/2016,0.0,33
12,29/02/2016,0.0,20
13,07/03/2016,0.0,17
14,14/03/2016,0.0,11
15,21/03/2016,0.0,10
16,28/03/2016,0.0,10
17,04/04/2016,0.0,7
18,11/04/2016,0.0,10
19,18/04/2016,0.0,9
20,25/04/2016,0.0,7
21,02/05/2016,0.0,8
22,09/05/2016,0.0,8
23,16/05/2016,0.0,6
24,23/05/2016,0.0,8
25,30/05/2016,0.0,6
26,12/09/2016,0.0,6
27,19/09/2016,0.0,12
28,26/09/2016,0.0,8
29,03/10/2016,0.0,4
30,10/10/2016,0.0,6
31,17/10/2016,0.0,8
32,24/10/2016,0.0,7
33,31/10/2016,0.0,8
34,07/11/2016,0.0,14
35,14/11/2016,0.0,18
36,21/11/2016,0.0,21
37,28/11/2016,0.0,21
38,05/12/2016,0.0,19
39,12/12/2016,0.0,22
40,19/12/2016,0.0,22
41,26/12/2016,0.0,19
42,02/01/2017,0.0,18
43,09/01/2017,0.0,12
44,16/01/2017,0.0,15
45,23/01/2017,0.0,17
46,30/01/2017,0.0,14
47,06/02/2017,0.0,17
48,13/02/2017,0.0,15
49,20/02/2017,0.0,14
50,27/02/2017,0.0,13
51,06/03/2017,0.0,10
52,13/03/2017,0.0,12
53,20/03/2017,0.0,15
54,27/03/2017,0.0,14
55,03/04/2017,0.0,11
56,10/04/2017,0.0,12
57,17/04/2017,0.0,10
58,24/04/2017,0.0,13
59,01/05/2017,0.0,10
60,08/05/2017,0.0,12
61,15/05/2017,0.0,10
62,22/05/2017,0.0,15
63,29/05/2017,0.0,15
64,05/06/2017,0.0,14
65,12/06/2017,0.0,14
66,19/06/2017,0.0,15
67,26/06/2017,0.0,18
68,03/07/2017,0.0,15
69,10/07/2017,0.0,21
70,17/07/2017,0.0,17
71,24/07/2017,0.0,23
72,31/07/2017,0.0,30
73,07/08/2017,0.0,38
74,14/08/2017,0.0,24
75,21/08/2017,0.0,23
76,28/08/2017,0.0,38
77,04/09/2017,0.0,36
78,11/09/2017,0.0,38
79,18/09/2017,0.0,43
80,25/09/2017,0.0,46
81,02/10/2017,0.0,49
82,09/10/2017,0.0,53
83,16/10/2017,0.0,59
84,23/10/2017,0.0,66
85,30/10/2017,0.0,57
86,06/11/2017,0.0,62
87,13/11/2017,0.0,56
88,20/11/2017,0.0,64
89,04/12/2017,0.0,61
90,11/12/2017,0.0,83
91,18/12/2017,0.0,67
92,25/12/2017,0.0,80
93,01/01/2018,0.0,80
94,08/01/2018,0.0,65
95,15/01/2018,0.0,61
96,22/01/2018,0.0,62
97,29/01/2018,0.0,72
98,05/02/2018,0.0,68
99,12/02/2018,0.0,66
100,19/02/2018,0.0,59
101,26/02/2018,0.0,58
102,05/03/2018,0.0,52
103,12/03/2018,0.0,48
104,19/03/2018,0.0,34
105,26/03/2018,0.0,33
106,02/04/2018,0.0,34
107,09/04/2018,0.0,39
108,16/04/2018,0.0,37
109,23/04/2018,0.0,32
110,30/04/2018,0.0,34
111,07/05/2018,0.0,31
112,14/05/2018,0.0,27
113,21/05/2018,0.0,27
114,28/05/2018,0.0,33
115,04/06/2018,0.0,30
116,11/06/2018,0.0,32
117,18/06/2018,0.0,28
118,25/06/2018,0.0,30
119,02/07/2018,0.0,29
120,09/07/2018,0.0,25
121,16/07/2018,0.0,23
