,date,incidence,gr
0,29/12/2014,0.0,69
1,14/12/2015,0.0,57
2,21/12/2015,0.0,53
3,28/12/2015,0.0,62
4,04/01/2016,0.0,61
5,11/01/2016,0.0,60
6,18/01/2016,0.0,51
7,25/01/2016,0.0,57
8,01/02/2016,0.0,61
9,08/02/2016,0.0,70
10,15/02/2016,0.0,72
11,22/02/2016,0.0,67
12,29/02/2016,0.0,57
13,07/03/2016,0.0,60
14,14/03/2016,0.0,49
15,21/03/2016,0.0,46
16,28/03/2016,0.0,48
17,04/04/2016,0.0,42
18,11/04/2016,0.0,30
19,18/04/2016,0.0,34
20,25/04/2016,0.0,22
21,02/05/2016,0.0,30
22,09/05/2016,0.0,27
23,16/05/2016,0.0,23
24,23/05/2016,0.0,22
25,30/05/2016,0.0,27
26,12/09/2016,0.0,29
27,19/09/2016,0.0,25
28,26/09/2016,0.0,25
29,03/10/2016,0.0,28
30,10/10/2016,0.0,18
31,17/10/2016,0.0,26
32,24/10/2016,0.0,24
33,31/10/2016,0.0,25
34,07/11/2016,0.0,29
35,14/11/2016,0.0,29
36,21/11/2016,0.0,31
37,28/11/2016,0.0,29
38,05/12/2016,0.0,33
39,12/12/2016,0.0,36
40,19/12/2016,0.0,32
41,26/12/2016,0.0,38
42,02/01/2017,0.0,30
43,09/01/2017,0.0,29
44,16/01/2017,0.0,33
45,23/01/2017,0.0,36
46,30/01/2017,0.0,32
47,06/02/2017,0.0,34
48,13/02/2017,0.0,32
49,20/02/2017,0.0,32
50,27/02/2017,0.0,31
51,06/03/2017,0.0,36
52,13/03/2017,0.0,40
53,20/03/2017,0.0,43
54,27/03/2017,0.0,41
55,03/04/2017,0.0,44
56,10/04/2017,0.0,41
57,17/04/2017,0.0,35
58,24/04/2017,0.0,46
59,01/05/2017,0.0,32
60,08/05/2017,0.0,33
61,15/05/2017,0.0,30
62,22/05/2017,0.0,32
63,29/05/2017,0.0,37
64,05/06/2017,0.0,27
65,12/06/2017,0.0,37
66,19/06/2017,0.0,32
67,26/06/2017,0.0,35
68,03/07/2017,0.0,38
69,10/07/2017,0.0,32
70,17/07/2017,0.0,32
71,24/07/2017,0.0,34
72,31/07/2017,0.0,37
73,07/08/2017,0.0,29
74,14/08/2017,0.0,26
75,21/08/2017,0.0,33
76,28/08/2017,0.0,37
77,04/09/2017,0.0,37
78,11/09/2017,0.0,30
79,18/09/2017,0.0,40
80,25/09/2017,0.0,31
81,02/10/2017,0.0,42
82,09/10/2017,0.0,44
83,16/10/2017,0.0,32
84,23/10/2017,0.0,41
85,30/10/2017,0.0,40
86,06/11/2017,0.0,37
87,13/11/2017,0.0,44
88,20/11/2017,0.0,37
89,04/12/2017,0.0,39
90,11/12/2017,0.0,50
91,18/12/2017,0.0,53
92,25/12/2017,0.0,55
93,01/01/2018,0.0,48
94,08/01/2018,0.0,52
95,15/01/2018,0.0,51
96,22/01/2018,0.0,63
97,29/01/2018,0.0,51
98,05/02/2018,0.0,57
99,12/02/2018,0.0,53
100,19/02/2018,0.0,55
101,26/02/2018,0.0,55
102,05/03/2018,0.0,56
103,12/03/2018,0.0,47
104,19/03/2018,0.0,49
105,26/03/2018,0.0,44
106,02/04/2018,0.0,39
107,09/04/2018,0.0,44
108,16/04/2018,0.0,49
109,23/04/2018,0.0,50
110,30/04/2018,0.0,38
111,07/05/2018,0.0,46
112,14/05/2018,0.0,38
113,21/05/2018,0.0,39
114,28/05/2018,0.0,51
115,04/06/2018,0.0,51
116,11/06/2018,0.0,43
117,18/06/2018,0.0,42
118,25/06/2018,0.0,45
119,02/07/2018,0.0,41
120,09/07/2018,0.0,44
121,16/07/2018,0.0,48
122,23/07/2018,0.0,43
123,30/07/2018,0.0,57
124,06/08/2018,0.0,46
125,13/08/2018,0.0,42
126,20/08/2018,0.0,46
127,27/08/2018,0.0,41
128,03/09/2018,0.0,41
129,10/09/2018,0.0,39
130,17/09/2018,0.0,37
131,24/09/2018,0.0,46
132,01/10/2018,0.0,39
133,08/10/2018,0.0,37
134,15/10/2018,0.0,44
135,22/10/2018,0.0,38
136,29/10/2018,0.0,42
137,05/11/2018,0.0,37
138,12/11/2018,0.0,36
139,19/11/2018,0.0,43
140,26/11/2018,0.0,42
141,03/12/2018,0.0,37
142,10/12/2018,0.0,50
143,17/12/2018,0.0,63
144,24/12/2018,0.0,53
145,31/12/2018,0.0,54
146,07/01/2019,0.0,66
147,14/01/2019,0.0,48
148,21/01/2019,0.0,61
149,28/01/2019,0.0,55
150,04/02/2019,0.0,58
151,11/02/2019,0.0,64
152,18/02/2019,0.0,73
153,25/02/2019,0.0,83
154,04/03/2019,0.0,100
155,11/03/2019,0.0,86
156,18/03/2019,0.0,86
157,25/03/2019,0.0,63
158,01/04/2019,0.0,57
159,22/07/2019,904.0,59
160,29/07/2019,1944.0,62
161,05/08/2019,2778.0,63
162,12/08/2019,3736.0,59
163,19/08/2019,3556.0,65
164,26/08/2019,3284.0,61
165,02/09/2019,4236.0,57
166,09/09/2019,4651.0,59
167,16/09/2019,5652.0,63
168,23/09/2019,7046.0,56
169,30/09/2019,7932.0,49
170,07/10/2019,7884.0,48
171,14/10/2019,8284.0,55
172,21/10/2019,8864.0,50
173,28/10/2019,6832.0,43
174,04/11/2019,5025.0,48
175,11/11/2019,4875.0,52
176,18/11/2019,5169.0,43
177,25/11/2019,5739.0,56
178,02/12/2019,7632.0,46
179,09/12/2019,6828.0,48
180,16/12/2019,8960.0,43
181,23/12/2019,7320.0,43
182,30/12/2019,10584.0,43
183,06/01/2020,9408.0,37
184,13/01/2020,7256.0,37
185,20/01/2020,6844.0,43
186,27/01/2020,7112.0,42
187,03/02/2020,6544.0,40
188,10/02/2020,6656.0,40
189,17/02/2020,6560.0,39
190,24/02/2020,7028.0,30
191,02/03/2020,6772.0,38
192,09/03/2020,5756.0,43
193,16/03/2020,3400.0,46
194,23/03/2020,3340.0,49
195,30/03/2020,2760.0,52
196,06/04/2020,2272.0,52
197,13/04/2020,1868.0,52
198,20/04/2020,1904.0,50
199,27/04/2020,1788.0,61
200,04/05/2020,1412.0,52
201,11/05/2020,1420.0,64
202,18/05/2020,1376.0,58
203,25/05/2020,1132.0,69
204,01/06/2020,1404.0,64
205,08/06/2020,1360.0,85
206,15/06/2020,1256.0,74
207,22/06/2020,1328.0,72
208,29/06/2020,1656.0,73
209,06/07/2020,1276.0,70
210,13/07/2020,1372.0,74
211,20/07/2020,1428.0,72
212,27/07/2020,1484.0,77
213,03/08/2020,1644.0,67
214,10/08/2020,1480.0,63
215,17/08/2020,1104.0,62
216,24/08/2020,1604.0,59
217,31/08/2020,1218.0,54
218,07/09/2020,1341.0,52
219,14/09/2020,1084.0,55
220,21/09/2020,471.0,53
221,28/09/2020,576.0,59
222,05/10/2020,644.0,62
223,12/10/2020,544.0,57
224,19/10/2020,381.0,51
225,26/10/2020,298.0,53
226,02/11/2020,232.0,62
227,09/11/2020,238.0,68
228,16/11/2020,360.0,50
229,23/11/2020,351.0,50
230,30/11/2020,224.0,41
231,07/12/2020,224.0,46
232,14/12/2020,135.0,43
233,21/12/2020,204.0,44
234,28/12/2020,309.0,45
235,04/01/2021,345.0,36
236,11/01/2021,492.0,35
237,18/01/2021,448.0,37
238,25/01/2021,400.0,47
239,01/02/2021,540.0,37
240,08/02/2021,496.0,32
241,15/02/2021,440.0,31
242,22/02/2021,500.0,34
243,01/03/2021,480.0,35
244,08/03/2021,588.0,30
245,15/03/2021,500.0,38
246,22/03/2021,520.0,40
247,29/03/2021,480.0,31
248,05/04/2021,588.0,44
249,12/04/2021,620.0,38
250,19/04/2021,448.0,36
251,26/04/2021,460.0,32
252,03/05/2021,592.0,52
253,10/05/2021,664.0,46
254,17/05/2021,660.0,41
255,24/05/2021,624.0,45
256,31/05/2021,660.0,50
257,07/06/2021,700.0,59
258,14/06/2021,696.0,48
259,21/06/2021,600.0,41
260,28/06/2021,576.0,35
261,05/07/2021,724.0,45
262,12/07/2021,624.0,54
263,19/07/2021,568.0,58
264,26/07/2021,736.0,49
265,02/08/2021,660.0,54
266,09/08/2021,672.0,61
267,16/08/2021,740.0,54
268,23/08/2021,760.0,50
269,30/08/2021,776.0,63
270,06/09/2021,596.0,60
271,13/09/2021,748.0,58
272,20/09/2021,972.0,55
273,27/09/2021,1056.0,63
274,04/10/2021,1168.0,62
275,11/10/2021,792.0,70
276,18/10/2021,1232.0,68
277,25/10/2021,1388.0,65
278,01/11/2021,1256.0,67
279,08/11/2021,1248.0,51
280,15/11/2021,1276.0,57
281,22/11/2021,1444.0,46
282,29/11/2021,981.0,41
283,06/12/2021,1053.0,46
284,13/12/2021,1062.0,47
285,20/12/2021,990.0,45
286,27/12/2021,952.0,44
287,03/01/2022,1256.0,40
288,10/01/2022,1004.0,39
289,17/01/2022,828.0,41
290,24/01/2022,308.0,42
291,31/01/2022,428.0,37
292,07/02/2022,624.0,38
293,14/02/2022,792.0,32
294,21/02/2022,900.0,43
295,28/02/2022,828.0,32
296,07/03/2022,372.0,34
297,14/03/2022,564.0,45
298,21/03/2022,490.0,27
299,28/03/2022,245.0,35
300,11/04/2022,240.0,29
301,18/04/2022,508.0,43
302,25/04/2022,753.0,43
303,02/05/2022,856.0,44
304,09/05/2022,932.0,43
305,16/05/2022,1072.0,40
306,23/05/2022,1088.0,61
307,30/05/2022,788.0,72
308,06/06/2022,1156.0,66
309,13/06/2022,1020.0,58
310,20/06/2022,1024.0,49
311,27/06/2022,956.0,57
312,04/07/2022,832.0,44
313,11/07/2022,603.0,67
314,18/07/2022,234.0,60
315,25/07/2022,426.0,63
316,01/08/2022,442.0,66
317,08/08/2022,576.0,74
318,15/08/2022,591.0,71
319,21/08/2022,0.0,70
320,22/08/2022,564.0,55
321,28/08/2022,0.0,66
322,29/08/2022,465.0,80
323,05/09/2022,555.0,59
324,11/09/2022,0.0,47
325,12/09/2022,920.0,59
326,19/09/2022,916.0,54
327,26/09/2022,1376.0,64
328,03/10/2022,1014.0,50
329,10/10/2022,999.0,55
330,17/10/2022,984.0,67
331,24/10/2022,1083.0,67
332,31/10/2022,1156.0,61
333,07/11/2022,1284.0,43
334,14/11/2022,1404.0,53
335,21/11/2022,1548.0,44
336,28/11/2022,1836.0,42
337,05/12/2022,1635.0,53
338,12/12/2022,2028.0,40
339,19/12/2022,2436.0,53
340,26/12/2022,1878.0,40
341,02/01/2023,2816.0,30
342,09/01/2023,2108.0,33
343,16/01/2023,1472.0,38
344,23/01/2023,1360.0,46
345,30/01/2023,1484.0,36
346,06/02/2023,1504.0,34
347,13/02/2023,1560.0,50
348,20/02/2023,1508.0,39
349,27/02/2023,1360.0,37
350,06/03/2023,1388.0,41
351,13/03/2023,1324.0,42
352,20/03/2023,1360.0,40
353,27/03/2023,1276.0,44
354,03/04/2023,801.0,47
355,10/04/2023,634.0,57
356,17/04/2023,144.0,54
357,24/04/2023,0.0,42
358,01/05/2023,0.0,48
359,08/05/2023,0.0,41
360,15/05/2023,0.0,61
361,22/05/2023,0.0,57
362,29/05/2023,0.0,55
363,05/06/2023,0.0,55
364,12/06/2023,0.0,55
365,19/06/2023,0.0,57
366,26/06/2023,0.0,69
367,03/07/2023,0.0,66
368,10/07/2023,0.0,89
369,17/07/2023,0.0,92
370,24/07/2023,0.0,100
371,31/07/2023,0.0,85
372,07/08/2023,0.0,79
373,14/08/2023,0.0,78
374,21/08/2023,0.0,72
375,28/08/2023,0.0,71
376,04/09/2023,0.0,70
377,11/09/2023,0.0,79
378,18/09/2023,0.0,53
379,25/09/2023,0.0,73
380,02/10/2023,0.0,63
381,09/10/2023,0.0,65
382,16/10/2023,0.0,51
383,23/10/2023,0.0,49
384,30/10/2023,0.0,59
385,06/11/2023,0.0,59
386,13/11/2023,0.0,45
387,20/11/2023,0.0,49
388,27/11/2023,0.0,60
389,04/12/2023,0.0,56
390,11/12/2023,0.0,50
391,18/12/2023,0.0,46
392,25/12/2023,0.0,44
393,01/01/2024,0.0,30
394,08/01/2024,0.0,47
395,15/01/2024,0.0,32
396,22/01/2024,0.0,41
397,29/01/2024,0.0,43
