,date,incidence,gr
0,29/12/2014,3.0,33
1,14/12/2015,3.0,27
2,21/12/2015,2.0,28
3,28/12/2015,6.0,30
4,04/01/2016,9.0,29
5,11/01/2016,4.0,32
6,18/01/2016,16.0,36
7,25/01/2016,16.0,29
8,01/02/2016,12.0,25
9,08/02/2016,8.0,36
10,15/02/2016,8.0,25
11,22/02/2016,4.0,25
12,29/02/2016,0.0,36
13,07/03/2016,12.0,49
14,14/03/2016,0.0,44
15,21/03/2016,12.0,35
16,28/03/2016,8.0,37
17,04/04/2016,8.0,37
18,11/04/2016,8.0,37
19,18/04/2016,8.0,48
20,25/04/2016,8.0,72
21,02/05/2016,0.0,64
22,09/05/2016,8.0,32
23,16/05/2016,3.0,40
24,23/05/2016,8.0,63
25,30/05/2016,1.0,45
26,12/09/2016,1.0,46
27,19/09/2016,8.0,53
28,26/09/2016,9.0,43
29,03/10/2016,12.0,47
30,10/10/2016,4.0,57
31,17/10/2016,8.0,64
32,24/10/2016,16.0,51
33,31/10/2016,16.0,38
34,07/11/2016,12.0,40
35,14/11/2016,8.0,44
36,21/11/2016,12.0,48
37,28/11/2016,12.0,36
38,05/12/2016,8.0,31
39,12/12/2016,0.0,30
40,19/12/2016,20.0,31
41,26/12/2016,20.0,27
42,02/01/2017,8.0,33
43,09/01/2017,12.0,37
44,16/01/2017,16.0,33
45,23/01/2017,0.0,29
46,30/01/2017,12.0,29
47,06/02/2017,4.0,34
48,13/02/2017,4.0,21
49,20/02/2017,8.0,23
50,27/02/2017,24.0,42
51,06/03/2017,8.0,27
52,13/03/2017,0.0,36
53,20/03/2017,4.0,36
54,27/03/2017,2.0,29
55,03/04/2017,8.0,38
56,10/04/2017,6.0,40
57,17/04/2017,8.0,33
58,24/04/2017,8.0,33
59,01/05/2017,0.0,35
60,08/05/2017,8.0,25
61,15/05/2017,0.0,33
62,22/05/2017,12.0,38
63,29/05/2017,8.0,51
64,05/06/2017,12.0,37
65,12/06/2017,6.0,42
66,19/06/2017,6.0,43
67,26/06/2017,9.0,55
68,03/07/2017,6.0,45
69,10/07/2017,12.0,37
70,17/07/2017,15.0,49
71,24/07/2017,25.0,36
72,31/07/2017,20.0,38
73,07/08/2017,30.0,80
74,14/08/2017,4.0,84
75,21/08/2017,8.0,79
76,28/08/2017,16.0,50
77,04/09/2017,12.0,33
78,11/09/2017,4.0,46
79,18/09/2017,12.0,56
80,25/09/2017,8.0,100
81,02/10/2017,0.0,55
82,09/10/2017,16.0,42
83,16/10/2017,0.0,45
84,23/10/2017,12.0,54
85,30/10/2017,12.0,47
86,06/11/2017,4.0,47
87,13/11/2017,8.0,48
88,20/11/2017,3.0,42
89,04/12/2017,6.0,53
90,11/12/2017,2.0,47
91,18/12/2017,3.0,40
