,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.03979132569558101,0.0025980908521085065,0.050971470962770014,1.006660808347555,1.0
1,0-52,53-104,0,SARIMAX,0.04131530676214228,0.002778217539743467,0.05270879945268595,1.0409721685847635,1.0382993288090052
2,0-52,53-104,0,RF,0.028774895760268097,0.0016159832851145293,0.04019929458478755,0.7939157653755214,0.7231449381809278
3,0-52,53-104,0,XGB,0.03164476207373648,0.002028905172499232,0.0450433699061164,0.8895838064690786,0.7952678509841847
4,0-52,53-104,0,ENet,0.02715352190964395,0.0014110619354959636,0.037564104348379763,0.7418720891106275,0.6823980210505894
5,0-52,53-104,1,SNaive,0.03795008183306056,0.002228100950656405,0.04720276422685863,0.9247579620877153,1.0
6,0-52,53-104,1,SARIMAX,0.04320251103584641,0.003337706392818918,0.057772886311996896,1.1318391514751136,1.138403633117074
7,0-52,53-104,1,RF,0.027495364416906972,0.0015243063755782744,0.03904236641877992,0.7648861204609069,0.7245139691096564
8,0-52,53-104,1,XGB,0.030323714669870053,0.001912208710968988,0.043728808707406926,0.8566990659791786,0.7990421418130716
9,0-52,53-104,1,ENet,0.026763656856992866,0.0013998564008703889,0.03741465489444462,0.7329973271504822,0.7052331790672837
10,0-52,53-104,2,SNaive,0.037950081833060555,0.002167161437476059,0.0465527812002254,0.9156941428841118,1.0
11,0-52,53-104,2,SARIMAX,0.03759234777111807,0.0027074560530491822,0.05203322066765791,1.023494497478921,0.9905735628314023
12,0-52,53-104,2,RF,0.03059481594056062,0.001817619810112012,0.04263355263301443,0.8386028381093543,0.8061857699054464
13,0-52,53-104,2,XGB,0.031152295270696913,0.0017929181210076096,0.04234286387347471,0.8328849843603396,0.8208755756504934
14,0-52,53-104,2,ENet,0.026948939258252782,0.001417057332345243,0.03764382196782419,0.740454735528067,0.7101154452525046
15,0-52,53-104,3,SNaive,0.04020049099836334,0.002508857993523,0.05008850160988049,1.0013603103030504,1.0
16,0-52,53-104,3,SARIMAX,0.03343192965450847,0.002156213012264488,0.04643504078026085,0.9283209788708182,0.8316298837213097
17,0-52,53-104,3,RF,0.03360812355493206,0.0018551723153021982,0.04307171131151162,0.8610819013933284,0.8360127630356636
