,date,incidence,gr
0,29/12/2014,59.0,39
1,14/12/2015,50.0,36
2,21/12/2015,98.0,38
3,28/12/2015,111.0,37
4,04/01/2016,177.0,45
5,11/01/2016,196.0,38
6,18/01/2016,228.0,35
7,25/01/2016,216.0,40
8,01/02/2016,236.0,46
9,08/02/2016,288.0,39
10,15/02/2016,196.0,30
11,22/02/2016,380.0,26
12,29/02/2016,336.0,29
13,07/03/2016,456.0,34
14,14/03/2016,396.0,23
15,21/03/2016,344.0,29
16,28/03/2016,296.0,29
17,04/04/2016,460.0,26
18,11/04/2016,448.0,23
19,18/04/2016,344.0,21
20,25/04/2016,360.0,37
21,02/05/2016,400.0,34
22,09/05/2016,480.0,33
23,16/05/2016,360.0,25
24,23/05/2016,210.0,18
25,30/05/2016,87.0,20
26,12/09/2016,44.0,27
27,19/09/2016,68.0,20
28,26/09/2016,126.0,27
29,03/10/2016,88.0,30
30,10/10/2016,164.0,23
31,17/10/2016,152.0,26
32,24/10/2016,151.0,25
33,31/10/2016,180.0,28
34,07/11/2016,200.0,30
35,14/11/2016,256.0,36
36,21/11/2016,252.0,33
37,28/11/2016,192.0,20
38,05/12/2016,280.0,24
39,12/12/2016,228.0,38
40,19/12/2016,364.0,25
41,26/12/2016,244.0,26
42,02/01/2017,384.0,22
43,09/01/2017,248.0,20
44,16/01/2017,424.0,32
45,23/01/2017,364.0,31
46,30/01/2017,520.0,32
47,06/02/2017,348.0,27
48,13/02/2017,404.0,37
49,20/02/2017,564.0,24
50,27/02/2017,536.0,20
51,06/03/2017,584.0,27
52,13/03/2017,438.0,31
53,20/03/2017,318.0,29
54,27/03/2017,346.0,38
55,03/04/2017,320.0,40
56,10/04/2017,414.0,35
57,17/04/2017,528.0,100
58,24/04/2017,580.0,53
59,01/05/2017,460.0,65
60,08/05/2017,452.0,49
61,15/05/2017,572.0,41
62,22/05/2017,568.0,42
63,29/05/2017,496.0,34
64,05/06/2017,584.0,28
65,12/06/2017,258.0,25
66,19/06/2017,336.0,28
