,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.05692141909814323,0.005021426672688192,0.07086202560390291,0.513163741452359,1.0
1,0-52,53-104,0,SARIMAX,0.05985394466981119,0.006974382866936719,0.08351277068171502,0.6047770367394262,1.0515188415561414
2,0-52,53-104,0,RF,0.06225063944676015,0.006367213846420075,0.07979482343122313,0.5778526621491542,1.0936241652624357
3,0-52,53-104,0,XGB,0.06307825131010789,0.006463110631145023,0.08039347380941454,0.5821879272686099,1.1081637160406896
4,0-52,53-104,0,ENet,0.05440809393924228,0.004409602118362884,0.06640483505259902,0.4808859655889037,0.9558457045041778
5,0-52,53-104,1,SNaive,0.057286140583554385,0.005350840774490075,0.07314944138194136,0.5206648538744119,1.0
6,0-52,53-104,1,SARIMAX,0.11086578106301849,0.01778461988052834,0.13335898875039634,0.9492258188003903,1.9352984846538197
7,0-52,53-104,1,RF,0.062094014462548947,0.0062753335078673065,0.07921700264379679,0.5638526874120977,1.0839273483955874
8,0-52,53-104,1,XGB,0.06110935291418663,0.006039609031216529,0.07771492154803046,0.5531611384479553,1.0667388707231187
9,0-52,53-104,1,ENet,0.056649911165607324,0.004708995711416655,0.06862212260937908,0.48844019538589256,0.988893833456644
10,0-52,53-104,2,SNaive,0.06031996021220159,0.005883145494146162,0.07670166552393867,0.5397706894247192,1.0
11,0-52,53-104,2,SARIMAX,0.047904659114496866,0.0038542382010088375,0.062082511233106846,0.43689168495374264,0.7941759070458846
12,0-52,53-104,2,RF,0.06498180635815333,0.006139594090482651,0.0783555619626498,0.5514096129717128,1.0772852987560284
13,0-52,53-104,2,XGB,0.06644424766954282,0.006551104234718387,0.08093889197856854,0.5695892159070471,1.1015300314489
14,0-52,53-104,2,ENet,0.058072825434162444,0.004843312912017148,0.06959391433176573,0.4897514918616472,0.9627464147832016
15,0-52,53-104,3,SNaive,0.06426558355437666,0.0067171886433275395,0.08195845681397095,0.56490134434311,1.0
16,0-52,53-104,3,SARIMAX,0.0524369947519281,0.0042917552321714535,0.06551148931425275,0.4515400828927299,0.8159420929798279
17,0-52,53-104,3,RF,0.0627714198875837,0.006001008353914154,0.07746617554722934,0.5339381487755097,0.9767501735119434
18,0-52,53-104,3,XGB,0.06305697433136662,0.00616852009255095,0.0785399267414412,0.5413390140025975,0.9811935229377104
19,0-52,53-104,3,ENet,0.06098371577999099,0.0053104368145244635,0.07287274397553906,0.5022777714225579,0.9489327320647637
20,0-52,53-104,4,SNaive,0.06333720159151193,0.0067210688111680236,0.0819821249490889,0.5670081725539233,1.0
21,0-52,53-104,4,SARIMAX,0.05260052920750338,0.004376842388719352,0.06615770846030984,0.4575626869604873,0.830483947597593
22,0-52,53-104,4,RF,0.060736541619300234,0.00530217086606285,0.07281600693572018,0.503613087010565,0.9589394556932836
23,0-52,53-104,4,XGB,0.05991404728879979,0.005261821541732161,0.07253841424881137,0.5016931889569801,0.9459534962597574
24,0-52,53-104,4,ENet,0.06039159076122315,0.0052000009213473836,0.07211103189767418,0.49873730941554856,0.9534931958426857
25,0-52,53-104,5,SNaive,0.0661472148541114,0.007187128418549347,0.08477693329290313,0.5870444973284258,1.0
26,0-52,53-104,5,SARIMAX,0.0572989977062908,0.005243484277540598,0.07241190701494193,0.5014219069155432,0.8662344715898399
27,0-52,53-104,5,RF,0.06182875063155236,0.005434811305540572,0.07372117270866337,0.5104880194910543,0.9347143453872778
28,0-52,53-104,5,XGB,0.06178252569026751,0.005628054118214136,0.07502035802509967,0.5194843297065792,0.934015526224796
29,0-52,53-104,5,ENet,0.06010772734097393,0.005098892922536331,0.07140653277212339,0.4944601144316936,0.9086962689743228
30,0-52,53-104,6,SNaive,0.06243368700265252,0.00630334337556023,0.07939359782476312,0.5527495176350082,1.0
31,0-52,53-104,6,SARIMAX,0.060987177328413085,0.0055073378502237934,0.07421144015732206,0.5166705990639043,0.9768312629978432
32,0-52,53-104,6,RF,0.06178531719717066,0.00593011438446452,0.07700723592276586,0.5361353267383699,0.9896150646132061
33,0-52,53-104,6,XGB,0.06625798966449041,0.006575506675095086,0.08108949793342592,0.5645566153444427,1.0612538333940684
34,0-52,53-104,6,ENet,0.05920843551373806,0.004897328993529539,0.06998091878169034,0.48721710767677306,0.948341165743144
35,0-52,53-104,7,SNaive,0.06565815649867375,0.007038542285969085,0.08389602068017937,0.5890249627455532,1.0
36,0-52,53-104,7,SARIMAX,0.05155113267316173,0.004462629872315488,0.06680291814221508,0.4690161231843582,0.7851443814783777
37,0-52,53-104,7,RF,0.058231987337375266,0.004734634814409843,0.06880868269637083,0.4830983809864504,0.8868964717057127
38,0-52,53-104,7,XGB,0.06007009926956117,0.005187103263658464,0.07202154721788795,0.505655558189257,0.9148916520489658
39,0-52,53-104,7,ENet,0.0580487400530504,0.004807433488141401,0.06933565812871037,0.4867982189750113,0.8841055422295163
40,0-52,53-104,8,SNaive,0.06882460212201591,0.007410395276913929,0.08608365278561272,0.5955118912813993,1.0
41,0-52,53-104,8,SARIMAX,0.050062858266183216,0.004229803720984455,0.06503694120255392,0.44991436359172576,0.72739771422767
42,0-52,53-104,8,RF,0.06108584612226853,0.005254169812525038,0.07248565245981468,0.5014432658267128,0.8875582893159673
43,0-52,53-104,8,XGB,0.06131511844931768,0.0053257791005627405,0.07297793571047854,0.50484879661174,0.8908895447098261
44,0-52,53-104,8,ENet,0.06017075596816975,0.005260981866827243,0.07253262622315039,0.5017682222352695,0.8742623148259665
45,0-104,105-156,0,SNaive,0.054973474801061004,0.00522157687734382,0.07226047936004729,0.41533680642222615,1.0
46,0-104,105-156,0,SARIMAX,0.0797605507648315,0.011728257657965745,0.10829708056067691,0.6224669969431637,1.4508915627667782
47,0-104,105-156,0,RF,0.0810277389025446,0.010228810748799631,0.10113758326556765,0.5813158342540417,1.473942463993212
48,0-104,105-156,0,XGB,0.08357648105615012,0.010518492884129814,0.10255970399786563,0.5894898608939211,1.5203055902614522
49,0-104,105-156,0,ENet,0.06687547366426677,0.006947055047837759,0.08334899548187584,0.4790710760366621,1.2165043942788214
50,0-104,105-156,1,SNaive,0.05989721485411141,0.0055006416925820895,0.0741663110352813,0.43280722504214847,1.0
51,0-104,105-156,1,SARIMAX,0.08180183187556024,0.011384653514132427,0.10669889181304756,0.6226553624692138,1.3657034317004686
52,0-104,105-156,1,RF,0.07400721974499427,0.009116155901363499,0.09547856252250292,0.5571776608481958,1.2355703003094531
53,0-104,105-156,1,XGB,0.07353438957932773,0.00919780174297458,0.09590517057476401,0.5596671880297746,1.22767627440494
54,0-104,105-156,1,ENet,0.06811054524488121,0.006914603052911147,0.08315409221987302,0.4852565996906825,1.1371237445810225
55,0-104,105-156,2,SNaive,0.06434018567639258,0.0067854345787981335,0.08237374933070689,0.4882126808772526,1.0
56,0-104,105-156,2,SARIMAX,0.08263974368886574,0.012021577247876265,0.10964295348026824,0.6498317812753406,1.2844187939480498
57,0-104,105-156,2,RF,0.07713907362600374,0.009108560898536518,0.09543878089401875,0.5656465009606692,1.1989252566659483
58,0-104,105-156,2,XGB,0.07516800726736729,0.009046736060042564,0.09511433151761392,0.5637235546197465,1.168290182521926
59,0-104,105-156,2,ENet,0.06441951806259165,0.006316865240264007,0.07947870935202714,0.4710543599227979,1.0012330145672579
60,0-104,105-156,3,SNaive,0.07007625994694959,0.006970525016006585,0.08348967011556929,0.5085682303833515,1.0
61,0-104,105-156,3,SARIMAX,0.08066759557203126,0.009632018930717997,0.09814284961584312,0.5978264770338456,1.1511401383735336
62,0-104,105-156,3,RF,0.08075959612130243,0.009465682531051725,0.09729173927447142,0.5926420311069038,1.1524530016647654
63,0-104,105-156,3,XGB,0.08786959769080739,0.011023282000233349,0.10499181873000081,0.6395462262856498,1.253913918313107
64,0-104,105-156,3,ENet,0.06240629761552555,0.005855292974617761,0.07651988613829586,0.46611255055410306,0.8905483492236815
65,0-104,105-156,4,SNaive,0.07493368700265252,0.008166445623342174,0.0903683884073528,0.5548960338709747,1.0
66,0-104,105-156,4,SARIMAX,0.10444422206144378,0.01798268613647,0.13409953816650524,0.8234218091518904,1.393822007687232
67,0-104,105-156,4,RF,0.07618939475183674,0.008462092694219563,0.09198963362368372,0.5648510917881205,1.016757586599733
68,0-104,105-156,4,XGB,0.08177265045813603,0.00953053922523755,0.09762448066564836,0.5994511807148072,1.0912668751404349
69,0-104,105-156,4,ENet,0.06684280868724903,0.006519989936620414,0.0807464546380856,0.4958137266523462,0.8920261548705446
70,0-104,105-156,5,SNaive,0.08126657824933689,0.009261810573493094,0.09623830096948456,0.5984324843543434,1.0
71,0-104,105-156,5,SARIMAX,0.08476214162516102,0.012646031210236025,0.1124545739853921,0.6992690998194785,1.0430135419889253
72,0-104,105-156,5,RF,0.07726365310658251,0.009478607845580429,0.09735814216376784,0.6053959213770914,0.9507432793531325
73,0-104,105-156,5,XGB,0.07841313529552137,0.00969385122747585,0.09845735740652321,0.612231101361938,0.9648878663863418
74,0-104,105-156,5,ENet,0.06509598176634741,0.006362226922137214,0.07976356889042274,0.4959887093933611,0.8010178743668044
75,0-104,105-156,6,SNaive,0.0855603448275862,0.009806277439860973,0.09902665014964897,0.6243310725922994,1.0
76,0-104,105-156,6,SARIMAX,0.08275248196773506,0.01173858239438711,0.10834473865577005,0.683078613610248,0.9671826607815887
77,0-104,105-156,6,RF,0.06899129189315698,0.007668931780352022,0.08757243733248506,0.5521159571356673,0.8063465853507515
78,0-104,105-156,6,XGB,0.07815106398171551,0.01004237369848972,0.10021164452542289,0.6318020797254776,0.9134028636653904
79,0-104,105-156,6,ENet,0.06217646700611823,0.005701143368872701,0.07550591611835923,0.47604043483244607,0.7266972466206262
80,0-104,105-156,7,SNaive,0.09375828912466842,0.01125857138365499,0.10610641537463694,0.6704733894194531,1.0
81,0-104,105-156,7,SARIMAX,0.10131129966326537,0.016606779430505557,0.12886729387437898,0.8142965814479928,1.080558322993222
82,0-104,105-156,7,RF,0.06607259061971224,0.007147693328235819,0.0845440318901093,0.5342233399970032,0.7047119911910605
83,0-104,105-156,7,XGB,0.0675217155199152,0.007609218814903887,0.0872308363762717,0.5512009271125821,0.720167956884676
