,date,incidence,gr
0,29/12/2014,1475.0,36
1,14/12/2015,1728.0,41
2,21/12/2015,2764.0,100
3,28/12/2015,3405.0,59
4,04/01/2016,4425.0,46
5,11/01/2016,6016.0,36
6,18/01/2016,6828.0,40
7,25/01/2016,8232.0,46
8,01/02/2016,8072.0,92
9,08/02/2016,7844.0,63
10,15/02/2016,6824.0,52
11,22/02/2016,7156.0,68
12,29/02/2016,7472.0,55
13,07/03/2016,8056.0,43
14,14/03/2016,8292.0,54
15,21/03/2016,6900.0,58
16,28/03/2016,5976.0,52
17,04/04/2016,5052.0,53
18,11/04/2016,4564.0,53
19,18/04/2016,4292.0,50
20,25/04/2016,4664.0,71
21,02/05/2016,4056.0,64
22,09/05/2016,4332.0,63
23,16/05/2016,3009.0,74
24,23/05/2016,2070.0,55
25,30/05/2016,696.0,49
26,12/09/2016,727.0,57
27,19/09/2016,2188.0,52
28,26/09/2016,3933.0,39
29,03/10/2016,6496.0,49
30,10/10/2016,5900.0,44
31,17/10/2016,6452.0,35
32,24/10/2016,6315.0,53
33,31/10/2016,6956.0,51
34,07/11/2016,7244.0,45
35,14/11/2016,7892.0,70
36,21/11/2016,9144.0,45
37,28/11/2016,8284.0,51
38,05/12/2016,8296.0,47
39,12/12/2016,7676.0,44
40,19/12/2016,9476.0,46
41,26/12/2016,7372.0,42
42,02/01/2017,8804.0,38
43,09/01/2017,7832.0,38
44,16/01/2017,7660.0,45
45,23/01/2017,8624.0,51
46,30/01/2017,8772.0,54
47,06/02/2017,7304.0,62
48,13/02/2017,5756.0,54
49,20/02/2017,6408.0,70
50,27/02/2017,5472.0,53
51,06/03/2017,5260.0,43
52,13/03/2017,4287.0,40
53,20/03/2017,2628.0,58
54,27/03/2017,2758.0,54
55,03/04/2017,2814.0,54
56,10/04/2017,2808.0,57
57,17/04/2017,3692.0,51
58,24/04/2017,4040.0,51
59,01/05/2017,3276.0,41
60,08/05/2017,4214.0,42
61,15/05/2017,4343.0,46
62,22/05/2017,3648.0,50
63,29/05/2017,2480.0,44
64,05/06/2017,2674.0,42
65,12/06/2017,1440.0,41
66,19/06/2017,1461.0,40
67,26/06/2017,1767.0,47
68,03/07/2017,2016.0,43
69,10/07/2017,1688.0,39
70,17/07/2017,3645.0,48
71,24/07/2017,3625.0,52
72,31/07/2017,3665.0,45
73,07/08/2017,3500.0,47
74,14/08/2017,2740.0,49
75,21/08/2017,2852.0,47
76,28/08/2017,2236.0,41
77,04/09/2017,2900.0,35
78,11/09/2017,3716.0,40
79,18/09/2017,5874.0,53
80,25/09/2017,6777.0,28
81,02/10/2017,7004.0,41
82,09/10/2017,6720.0,38
83,16/10/2017,5118.0,27
84,23/10/2017,4395.0,40
85,30/10/2017,4569.0,41
86,06/11/2017,3524.0,64
87,13/11/2017,4114.0,56
88,20/11/2017,2316.0,52
89,04/12/2017,2241.0,43
90,11/12/2017,4864.0,58
91,18/12/2017,8586.0,51
92,25/12/2017,7860.0,34
93,01/01/2018,9624.0,39
94,08/01/2018,9684.0,38
95,15/01/2018,9680.0,40
96,22/01/2018,9728.0,55
97,29/01/2018,8980.0,45
98,05/02/2018,9704.0,38
99,12/02/2018,7968.0,53
100,19/02/2018,7640.0,61
101,26/02/2018,6868.0,65
102,05/03/2018,7468.0,62
103,12/03/2018,7456.0,51
104,19/03/2018,7180.0,60
105,26/03/2018,5648.0,63
106,02/04/2018,5148.0,45
107,09/04/2018,4752.0,65
108,16/04/2018,2799.0,61
109,23/04/2018,3264.0,71
110,30/04/2018,3526.0,52
111,07/05/2018,2457.0,67
112,14/05/2018,4427.0,66
113,21/05/2018,4252.0,67
114,28/05/2018,2640.0,71
115,04/06/2018,3232.0,70
116,11/06/2018,2656.0,58
117,18/06/2018,2180.0,44
118,25/06/2018,3012.0,59
119,02/07/2018,2920.0,59
120,09/07/2018,2612.0,43
121,16/07/2018,2368.0,40
122,23/07/2018,2080.0,43
123,30/07/2018,2176.0,49
124,06/08/2018,1804.0,53
125,13/08/2018,2340.0,34
126,20/08/2018,1992.0,42
127,27/08/2018,2308.0,68
128,03/09/2018,3120.0,71
129,10/09/2018,4243.0,40
130,17/09/2018,5682.0,35
131,24/09/2018,6761.0,41
132,01/10/2018,6952.0,39
133,08/10/2018,5187.0,46
134,15/10/2018,4974.0,44
135,22/10/2018,5100.0,36
136,29/10/2018,5289.0,54
137,05/11/2018,7692.0,34
138,12/11/2018,8740.0,48
139,19/11/2018,9824.0,77
140,26/11/2018,10444.0,74
141,03/12/2018,10424.0,73
142,10/12/2018,10492.0,53
143,17/12/2018,10212.0,69
144,24/12/2018,7764.0,65
145,31/12/2018,10436.0,60
146,07/01/2019,11684.0,56
147,14/01/2019,10508.0,59
148,21/01/2019,12232.0,48
149,28/01/2019,12372.0,51
150,04/02/2019,13604.0,59
151,11/02/2019,11776.0,61
152,18/02/2019,9528.0,74
153,25/02/2019,9284.0,74
154,04/03/2019,8164.0,69
155,11/03/2019,8580.0,60
156,18/03/2019,6513.0,60
157,25/03/2019,3926.0,82
158,01/04/2019,2255.0,66
159,22/07/2019,947.0,86
160,29/07/2019,2056.0,84
161,05/08/2019,2502.0,65
162,12/08/2019,3256.0,59
163,19/08/2019,3408.0,59
164,26/08/2019,3240.0,64
165,02/09/2019,4372.0,76
166,09/09/2019,5350.0,63
167,16/09/2019,8118.0,48
168,23/09/2019,8969.0,55
169,30/09/2019,9808.0,66
170,07/10/2019,10436.0,49
171,14/10/2019,10372.0,71
172,21/10/2019,10656.0,80
173,28/10/2019,8248.0,41
174,04/11/2019,5940.0,57
175,11/11/2019,6252.0,49
176,18/11/2019,7599.0,49
177,25/11/2019,8133.0,48
178,02/12/2019,11704.0,39
179,09/12/2019,10368.0,57
180,16/12/2019,11376.0,54
181,23/12/2019,8336.0,59
182,30/12/2019,9756.0,47
183,06/01/2020,9060.0,53
184,13/01/2020,6988.0,46
185,20/01/2020,8508.0,50
186,27/01/2020,11392.0,47
187,03/02/2020,10760.0,42
188,10/02/2020,10192.0,60
189,17/02/2020,8980.0,47
190,24/02/2020,10152.0,62
191,02/03/2020,10772.0,72
192,09/03/2020,10356.0,83
193,16/03/2020,4688.0,58
194,23/03/2020,3160.0,56
195,30/03/2020,2180.0,54
196,06/04/2020,1236.0,56
197,13/04/2020,1096.0,68
198,20/04/2020,848.0,55
199,27/04/2020,768.0,72
200,04/05/2020,728.0,79
201,11/05/2020,696.0,87
202,18/05/2020,528.0,67
203,25/05/2020,456.0,82
204,01/06/2020,464.0,78
205,08/06/2020,548.0,100
206,15/06/2020,440.0,80
207,22/06/2020,460.0,65
208,29/06/2020,468.0,67
209,06/07/2020,552.0,80
210,13/07/2020,620.0,68
211,20/07/2020,720.0,77
212,27/07/2020,876.0,75
213,03/08/2020,936.0,79
214,10/08/2020,844.0,61
215,17/08/2020,656.0,70
216,24/08/2020,1016.0,60
217,31/08/2020,1050.0,82
218,07/09/2020,1875.0,67
219,14/09/2020,1663.0,72
220,21/09/2020,432.0,61
221,28/09/2020,348.0,47
222,05/10/2020,272.0,60
