,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.18089398622019337,0.05042889112258868,0.22456377963195373,0.6322455451296702,1.0
1,0-52,53-104,0,SARIMAX,0.3875620168044028,0.21905065517162234,0.4680284768810786,1.3177054642866421,2.1424814882051555
2,0-52,53-104,0,RF,0.185897286838975,0.04994138897585643,0.223475701085949,0.629182126734281,1.0276587448998518
3,0-52,53-104,0,XGB,0.20447229974737832,0.05855996518406254,0.2419916634598443,0.6813126828901773,1.1303432691150066
4,0-52,53-104,0,ENet,0.18738188488795282,0.04168873845703131,0.20417820269811202,0.5748512038764042,1.0358657510032536
5,0-52,53-104,1,SNaive,0.17770138081601405,0.051315941758229365,0.22653022261550304,0.6301857092148744,1.0
6,0-52,53-104,1,SARIMAX,0.49620483507743773,0.3231954093351316,0.5685027786520762,1.5815210995646063,2.7923521629310875
7,0-52,53-104,1,RF,0.19299365110868974,0.051831973085596866,0.22766636353576009,0.6333463460753055,1.0860560014922382
8,0-52,53-104,1,XGB,0.19977327418189092,0.055255729907827913,0.23506537368959282,0.6539296943254653,1.124207776352224
9,0-52,53-104,1,ENet,0.1841962920406275,0.040972404336699506,0.20241641320974815,0.5631033662639697,1.0365495821967645
10,0-52,53-104,2,SNaive,0.18183532280472933,0.05335740128079072,0.23099221043314583,0.636598106643221,1.0
11,0-52,53-104,2,SARIMAX,0.18770702889004534,0.05185829780067402,0.2277241704358016,0.6275916207931461,1.0322913391894795
12,0-52,53-104,2,RF,0.1939814722628398,0.054523586694546586,0.2335028622834131,0.6435172846160342,1.0667975246545143
13,0-52,53-104,2,XGB,0.20110375491920238,0.060096638373726204,0.24514615716695665,0.6756053773878801,1.1059663866033618
14,0-52,53-104,2,ENet,0.1840521628595644,0.041251720268869106,0.20310519508094593,0.5597434753123566,1.0121914709454758
15,0-52,53-104,3,SNaive,0.17983923558932777,0.05319350251639243,0.23063716638129345,0.6308430187602245,1.0
16,0-52,53-104,3,SARIMAX,0.18043233224032781,0.04635615925302339,0.21530480545734085,0.5889056632084435,1.0032979268904056
17,0-52,53-104,3,RF,0.1963222194318766,0.04972097309657113,0.22298200173236207,0.6099044716387485,1.0916539919030162
18,0-52,53-104,3,XGB,0.1981474805744867,0.05366542409494014,0.23165798949084432,0.6336351929017704,1.1018033963787899
19,0-52,53-104,3,ENet,0.17859324587873607,0.03935642829344221,0.19838454650864873,0.5426250597789375,0.9930716469823249
20,0-52,53-104,4,SNaive,0.1788454450083643,0.052235548558461166,0.22855097584228592,0.6251586493651351,1.0
21,0-52,53-104,4,SARIMAX,0.17133790522385445,0.04027809719594906,0.20069403876535313,0.5489611835950381,0.9580221918195415
22,0-52,53-104,4,RF,0.20858551173812875,0.05733280036280049,0.23944268701048377,0.6549508977600157,1.166289204225322
23,0-52,53-104,4,XGB,0.22263262520778115,0.06800737690711066,0.2607822403982117,0.7133212736674588,1.2448325155687863
24,0-52,53-104,4,ENet,0.17776525646286195,0.039013955685147345,0.19751950710030478,0.540277843168358,0.9939602121516048
25,0-52,53-104,5,SNaive,0.17866398253423685,0.050869981988883775,0.22554374739478764,0.6179585573073529,1.0
26,0-52,53-104,5,SARIMAX,0.17008171160402025,0.03851616849774085,0.19625536552599232,0.5377124568742188,0.9519641798616462
27,0-52,53-104,5,RF,0.20160032309501522,0.05814283504748007,0.24112825435332141,0.6606579428930006,1.1283769690759196
28,0-52,53-104,5,XGB,0.2217427546124369,0.07398141598486954,0.2719952499307103,0.7452292257405272,1.2411161526075631
29,0-52,53-104,5,ENet,0.17801910063731202,0.03909066392286031,0.19771359063772098,0.5417077912458512,0.996390532172307
30,0-52,53-104,6,SNaive,0.18127534095097678,0.04876684495657131,0.22083216467845285,0.6062598703996974,1.0
31,0-52,53-104,6,SARIMAX,0.17526355951883243,0.04097938103547865,0.20243364600648442,0.5557496398730194,0.9668361874229207
32,0-52,53-104,6,RF,0.19845594135458683,0.05604001866461385,0.23672773108491926,0.6498986403386058,1.0947762685949451
33,0-52,53-104,6,XGB,0.21650328427706753,0.06813136746117722,0.26101986028112345,0.7165888488037879,1.1943338963881338
34,0-52,53-104,6,ENet,0.177796391828411,0.038936407882214606,0.19732310529234687,0.5417194565637321,0.9808084811518485
