,date,incidence,gr
0,29/12/2014,351.0,72
1,14/12/2015,410.0,79
2,21/12/2015,740.0,73
3,28/12/2015,738.0,70
4,04/01/2016,1053.0,81
5,11/01/2016,1760.0,71
6,18/01/2016,1724.0,69
7,25/01/2016,2024.0,72
8,01/02/2016,2176.0,67
9,08/02/2016,2080.0,76
10,15/02/2016,1980.0,69
11,22/02/2016,2088.0,74
12,29/02/2016,2068.0,79
13,07/03/2016,1948.0,76
14,14/03/2016,1976.0,76
15,21/03/2016,1812.0,74
16,28/03/2016,1612.0,76
17,04/04/2016,1684.0,80
18,11/04/2016,1812.0,77
19,18/04/2016,1804.0,78
20,25/04/2016,1708.0,75
21,02/05/2016,1604.0,89
22,09/05/2016,1924.0,89
23,16/05/2016,1314.0,90
24,23/05/2016,864.0,91
25,30/05/2016,299.0,83
26,12/09/2016,310.0,78
27,19/09/2016,620.0,77
28,26/09/2016,1083.0,73
29,03/10/2016,1316.0,85
30,10/10/2016,1208.0,79
31,17/10/2016,1348.0,80
32,24/10/2016,1187.0,77
33,31/10/2016,1420.0,88
34,07/11/2016,1432.0,90
35,14/11/2016,1420.0,100
36,21/11/2016,1484.0,93
37,28/11/2016,1508.0,91
38,05/12/2016,1476.0,93
39,12/12/2016,1392.0,88
40,19/12/2016,1820.0,88
41,26/12/2016,1236.0,80
42,02/01/2017,1672.0,89
43,09/01/2017,1744.0,94
44,16/01/2017,1944.0,90
45,23/01/2017,2076.0,89
46,30/01/2017,2348.0,87
47,06/02/2017,1944.0,85
48,13/02/2017,1912.0,89
49,20/02/2017,2376.0,51
50,27/02/2017,2140.0,50
51,06/03/2017,1840.0,52
52,13/03/2017,1488.0,50
53,20/03/2017,942.0,48
54,27/03/2017,910.0,50
55,03/04/2017,1022.0,48
56,10/04/2017,1371.0,47
57,17/04/2017,1344.0,53
58,24/04/2017,1856.0,51
59,01/05/2017,1284.0,53
60,08/05/2017,1452.0,49
61,15/05/2017,1544.0,46
62,22/05/2017,1648.0,44
63,29/05/2017,1164.0,50
64,05/06/2017,1437.0,43
65,12/06/2017,996.0,46
66,19/06/2017,1149.0,44
67,26/06/2017,873.0,51
68,03/07/2017,1113.0,48
69,10/07/2017,792.0,48
70,17/07/2017,1685.0,48
71,24/07/2017,1575.0,49
72,31/07/2017,1540.0,48
73,07/08/2017,1610.0,45
74,14/08/2017,1312.0,46
75,21/08/2017,1172.0,52
76,28/08/2017,960.0,43
77,04/09/2017,1176.0,45
78,11/09/2017,1132.0,45
79,18/09/2017,1216.0,48
80,25/09/2017,1156.0,44
81,02/10/2017,1372.0,44
82,09/10/2017,1140.0,49
83,16/10/2017,1059.0,45
84,23/10/2017,1041.0,52
85,30/10/2017,930.0,43
86,06/11/2017,800.0,41
87,13/11/2017,760.0,46
88,20/11/2017,370.0,46
89,04/12/2017,444.0,47
90,11/12/2017,902.0,46
91,18/12/2017,1503.0,53
92,25/12/2017,1104.0,60
93,01/01/2018,1480.0,47
94,08/01/2018,1796.0,47
95,15/01/2018,1880.0,46
96,22/01/2018,2036.0,48
97,29/01/2018,2052.0,51
98,05/02/2018,2256.0,49
99,12/02/2018,2140.0,52
100,19/02/2018,2140.0,50
101,26/02/2018,1884.0,55
102,05/03/2018,1920.0,52
103,12/03/2018,1964.0,49
104,19/03/2018,1928.0,91
105,26/03/2018,1460.0,59
106,02/04/2018,1572.0,54
107,09/04/2018,1580.0,52
108,16/04/2018,1233.0,50
109,23/04/2018,1314.0,50
110,30/04/2018,1212.0,49
111,07/05/2018,960.0,57
112,14/05/2018,1684.0,51
113,21/05/2018,1744.0,53
114,28/05/2018,1168.0,55
115,04/06/2018,1968.0,51
116,11/06/2018,1912.0,57
117,18/06/2018,1232.0,58
118,25/06/2018,1604.0,54
119,02/07/2018,1612.0,100
