,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.09905856417484322,0.015221752581832558,0.12337646688827071,0.4985234414474145,1.0
1,0-52,53-104,0,SARIMAX,0.2714265416004907,0.10301145523520888,0.32095397681787474,1.2968687230635225,2.740061335044283
2,0-52,53-104,0,RF,0.14182416442300186,0.027343457680213748,0.1653585730472229,0.668159228315301,1.431720372735014
3,0-52,53-104,0,XGB,0.135691975868529,0.02514141700684007,0.15856045221567724,0.6406902735154639,1.3698156943707158
4,0-52,53-104,0,ENet,0.11939380160442471,0.01932278236182922,0.13900641122563095,0.5616788700085895,1.2052850008373712
5,0-52,53-104,1,SNaive,0.10287128891780052,0.015595534393574287,0.12488208195563641,0.4998806044994303,1.0
6,0-52,53-104,1,SARIMAX,0.38335961290521947,0.18239919708239863,0.4270821900786763,1.7095335055617535,3.726594824835369
7,0-52,53-104,1,RF,0.09409198085506228,0.011974706105027674,0.1094290002925535,0.43802468664353567,0.9146573533286497
8,0-52,53-104,1,XGB,0.09087172174239512,0.011867841413261245,0.10893962278831906,0.4360657961540895,0.8833535838654294
9,0-52,53-104,1,ENet,0.09392282428701912,0.012513320636931944,0.11186295471214742,0.4477673702017974,0.9130130017333438
10,0-52,53-104,2,SNaive,0.10981008655427259,0.017934508314238554,0.1339197831324355,0.529715868653571,1.0
11,0-52,53-104,2,SARIMAX,0.32615547558563474,0.13735671419900541,0.37061666745979654,1.4659636190331353,2.9701777479652156
12,0-52,53-104,2,RF,0.08690634204296996,0.011813579022236056,0.10869028945695221,0.4299213286282032,0.7914240373539577
13,0-52,53-104,2,XGB,0.09740461000959913,0.014990123706967413,0.12243416070267077,0.48428481791483824,0.8870278957612681
14,0-52,53-104,2,ENet,0.09194281901609676,0.012267846836571138,0.1107603125517942,0.4381092457243114,0.8372893775168359
15,0-52,53-104,3,SNaive,0.11497804521060334,0.0200688547542703,0.14166458539194013,0.5548182881126187,1.0
16,0-52,53-104,3,SARIMAX,0.30490935002015884,0.1211904884324405,0.3481242428105812,1.3634014168911484,2.651891928251707
17,0-52,53-104,3,RF,0.09560012769315102,0.014716307093333908,0.12131078720927463,0.47510422666915303,0.8314641940384521
18,0-52,53-104,3,XGB,0.10684081393619456,0.018021951565798652,0.13424586237869177,0.5257634386539175,0.9292279560023485
19,0-52,53-104,3,ENet,0.09003713852331666,0.012068168319806878,0.10985521525993601,0.43023937353243824,0.7830811383025095
20,0-52,53-104,4,SNaive,0.1199020617625269,0.02082306985858455,0.1443020091980169,0.5665307527686899,1.0
21,0-52,53-104,4,SARIMAX,0.11057283921880125,0.017323929017976622,0.13162039742371476,0.5167426513781072,0.922192976446037
22,0-52,53-104,4,RF,0.09525682510856928,0.01455573964870739,0.12064717008163676,0.4736616798728618,0.7944552721472884
23,0-52,53-104,4,XGB,0.0978723120086571,0.015343184101841692,0.12386760715312818,0.486305139575856,0.8162687994681775
24,0-52,53-104,4,ENet,0.09152380455583614,0.012384199548798287,0.11128431852151625,0.4369030555689012,0.763321357535156
25,0-52,53-104,5,SNaive,0.12431108942736849,0.02166246169556723,0.1471817301690914,0.5781441693074271,1.0
26,0-52,53-104,5,SARIMAX,0.09270332609200632,0.012289492480235854,0.1108579833852116,0.4354609545743688,0.7457365752246126
27,0-52,53-104,5,RF,0.0886205254693627,0.012738908442205543,0.11286677297684002,0.44335167571503725,0.7128931608401775
28,0-52,53-104,5,XGB,0.08796955740645035,0.012538595689864344,0.11197587101632361,0.4398521260541835,0.7076565559169081
29,0-52,53-104,5,ENet,0.09212385781056247,0.012515859321244827,0.11187430143355008,0.43945315084175707,0.7410751384685424
30,0-52,53-104,6,SNaive,0.12613613776404475,0.020956163146044655,0.1447624369304574,0.5752143616706834,1.0
31,0-52,53-104,6,SARIMAX,0.11722894317211273,0.020637336861671778,0.1436570111817442,0.5708219462077836,0.9293842767835957
