,date,incidence,gr
0,29/12/2014,0.0,2
1,14/12/2015,0.0,1
2,21/12/2015,0.0,2
3,28/12/2015,0.0,2
4,04/01/2016,0.0,2
5,11/01/2016,0.0,1
6,18/01/2016,0.0,2
7,25/01/2016,0.0,1
8,01/02/2016,0.0,2
9,08/02/2016,0.0,4
10,15/02/2016,0.0,20
11,22/02/2016,0.0,100
12,29/02/2016,0.0,18
13,07/03/2016,0.0,15
14,14/03/2016,0.0,9
15,21/03/2016,0.0,5
16,28/03/2016,0.0,4
17,04/04/2016,0.0,5
18,11/04/2016,0.0,6
19,18/04/2016,0.0,5
20,25/04/2016,0.0,4
21,02/05/2016,0.0,5
22,09/05/2016,0.0,4
23,16/05/2016,0.0,3
24,23/05/2016,0.0,3
25,30/05/2016,0.0,2
26,12/09/2016,0.0,2
27,19/09/2016,0.0,3
28,26/09/2016,0.0,2
29,03/10/2016,0.0,3
30,10/10/2016,0.0,2
31,17/10/2016,0.0,2
32,24/10/2016,0.0,2
33,31/10/2016,0.0,2
34,07/11/2016,0.0,2
35,14/11/2016,0.0,2
36,21/11/2016,0.0,2
37,28/11/2016,0.0,3
38,05/12/2016,0.0,2
39,12/12/2016,0.0,2
40,19/12/2016,0.0,3
41,26/12/2016,0.0,2
42,02/01/2017,0.0,3
43,09/01/2017,0.0,7
44,16/01/2017,0.0,4
45,23/01/2017,0.0,2
46,30/01/2017,0.0,2
47,06/02/2017,0.0,3
48,13/02/2017,0.0,3
49,20/02/2017,0.0,3
50,27/02/2017,0.0,3
51,06/03/2017,0.0,5
52,13/03/2017,0.0,13
53,20/03/2017,0.0,6
54,27/03/2017,0.0,5
55,03/04/2017,0.0,5
56,10/04/2017,0.0,6
57,17/04/2017,0.0,8
58,24/04/2017,0.0,12
59,01/05/2017,0.0,5
60,08/05/2017,0.0,4
61,15/05/2017,0.0,4
62,22/05/2017,0.0,4
63,29/05/2017,0.0,4
64,05/06/2017,0.0,1
65,12/06/2017,0.0,2
