,date,incidence,gr
0,29/12/2014,51.0,100
1,14/12/2015,48.0,60
2,21/12/2015,92.0,56
3,28/12/2015,117.0,54
4,04/01/2016,153.0,82
5,11/01/2016,300.0,82
6,18/01/2016,308.0,66
7,25/01/2016,272.0,70
8,01/02/2016,312.0,77
9,08/02/2016,232.0,64
10,15/02/2016,304.0,63
11,22/02/2016,320.0,44
12,29/02/2016,348.0,46
13,07/03/2016,244.0,56
14,14/03/2016,284.0,28
15,21/03/2016,236.0,43
16,28/03/2016,212.0,57
17,04/04/2016,280.0,46
18,11/04/2016,284.0,54
19,18/04/2016,296.0,61
20,25/04/2016,264.0,56
21,02/05/2016,304.0,45
22,09/05/2016,240.0,72
23,16/05/2016,267.0,49
24,23/05/2016,118.0,34
25,30/05/2016,54.0,62
26,12/09/2016,89.0,60
27,19/09/2016,166.0,64
28,26/09/2016,222.0,50
29,03/10/2016,332.0,70
30,10/10/2016,256.0,62
31,17/10/2016,308.0,49
32,24/10/2016,245.0,60
33,31/10/2016,288.0,59
34,07/11/2016,336.0,60
35,14/11/2016,320.0,51
36,21/11/2016,308.0,48
37,28/11/2016,360.0,47
38,05/12/2016,352.0,56
39,12/12/2016,192.0,49
40,19/12/2016,296.0,50
41,26/12/2016,220.0,37
42,02/01/2017,300.0,61
43,09/01/2017,284.0,46
44,16/01/2017,372.0,50
45,23/01/2017,312.0,41
46,30/01/2017,384.0,33
47,06/02/2017,332.0,63
48,13/02/2017,260.0,42
49,20/02/2017,284.0,46
50,27/02/2017,308.0,43
51,06/03/2017,324.0,49
52,13/03/2017,231.0,59
53,20/03/2017,126.0,62
54,27/03/2017,174.0,48
55,03/04/2017,162.0,45
56,10/04/2017,231.0,42
57,17/04/2017,272.0,59
58,24/04/2017,352.0,57
59,01/05/2017,304.0,72
60,08/05/2017,336.0,73
61,15/05/2017,264.0,54
62,22/05/2017,336.0,49
63,29/05/2017,240.0,61
64,05/06/2017,271.0,67
65,12/06/2017,144.0,79
66,19/06/2017,252.0,54
67,26/06/2017,210.0,52
68,03/07/2017,258.0,50
69,10/07/2017,116.0,54
70,17/07/2017,335.0,71
71,24/07/2017,485.0,46
72,31/07/2017,380.0,60
73,07/08/2017,335.0,67
74,14/08/2017,344.0,42
75,21/08/2017,352.0,54
76,28/08/2017,284.0,53
77,04/09/2017,376.0,48
78,11/09/2017,304.0,47
79,18/09/2017,384.0,47
80,25/09/2017,272.0,75
81,02/10/2017,376.0,63
82,09/10/2017,316.0,80
83,16/10/2017,222.0,63
84,23/10/2017,240.0,69
85,30/10/2017,222.0,44
86,06/11/2017,190.0,66
87,13/11/2017,194.0,70
88,20/11/2017,74.0,67
89,04/12/2017,79.0,41
90,11/12/2017,150.0,45
91,18/12/2017,288.0,45
92,25/12/2017,160.0,58
93,01/01/2018,252.0,59
94,08/01/2018,328.0,64
95,15/01/2018,364.0,70
96,22/01/2018,372.0,69
97,29/01/2018,356.0,60
98,05/02/2018,320.0,67
99,12/02/2018,296.0,66
100,19/02/2018,308.0,59
101,26/02/2018,376.0,59
102,05/03/2018,332.0,64
103,12/03/2018,280.0,54
104,19/03/2018,416.0,62
105,26/03/2018,212.0,56
