,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.04636270491803278,0.003524723809640709,0.059369384447210745,0.4181977792456405,1.0
1,0-52,53-104,0,SARIMAX,0.04858864914551493,0.003373628567732683,0.05808294558416165,0.4091361074652841,1.048011526320941
2,0-52,53-104,0,RF,0.043718455461603516,0.0028142890537217395,0.05304987326772553,0.37368316003936236,0.942966022774034
3,0-52,53-104,0,XGB,0.044439488878616915,0.002984349177153863,0.054629197112476977,0.38480791281782534,0.9585180363653064
4,0-52,53-104,0,ENet,0.04138115541578817,0.002418681781142607,0.04918009537549319,0.3464244553084012,0.8925526560399837
5,0-52,53-104,1,SNaive,0.04695381462799496,0.003584299108619478,0.0598690162656735,0.41921527504352385,1.0
6,0-52,53-104,1,SARIMAX,0.04360952493917764,0.0033251242322499632,0.0576638901935168,0.4037745247104531,0.9287749096572151
7,0-52,53-104,1,RF,0.04149932554069336,0.0026099855318709444,0.05108801749795097,0.35772889956622617,0.8838328870504697
8,0-52,53-104,1,XGB,0.04110038708684048,0.0026529238725944496,0.05150654203685634,0.3606594952337931,0.8753364857034528
9,0-52,53-104,1,ENet,0.03868019368662265,0.0021991124361662407,0.04689469518150471,0.3283663865689468,0.8237923583648648
10,0-52,53-104,2,SNaive,0.04986995586380833,0.00391878685552891,0.06260021450066214,0.4365928385787557,1.0
11,0-52,53-104,2,SARIMAX,0.09527287219243283,0.011360252401582959,0.10658448480704384,0.7433524492135619,1.9104262384473925
12,0-52,53-104,2,RF,0.04080782594710619,0.0024958639143287577,0.04995862202191687,0.34842654732119355,0.8182847816940075
13,0-52,53-104,2,XGB,0.044263713545674474,0.0029715232907907858,0.05451168031523873,0.3801809536016211,0.8875827696049271
14,0-52,53-104,2,ENet,0.03689007887411073,0.0020280022406881128,0.045033345874897115,0.3140761810969876,0.7397255167992364
15,0-52,53-104,3,SNaive,0.055111128625472884,0.004613522458292849,0.06792291556089777,0.46710349736404927,1.0
16,0-52,53-104,3,SARIMAX,0.04721485973132778,0.003726285924527429,0.06104331187384437,0.4197927051790446,0.8567209728581865
17,0-52,53-104,3,RF,0.039584314606727504,0.0022419224399311726,0.04734894338769528,0.3256170155572237,0.7182635448411278
18,0-52,53-104,3,XGB,0.045731214110000806,0.003123944830662575,0.05589226091922365,0.38436910923745776,0.82979999231704
19,0-52,53-104,3,ENet,0.036609542864085666,0.0020177966845988425,0.04491989185871714,0.30891251376878215,0.664285848923159
20,0-52,53-104,4,SNaive,0.05239202395964692,0.004157764355244662,0.0644807285570244,0.4436120287008407,1.0
21,0-52,53-104,4,SARIMAX,0.04622582586093969,0.003501640626317766,0.05917466202960323,0.40710755691018335,0.8823065491141071
22,0-52,53-104,4,RF,0.04508860054307034,0.0029743541271838145,0.0545376395453985,0.37520594851674993,0.8606004718924052
23,0-52,53-104,4,XGB,0.051712059030664,0.00404375270488226,0.06359050797785987,0.43748752350445214,0.9870215945559453
24,0-52,53-104,4,ENet,0.03658451692778362,0.002003260324482743,0.04475779624247314,0.30792295986146084,0.698284092936771
25,0-52,53-104,5,SNaive,0.050461065573770496,0.0041631344093037434,0.06452235588773664,0.44558968648991837,1.0
26,0-52,53-104,5,SARIMAX,0.050421258571305194,0.0040199458038725705,0.06340304254428623,0.4378597380878507,0.999211134326779
