,date,incidence,gr
0,29/12/2014,82.0,45
1,14/12/2015,95.0,37
2,21/12/2015,130.0,42
3,28/12/2015,198.0,48
4,04/01/2016,246.0,55
5,11/01/2016,316.0,58
6,18/01/2016,360.0,52
7,25/01/2016,348.0,58
8,01/02/2016,336.0,85
9,08/02/2016,400.0,74
10,15/02/2016,340.0,55
11,22/02/2016,476.0,54
12,29/02/2016,412.0,53
13,07/03/2016,368.0,61
14,14/03/2016,340.0,62
15,21/03/2016,264.0,54
16,28/03/2016,312.0,52
17,04/04/2016,396.0,41
18,11/04/2016,424.0,44
19,18/04/2016,352.0,47
20,25/04/2016,372.0,42
21,02/05/2016,372.0,34
22,09/05/2016,364.0,44
23,16/05/2016,333.0,48
24,23/05/2016,166.0,59
25,30/05/2016,87.0,61
26,12/09/2016,102.0,56
27,19/09/2016,218.0,49
28,26/09/2016,306.0,53
29,03/10/2016,452.0,41
30,10/10/2016,400.0,37
31,17/10/2016,484.0,42
32,24/10/2016,401.0,51
33,31/10/2016,476.0,44
34,07/11/2016,420.0,62
35,14/11/2016,444.0,63
36,21/11/2016,396.0,58
37,28/11/2016,428.0,54
38,05/12/2016,420.0,53
39,12/12/2016,348.0,60
40,19/12/2016,396.0,56
41,26/12/2016,336.0,56
42,02/01/2017,432.0,59
43,09/01/2017,340.0,61
44,16/01/2017,468.0,56
45,23/01/2017,412.0,62
46,30/01/2017,488.0,56
47,06/02/2017,308.0,47
48,13/02/2017,296.0,58
49,20/02/2017,512.0,59
50,27/02/2017,436.0,49
51,06/03/2017,504.0,62
52,13/03/2017,324.0,52
53,20/03/2017,200.0,57
54,27/03/2017,246.0,66
55,03/04/2017,240.0,62
56,10/04/2017,231.0,54
57,17/04/2017,472.0,60
58,24/04/2017,472.0,64
59,01/05/2017,408.0,59
60,08/05/2017,392.0,62
61,15/05/2017,432.0,62
62,22/05/2017,496.0,58
63,29/05/2017,252.0,66
64,05/06/2017,378.0,63
65,12/06/2017,234.0,64
66,19/06/2017,264.0,66
67,26/06/2017,342.0,75
68,03/07/2017,342.0,74
69,10/07/2017,324.0,65
70,17/07/2017,550.0,74
71,24/07/2017,595.0,59
72,31/07/2017,615.0,61
73,07/08/2017,630.0,57
74,14/08/2017,532.0,63
75,21/08/2017,492.0,60
76,28/08/2017,376.0,64
77,04/09/2017,516.0,66
78,11/09/2017,452.0,66
79,18/09/2017,496.0,61
80,25/09/2017,536.0,74
81,02/10/2017,476.0,74
82,09/10/2017,516.0,63
83,16/10/2017,393.0,63
84,23/10/2017,372.0,55
85,30/10/2017,405.0,67
86,06/11/2017,240.0,59
87,13/11/2017,260.0,60
88,20/11/2017,134.0,58
89,04/12/2017,124.0,68
90,11/12/2017,234.0,66
91,18/12/2017,345.0,64
92,25/12/2017,340.0,58
93,01/01/2018,396.0,63
94,08/01/2018,400.0,60
95,15/01/2018,484.0,59
96,22/01/2018,468.0,64
97,29/01/2018,540.0,64
98,05/02/2018,432.0,60
99,12/02/2018,456.0,63
100,19/02/2018,488.0,67
101,26/02/2018,472.0,59
102,05/03/2018,536.0,56
103,12/03/2018,516.0,56
104,19/03/2018,484.0,46
105,26/03/2018,420.0,54
106,02/04/2018,460.0,64
107,09/04/2018,436.0,73
108,16/04/2018,309.0,66
109,23/04/2018,396.0,71
110,30/04/2018,348.0,59
111,07/05/2018,321.0,68
112,14/05/2018,560.0,68
113,21/05/2018,528.0,73
114,28/05/2018,460.0,72
115,04/06/2018,624.0,66
116,11/06/2018,484.0,68
117,18/06/2018,436.0,66
118,25/06/2018,496.0,67
