,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.03673597846848411,0.0020697527072161465,0.045494534915923104,0.39874901791047457,1.0
1,0-52,53-104,0,SARIMAX,0.0961001012504761,0.01118561786606261,0.10576208141892164,0.9269800466341783,2.615966832976033
2,0-52,53-104,0,RF,0.03400550081960156,0.0016870436499674254,0.041073636921600036,0.36000087515494283,0.9256729298438306
3,0-52,53-104,0,XGB,0.03448530128295222,0.0017866021681441518,0.04226821699745746,0.3704710916973006,0.9387337079516542
4,0-52,53-104,0,ENet,0.03288720362222215,0.0014520157786833345,0.038105324807477164,0.3339843098126297,0.8952314595468356
5,0-52,53-104,1,SNaive,0.036247612432714016,0.002135655174333078,0.046213149366095774,0.4008532839301072,1.0
6,0-52,53-104,1,SARIMAX,0.03460743688976558,0.0018650485364222454,0.04318620771059026,0.3745975640859106,0.9547507978354968
7,0-52,53-104,1,RF,0.03361367490360154,0.0016524689874268356,0.04065057179704654,0.35260343477991685,0.9273348683585209
8,0-52,53-104,1,XGB,0.033477579394038774,0.0017232192201266617,0.04151167570848787,0.3600726580516715,0.9235802621809307
9,0-52,53-104,1,ENet,0.032234820314061344,0.001405382165172947,0.03748842708320725,0.3251749623604489,0.8892949949158288
10,0-52,53-104,2,SNaive,0.04027391908317416,0.0024915762677085664,0.049915691598019216,0.42865158309486323,1.0
11,0-52,53-104,2,SARIMAX,0.035542118688631434,0.002080737988378703,0.045615107019261754,0.3917202629247768,0.8825095619631514
12,0-52,53-104,2,RF,0.03182433443216022,0.0013869725846423536,0.03724208083126336,0.31981680299309706,0.7901971091126304
13,0-52,53-104,2,XGB,0.032515544709860296,0.0014634780248345596,0.038255431311574044,0.3285189620478731,0.8073598360941437
14,0-52,53-104,2,ENet,0.03192644327009079,0.0013795373217676825,0.03714212328028222,0.31895841635958294,0.7927324679814729
15,0-52,53-104,3,SNaive,0.041011894426115636,0.0026608293349461454,0.05158322726377389,0.4389624023820818,1.0
16,0-52,53-104,3,SARIMAX,0.035206167420738024,0.0018990101948098412,0.04357763411212042,0.37083649036084454,0.8584379705785883
17,0-52,53-104,3,RF,0.028656089483869905,0.001159429341147635,0.034050394140855915,0.28976168431058624,0.6987263057427121
18,0-52,53-104,3,XGB,0.02875854558130119,0.0011855208092193476,0.034431392786516024,0.29300390256009723,0.7012245101993696
19,0-52,53-104,3,ENet,0.028416326768370366,0.001101205622352564,0.03318441836694692,0.28239241281898386,0.692880130654861
20,0-52,53-104,4,SNaive,0.04225994096197256,0.0027658243579487124,0.05259110531210304,0.4459330825322925,1.0
21,0-52,53-104,4,SARIMAX,0.03982286725160836,0.002316300147930079,0.0481279559916072,0.4080889276608682,0.9423313508043659
22,0-52,53-104,4,RF,0.029419968142977777,0.0012453680623711655,0.03528977277301691,0.2992307741232052,0.6961668065142641
23,0-52,53-104,4,XGB,0.03036339172323993,0.001306026329925289,0.036138986288014346,0.30643146705832286,0.7184911060467952
24,0-52,53-104,4,ENet,0.029023426510070782,0.0011758526884511973,0.034290708485699116,0.290759459161338,0.6867834135449313
25,0-52,53-104,5,SNaive,0.04227079354054523,0.0026647949357507753,0.05162165181152939,0.439248821176615,1.0
26,0-52,53-104,5,SARIMAX,0.03680907345780093,0.001956526545403952,0.044232641175990746,0.376375703067734,0.8707921090360999
27,0-52,53-104,5,RF,0.029310429766285583,0.0012092790886303337,0.034774690345570784,0.29589796538944263,0.6933967241038816
28,0-52,53-104,5,XGB,0.027345110763354028,0.0011431579750113068,0.0338106192639429,0.2876946810838263,0.6469031800201525
29,0-52,53-104,5,ENet,0.030022122879037563,0.0012652806296399425,0.03557078337118741,0.3026719238114962,0.7102332453314603
30,0-52,53-104,6,SNaive,0.040404150026046186,0.002386513875425921,0.04885195876754504,0.4180751266533548,1.0
31,0-52,53-104,6,SARIMAX,0.036778592054950494,0.0019552972556308853,0.044218743261550134,0.37842406232862225,0.910267683672135
32,0-52,53-104,6,RF,0.029185118914115078,0.00132043203249702,0.0363377494143077,0.31097850673650684,0.7223297333393016
33,0-52,53-104,6,XGB,0.031026808987448442,0.001529270641192457,0.039105890108683844,0.33466825839830633,0.7679114389845418
34,0-52,53-104,6,ENet,0.02912688752960911,0.0012215248065924956,0.03495031912003803,0.2991048764741139,0.720888510483025
35,0-52,53-104,7,SNaive,0.037663873936447295,0.002150839291390804,0.04637714190623226,0.39850565242764635,1.0
36,0-52,53-104,7,SARIMAX,0.03761828948047387,0.002082582996006627,0.04563532618494829,0.3921314399203502,0.9987897034688905
37,0-52,53-104,7,RF,0.027073045347241167,0.001114695369207509,0.03338705391626384,0.28688550343266805,0.7188067109857917
38,0-52,53-104,7,XGB,0.026569742189642975,0.001103270392578324,0.03321551433559811,0.2854115123736982,0.7054436894748488
39,0-52,53-104,7,ENet,0.02901047826699473,0.0012139904779376342,0.034842366135749654,0.29939058937963503,0.770246797128357
40,0-52,53-104,8,SNaive,0.0355042108004862,0.0018953902925326024,0.04353608035334144,0.3711856199933652,1.0
41,0-52,53-104,8,SARIMAX,0.0385449449581312,0.0021307438325057944,0.04615998085469484,0.39355681479296806,1.0856443246896044
42,0-52,53-104,8,RF,0.03165809159910239,0.0014597664053150267,0.03820688950065193,0.3257493061437032,0.8916714633372125
43,0-52,53-104,8,XGB,0.03210363175573138,0.0014886107014669583,0.03858251808095162,0.32895188952590393,0.9042204018034883
44,0-52,53-104,8,ENet,0.029831997988382417,0.0012649344433530313,0.03556591687772201,0.30323255561238194,0.840238307394623
45,0-104,105-156,0,SNaive,0.04855443653412051,0.003627541757194647,0.060229077339725594,0.3855866117134492,1.0
46,0-104,105-156,0,SARIMAX,0.08688588705943798,0.009930931954953455,0.0996540614072174,0.6379853980620189,1.7894531017444908
47,0-104,105-156,0,RF,0.05425692485748279,0.004180146229942632,0.06465405037538353,0.41391529339188077,1.1174452579499092
48,0-104,105-156,0,XGB,0.06683392787310481,0.0059782008282293735,0.07731882583323012,0.49499519819197907,1.3764741729860013
49,0-104,105-156,0,ENet,0.05006592464643068,0.0033546896082731615,0.05791968239099004,0.37080186300530715,1.0311297632142844
50,0-104,105-156,1,SNaive,0.04982418822712276,0.0036924275606303922,0.0607653483543902,0.39021271578276745,1.0
51,0-104,105-156,1,SARIMAX,0.09714597031285446,0.01188298469259712,0.10900910371430966,0.7000163671789914,1.949775275214041
52,0-104,105-156,1,RF,0.052968000446231296,0.0037429313304869734,0.06117950090093064,0.3928722510987074,1.0630981122015981
53,0-104,105-156,1,XGB,0.05826207381670086,0.0044377906465495245,0.06661674449077742,0.4277882294486162,1.1693531975094933
54,0-104,105-156,1,ENet,0.04794519390685621,0.0031167290875542654,0.05582767313397779,0.3585047817448776,0.9622875075916704
55,0-104,105-156,2,SNaive,0.05109393992012502,0.003737378181642866,0.06113409999045431,0.3964766687443991,1.0
56,0-104,105-156,2,SARIMAX,0.09213603186265426,0.010795636465882781,0.10390205226983142,0.6738422511508548,1.803267315198049
57,0-104,105-156,2,RF,0.050887177914911555,0.003419837119573348,0.0584793734540081,0.3792598104973341,0.9959532968971134
58,0-104,105-156,2,XGB,0.05370833998619424,0.003674466604541516,0.060617378733672705,0.39312554518831205,1.0511684961104253
59,0-104,105-156,2,ENet,0.04742987712387258,0.0030594848080993872,0.05531260984711702,0.35872220733057086,0.928287722536558
60,0-104,105-156,3,SNaive,0.05032340684146553,0.0036988215177578563,0.06081793746714744,0.39770122986110523,1.0
61,0-104,105-156,3,SARIMAX,0.08247129034575475,0.008922904410598403,0.09446112645209352,0.6177010883401962,1.638825658317711
62,0-104,105-156,3,RF,0.05181920294126652,0.0034370267601975027,0.0586261610562853,0.38336874489889666,1.0297236652620363
63,0-104,105-156,3,XGB,0.05536071721346019,0.0037603733486182307,0.06132188311376478,0.4009966359828786,1.1000987549961345
64,0-104,105-156,3,ENet,0.04567230765945275,0.002880718022641712,0.05367232082406827,0.35097454616513707,0.9075758285470379
65,0-104,105-156,4,SNaive,0.05192416218093418,0.0039485670946093985,0.06283762483265419,0.4094410142191484,1.0
66,0-104,105-156,4,SARIMAX,0.10333695951815998,0.012795113091143154,0.11311548563809977,0.7370443947697956,1.9901516977408997
67,0-104,105-156,4,RF,0.05129462636593995,0.003628442561427079,0.06023655502622206,0.3924928137988336,0.9878758599358703
68,0-104,105-156,4,XGB,0.05337273756006222,0.003829205482373997,0.06188057435394404,0.4032050096008075,1.0278979056817588
69,0-104,105-156,4,ENet,0.045812788599062085,0.00292317799078394,0.05406642202683603,0.3522891059110263,0.8823019317947493
70,0-104,105-156,5,SNaive,0.05341096544538981,0.004043759887360524,0.06359056445228745,0.41155322008018075,1.0
71,0-104,105-156,5,SARIMAX,0.09431080134003453,0.010873493034888115,0.1042760424780693,0.6748664904722891,1.765757285111479
72,0-104,105-156,5,RF,0.05245104006383634,0.0037655262112637053,0.06136388360643177,0.3971423136808462,0.9820275598175632
73,0-104,105-156,5,XGB,0.05308698818319155,0.0038811270605506004,0.0622986922860392,0.4031923232312411,0.9939342556440116
74,0-104,105-156,5,ENet,0.046604532019464524,0.003017191427812336,0.05492896711037207,0.35549603128485496,0.8725648681096292
75,0-104,105-156,6,SNaive,0.05419235110262199,0.004327133452811323,0.06578095053137589,0.41901903880011754,1.0
76,0-104,105-156,6,SARIMAX,0.09966740596911904,0.012002234827540915,0.1095547115716203,0.6978541594176061,1.8391415751714235
77,0-104,105-156,6,RF,0.05123059231765484,0.0036879581921061516,0.060728561584366146,0.3868357525581442,0.9453472911821342
78,0-104,105-156,6,XGB,0.04698268266177712,0.0034258764649710374,0.05853098722019848,0.37283739147751327,0.8669615122032223
79,0-104,105-156,6,ENet,0.04905646931662851,0.00325952756754818,0.057092272397831385,0.36367290089010235,0.9052286589989822
80,0-104,105-156,7,SNaive,0.05759463448515367,0.00489168648875036,0.0699405925679098,0.4390357627615968,1.0
81,0-104,105-156,7,SARIMAX,0.1073643220735831,0.01349697760168088,0.11617649332666605,0.729270849587323,1.8641375717256907
82,0-104,105-156,7,RF,0.05060938550030187,0.003417261685299031,0.05845734928389271,0.366952380435657,0.8787170185678944
83,0-104,105-156,7,XGB,0.046391909139272575,0.0031653798979920586,0.05626170898570411,0.3531697603909475,0.8054901216749825
84,0-104,105-156,7,ENet,0.052733472546997,0.003624874073134757,0.06020692711918419,0.37793494737176286,0.9155969652101925
85,0-104,105-156,8,SNaive,0.05838687272095851,0.005090419740502353,0.07134717752302716,0.4468303082771573,1.0
86,0-104,105-156,8,SARIMAX,0.06888224237592964,0.0068676447521480955,0.08287125407611554,0.5190028434438654,1.1797556396817213
87,0-104,105-156,8,RF,0.05294456859377527,0.0038444023646602554,0.06200324479138374,0.38831149242555996,0.9067889086440201
88,0-104,105-156,8,XGB,0.04580659767311053,0.003128345624436043,0.05593161560723991,0.3502863310346982,0.7845358988831034
89,0-104,105-156,8,ENet,0.05478081925598854,0.0038034024048111087,0.0616717310022275,0.38623530085429564,0.9382386263055403
90,0-156,157-208,0,SNaive,0.05033968570932454,0.003883344444773261,0.0623164861394901,0.3407667605612401,1.0
91,0-156,157-208,0,SARIMAX,0.10424111877569893,0.013477837448292309,0.11609408877411592,0.6348401362572113,2.070754262901369
92,0-156,157-208,0,RF,0.060718946601755135,0.005072732642006333,0.07122311873265824,0.3894711167325635,1.2061844595606608
93,0-156,157-208,0,XGB,0.059022590686182395,0.005034756430243874,0.07095601757598768,0.38801052096506394,1.172486277069654
94,0-156,157-208,0,ENet,0.059242428977979204,0.005094810583340659,0.07137794185419372,0.39031773978296347,1.1768533740965648
95,0-156,157-208,1,SNaive,0.05326988192394512,0.0041509903455656996,0.06442817974741875,0.3472041520979122,1.0
96,0-156,157-208,1,SARIMAX,0.13475559452813685,0.020972610980210162,0.14481923553247394,0.7804324144752041,2.5296769893451447
97,0-156,157-208,1,RF,0.06079245933508111,0.005103025492306714,0.07143546382789653,0.38496648120932814,1.1412163334973444
98,0-156,157-208,1,XGB,0.06074839628544619,0.00501812919654668,0.07083875490539539,0.3817508104221277,1.140389167225457
99,0-156,157-208,1,ENet,0.06059868974264453,0.0051920372074103485,0.07205579232379829,0.3883094381310681,1.1375788260458874
100,0-156,157-208,2,SNaive,0.05456133877409272,0.004395412218171028,0.0662979050813148,0.34965252930845503,1.0
101,0-156,157-208,2,SARIMAX,0.17179591843874872,0.032446872902980366,0.1801301554514967,0.9499993156811213,3.1486749097205498
102,0-156,157-208,2,RF,0.06547204639045637,0.005922137407801994,0.07695542481074348,0.4058598668552298,1.199971405788605
103,0-156,157-208,2,XGB,0.06567811747690439,0.0059212682555658275,0.076949777488735,0.40583008310230934,1.2037482758412488
104,0-156,157-208,2,ENet,0.06143103598723673,0.005474440273720981,0.07398946055838616,0.39021748869255274,1.1259077831940212
105,0-156,157-208,3,SNaive,0.0527923684667477,0.004294731891333498,0.06553420398031472,0.33942742989585,1.0
106,0-156,157-208,3,SARIMAX,0.14841184814507907,0.024409234038100826,0.15623454815789248,0.8092002026621424,2.8112367839408297
107,0-156,157-208,3,RF,0.06301372335002772,0.005667072705258112,0.0752799621762532,0.3899045465146384,1.1936142510771826
108,0-156,157-208,3,XGB,0.06231385338284951,0.005548606579177832,0.07448896951346443,0.38580768426118806,1.1803572219363316
109,0-156,157-208,3,ENet,0.06219068833504268,0.005484007270120729,0.07405408341287284,0.38355523802005315,1.1780242133711938
110,0-156,157-208,4,SNaive,0.054691569716964754,0.004735057505927516,0.06881175412622118,0.3520301069986689,1.0
111,0-156,157-208,4,SARIMAX,0.13019088623533293,0.019716296060368604,0.14041472878714897,0.7183396590713187,2.380456200271558
112,0-156,157-208,4,RF,0.06497218622804332,0.005624825668631776,0.0749988377818735,0.3836822534809956,1.187974427581471
113,0-156,157-208,4,XGB,0.06465180441775986,0.0055544432484141695,0.07452813729333485,0.3812742238434915,1.182116453273155
114,0-156,157-208,4,ENet,0.0648992675714159,0.005973906442099591,0.07729105020699091,0.3954088515822098,1.1866411570791837
115,0-156,157-208,5,SNaive,0.054604749088383406,0.0048495607841411836,0.06963878792843241,0.35277475878267556,1.0
116,0-156,157-208,5,SARIMAX,0.09585648746332597,0.012370220863850895,0.11122149461255632,0.563423590509876,1.7554606341688774
117,0-156,157-208,5,RF,0.06828459362923686,0.006366450697642783,0.07979004134378415,0.40419877234567453,1.250524812754129
118,0-156,157-208,5,XGB,0.06740598869918328,0.006285922606347714,0.07928381049336436,0.40163431837601726,1.234434546894076
119,0-156,157-208,5,ENet,0.0673983053270181,0.006433822959293272,0.0802111149361064,0.40633183840526615,1.234293838030956
