,date,incidence,gr
0,29/12/2014,68.0,92
1,14/12/2015,96.0,72
2,21/12/2015,172.0,51
3,28/12/2015,207.0,65
4,04/01/2016,204.0,76
5,11/01/2016,428.0,56
6,18/01/2016,388.0,50
7,25/01/2016,388.0,75
8,01/02/2016,332.0,51
9,08/02/2016,324.0,70
10,15/02/2016,340.0,47
11,22/02/2016,284.0,47
12,29/02/2016,404.0,63
13,07/03/2016,404.0,45
14,14/03/2016,388.0,58
15,21/03/2016,264.0,67
16,28/03/2016,300.0,61
17,04/04/2016,328.0,67
18,11/04/2016,316.0,56
19,18/04/2016,464.0,69
20,25/04/2016,316.0,55
21,02/05/2016,316.0,47
22,09/05/2016,224.0,61
23,16/05/2016,234.0,52
24,23/05/2016,126.0,57
25,30/05/2016,56.0,58
26,12/09/2016,101.0,58
27,19/09/2016,204.0,51
28,26/09/2016,324.0,68
29,03/10/2016,468.0,72
30,10/10/2016,460.0,61
31,17/10/2016,356.0,75
32,24/10/2016,336.0,50
33,31/10/2016,344.0,47
34,07/11/2016,528.0,87
35,14/11/2016,400.0,49
36,21/11/2016,488.0,65
37,28/11/2016,432.0,58
38,05/12/2016,384.0,66
39,12/12/2016,320.0,65
40,19/12/2016,384.0,49
41,26/12/2016,248.0,63
42,02/01/2017,384.0,65
43,09/01/2017,324.0,49
44,16/01/2017,500.0,71
45,23/01/2017,408.0,57
46,30/01/2017,440.0,51
47,06/02/2017,376.0,61
48,13/02/2017,380.0,48
49,20/02/2017,356.0,61
50,27/02/2017,424.0,49
51,06/03/2017,396.0,47
52,13/03/2017,231.0,70
53,20/03/2017,186.0,71
54,27/03/2017,196.0,60
55,03/04/2017,178.0,64
56,10/04/2017,243.0,82
57,17/04/2017,324.0,80
58,24/04/2017,388.0,80
59,01/05/2017,308.0,92
60,08/05/2017,340.0,52
61,15/05/2017,336.0,100
62,22/05/2017,296.0,65
63,29/05/2017,260.0,58
64,05/06/2017,252.0,87
65,12/06/2017,162.0,88
66,19/06/2017,216.0,71
67,26/06/2017,246.0,73
68,03/07/2017,252.0,85
69,10/07/2017,208.0,54
70,17/07/2017,370.0,55
71,24/07/2017,340.0,69
72,31/07/2017,400.0,80
73,07/08/2017,365.0,67
74,14/08/2017,384.0,70
75,21/08/2017,352.0,37
76,28/08/2017,340.0,68
77,04/09/2017,376.0,42
78,11/09/2017,360.0,66
79,18/09/2017,400.0,63
80,25/09/2017,388.0,55
81,02/10/2017,436.0,71
82,09/10/2017,500.0,60
83,16/10/2017,336.0,61
84,23/10/2017,288.0,65
85,30/10/2017,372.0,53
86,06/11/2017,228.0,71
87,13/11/2017,226.0,67
88,20/11/2017,129.0,64
89,04/12/2017,121.0,59
90,11/12/2017,198.0,69
91,18/12/2017,360.0,47
92,25/12/2017,280.0,81
93,01/01/2018,248.0,90
94,08/01/2018,360.0,57
95,15/01/2018,468.0,70
96,22/01/2018,464.0,52
97,29/01/2018,464.0,51
98,05/02/2018,512.0,57
99,12/02/2018,408.0,54
100,19/02/2018,448.0,69
101,26/02/2018,396.0,46
102,05/03/2018,452.0,53
103,12/03/2018,348.0,70
104,19/03/2018,452.0,71
105,26/03/2018,380.0,55
106,02/04/2018,368.0,44
107,09/04/2018,332.0,69
108,16/04/2018,246.0,76
109,23/04/2018,306.0,77
110,30/04/2018,381.0,60
111,07/05/2018,189.0,75
112,14/05/2018,416.0,66
113,21/05/2018,336.0,59
114,28/05/2018,292.0,69
