,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.02850468302835834,0.0014870687168758458,0.03856252995948069,0.41949484241770923,1.0
1,0-52,53-104,0,SARIMAX,0.03320160228913176,0.00152777880014762,0.039086811076725354,0.4251981306846416,1.1647771089438397
2,0-52,53-104,0,RF,0.028655460246567923,0.001162115342036617,0.034089812877700236,0.3708392757478881,1.005289559545692
3,0-52,53-104,0,XGB,0.035049075004323645,0.001957582669104658,0.04424457784977339,0.4813058747035254,1.2295900631294343
4,0-52,53-104,0,ENet,0.023027957450220318,0.0007588114592490283,0.02754653261753697,0.29965949774794226,0.8078657611210966
5,0-52,53-104,1,SNaive,0.03036922209695603,0.00153894532086781,0.039229393582718174,0.4219229449945886,1.0
6,0-52,53-104,1,SARIMAX,0.030109904188723204,0.0015527864141208125,0.03940541097515432,0.4238160605848241,0.9914611606644077
7,0-52,53-104,1,RF,0.02893993174087593,0.0012323097509558067,0.03510426969694437,0.3775561001520024,0.9529362210359889
8,0-52,53-104,1,XGB,0.035113402535132045,0.0017546380859745322,0.041888400374978894,0.4505212962330714,1.1562167257043945
9,0-52,53-104,1,ENet,0.022422943566399352,0.0007319421429769513,0.027054429267255875,0.2909778466883316,0.7383443505669133
10,0-52,53-104,2,SNaive,0.032244601508975804,0.001689906574571737,0.04110847326977416,0.43774378877872877,1.0
11,0-52,53-104,2,SARIMAX,0.03093776027500104,0.0016143729776564885,0.04017926054143466,0.42784906226783626,0.9594710068409131
12,0-52,53-104,2,RF,0.032104543865254125,0.0016109909578832524,0.04013715184069807,0.4274006675517391,0.9956564002292696
13,0-52,53-104,2,XGB,0.03798648368537506,0.0023043523699579887,0.048003670380065616,0.5111673306268375,1.178072666669517
14,0-52,53-104,2,ENet,0.021780908887118082,0.0007060644055479789,0.026571872450920332,0.2829507202877178,0.6754900934674294
15,0-52,53-104,3,SNaive,0.03543166247506721,0.0018402109303512703,0.042897679778179966,0.452771757915051,1.0
16,0-52,53-104,3,SARIMAX,0.030706094112098688,0.00161147351018628,0.04014316268290629,0.42369868091221274,0.866628658299795
17,0-52,53-104,3,RF,0.027448408881610695,0.0010784647884631588,0.03283998764407744,0.3466159245069629,0.7746858872604631
18,0-52,53-104,3,XGB,0.031351913093800775,0.0014731007930216403,0.0383809952062429,0.4050995475727111,0.8848558296089747
19,0-52,53-104,3,ENet,0.020939861865389937,0.0006698544224909244,0.025881545983401463,0.27317172241153526,0.590992925610675
20,0-52,53-104,4,SNaive,0.03477582169803139,0.0018692106822088433,0.043234369224135136,0.456247107726136,1.0
21,0-52,53-104,4,SARIMAX,0.030853328256602787,0.0016349026971193695,0.04043393002317941,0.4266944090577423,0.8872063045558274
22,0-52,53-104,4,RF,0.025790996419026293,0.001018979561429568,0.03192145926221995,0.33686332712020434,0.7416358596204295
23,0-52,53-104,4,XGB,0.026723148103041924,0.0010905967473345195,0.03302418427962331,0.34850025183626276,0.7684404508134077
24,0-52,53-104,4,ENet,0.02087839916353456,0.0006686252347380353,0.025857788666822135,0.2728741393281483,0.6003711240766011
25,0-52,53-104,5,SNaive,0.036694562483739486,0.0019316679257923128,0.043950744314429,0.4642849426301112,1.0
26,0-52,53-104,5,SARIMAX,0.03152838658700792,0.0016243284472751177,0.040302958294337624,0.4257506208687154,0.8592114049862057
27,0-52,53-104,5,RF,0.02935956612948933,0.0012686028404935016,0.03561745134752768,0.37625406835462166,0.8001067226922102
28,0-52,53-104,5,XGB,0.03102886163910741,0.0014735044197960096,0.03838625300541861,0.405503013712437,0.845598354057424
29,0-52,53-104,5,ENet,0.022482243691808526,0.0007806072914667455,0.0279393502334386,0.29514448100019974,0.6126859722546389
30,0-52,53-104,6,SNaive,0.03398989679993063,0.0017116941982873088,0.041372626195194676,0.4372255723741916,1.0
31,0-52,53-104,6,SARIMAX,0.03010139424261562,0.0015977541531778953,0.0399719170565773,0.4224228897508469,0.8855982829190895
32,0-52,53-104,6,RF,0.026509452282810535,0.0010564058797159165,0.032502398061003385,0.3434850746169596,0.7799215290016602
33,0-52,53-104,6,XGB,0.029988784107488085,0.0015352832120985613,0.03918269021007314,0.414082346946824,0.8822852356394707
34,0-52,53-104,6,ENet,0.021745846522136455,0.0007414175172383022,0.02722898303716652,0.2877556681421168,0.6397738319164545
35,0-52,53-104,7,SNaive,0.03219581996357645,0.0016691409618129532,0.04085512161055151,0.4347197944898963,1.0
36,0-52,53-104,7,SARIMAX,0.03332503307665392,0.0017394120642480137,0.0417062592933964,0.44377634319132947,1.0350732832508993
37,0-52,53-104,7,RF,0.029629039224586005,0.0011936490588197604,0.034549226602338876,0.367621783910555,0.9202759630941446
38,0-52,53-104,7,XGB,0.034499480278811834,0.0016371025376481748,0.04046112378133082,0.43052745216912225,1.0715515342625703
39,0-52,53-104,7,ENet,0.021583021485969738,0.0006990540494386747,0.026439630281807548,0.28133145097597123,0.6703671939520998
40,0-52,53-104,8,SNaive,0.029474893764634465,0.0014198222291226723,0.037680528514375596,0.39919074296802987,1.0
41,0-52,53-104,8,SARIMAX,0.030522855618394653,0.0016096068734641627,0.040119906199593276,0.4250337188745427,1.0355543895129349
42,0-52,53-104,8,RF,0.025888077302254307,0.0009949938590180253,0.03154352324991654,0.33417478412383594,0.8783094354462505
43,0-52,53-104,8,XGB,0.029635916024335993,0.0013666880436463205,0.036968744144835655,0.39165003845797297,1.0054630310455854
44,0-52,53-104,8,ENet,0.02205733764438111,0.0007099985245631556,0.026645797502855034,0.28228785851775723,0.7483432449499333
45,0-104,105-156,0,SNaive,0.03362132512357992,0.0019543675682540777,0.04420822964397102,0.36967962364112217,1.0
46,0-104,105-156,0,SARIMAX,0.06484224708865965,0.006069678402509624,0.07790814079741362,0.6514862142301422,1.9286047426840804
47,0-104,105-156,0,RF,0.03785013371477576,0.002354069811762924,0.048518757318823866,0.4057252708287055,1.125777570504799
48,0-104,105-156,0,XGB,0.041597849437350704,0.0028247402922670635,0.05314828588267982,0.4444384785482889,1.2372459825557722
49,0-104,105-156,0,ENet,0.0335308318079271,0.0018005194983181198,0.04243252877590634,0.3548307949526183,0.9973084548178812
50,0-104,105-156,1,SNaive,0.036580738877807654,0.0021380240065576863,0.046238771680892285,0.38831391597423204,1.0
51,0-104,105-156,1,SARIMAX,0.0704641540324761,0.007047559587754428,0.08394974441744553,0.7050112452110261,1.9262638261039724
