,date,incidence,gr
0,29/12/2014,95.0,81
1,14/12/2015,116.0,67
2,21/12/2015,162.0,70
3,28/12/2015,207.0,62
4,04/01/2016,285.0,70
5,11/01/2016,388.0,61
6,18/01/2016,460.0,74
7,25/01/2016,512.0,82
8,01/02/2016,588.0,65
9,08/02/2016,436.0,64
10,15/02/2016,488.0,57
11,22/02/2016,492.0,44
12,29/02/2016,624.0,58
13,07/03/2016,604.0,52
14,14/03/2016,544.0,63
15,21/03/2016,436.0,49
16,28/03/2016,408.0,68
17,04/04/2016,492.0,60
18,11/04/2016,444.0,55
19,18/04/2016,496.0,65
20,25/04/2016,516.0,57
21,02/05/2016,432.0,54
22,09/05/2016,524.0,66
23,16/05/2016,396.0,49
24,23/05/2016,322.0,60
25,30/05/2016,114.0,65
26,12/09/2016,143.0,58
27,19/09/2016,278.0,66
28,26/09/2016,492.0,59
29,03/10/2016,604.0,64
30,10/10/2016,576.0,55
31,17/10/2016,588.0,62
32,24/10/2016,615.0,64
33,31/10/2016,704.0,59
34,07/11/2016,652.0,58
35,14/11/2016,660.0,62
36,21/11/2016,688.0,74
37,28/11/2016,664.0,55
38,05/12/2016,600.0,60
39,12/12/2016,572.0,64
40,19/12/2016,544.0,71
41,26/12/2016,420.0,57
42,02/01/2017,440.0,64
43,09/01/2017,532.0,46
44,16/01/2017,528.0,60
45,23/01/2017,508.0,67
46,30/01/2017,692.0,59
47,06/02/2017,608.0,62
48,13/02/2017,448.0,74
49,20/02/2017,608.0,76
50,27/02/2017,624.0,79
51,06/03/2017,552.0,61
52,13/03/2017,474.0,65
53,20/03/2017,234.0,72
54,27/03/2017,340.0,71
55,03/04/2017,312.0,71
56,10/04/2017,252.0,66
57,17/04/2017,444.0,72
58,24/04/2017,624.0,77
59,01/05/2017,496.0,71
60,08/05/2017,528.0,69
61,15/05/2017,544.0,62
62,22/05/2017,548.0,75
63,29/05/2017,428.0,74
64,05/06/2017,473.0,68
65,12/06/2017,309.0,63
66,19/06/2017,285.0,69
67,26/06/2017,369.0,58
68,03/07/2017,417.0,67
69,10/07/2017,344.0,63
70,17/07/2017,655.0,78
71,24/07/2017,620.0,68
72,31/07/2017,675.0,79
73,07/08/2017,625.0,52
74,14/08/2017,592.0,66
75,21/08/2017,500.0,77
76,28/08/2017,408.0,81
77,04/09/2017,560.0,70
78,11/09/2017,536.0,62
79,18/09/2017,544.0,86
80,25/09/2017,608.0,57
81,02/10/2017,536.0,67
82,09/10/2017,600.0,81
83,16/10/2017,408.0,67
84,23/10/2017,438.0,69
85,30/10/2017,411.0,78
86,06/11/2017,274.0,81
87,13/11/2017,342.0,75
88,20/11/2017,139.0,81
89,04/12/2017,154.0,78
90,11/12/2017,328.0,71
91,18/12/2017,435.0,78
92,25/12/2017,436.0,88
93,01/01/2018,492.0,91
94,08/01/2018,672.0,85
95,15/01/2018,716.0,78
96,22/01/2018,644.0,84
97,29/01/2018,648.0,68
98,05/02/2018,600.0,63
99,12/02/2018,496.0,69
100,19/02/2018,624.0,71
101,26/02/2018,616.0,71
102,05/03/2018,592.0,70
103,12/03/2018,696.0,72
104,19/03/2018,660.0,67
105,26/03/2018,456.0,72
106,02/04/2018,596.0,67
107,09/04/2018,584.0,67
108,16/04/2018,420.0,79
109,23/04/2018,471.0,76
110,30/04/2018,492.0,64
111,07/05/2018,327.0,70
112,14/05/2018,656.0,88
113,21/05/2018,648.0,73
114,28/05/2018,604.0,74
115,04/06/2018,644.0,68
116,11/06/2018,588.0,76
117,18/06/2018,536.0,71
118,25/06/2018,600.0,65
119,02/07/2018,644.0,58
120,09/07/2018,644.0,86
121,16/07/2018,632.0,67
122,23/07/2018,560.0,73
123,30/07/2018,668.0,73
124,06/08/2018,460.0,70
125,13/08/2018,616.0,70
126,20/08/2018,476.0,76
127,27/08/2018,544.0,70
128,03/09/2018,640.0,73
129,10/09/2018,632.0,74
130,17/09/2018,772.0,69
131,24/09/2018,744.0,72
132,01/10/2018,712.0,76
133,08/10/2018,507.0,85
134,15/10/2018,537.0,83
135,22/10/2018,375.0,77
136,29/10/2018,477.0,84
137,05/11/2018,724.0,95
138,12/11/2018,688.0,78
139,19/11/2018,732.0,74
140,26/11/2018,704.0,87
141,03/12/2018,796.0,82
142,10/12/2018,944.0,87
143,17/12/2018,696.0,81
144,24/12/2018,548.0,74
145,31/12/2018,596.0,97
146,07/01/2019,744.0,93
