,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.03510476096793233,0.0019184756612273769,0.04380040708974492,0.42361749408904437,1.0
1,0-52,53-104,0,SARIMAX,0.08860151096478383,0.009294143206087981,0.09640613676570585,0.9323960388727939,2.5239172272308013
2,0-52,53-104,0,RF,0.03081857940593555,0.0013560064048707412,0.03682399224514829,0.3561448021540516,0.8779031264188882
3,0-52,53-104,0,XGB,0.03193189554623452,0.0015779755482724725,0.03972374036105453,0.3841898389920136,0.9096172332694081
4,0-52,53-104,0,ENet,0.02619882590507018,0.0009521625260485445,0.030857130878429777,0.29843604948043007,0.7463040676733966
5,0-52,53-104,1,SNaive,0.035686766345334124,0.0020934955233322923,0.04575473225068957,0.4386585953653284,1.0
6,0-52,53-104,1,SARIMAX,0.03434995017811842,0.0019547301922917108,0.044212330771988384,0.42387132347333145,0.9625402830203335
7,0-52,53-104,1,RF,0.02875587206733308,0.0011831384441051067,0.03439677956008537,0.32976792267624927,0.8057853095757658
8,0-52,53-104,1,XGB,0.029500365277051268,0.001380444355062708,0.037154331578736655,0.35620505465466157,0.8266471944132394
9,0-52,53-104,1,ENet,0.0252244347603369,0.0008980016736908534,0.029966676053423968,0.2872957479751107,0.706828814811765
10,0-52,53-104,2,SNaive,0.0377032920191488,0.0021680727586178557,0.046562568213296136,0.44195765971417406,1.0
11,0-52,53-104,2,SARIMAX,0.03560582499496071,0.00196714541470327,0.04435251305961445,0.42098049197965265,0.9443691276845846
12,0-52,53-104,2,RF,0.02951277972169917,0.0012912519258927615,0.03593399401531594,0.3410744834013944,0.7827640012630774
13,0-52,53-104,2,XGB,0.029825161021678943,0.0013353054548805655,0.03654183157534068,0.3468438916583513,0.7910492539094809
14,0-52,53-104,2,ENet,0.024972949045839073,0.0008878328401560523,0.029796523960959814,0.28281949434315573,0.6623546037612784
15,0-52,53-104,3,SNaive,0.039711620434126835,0.002299571325991385,0.047953845789377364,0.4503973172835757,1.0
16,0-52,53-104,3,SARIMAX,0.03583393821138044,0.0019649948839338795,0.044328262812046666,0.4163447231756705,0.9023539664119561
17,0-52,53-104,3,RF,0.030910620342525723,0.0012643147637570755,0.03555720410489378,0.33396423321894,0.7783772106152126
18,0-52,53-104,3,XGB,0.02835744095394442,0.0010981822586808151,0.033138833091719076,0.3112501464006616,0.714084206183009
19,0-52,53-104,3,ENet,0.02454545426424498,0.0008666530523476801,0.029438971659140542,0.27649990612017344,0.6180924876878466
20,0-52,53-104,4,SNaive,0.03945750541019082,0.0022602919205301124,0.04754252749413006,0.4436647935791864,1.0
21,0-52,53-104,4,SARIMAX,0.03698165027032301,0.0020566250796645188,0.045350028441716754,0.4232044880215652,0.9372526186303617
22,0-52,53-104,4,RF,0.028507167396873288,0.0011650068097011862,0.03413219608670363,0.3185201656155402,0.7224776908859182
23,0-52,53-104,4,XGB,0.029313873937351666,0.0013125998745248195,0.036229820238648985,0.3380951027388233,0.7429226362034705
24,0-52,53-104,4,ENet,0.023822084838226322,0.000820752247663377,0.02864877392949613,0.26734910913804494,0.603740266663531
25,0-52,53-104,5,SNaive,0.03487113909108794,0.002015921187122972,0.044899010981568094,0.4185633614292721,1.0
26,0-52,53-104,5,SARIMAX,0.03663423857848961,0.0020292140729433195,0.04504679869805755,0.4199410871751059,1.050560421407406
27,0-52,53-104,5,RF,0.02692694443533637,0.0011283059061630203,0.03359026505050266,0.31313950894397985,0.7721842514234966
28,0-52,53-104,5,XGB,0.02697327689567143,0.0011478202445329255,0.03387949593091558,0.31583581442795766,0.7735129278459684
29,0-52,53-104,5,ENet,0.02359403091078042,0.0008159287978927504,0.028564467400824235,0.26628736872698683,0.6766062573737482
30,0-52,53-104,6,SNaive,0.03277264082890681,0.0017024406782617416,0.04126064321192462,0.3865951141865675,1.0
31,0-52,53-104,6,SARIMAX,0.0374292792560325,0.0021814940334400033,0.0467064667197167,0.43762022181810134,1.1420892033521552
32,0-52,53-104,6,RF,0.028848077794848877,0.001296194783820374,0.03600270522919596,0.33733041600000563,0.880248800987795
33,0-52,53-104,6,XGB,0.029554934345436896,0.0013634270027736701,0.03692461242550381,0.34596830407158685,0.9018172963152922
34,0-52,53-104,6,ENet,0.022967636603451882,0.0007984929684670758,0.02825761788380393,0.2647621598218901,0.700817389826989
35,0-52,53-104,7,SNaive,0.032022591645353794,0.0016253118452500654,0.04031515652022283,0.3802038246851705,1.0
36,0-52,53-104,7,SARIMAX,0.03745667873995823,0.0020473341780251793,0.04524747703491521,0.4267195097555855,1.169695418621524
37,0-52,53-104,7,RF,0.026204526747525485,0.001073395513462022,0.03276271529440168,0.30897832818172083,0.8183137404285495
38,0-52,53-104,7,XGB,0.03089288107894961,0.0014958479462011333,0.03867619353298788,0.3647471069132432,0.9647214510644364
39,0-52,53-104,7,ENet,0.023654737025749915,0.0008237733389431892,0.028701451861241956,0.27067740059963885,0.7386890257891421
40,0-52,53-104,8,SNaive,0.02815348547445734,0.0012881043602037386,0.035890170802097596,0.33680631689599516,1.0
41,0-52,53-104,8,SARIMAX,0.03764828827285189,0.002027494769707514,0.04502771113111918,0.42255629341955386,1.3372514144654966
42,0-52,53-104,8,RF,0.026655107035381972,0.0010023306312034528,0.03165960567037203,0.2971051667325685,0.9467782260766684
43,0-52,53-104,8,XGB,0.0290723721222476,0.001196113865007635,0.03458487913825398,0.32455698879448275,1.0326384684633074
44,0-52,53-104,8,ENet,0.024176886947118094,0.000844780936044827,0.02906511544867536,0.2727575340447559,0.858752887597272
45,0-104,105-156,0,SNaive,0.04364220604629813,0.0028899233368313896,0.05375800718805888,0.3840392828088706,1.0
46,0-104,105-156,0,SARIMAX,0.060302126579872765,0.00568836901753147,0.07542127695505738,0.5387984902234861,1.3817387351111639
47,0-104,105-156,0,RF,0.04255983605488697,0.0025290844643197337,0.050290003622188516,0.35926437629947716,0.9751990082659222
48,0-104,105-156,0,XGB,0.0425339160095325,0.0024973935067419692,0.04997392827006868,0.357006380553522,0.9746050867458466
49,0-104,105-156,0,ENet,0.04064640912150581,0.0025249705914761156,0.050249085479002656,0.3589720631133132,0.9313555111853372
