,date,incidence,gr
0,29/12/2014,5.0,100
1,14/12/2015,6.0,69
2,21/12/2015,12.0,65
3,28/12/2015,12.0,66
4,04/01/2016,15.0,61
5,11/01/2016,40.0,62
6,18/01/2016,32.0,61
7,25/01/2016,28.0,62
8,01/02/2016,44.0,63
9,08/02/2016,48.0,64
10,15/02/2016,24.0,49
11,22/02/2016,40.0,47
12,29/02/2016,52.0,55
13,07/03/2016,20.0,57
14,14/03/2016,16.0,60
15,21/03/2016,20.0,61
16,28/03/2016,40.0,63
17,04/04/2016,24.0,67
18,11/04/2016,28.0,65
19,18/04/2016,36.0,62
20,25/04/2016,32.0,67
21,02/05/2016,12.0,64
22,09/05/2016,16.0,66
23,16/05/2016,30.0,69
24,23/05/2016,18.0,63
25,30/05/2016,2.0,66
26,12/09/2016,9.0,66
27,19/09/2016,24.0,62
28,26/09/2016,12.0,67
29,03/10/2016,28.0,65
30,10/10/2016,24.0,67
31,17/10/2016,24.0,59
32,24/10/2016,20.0,64
33,31/10/2016,20.0,66
34,07/11/2016,20.0,73
35,14/11/2016,32.0,80
36,21/11/2016,52.0,76
37,28/11/2016,32.0,82
38,05/12/2016,24.0,76
39,12/12/2016,32.0,70
40,19/12/2016,24.0,67
41,26/12/2016,4.0,66
42,02/01/2017,16.0,65
43,09/01/2017,36.0,71
44,16/01/2017,32.0,74
45,23/01/2017,32.0,67
46,30/01/2017,32.0,64
47,06/02/2017,40.0,65
48,13/02/2017,16.0,66
49,20/02/2017,24.0,58
50,27/02/2017,32.0,52
51,06/03/2017,40.0,64
52,13/03/2017,21.0,65
53,20/03/2017,12.0,70
54,27/03/2017,12.0,62
55,03/04/2017,18.0,68
56,10/04/2017,30.0,63
57,17/04/2017,28.0,70
58,24/04/2017,24.0,77
59,01/05/2017,28.0,76
60,08/05/2017,60.0,74
61,15/05/2017,24.0,72
62,22/05/2017,40.0,72
63,29/05/2017,28.0,66
64,05/06/2017,34.0,66
65,12/06/2017,12.0,61
66,19/06/2017,15.0,67
67,26/06/2017,9.0,62
68,03/07/2017,15.0,59
69,10/07/2017,12.0,64
70,17/07/2017,40.0,66
71,24/07/2017,45.0,62
72,31/07/2017,35.0,58
73,07/08/2017,35.0,59
74,14/08/2017,28.0,62
75,21/08/2017,32.0,71
76,28/08/2017,12.0,66
77,04/09/2017,12.0,60
78,11/09/2017,48.0,59
79,18/09/2017,44.0,59
80,25/09/2017,32.0,57
81,02/10/2017,60.0,62
82,09/10/2017,36.0,63
83,16/10/2017,18.0,62
84,23/10/2017,24.0,58
85,30/10/2017,12.0,63
86,06/11/2017,18.0,63
87,13/11/2017,36.0,59
88,20/11/2017,12.0,59
89,04/12/2017,14.0,60
90,11/12/2017,10.0,66
91,18/12/2017,30.0,63
92,25/12/2017,28.0,62
93,01/01/2018,32.0,60
94,08/01/2018,24.0,63
95,15/01/2018,44.0,65
96,22/01/2018,32.0,63
97,29/01/2018,32.0,63
98,05/02/2018,12.0,67
99,12/02/2018,16.0,72
100,19/02/2018,32.0,64
101,26/02/2018,32.0,57
102,05/03/2018,52.0,56
103,12/03/2018,20.0,59
104,19/03/2018,44.0,70
105,26/03/2018,32.0,73
106,02/04/2018,28.0,66
107,09/04/2018,36.0,74
108,16/04/2018,27.0,66
109,23/04/2018,30.0,76
110,30/04/2018,30.0,72
111,07/05/2018,27.0,69
112,14/05/2018,52.0,73
113,21/05/2018,32.0,70
114,28/05/2018,28.0,70
115,04/06/2018,44.0,70
116,11/06/2018,24.0,74
117,18/06/2018,28.0,73
118,25/06/2018,24.0,67
119,02/07/2018,40.0,76
120,09/07/2018,32.0,73
121,16/07/2018,28.0,75
122,23/07/2018,20.0,68
123,30/07/2018,20.0,76
124,06/08/2018,20.0,79
125,13/08/2018,32.0,72
126,20/08/2018,36.0,66
127,27/08/2018,48.0,69
128,03/09/2018,32.0,68
129,10/09/2018,28.0,69
130,17/09/2018,44.0,71
131,24/09/2018,36.0,66
132,01/10/2018,68.0,64
133,08/10/2018,15.0,71
134,15/10/2018,24.0,69
135,22/10/2018,27.0,69
136,29/10/2018,42.0,63
137,05/11/2018,40.0,67
138,12/11/2018,60.0,69
139,19/11/2018,48.0,66
140,26/11/2018,52.0,72
141,03/12/2018,56.0,68
142,10/12/2018,32.0,76
143,17/12/2018,44.0,71
144,24/12/2018,24.0,75
145,31/12/2018,32.0,69
146,07/01/2019,72.0,68
147,14/01/2019,56.0,72
148,21/01/2019,44.0,61
149,28/01/2019,56.0,72
150,04/02/2019,48.0,72
151,11/02/2019,32.0,70
152,18/02/2019,48.0,63
153,25/02/2019,56.0,62
154,04/03/2019,44.0,61
155,11/03/2019,48.0,63
156,18/03/2019,42.0,69
157,25/03/2019,30.0,70
158,01/04/2019,18.0,72
159,22/07/2019,13.0,71
160,29/07/2019,28.0,73
161,05/08/2019,33.0,69
162,12/08/2019,56.0,64
163,19/08/2019,44.0,71
164,26/08/2019,24.0,68
165,02/09/2019,72.0,71
166,09/09/2019,40.0,69
167,16/09/2019,42.0,69
168,23/09/2019,36.0,70
169,30/09/2019,36.0,72
170,07/10/2019,32.0,64
171,14/10/2019,72.0,71
172,21/10/2019,32.0,73
173,28/10/2019,40.0,65
174,04/11/2019,15.0,71
175,11/11/2019,27.0,65
