,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.0532237472071497,0.004425186046542428,0.06652207187499821,0.5813490967485897,1.0
1,0-52,53-104,0,SARIMAX,0.05130495703231223,0.004146719034963234,0.06439502337109006,0.5627604134494425,0.9639486079894104
2,0-52,53-104,0,RF,0.04713359801793414,0.0033356987442843622,0.05775550834582241,0.5047364230054717,0.8855745882470023
3,0-52,53-104,0,XGB,0.047161442800485925,0.003320425499357721,0.057623133369834385,0.5035795727969069,0.8860977528870908
4,0-52,53-104,0,ENet,0.0452215912170504,0.0029967853317223823,0.054742902112715784,0.47840868150387317,0.8496506463749258
5,0-52,53-104,1,SNaive,0.060086179380785185,0.005994612298739294,0.07742488165143872,0.6673236704648073,1.0
6,0-52,53-104,1,SARIMAX,0.04901197526939874,0.003713118250946598,0.060935361252286,0.52520078900526,0.8156946534875233
7,0-52,53-104,1,RF,0.04638309718440584,0.0032565002502555943,0.05706575374299015,0.4918487110778215,0.7719428604448527
8,0-52,53-104,1,XGB,0.04702732150799315,0.003621076547919821,0.060175381576852684,0.5186505377724331,0.7826645327200136
9,0-52,53-104,1,ENet,0.04457118079603009,0.002939126097394609,0.0542137076521668,0.4672669768204637,0.7417875667142751
10,0-52,53-104,2,SNaive,0.05849026492180019,0.005878064188871509,0.07666853454234997,0.6536122958399523,1.0
11,0-52,53-104,2,SARIMAX,0.04993452107341718,0.0035548299251965667,0.059622394493986625,0.5082910529242451,0.8537236263193234
12,0-52,53-104,2,RF,0.047950402998958704,0.0034846367698245615,0.05903081203765167,0.5032477118747284,0.8198014329917469
13,0-52,53-104,2,XGB,0.05077585224936154,0.0039733221015036116,0.06303429305944196,0.5373780684496099,0.8681077495075018
14,0-52,53-104,2,ENet,0.04357448704900361,0.002869077096281883,0.05356376663642955,0.45664022005968374,0.7449870009524054
15,0-52,53-104,3,SNaive,0.0562559846792212,0.004994682492487282,0.07067306766008734,0.5952116155350904,1.0
16,0-52,53-104,3,SARIMAX,0.04960629031238677,0.0034813929453622254,0.059003329951471596,0.4969285826289261,0.8817957875103984
17,0-52,53-104,3,RF,0.049979834728877175,0.0038790742701135866,0.062282214717474416,0.5245434911555036,0.888435870669913
18,0-52,53-104,3,XGB,0.052528055973334355,0.00407918314356163,0.0638684831788076,0.5379031123634521,0.9337327623515262
19,0-52,53-104,3,ENet,0.04365879951098773,0.002872686809901854,0.0535974515243202,0.45140004200455697,0.7760738659173023
20,0-52,53-104,4,SNaive,0.059687200766038936,0.0062551900330175495,0.07908975934353037,0.6674430061233149,1.0
21,0-52,53-104,4,SARIMAX,0.052712379138606553,0.004510239468378367,0.0671583164498513,0.5667528765990145,0.8831437638569751
22,0-52,53-104,4,RF,0.04568488889112092,0.003165452292171819,0.056262352351921965,0.4748012119018762,0.7654051170902773
23,0-52,53-104,4,XGB,0.04748708989258357,0.0035771947417940534,0.05980965425242026,0.5047370956843978,0.7955992119436596
24,0-52,53-104,4,ENet,0.04307559043698895,0.0028371493696810854,0.05326489810072939,0.4495055239046065,0.7216889028828148
25,0-52,53-104,5,SNaive,0.05841046919885093,0.00593004729469322,0.07700680031460351,0.6489907340569007,1.0
26,0-52,53-104,5,SARIMAX,0.0663065304414788,0.006773581665341837,0.08230177194533443,0.6936152024337129,1.135182294388815
27,0-52,53-104,5,RF,0.04815605092809449,0.003506839429295585,0.05921857334735096,0.4990767728238078,0.824442117801749
28,0-52,53-104,5,XGB,0.051447907526330224,0.004271050817787881,0.0653532770240933,0.5507782566684177,0.8807994222950417
29,0-52,53-104,5,ENet,0.043018928147715456,0.0028233320150224802,0.053135035664074605,0.4478065009698608,0.7364934529332926
30,0-52,53-104,6,SNaive,0.06255984679221192,0.005421473724361071,0.07363065750325112,0.6180438043072627,1.0
31,0-52,53-104,6,SARIMAX,0.07787695168097329,0.009128050349422243,0.09554083079721593,0.8019542475222439,1.2448392327371907
32,0-52,53-104,6,RF,0.04654324574333353,0.0032871397724011,0.05733358328589885,0.48124880491552874,0.7439795352748162
33,0-52,53-104,6,XGB,0.04775581454654262,0.0034979867521209482,0.05914378033336175,0.4964433055175415,0.7633620763995819
34,0-52,53-104,6,ENet,0.043437479298279444,0.0028500130604823164,0.053385513582640716,0.44810934776801975,0.6943348093954568
35,0-52,53-104,7,SNaive,0.0573731248005107,0.005230427532901663,0.07232169475960629,0.607463457592082,1.0
36,0-52,53-104,7,SARIMAX,0.058192521700017236,0.005153206576837708,0.07178583827495301,0.6029625504435063,1.0142818942206062
37,0-52,53-104,7,RF,0.04526388911917959,0.0030966495634102377,0.05564754768550217,0.4674095627310412,0.7889388851760203
38,0-52,53-104,7,XGB,0.048186418868808215,0.003492748653509558,0.05909948099187977,0.4964039516020359,0.8398778877105765
39,0-52,53-104,7,ENet,0.04373367856480788,0.002882941831075946,0.05369303335700029,0.4509926903685844,0.7622676770155387
40,0-52,53-104,8,SNaive,0.06072454516437918,0.005444319802715836,0.0737856341215269,0.623100786260765,1.0
41,0-52,53-104,8,SARIMAX,0.05044895257699843,0.0036693697311476095,0.060575322790288204,0.5115430897627304,0.8307835396779822
42,0-52,53-104,8,RF,0.04706959607314703,0.0030760913922429304,0.055462522411471066,0.4683667997712639,0.7751329539930074
43,0-52,53-104,8,XGB,0.04718569542367239,0.0033154953991171654,0.05758033865059466,0.48625121561270385,0.7770448555183475
44,0-52,53-104,8,ENet,0.04417952397192653,0.0028173030816348445,0.05307827315988006,0.4482324253636234,0.7275398086940649
45,0-104,105-156,0,SNaive,0.07133737631662943,0.007563045243181604,0.0869657705260041,0.5537881281666073,1.0
46,0-104,105-156,0,SARIMAX,0.05380898086872689,0.0050948353296702935,0.07137811520116158,0.45452771326268127,0.7542887564282834
47,0-104,105-156,0,RF,0.06595512436647363,0.0066340137928323165,0.08144945544834734,0.51866086162535,0.9245521460409929
48,0-104,105-156,0,XGB,0.06919718637855582,0.007105366748541248,0.08429333750980114,0.5367703788987945,0.969999037691344
49,0-104,105-156,0,ENet,0.053472253887191665,0.005017969980891223,0.07083763110728099,0.4510859720713644,0.7495685522531164
50,0-104,105-156,1,SNaive,0.07181615065432492,0.007634563401509563,0.08737598870118474,0.5569663735520077,1.0
51,0-104,105-156,1,SARIMAX,0.05410708303538812,0.005116785207148372,0.07153170770468416,0.4559691561317914,0.7534110717772045
52,0-104,105-156,1,RF,0.06510935532091716,0.006920031384271769,0.08318672601005385,0.5302624874659181,0.9066116009797044
53,0-104,105-156,1,XGB,0.062290536712984707,0.006663369277538602,0.08162946329321663,0.5203359277673402,0.8673611178745827
54,0-104,105-156,1,ENet,0.05257398203456295,0.004913556352802529,0.07009676421064334,0.4468223037069086,0.7320634920634921
