,date,incidence,gr
0,29/12/2014,159.0,16
1,14/12/2015,110.0,14
2,21/12/2015,158.0,23
3,28/12/2015,333.0,38
4,04/01/2016,477.0,29
5,11/01/2016,664.0,28
6,18/01/2016,820.0,17
7,25/01/2016,928.0,52
8,01/02/2016,1016.0,63
9,08/02/2016,1028.0,91
10,15/02/2016,816.0,100
11,22/02/2016,952.0,77
12,29/02/2016,1128.0,62
13,07/03/2016,1240.0,40
14,14/03/2016,1380.0,31
15,21/03/2016,1172.0,28
16,28/03/2016,1052.0,25
17,04/04/2016,896.0,21
18,11/04/2016,800.0,25
19,18/04/2016,444.0,19
20,25/04/2016,420.0,13
21,02/05/2016,304.0,13
22,09/05/2016,256.0,12
23,16/05/2016,198.0,11
24,23/05/2016,74.0,10
25,30/05/2016,35.0,11
26,12/09/2016,27.0,9
27,19/09/2016,98.0,10
28,26/09/2016,234.0,10
29,03/10/2016,452.0,11
30,10/10/2016,436.0,11
31,17/10/2016,376.0,10
32,24/10/2016,375.0,12
33,31/10/2016,508.0,11
34,07/11/2016,388.0,12
35,14/11/2016,428.0,15
36,21/11/2016,488.0,20
37,28/11/2016,488.0,23
38,05/12/2016,528.0,22
39,12/12/2016,680.0,21
40,19/12/2016,964.0,19
41,26/12/2016,744.0,20
42,02/01/2017,1164.0,18
43,09/01/2017,1204.0,17
44,16/01/2017,1000.0,18
45,23/01/2017,1000.0,17
46,30/01/2017,1156.0,16
47,06/02/2017,728.0,17
48,13/02/2017,680.0,13
49,20/02/2017,508.0,15
50,27/02/2017,448.0,16
51,06/03/2017,468.0,16
52,13/03/2017,234.0,21
53,20/03/2017,152.0,19
54,27/03/2017,116.0,17
55,03/04/2017,120.0,17
56,10/04/2017,117.0,15
57,17/04/2017,164.0,12
58,24/04/2017,180.0,11
59,01/05/2017,156.0,14
60,08/05/2017,180.0,12
61,15/05/2017,224.0,9
62,22/05/2017,140.0,10
63,29/05/2017,84.0,10
64,05/06/2017,98.0,8
65,12/06/2017,75.0,7
66,19/06/2017,39.0,8
67,26/06/2017,72.0,9
68,03/07/2017,81.0,8
69,10/07/2017,60.0,6
70,17/07/2017,135.0,8
71,24/07/2017,120.0,8
72,31/07/2017,130.0,7
73,07/08/2017,135.0,8
74,14/08/2017,124.0,6
75,21/08/2017,108.0,6
76,28/08/2017,84.0,7
77,04/09/2017,108.0,7
78,11/09/2017,160.0,8
79,18/09/2017,256.0,8
80,25/09/2017,304.0,8
81,02/10/2017,452.0,8
82,09/10/2017,364.0,12
83,16/10/2017,294.0,9
84,23/10/2017,303.0,7
85,30/10/2017,231.0,8
86,06/11/2017,214.0,8
87,13/11/2017,196.0,10
88,20/11/2017,122.0,11
89,04/12/2017,139.0,11
90,11/12/2017,386.0,11
91,18/12/2017,966.0,12
92,25/12/2017,1416.0,13
93,01/01/2018,2520.0,14
94,08/01/2018,3616.0,10
95,15/01/2018,3672.0,19
96,22/01/2018,3616.0,12
