,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.13322557254214756,0.034326298399615665,0.18527357717606593,1.3403316537522867,1.0
1,0-52,53-104,0,SARIMAX,0.20091677872417352,0.09478820923977932,0.30787693846694547,2.227285792055728,1.5080946915098525
2,0-52,53-104,0,RF,0.11075054401662318,0.0423326905230597,0.20574909604433186,1.4884584750963736,0.8313009424792367
3,0-52,53-104,0,XGB,0.11519102651711946,0.04329031577092062,0.20806324944814406,1.5051998426785438,0.8646314991866697
4,0-52,53-104,0,ENet,0.13837090273203195,0.039922078253155906,0.19980510066851623,1.4454576043116965,1.0386211902993068
5,0-52,53-104,1,SNaive,0.13488730436884405,0.03445605778445471,0.18562343005249823,1.3237661747696057,1.0
6,0-52,53-104,1,SARIMAX,0.2217450538090431,0.10436744031707995,0.3230594996545992,2.303886087870489,1.6439282766203849
7,0-52,53-104,1,RF,0.11447757475814968,0.043561741373367276,0.20871449727646443,1.488439210505302,0.8486905071889882
8,0-52,53-104,1,XGB,0.11615933629105231,0.04434100108702018,0.21057303029357816,1.501693265459743,0.8611584080101353
9,0-52,53-104,1,ENet,0.13672731371769864,0.03989659714778915,0.19974132558834476,1.4244473903036514,1.0136410862198206
10,0-52,53-104,2,SNaive,0.1357030636292223,0.03501401008559551,0.18712030912115207,1.3188124232834284,1.0
11,0-52,53-104,2,SARIMAX,0.2209571138303145,0.1036005226823728,0.32187035073515674,2.268522424047958,1.6282396868653568
12,0-52,53-104,2,RF,0.12039988331691001,0.043728606438407466,0.20911385998638987,1.4738216162963147,0.8872303992036263
13,0-52,53-104,2,XGB,0.11918372098108643,0.0436482005257566,0.2089215176226628,1.4724659991535347,0.8782684619908714
14,0-52,53-104,2,ENet,0.13522160874960323,0.039891797100673795,0.1997293095684101,1.4076798824765602,0.9964521443603179
15,0-52,53-104,3,SNaive,0.13545380385521782,0.036942360096847766,0.1922039544256251,1.3405118363923276,1.0
16,0-52,53-104,3,SARIMAX,0.1966672814161733,0.0919177858067154,0.30317946138667673,2.1145020546242543,1.4519140534907722
17,0-52,53-104,3,RF,0.13181335088822324,0.04570861830747659,0.2137957396850475,1.491102097636392,0.9731240255837648
18,0-52,53-104,3,XGB,0.13406201747570634,0.045555779953531876,0.21343800025658943,1.4886070712482755,0.9897250107424143
19,0-52,53-104,3,ENet,0.12928566649289264,0.040357703250727336,0.2008922677723743,1.401107815878845,0.9544631661365663
20,0-52,53-104,4,SNaive,0.13491751767478394,0.03870833138912806,0.19674433000502978,1.3689331408764107,1.0
21,0-52,53-104,4,SARIMAX,0.17507352980319182,0.08277471789954984,0.28770595735846316,2.001837714182192,1.297633790040543
22,0-52,53-104,4,RF,0.13158971307670245,0.045589981933449764,0.21351810680466835,1.4856438941575958,0.9753345254535212
23,0-52,53-104,4,XGB,0.13283549710041537,0.04508807323134775,0.21233952347913884,1.4774433946892735,0.984568196849076
24,0-52,53-104,4,ENet,0.1265638374115211,0.04116951145020746,0.20290271425046896,1.4117827431374637,0.9380830569133416
25,0-52,53-104,5,SNaive,0.1352498640401233,0.0406628436193936,0.20165030032061346,1.4024788715844951,1.0
26,0-52,53-104,5,SARIMAX,0.13211064672447229,0.05720295842082132,0.2391713996714936,1.6634383097532703,0.976789497439201
27,0-52,53-104,5,RF,0.12757249104271395,0.043941971761410424,0.20962340461267778,1.4579318527741134,0.9432356324208078
28,0-52,53-104,5,XGB,0.12757296914446245,0.043341777639672466,0.20818688152636436,1.4479408273509196,0.9432391673725941
29,0-52,53-104,5,ENet,0.1270408279982325,0.041447634265170334,0.20358692066331358,1.415948075987361,0.939304663260471
30,0-52,53-104,6,SNaive,0.13766692851531814,0.04278749408372205,0.20685138163358266,1.439559918902057,1.0
31,0-52,53-104,6,SARIMAX,0.12884291368750994,0.05348099338124173,0.2312595800853269,1.6094261480093885,0.935903161906991
32,0-52,53-104,6,RF,0.12738639011660416,0.041805558351628976,0.20446407594398822,1.4229457219952422,0.9253231076658323
33,0-52,53-104,6,XGB,0.12749214526497157,0.04169451091139446,0.2041923380330282,1.4210545912617905,0.9260913034083242
34,0-52,53-104,6,ENet,0.12911040330780038,0.041425455761579195,0.20353244400237322,1.4164621298058822,0.9378461820874744
35,0-52,53-104,7,SNaive,0.14255015408786026,0.04488316169857545,0.21185646484961335,1.478472462936588,1.0
36,0-52,53-104,7,SARIMAX,0.13009105113384173,0.055434357352050614,0.2354450198072803,1.6430887703508226,0.9125984602840947
37,0-52,53-104,7,RF,0.1331911030566274,0.04123411987949835,0.20306186219844027,1.417097994843493,0.9343455565438081
38,0-52,53-104,7,XGB,0.13511809166083003,0.04148883630410321,0.2036880858177601,1.421468191322803,0.9478635258264996
39,0-52,53-104,7,ENet,0.13217257806191274,0.04106986067836622,0.20265700253967595,1.4142726203274882,0.9272005274750433
40,0-52,53-104,8,SNaive,0.14629660402441236,0.046208321035196634,0.21496120821021786,1.501088890625411,1.0
41,0-52,53-104,8,SARIMAX,0.12892319659975748,0.053716662877306115,0.23176855454807951,1.6184557452254522,0.8812453129687426
42,0-52,53-104,8,RF,0.13111668543880836,0.04173828385505765,0.20429949548409965,1.4266374179086938,0.8962387494444441
43,0-52,53-104,8,XGB,0.13087949952456973,0.042372594542115775,0.20584604572863618,1.4374370845564433,0.8946174820485239
44,0-52,53-104,8,ENet,0.13722071219032783,0.04003477504696819,0.2000869187302563,1.397220704917775,0.9379623888428057
45,0-104,105-156,0,SNaive,0.060819384857091076,0.01217373872026689,0.11033466690150874,1.0311974318184707,1.0
46,0-104,105-156,0,SARIMAX,0.09283718998482561,0.011535418490371497,0.10740306555388211,1.003798429621938,1.5264407919114542
47,0-104,105-156,0,RF,0.0776942178498037,0.010265992693642256,0.1013212351565172,0.9469571116333082,1.2774581333297577
48,0-104,105-156,0,XGB,0.08421485364029437,0.011644719333013975,0.10791070073451463,1.0085428323492898,1.384671249769728
49,0-104,105-156,0,ENet,0.0974308345766475,0.013794361943521717,0.11744940163117783,1.0976923638950193,1.6019700759154885
50,0-104,105-156,1,SNaive,0.06359145567708019,0.01197524287771747,0.10943145287218602,1.0375513953274216,1.0
51,0-104,105-156,1,SARIMAX,0.07165088618514527,0.008523528575999527,0.09232295801153431,0.8753407854093208,1.126737632001871
52,0-104,105-156,1,RF,0.07898297015641718,0.00985206622640362,0.0992575751587939,0.9410899051400466,1.2420374610937621
53,0-104,105-156,1,XGB,0.08560304959806112,0.01151572374137343,0.10731134022727248,1.0174499914325963,1.3461407462152877
54,0-104,105-156,1,ENet,0.09947062567918886,0.013986594510254354,0.11826493356128161,1.1213041919321942,1.5642136922341336
55,0-104,105-156,2,SNaive,0.07247794428666385,0.013589872474928297,0.11657560840471003,1.122939315185999,1.0
56,0-104,105-156,2,SARIMAX,0.06291613357058666,0.007699930278332447,0.0877492465969506,0.8452632607292989,0.8680728211846291
57,0-104,105-156,2,RF,0.08812458816501828,0.012122604129529622,0.11010269810286041,1.0605876314925708,1.2158814523832109
58,0-104,105-156,2,XGB,0.09122708982018893,0.013227290983474834,0.11500996036637363,1.1078578778248644,1.258687601008228
59,0-104,105-156,2,ENet,0.10169111144959886,0.01427567524092191,0.11948085721537953,1.1509247415933153,1.403062855196216
60,0-104,105-156,3,SNaive,0.08302616472294398,0.017160432405334686,0.13099783359023418,1.2850046445136356,1.0
61,0-104,105-156,3,SARIMAX,0.06430400712258746,0.007918758680350534,0.0889874074257169,0.8729093353021532,0.7745029213040029
62,0-104,105-156,3,RF,0.09620347226758569,0.013938648837977784,0.11806205503030084,1.1581129618472632,1.1587127092840435
63,0-104,105-156,3,XGB,0.09990727988127622,0.014852937610698209,0.12187262863620449,1.1954922424631855,1.2033228346108007
64,0-104,105-156,3,ENet,0.10403237469446971,0.014645199600668922,0.1210173524775225,1.1871025324494615,1.253007109766215
65,0-104,105-156,4,SNaive,0.09303054565230527,0.022464351710744786,0.14988112526514066,1.478618624150708,1.0
66,0-104,105-156,4,SARIMAX,0.05950014012908615,0.008303890241914863,0.09112568376651482,0.8989799944274537,0.6395763854966893
67,0-104,105-156,4,RF,0.10206577257527205,0.015441785809755446,0.12426498223455973,1.2259083105810604,1.0971210784545462
68,0-104,105-156,4,XGB,0.1044691785258549,0.01606540542772538,0.12674938038398997,1.250417583293383,1.1229556678760184
69,0-104,105-156,4,ENet,0.10307429891311802,0.014582300195289912,0.12075719521125816,1.1913030244716012,1.107961887038162
70,0-104,105-156,5,SNaive,0.1056597075351985,0.02972354347419411,0.17240517241136968,1.7061642686415048,1.0
71,0-104,105-156,5,SARIMAX,0.06693117513647238,0.009585782598496307,0.09790700995585713,0.9689120094241169,0.6334597804387784
72,0-104,105-156,5,RF,0.10850421773520845,0.01737770843892754,0.13182453655874365,1.3045682496699946,1.0269214279157677
73,0-104,105-156,5,XGB,0.10914779641139388,0.017611962516796614,0.13271006938735513,1.3133317017738615,1.0330124790004116
74,0-104,105-156,5,ENet,0.10477934283806961,0.014860180493862426,0.12190233998518005,1.2063757359334695,0.9916679241532481
75,0-104,105-156,6,SNaive,0.12149903317420992,0.037829235884132235,0.19449739300086322,1.9268107493392908,1.0
76,0-104,105-156,6,SARIMAX,0.05893219908156781,0.008918714085703622,0.09443894369222701,0.9355702359549025,0.4850425352526764
77,0-104,105-156,6,RF,0.11276648259883273,0.01907981061696625,0.13812968767417905,1.3683976062975092,0.9281265838316909
78,0-104,105-156,6,XGB,0.11280381731765288,0.019369561069131423,0.13917457048301396,1.3787488577811422,0.9284338679132573
79,0-104,105-156,6,ENet,0.10469248609468562,0.014852804159368228,0.12187208113168589,1.2073397609388026,0.8616734089116048
80,0-104,105-156,7,SNaive,0.13548401716115777,0.04561601459722768,0.21357905936029328,2.111027573020863,1.0
81,0-104,105-156,7,SARIMAX,0.06433639232620124,0.009359605826427931,0.09674505582420184,0.9562336354979828,0.47486333572227435
82,0-104,105-156,7,RF,0.11345661944035429,0.019595634526987933,0.1399844081567227,1.3836138537970684,0.8374170017810886
83,0-104,105-156,7,XGB,0.11192419860811186,0.019385598951401368,0.13923217642269825,1.3761787525442433,0.8261062887955146
84,0-104,105-156,7,ENet,0.10377245496059323,0.014718469787309795,0.12131970073862611,1.1991308238596579,0.7659387220350593
85,0-104,105-156,8,SNaive,0.14616442081092512,0.05264809480304082,0.22945172652006962,2.273004824531038,1.0
86,0-104,105-156,8,SARIMAX,0.05724946738498461,0.008568010697700754,0.09256354950897655,0.9169571212235716,0.3916785430227318
87,0-104,105-156,8,RF,0.11674226751697823,0.019906855840341926,0.141091657585918,1.3976884081794945,0.7987050943676184
88,0-104,105-156,8,XGB,0.11600991054626301,0.02015162947177749,0.14195643511929104,1.406255105564232,0.7936945934081368
89,0-104,105-156,8,ENet,0.10333263554983904,0.014687159037427252,0.12119058972307731,1.2005435709991135,0.7069616188163036
90,0-156,157-208,0,SNaive,0.13707021572300443,0.029068273859480926,0.17049420476802407,1.4572496696244712,1.0
91,0-156,157-208,0,SARIMAX,0.09794993427139162,0.016170641623507995,0.1271638377193296,1.0868959490840562,0.7145967762196549
92,0-156,157-208,0,RF,0.12568736347869874,0.021851520351234496,0.14782259756625338,1.263470695438292,0.9169560492462601
93,0-156,157-208,0,XGB,0.12482497409984217,0.021467726284190927,0.14651868919762737,1.2523259175733423,0.9106644608489723
94,0-156,157-208,0,ENet,0.08136376623079201,0.009159506052692716,0.09570530838303963,0.818013311433383,0.5935918740743382
95,0-156,157-208,1,SNaive,0.14217626442685358,0.030943317440928715,0.1759071273170269,1.5144657063733267,1.0
96,0-156,157-208,1,SARIMAX,0.10195071359330066,0.01829139952347862,0.1352457005729891,1.1643927029919803,0.717072670352455
97,0-156,157-208,1,RF,0.1308332729211085,0.024738022668343723,0.15728325616016386,1.3541241976625862,0.9202188104218986
98,0-156,157-208,1,XGB,0.12972762877806682,0.024087067414505472,0.15520008831990229,1.3361892435602996,0.9124422371134157
99,0-156,157-208,1,ENet,0.0826716146936663,0.009471691024146214,0.09732261311815571,0.8378953273249146,0.5814726883346899
100,0-156,157-208,2,SNaive,0.1472558764880053,0.0325219678680898,0.1803384813845614,1.5559056518387004,1.0
101,0-156,157-208,2,SARIMAX,0.10936102095135738,0.020328425101728696,0.14257778614401578,1.2301178405460111,0.7426598079450185
102,0-156,157-208,2,RF,0.13006646982284134,0.024299389890529453,0.15588261574187628,1.344907869879341,0.8832684502980489
103,0-156,157-208,2,XGB,0.12975641109800728,0.02386595160393753,0.15448608870683964,1.3328590587211415,0.881162872359641
104,0-156,157-208,2,ENet,0.08381242101388123,0.009844808229785175,0.09922100699844351,0.8560487167505987,0.569161808769704
105,0-156,157-208,3,SNaive,0.15091546316998009,0.033845294499512193,0.18397090666600574,1.585230646967089,1.0
106,0-156,157-208,3,SARIMAX,0.1150305515184825,0.021798852148586494,0.14764434343579336,1.2722138641772631,0.7622184572890357
107,0-156,157-208,3,RF,0.12943143151308145,0.02281751546318358,0.1510546770649078,1.3015998441847947,0.8576419459899838
108,0-156,157-208,3,XGB,0.12955961134309496,0.022390895430671368,0.14963587614830665,1.289374396500154,0.8584912945412926
109,0-156,157-208,3,ENet,0.08401868326453117,0.009952567476601006,0.09976255548351298,0.859628640409597,0.5567268025404308
110,0-156,157-208,4,SNaive,0.15350625415432956,0.03508355943075948,0.18730605817954601,1.6126043670626864,1.0
111,0-156,157-208,4,SARIMAX,0.10837422205812762,0.02017043875543347,0.14202266986447434,1.2227387617426428,0.7059922258878921
112,0-156,157-208,4,RF,0.12810264518160558,0.021809464893644583,0.14768027929837005,1.2714477344737318,0.8345109187070376
113,0-156,157-208,4,XGB,0.12898712371487192,0.021611418452148756,0.14700822579756806,1.2656617154798657,0.8402727590837634
114,0-156,157-208,4,ENet,0.08441465366655049,0.010081180821156095,0.10040508364199541,0.8644337397841689,0.5499101918133127
115,0-156,157-208,5,SNaive,0.15621034503595382,0.03613184900400757,0.19008379469067732,1.6380104628950536,1.0
116,0-156,157-208,5,SARIMAX,0.10556058217460809,0.01955011856325176,0.1398217385217755,1.2048868816594467,0.6757592280480014
117,0-156,157-208,5,RF,0.12280541906102146,0.020582911298650756,0.14346745728091356,1.2363031603693633,0.7861542014567359
118,0-156,157-208,5,XGB,0.12313649802927316,0.020392966339992033,0.14280394371302227,1.2305854600875092,0.7882736447508115
119,0-156,157-208,5,ENet,0.08207931061771914,0.009281814696814961,0.09634217506790554,0.8302101240986854,0.5254409405396776
120,0-156,157-208,6,SNaive,0.15844612967550908,0.036839138223952225,0.1919352448716812,1.6591486362868741,1.0
121,0-156,157-208,6,SARIMAX,0.10081991112214245,0.01829523429057117,0.13525987686883043,1.1692289261479025,0.6363040317148632
122,0-156,157-208,6,RF,0.11622786864276141,0.019728120099868705,0.14045682646232865,1.214152993307474,0.7335481711089512
123,0-156,157-208,6,XGB,0.1166332946286975,0.019439518758893406,0.13942567467612774,1.2052393928844574,0.7361069334262536
124,0-156,157-208,6,ENet,0.08212089613820066,0.009292056783945252,0.09639531515558862,0.8332714285579113,0.5182890633326339
125,0-156,157-208,7,SNaive,0.16068946764154932,0.03725845464659997,0.193024492349028,1.6720580096883904,1.0
126,0-156,157-208,7,SARIMAX,0.09869910643296341,0.017684217525490344,0.13298201955712036,1.1519452699451225,0.6142226238071304
127,0-156,157-208,7,RF,0.10623612707472276,0.017070084444300308,0.130652533248691,1.1317662958000916,0.6611268842566841
128,0-156,157-208,7,XGB,0.10625630516260169,0.016739474224386743,0.12938112004611316,1.1207527886377475,0.6612524561947525
129,0-156,157-208,7,ENet,0.08219229191210967,0.009334450319087735,0.09661495908547359,0.8369187465727104,0.5114976925274055
130,0-156,157-208,8,SNaive,0.16262311922170525,0.03747957486769396,0.1935964226624396,1.6785498928665448,1.0
131,0-156,157-208,8,SARIMAX,0.10226322000154266,0.018693921662915204,0.13672571690400898,1.1854606314781464,0.6288356814883528
132,0-156,157-208,8,RF,0.09842811704506649,0.014229297058558993,0.1192866172651358,1.0342574303654908,0.6052529155518087
133,0-156,157-208,8,XGB,0.09796289896720921,0.013898917273282685,0.11789366935201688,1.0221800761552258,0.602392202511229
134,0-156,157-208,8,ENet,0.08209789938622727,0.009348392690085446,0.09668708647014577,0.8383114543341655,0.5048353504663912
135,0-208,209-260,0,SNaive,0.09548160009668258,0.017813881181819213,0.1334686524312702,5.575069201035093,1.0
136,0-208,209-260,0,SARIMAX,0.023018222971902588,0.000795843733468773,0.028210702463227905,1.1783787097370781,0.24107496050123625
137,0-208,209-260,0,RF,0.12047981060333719,0.017968976067857835,0.13404840941935056,5.599286013518429,1.261811809619256
