,date,incidence,gr
0,29/12/2014,53.0,50
1,14/12/2015,94.0,52
2,21/12/2015,166.0,50
3,28/12/2015,126.0,27
4,04/01/2016,159.0,21
5,11/01/2016,336.0,18
6,18/01/2016,356.0,22
7,25/01/2016,316.0,16
8,01/02/2016,332.0,32
9,08/02/2016,280.0,28
10,15/02/2016,336.0,22
11,22/02/2016,344.0,20
12,29/02/2016,352.0,23
13,07/03/2016,368.0,19
14,14/03/2016,360.0,25
15,21/03/2016,292.0,39
16,28/03/2016,240.0,33
17,04/04/2016,272.0,23
18,11/04/2016,200.0,26
19,18/04/2016,240.0,23
20,25/04/2016,248.0,31
21,02/05/2016,184.0,35
22,09/05/2016,292.0,47
23,16/05/2016,177.0,45
24,23/05/2016,86.0,44
25,30/05/2016,33.0,39
26,12/09/2016,40.0,41
27,19/09/2016,74.0,30
28,26/09/2016,150.0,33
29,03/10/2016,228.0,32
30,10/10/2016,252.0,42
31,17/10/2016,324.0,29
32,24/10/2016,290.0,30
33,31/10/2016,232.0,46
34,07/11/2016,260.0,45
35,14/11/2016,296.0,100
36,21/11/2016,336.0,53
37,28/11/2016,400.0,45
38,05/12/2016,372.0,37
39,12/12/2016,320.0,38
40,19/12/2016,336.0,36
41,26/12/2016,180.0,34
42,02/01/2017,296.0,22
43,09/01/2017,308.0,30
44,16/01/2017,336.0,18
45,23/01/2017,332.0,29
46,30/01/2017,424.0,41
47,06/02/2017,288.0,46
48,13/02/2017,248.0,38
49,20/02/2017,264.0,70
50,27/02/2017,228.0,58
51,06/03/2017,252.0,65
52,13/03/2017,225.0,51
53,20/03/2017,150.0,54
54,27/03/2017,168.0,0
55,03/04/2017,140.0,67
56,10/04/2017,156.0,0
57,17/04/2017,208.0,66
58,24/04/2017,256.0,45
59,01/05/2017,152.0,100
60,08/05/2017,244.0,55
61,15/05/2017,180.0,0
62,22/05/2017,188.0,54
63,29/05/2017,104.0,50
64,05/06/2017,170.0,58
65,12/06/2017,99.0,47
66,19/06/2017,87.0,0
67,26/06/2017,93.0,36
68,03/07/2017,144.0,38
69,10/07/2017,100.0,0
70,17/07/2017,270.0,0
71,24/07/2017,275.0,38
72,31/07/2017,375.0,0
73,07/08/2017,345.0,0
74,14/08/2017,264.0,0
75,21/08/2017,216.0,0
76,28/08/2017,192.0,0
77,04/09/2017,236.0,0
78,11/09/2017,340.0,0
79,18/09/2017,548.0,0
80,25/09/2017,604.0,0
81,02/10/2017,656.0,0
82,09/10/2017,700.0,0
83,16/10/2017,465.0,0
84,23/10/2017,393.0,0
85,30/10/2017,327.0,0
86,06/11/2017,262.0,36
87,13/11/2017,292.0,0
88,20/11/2017,129.0,39
89,04/12/2017,117.0,41
90,11/12/2017,258.0,65
91,18/12/2017,399.0,44
92,25/12/2017,372.0,58
93,01/01/2018,360.0,0
94,08/01/2018,300.0,0
95,15/01/2018,476.0,46
96,22/01/2018,516.0,52
97,29/01/2018,380.0,57
98,05/02/2018,380.0,38
99,12/02/2018,404.0,0
100,19/02/2018,320.0,61
101,26/02/2018,352.0,55
102,05/03/2018,372.0,38
103,12/03/2018,404.0,82
104,19/03/2018,428.0,48
105,26/03/2018,300.0,66
106,02/04/2018,288.0,50
107,09/04/2018,248.0,71
108,16/04/2018,129.0,87
109,23/04/2018,228.0,51
110,30/04/2018,207.0,58
111,07/05/2018,114.0,57
112,14/05/2018,228.0,66
113,21/05/2018,252.0,50
114,28/05/2018,124.0,52
115,04/06/2018,124.0,43
116,11/06/2018,148.0,83
117,18/06/2018,92.0,40
118,25/06/2018,212.0,46
119,02/07/2018,216.0,0
120,09/07/2018,116.0,49
121,16/07/2018,164.0,0
122,23/07/2018,128.0,0
123,30/07/2018,108.0,0
124,06/08/2018,72.0,0
125,13/08/2018,84.0,0
126,20/08/2018,88.0,0
127,27/08/2018,124.0,0
128,03/09/2018,132.0,0
129,10/09/2018,248.0,0
130,17/09/2018,296.0,0
131,24/09/2018,312.0,0
132,01/10/2018,360.0,0
133,08/10/2018,267.0,0
134,15/10/2018,225.0,0
135,22/10/2018,261.0,0
136,29/10/2018,240.0,0
137,05/11/2018,384.0,0
138,12/11/2018,488.0,0
139,19/11/2018,492.0,0
140,26/11/2018,524.0,0
141,03/12/2018,512.0,0
142,10/12/2018,480.0,0
143,17/12/2018,460.0,0
144,24/12/2018,396.0,39
145,31/12/2018,400.0,39
146,07/01/2019,476.0,42
147,14/01/2019,652.0,76
148,21/01/2019,516.0,43
149,28/01/2019,536.0,0
150,04/02/2019,740.0,0
151,11/02/2019,604.0,73
152,18/02/2019,500.0,60
153,25/02/2019,480.0,42
154,04/03/2019,376.0,59
155,11/03/2019,444.0,50
156,18/03/2019,390.0,0
157,25/03/2019,226.0,68
158,01/04/2019,121.0,0
159,22/07/2019,92.0,0
160,29/07/2019,136.0,52
161,05/08/2019,243.0,65
162,12/08/2019,348.0,44
163,19/08/2019,364.0,54
164,26/08/2019,328.0,0
165,02/09/2019,364.0,53
166,09/09/2019,584.0,0
167,16/09/2019,862.0,43
168,23/09/2019,888.0,0
169,30/09/2019,1036.0,0
170,07/10/2019,1020.0,0
171,14/10/2019,936.0,37
172,21/10/2019,920.0,43
173,28/10/2019,664.0,46
174,04/11/2019,435.0,0
175,11/11/2019,393.0,0
176,18/11/2019,474.0,0
177,25/11/2019,429.0,37
178,02/12/2019,508.0,0
179,09/12/2019,400.0,0
180,16/12/2019,512.0,0
181,23/12/2019,396.0,0
182,30/12/2019,372.0,0
183,06/01/2020,324.0,0
184,13/01/2020,344.0,0
185,20/01/2020,472.0,0
186,27/01/2020,472.0,0
187,03/02/2020,436.0,0
188,10/02/2020,364.0,0
189,17/02/2020,368.0,37
190,24/02/2020,364.0,0
191,02/03/2020,504.0,0
192,09/03/2020,472.0,37
193,16/03/2020,304.0,0
194,23/03/2020,160.0,0
195,30/03/2020,76.0,0
196,06/04/2020,52.0,0
197,13/04/2020,44.0,39
198,20/04/2020,52.0,44
199,27/04/2020,40.0,58
200,04/05/2020,16.0,0
201,11/05/2020,56.0,53
202,18/05/2020,20.0,65
203,25/05/2020,16.0,61
204,01/06/2020,36.0,80
205,08/06/2020,20.0,70
206,15/06/2020,44.0,94
207,22/06/2020,28.0,42
208,29/06/2020,28.0,59
209,06/07/2020,92.0,57
210,13/07/2020,68.0,54
211,20/07/2020,108.0,59
212,27/07/2020,112.0,43
213,03/08/2020,92.0,46
214,10/08/2020,116.0,46
215,17/08/2020,64.0,51
216,24/08/2020,112.0,82
217,31/08/2020,114.0,49
218,07/09/2020,313.0,46
219,14/09/2020,301.0,0
220,21/09/2020,165.0,0
221,28/09/2020,200.0,0
222,05/10/2020,120.0,34
223,12/10/2020,200.0,0
224,19/10/2020,198.0,0
225,26/10/2020,102.0,0
226,02/11/2020,80.0,0
227,09/11/2020,70.0,0
228,16/11/2020,129.0,0
229,23/11/2020,114.0,0
230,30/11/2020,96.0,0
231,07/12/2020,106.0,0
232,14/12/2020,45.0,0
233,21/12/2020,64.0,0
234,28/12/2020,66.0,0
235,04/01/2021,60.0,0
236,11/01/2021,104.0,0
237,18/01/2021,76.0,0
238,25/01/2021,84.0,0
239,01/02/2021,84.0,0
240,08/02/2021,160.0,0
241,15/02/2021,88.0,0
242,22/02/2021,84.0,0
243,01/03/2021,148.0,0
244,08/03/2021,200.0,0
245,15/03/2021,380.0,0
246,22/03/2021,464.0,46
247,29/03/2021,356.0,0
248,05/04/2021,356.0,36
249,12/04/2021,396.0,54
250,19/04/2021,236.0,0
251,26/04/2021,476.0,0
252,03/05/2021,632.0,0
253,10/05/2021,984.0,36
254,17/05/2021,1112.0,0
255,24/05/2021,1016.0,42
256,31/05/2021,828.0,44
257,07/06/2021,648.0,77
258,14/06/2021,880.0,52
259,21/06/2021,920.0,65
260,28/06/2021,860.0,45
261,05/07/2021,680.0,47
262,12/07/2021,520.0,33
263,19/07/2021,344.0,51
264,26/07/2021,360.0,60
265,02/08/2021,384.0,53
266,09/08/2021,432.0,67
267,16/08/2021,384.0,0
