,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.13282565974171812,0.02900285403099219,0.1703022431766305,0.6678041449788444,1.0
1,0-52,53-104,0,SARIMAX,0.15299473718290882,0.03268835408827074,0.18079920931317908,0.7089657724767237,1.1518462432666237
2,0-52,53-104,0,RF,0.1095215819764177,0.01900095652521986,0.1378439571588826,0.5405258570523624,0.824551387054161
3,0-52,53-104,0,XGB,0.11186015979815138,0.02056741718284881,0.1434134484030309,0.5623654363138528,0.8421577578885395
4,0-52,53-104,0,ENet,0.10995584948036402,0.01942261820998905,0.13936505376165523,0.5464905149294245,0.8278208419530921
5,0-52,53-104,1,SNaive,0.13212380685008424,0.03127459046627622,0.1768462339612473,0.6863811336093303,1.0
6,0-52,53-104,1,SARIMAX,0.13543580744259842,0.028510246070689024,0.168849773676748,0.6553450218867626,1.0250674020940993
7,0-52,53-104,1,RF,0.11506300884334641,0.01920515941712363,0.13858268079786748,0.5378714344886995,0.8708726427622839
8,0-52,53-104,1,XGB,0.11806513861047624,0.02084514995971736,0.14437849548917372,0.5603663317160847,0.8935947383384145
9,0-52,53-104,1,ENet,0.10854684669414046,0.01914852295093334,0.1383781881328605,0.5370777511623527,0.8215540354306046
10,0-52,53-104,2,SNaive,0.13531723750701855,0.03492288071164809,0.18687664570953774,0.7194321664602793,1.0
11,0-52,53-104,2,SARIMAX,0.13554147681342024,0.029052986132385775,0.17044936530355803,0.6561909097122656,1.0016571377788441
12,0-52,53-104,2,RF,0.11939602634287852,0.020523636408463476,0.1432607287726245,0.5515209034186311,0.8823415888658366
13,0-52,53-104,2,XGB,0.12257307818434518,0.023268317633666394,0.15253956088066595,0.5872422759869571,0.9058201338021524
14,0-52,53-104,2,ENet,0.10724908096998718,0.018936891597062848,0.13761137887930217,0.529772203802296,0.79257515853754
15,0-52,53-104,3,SNaive,0.13019371139809097,0.03552131276204215,0.18847098652588984,0.7203150794047419,1.0
16,0-52,53-104,3,SARIMAX,0.1397849316363485,0.030102160608787724,0.173499742388246,0.663096654921601,1.0736688441804276
