,date,incidence,gr
0,29/12/2014,0.0,16
1,14/12/2015,0.0,15
2,21/12/2015,0.0,16
3,28/12/2015,0.0,18
4,04/01/2016,0.0,19
5,11/01/2016,0.0,19
6,18/01/2016,0.0,18
7,25/01/2016,0.0,20
8,01/02/2016,0.0,29
9,08/02/2016,0.0,59
10,15/02/2016,0.0,100
11,22/02/2016,0.0,80
12,29/02/2016,0.0,43
13,07/03/2016,0.0,35
14,14/03/2016,0.0,28
15,21/03/2016,0.0,22
16,28/03/2016,0.0,19
17,04/04/2016,0.0,16
18,11/04/2016,0.0,18
19,18/04/2016,0.0,16
20,25/04/2016,0.0,15
21,02/05/2016,0.0,16
22,09/05/2016,0.0,15
23,16/05/2016,0.0,13
24,23/05/2016,0.0,14
25,30/05/2016,0.0,18
26,12/09/2016,0.0,15
27,19/09/2016,0.0,16
28,26/09/2016,0.0,17
29,03/10/2016,0.0,17
30,10/10/2016,0.0,19
31,17/10/2016,0.0,17
32,24/10/2016,0.0,19
33,31/10/2016,0.0,25
34,07/11/2016,0.0,30
35,14/11/2016,0.0,46
36,21/11/2016,0.0,52
37,28/11/2016,0.0,40
38,05/12/2016,0.0,30
39,12/12/2016,0.0,25
40,19/12/2016,0.0,23
41,26/12/2016,0.0,23
42,02/01/2017,0.0,19
43,09/01/2017,0.0,18
44,16/01/2017,0.0,18
45,23/01/2017,0.0,18
46,30/01/2017,0.0,17
47,06/02/2017,0.0,15
48,13/02/2017,0.0,19
49,20/02/2017,0.0,23
50,27/02/2017,0.0,31
51,06/03/2017,0.0,23
52,13/03/2017,0.0,20
53,20/03/2017,0.0,18
54,27/03/2017,0.0,17
55,03/04/2017,0.0,15
56,10/04/2017,0.0,15
57,17/04/2017,0.0,13
58,24/04/2017,0.0,13
59,01/05/2017,0.0,12
60,08/05/2017,0.0,12
61,15/05/2017,0.0,13
62,22/05/2017,0.0,14
63,29/05/2017,0.0,18
64,05/06/2017,0.0,17
65,12/06/2017,0.0,16
66,19/06/2017,0.0,13
67,26/06/2017,0.0,13
68,03/07/2017,0.0,15
69,10/07/2017,0.0,15
70,17/07/2017,0.0,16
71,24/07/2017,0.0,18
72,31/07/2017,0.0,19
73,07/08/2017,0.0,19
74,14/08/2017,0.0,17
75,21/08/2017,0.0,17
76,28/08/2017,0.0,18
77,04/09/2017,0.0,20
78,11/09/2017,0.0,22
79,18/09/2017,0.0,24
80,25/09/2017,0.0,24
81,02/10/2017,0.0,20
82,09/10/2017,0.0,19
83,16/10/2017,0.0,20
84,23/10/2017,0.0,20
85,30/10/2017,0.0,23
86,06/11/2017,0.0,26
87,13/11/2017,0.0,29
88,20/11/2017,0.0,32
89,04/12/2017,0.0,38
90,11/12/2017,0.0,35
91,18/12/2017,0.0,34
92,25/12/2017,0.0,30
93,01/01/2018,0.0,28
94,08/01/2018,0.0,26
95,15/01/2018,0.0,25
96,22/01/2018,0.0,25
97,29/01/2018,0.0,25
98,05/02/2018,0.0,25
99,12/02/2018,0.0,28
100,19/02/2018,0.0,27
101,26/02/2018,0.0,37
102,05/03/2018,0.0,40
103,12/03/2018,0.0,43
104,19/03/2018,0.0,27
105,26/03/2018,0.0,20
106,02/04/2018,0.0,21
107,09/04/2018,0.0,19
108,16/04/2018,0.0,21
109,23/04/2018,0.0,23
110,30/04/2018,0.0,19
111,07/05/2018,0.0,19
112,14/05/2018,0.0,19
113,21/05/2018,0.0,22
114,28/05/2018,0.0,25
115,04/06/2018,0.0,27
116,11/06/2018,0.0,23
117,18/06/2018,0.0,22
118,25/06/2018,0.0,21
119,02/07/2018,0.0,18
120,09/07/2018,0.0,16
121,16/07/2018,0.0,16
122,23/07/2018,0.0,20
123,30/07/2018,0.0,18
124,06/08/2018,0.0,19
125,13/08/2018,0.0,20
126,20/08/2018,0.0,20
127,27/08/2018,0.0,21
128,03/09/2018,0.0,22
129,10/09/2018,0.0,22
130,17/09/2018,0.0,22
131,24/09/2018,0.0,24
132,01/10/2018,0.0,19
133,08/10/2018,0.0,17
134,15/10/2018,0.0,16
135,22/10/2018,0.0,16
136,29/10/2018,0.0,15
137,05/11/2018,0.0,14
138,12/11/2018,0.0,15
139,19/11/2018,0.0,14
140,26/11/2018,0.0,17
141,03/12/2018,0.0,20
142,10/12/2018,0.0,22
143,17/12/2018,0.0,22
144,24/12/2018,0.0,19
145,31/12/2018,0.0,20
146,07/01/2019,0.0,20
147,14/01/2019,0.0,17
148,21/01/2019,0.0,19
149,28/01/2019,0.0,19
150,04/02/2019,0.0,20
151,11/02/2019,0.0,24
152,18/02/2019,0.0,38
