,date,incidence,gr
0,29/12/2014,1408.0,26
1,14/12/2015,1329.0,30
2,21/12/2015,2190.0,28
3,28/12/2015,3552.0,31
4,04/01/2016,4224.0,26
5,11/01/2016,5220.0,27
6,18/01/2016,5152.0,36
7,25/01/2016,5668.0,35
8,01/02/2016,5276.0,52
9,08/02/2016,4828.0,81
10,15/02/2016,4536.0,100
11,22/02/2016,5072.0,75
12,29/02/2016,4868.0,60
13,07/03/2016,5100.0,53
14,14/03/2016,5324.0,28
15,21/03/2016,4688.0,21
16,28/03/2016,4504.0,18
17,04/04/2016,4588.0,17
18,11/04/2016,3884.0,16
19,18/04/2016,3232.0,14
20,25/04/2016,3240.0,11
21,02/05/2016,2960.0,11
22,09/05/2016,3780.0,11
23,16/05/2016,2376.0,10
24,23/05/2016,1438.0,10
25,30/05/2016,595.0,10
26,12/09/2016,692.0,12
27,19/09/2016,1476.0,10
28,26/09/2016,2766.0,11
29,03/10/2016,3992.0,10
30,10/10/2016,4228.0,10
31,17/10/2016,4596.0,9
32,24/10/2016,4502.0,11
33,31/10/2016,4996.0,11
34,07/11/2016,5492.0,11
35,14/11/2016,5848.0,13
36,21/11/2016,6100.0,16
37,28/11/2016,6576.0,20
38,05/12/2016,6428.0,20
39,12/12/2016,6232.0,22
40,19/12/2016,7704.0,22
41,26/12/2016,7200.0,24
42,02/01/2017,9352.0,21
43,09/01/2017,7148.0,18
44,16/01/2017,6732.0,19
45,23/01/2017,6120.0,18
46,30/01/2017,6444.0,16
47,06/02/2017,4844.0,16
48,13/02/2017,4376.0,15
49,20/02/2017,4788.0,16
50,27/02/2017,4288.0,17
51,06/03/2017,4124.0,21
52,13/03/2017,3045.0,22
53,20/03/2017,1884.0,24
54,27/03/2017,1982.0,22
55,03/04/2017,2188.0,19
56,10/04/2017,2526.0,26
57,17/04/2017,3572.0,17
58,24/04/2017,3868.0,16
59,01/05/2017,3012.0,14
60,08/05/2017,3604.0,13
61,15/05/2017,3336.0,12
62,22/05/2017,3080.0,12
63,29/05/2017,2552.0,12
64,05/06/2017,2769.0,11
65,12/06/2017,1401.0,11
66,19/06/2017,1332.0,11
67,26/06/2017,1572.0,11
68,03/07/2017,1806.0,12
69,10/07/2017,1640.0,10
70,17/07/2017,3470.0,11
71,24/07/2017,3410.0,11
72,31/07/2017,3595.0,11
73,07/08/2017,3690.0,10
74,14/08/2017,2976.0,10
75,21/08/2017,2832.0,12
76,28/08/2017,2700.0,12
77,04/09/2017,3056.0,12
78,11/09/2017,3344.0,12
79,18/09/2017,4162.0,13
80,25/09/2017,4965.0,13
81,02/10/2017,4888.0,14
82,09/10/2017,5328.0,13
83,16/10/2017,3669.0,13
84,23/10/2017,3237.0,15
85,30/10/2017,3228.0,14
86,06/11/2017,2694.0,16
87,13/11/2017,2886.0,17
88,20/11/2017,1586.0,17
89,04/12/2017,1663.0,19
90,11/12/2017,3746.0,21
91,18/12/2017,6675.0,25
92,25/12/2017,8072.0,25
93,01/01/2018,10212.0,25
94,08/01/2018,9080.0,21
95,15/01/2018,7908.0,25
96,22/01/2018,7612.0,24
97,29/01/2018,6648.0,21
98,05/02/2018,6044.0,23
99,12/02/2018,6444.0,23
100,19/02/2018,6872.0,23
101,26/02/2018,5976.0,22
102,05/03/2018,6184.0,22
103,12/03/2018,6004.0,22
104,19/03/2018,5080.0,23
105,26/03/2018,4184.0,21
106,02/04/2018,4504.0,18
107,09/04/2018,4428.0,18
108,16/04/2018,2541.0,17
109,23/04/2018,2841.0,16
110,30/04/2018,2697.0,16
111,07/05/2018,2037.0,15
112,14/05/2018,3616.0,15
113,21/05/2018,3548.0,16
114,28/05/2018,2688.0,17
115,04/06/2018,3092.0,17
116,11/06/2018,2568.0,17
117,18/06/2018,2020.0,18
118,25/06/2018,2604.0,16
119,02/07/2018,2964.0,16
120,09/07/2018,2708.0,15
121,16/07/2018,2332.0,15
122,23/07/2018,2208.0,14
123,30/07/2018,2444.0,14
124,06/08/2018,2140.0,14
125,13/08/2018,2760.0,13
126,20/08/2018,2432.0,14
127,27/08/2018,2512.0,13
128,03/09/2018,3420.0,14
129,10/09/2018,3832.0,13
130,17/09/2018,4514.0,14
131,24/09/2018,5357.0,14
132,01/10/2018,5596.0,13
133,08/10/2018,3960.0,13
134,15/10/2018,4215.0,12
135,22/10/2018,4122.0,12
136,29/10/2018,4212.0,12
137,05/11/2018,6192.0,11
138,12/11/2018,6668.0,14
139,19/11/2018,6824.0,14
140,26/11/2018,7564.0,14
141,03/12/2018,7724.0,16
142,10/12/2018,8432.0,18
143,17/12/2018,8456.0,21
144,24/12/2018,7108.0,21
145,31/12/2018,11516.0,20
146,07/01/2019,11836.0,21
147,14/01/2019,9584.0,20
148,21/01/2019,9016.0,22
149,28/01/2019,8504.0,22
150,04/02/2019,9636.0,23
151,11/02/2019,8696.0,29
152,18/02/2019,8352.0,32
153,25/02/2019,7736.0,42
154,04/03/2019,7148.0,46
155,11/03/2019,6052.0,40
156,18/03/2019,4860.0,36
157,25/03/2019,3186.0,27
158,01/04/2019,1698.0,23
159,22/07/2019,950.0,22
160,29/07/2019,2084.0,23
161,05/08/2019,2988.0,22
162,12/08/2019,3948.0,20
163,19/08/2019,3760.0,21
164,26/08/2019,3456.0,20
165,02/09/2019,4532.0,21
166,09/09/2019,5005.0,20
167,16/09/2019,6202.0,20
168,23/09/2019,7732.0,19
169,30/09/2019,8948.0,17
170,07/10/2019,9220.0,18
171,14/10/2019,9636.0,18
172,21/10/2019,10400.0,16
173,28/10/2019,8032.0,15
174,04/11/2019,5952.0,15
175,11/11/2019,5826.0,15
176,18/11/2019,6285.0,15
177,25/11/2019,7146.0,14
178,02/12/2019,9756.0,14
179,09/12/2019,8816.0,14
180,16/12/2019,11576.0,13
181,23/12/2019,9172.0,12
182,30/12/2019,13060.0,12
183,06/01/2020,11572.0,13
184,13/01/2020,8904.0,11
185,20/01/2020,8308.0,12
186,27/01/2020,8928.0,13
187,03/02/2020,8056.0,13
188,10/02/2020,8004.0,13
189,17/02/2020,7744.0,12
190,24/02/2020,8528.0,12
191,02/03/2020,8976.0,12
192,09/03/2020,8140.0,14
193,16/03/2020,5136.0,14
194,23/03/2020,4852.0,18
195,30/03/2020,4004.0,19
196,06/04/2020,3196.0,20
197,13/04/2020,2792.0,20
198,20/04/2020,2712.0,21
199,27/04/2020,2672.0,20
200,04/05/2020,2140.0,23
201,11/05/2020,2076.0,22
202,18/05/2020,1980.0,37
203,25/05/2020,1540.0,47
204,01/06/2020,1792.0,40
205,08/06/2020,2060.0,31
206,15/06/2020,1772.0,33
207,22/06/2020,1804.0,32
208,29/06/2020,2260.0,32
209,06/07/2020,1876.0,29
210,13/07/2020,1940.0,29
211,20/07/2020,1968.0,31
212,27/07/2020,2096.0,29
213,03/08/2020,2268.0,74
214,10/08/2020,2164.0,64
215,17/08/2020,1492.0,50
216,24/08/2020,2148.0,51
217,31/08/2020,1758.0,47
218,07/09/2020,2555.0,44
219,14/09/2020,3023.0,48
220,21/09/2020,3045.0,47
221,28/09/2020,3808.0,43
222,05/10/2020,3620.0,46
223,12/10/2020,3592.0,41
224,19/10/2020,2697.0,42
225,26/10/2020,1590.0,41
226,02/11/2020,1522.0,38
227,09/11/2020,1504.0,38
228,16/11/2020,2310.0,37
229,23/11/2020,2208.0,33
230,30/11/2020,1410.0,32
231,07/12/2020,1488.0,29
232,14/12/2020,762.0,31
233,21/12/2020,1302.0,30
234,28/12/2020,2001.0,28
235,04/01/2021,2406.0,25
236,11/01/2021,2964.0,25
237,18/01/2021,2976.0,25
238,25/01/2021,2604.0,23
239,01/02/2021,3036.0,21
240,08/02/2021,3008.0,22
241,15/02/2021,2452.0,22
242,22/02/2021,2552.0,21
243,01/03/2021,2780.0,21
244,08/03/2021,2940.0,20
245,15/03/2021,3112.0,21
246,22/03/2021,3468.0,23
247,29/03/2021,3088.0,21
248,05/04/2021,3756.0,23
249,12/04/2021,3780.0,24
250,19/04/2021,2576.0,27
251,26/04/2021,3724.0,29
252,03/05/2021,3792.0,31
253,10/05/2021,5076.0,38
254,17/05/2021,5568.0,39
255,24/05/2021,5364.0,41
256,31/05/2021,5504.0,39
257,07/06/2021,5644.0,44
258,14/06/2021,5384.0,45
259,21/06/2021,5580.0,39
260,28/06/2021,6004.0,42
261,05/07/2021,6356.0,43
262,12/07/2021,5576.0,43
263,19/07/2021,4332.0,45
264,26/07/2021,5456.0,44
265,02/08/2021,5136.0,45
266,09/08/2021,5496.0,53
267,16/08/2021,6088.0,45
268,23/08/2021,5700.0,47
269,30/08/2021,6032.0,54
270,06/09/2021,5252.0,50
271,13/09/2021,7600.0,51
272,20/09/2021,9040.0,51
273,27/09/2021,10792.0,50
274,04/10/2021,11824.0,49
275,11/10/2021,8240.0,51
276,18/10/2021,11244.0,52
277,25/10/2021,11708.0,50
278,01/11/2021,11588.0,47
279,08/11/2021,12628.0,45
280,15/11/2021,12692.0,39
281,22/11/2021,13280.0,38
282,29/11/2021,9579.0,37
283,06/12/2021,9831.0,34
284,13/12/2021,9213.0,33
285,20/12/2021,7872.0,30
286,27/12/2021,7504.0,31
287,03/01/2022,9792.0,30
288,10/01/2022,8328.0,27
289,17/01/2022,6924.0,27
290,24/01/2022,2600.0,26
291,31/01/2022,3532.0,27
292,07/02/2022,4980.0,24
293,14/02/2022,7020.0,25
294,21/02/2022,7256.0,26
295,28/02/2022,6492.0,23
296,07/03/2022,2752.0,23
297,14/03/2022,5631.0,24
298,21/03/2022,4546.0,22
299,28/03/2022,2561.0,21
300,11/04/2022,2082.0,21
301,18/04/2022,4128.0,24
302,25/04/2022,6771.0,91
303,02/05/2022,7712.0,37
304,09/05/2022,8648.0,38
305,16/05/2022,8808.0,39
306,23/05/2022,9252.0,40
307,30/05/2022,6860.0,40
308,06/06/2022,10384.0,40
309,13/06/2022,9296.0,41
310,20/06/2022,9004.0,45
311,27/06/2022,9404.0,42
312,04/07/2022,9648.0,43
313,11/07/2022,6030.0,45
314,18/07/2022,1962.0,50
315,25/07/2022,3556.0,53
316,01/08/2022,3600.0,62
317,08/08/2022,4620.0,77
318,15/08/2022,4785.0,75
319,21/08/2022,0.0,82
320,22/08/2022,4404.0,57
321,28/08/2022,0.0,51
322,29/08/2022,4143.0,52
323,05/09/2022,5301.0,51
324,11/09/2022,0.0,46
325,12/09/2022,7848.0,45
326,19/09/2022,8440.0,42
327,26/09/2022,12508.0,40
328,03/10/2022,10311.0,38
329,10/10/2022,10839.0,36
330,17/10/2022,10788.0,39
331,24/10/2022,10215.0,39
332,31/10/2022,13700.0,33
333,07/11/2022,14948.0,38
334,14/11/2022,16208.0,36
335,21/11/2022,18008.0,35
336,28/11/2022,21140.0,35
337,05/12/2022,18174.0,32
338,12/12/2022,23982.0,28
339,19/12/2022,27033.0,27
340,26/12/2022,19485.0,28
341,02/01/2023,27784.0,22
342,09/01/2023,20992.0,22
343,16/01/2023,15216.0,26
344,23/01/2023,14484.0,27
345,30/01/2023,15872.0,23
346,06/02/2023,15408.0,25
347,13/02/2023,15232.0,27
348,20/02/2023,15088.0,26
349,27/02/2023,13732.0,52
350,06/03/2023,14460.0,32
351,13/03/2023,13984.0,28
352,20/03/2023,13464.0,29
353,27/03/2023,14124.0,29
354,03/04/2023,13435.0,30
355,10/04/2023,16960.0,35
356,17/04/2023,19443.0,38
357,24/04/2023,19388.0,41
358,01/05/2023,15540.0,42
359,08/05/2023,17524.0,41
360,15/05/2023,18924.0,42
361,22/05/2023,17192.0,41
362,29/05/2023,14200.0,44
363,05/06/2023,17084.0,46
364,12/06/2023,17000.0,44
365,19/06/2023,16696.0,51
366,26/06/2023,13880.0,55
367,03/07/2023,15880.0,61
368,10/07/2023,4716.0,67
369,17/07/2023,23712.0,81
370,24/07/2023,27972.0,100
371,31/07/2023,26844.0,88
372,07/08/2023,26252.0,84
373,14/08/2023,25884.0,68
374,21/08/2023,23960.0,65
375,28/08/2023,21864.0,65
376,04/09/2023,23288.0,61
377,11/09/2023,18804.0,61
378,18/09/2023,21204.0,60
379,25/09/2023,24555.0,57
380,02/10/2023,16446.0,50
381,09/10/2023,41032.0,48
382,16/10/2023,48588.0,42
383,23/10/2023,50908.0,43
384,30/10/2023,59957.0,41
385,06/11/2023,65688.0,37
386,13/11/2023,63293.0,34
387,20/11/2023,75248.0,34
388,27/11/2023,61305.0,32
389,04/12/2023,67329.0,33
390,11/12/2023,71106.0,30
391,18/12/2023,76683.0,31
392,25/12/2023,73260.0,31
393,01/01/2024,98548.0,26
394,08/01/2024,91520.0,27
395,15/01/2024,64776.0,25
396,22/01/2024,43956.0,26
397,29/01/2024,21578.0,30
