,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.0177354026620374,0.00044911341092392966,0.021192296027658958,0.5121184392367926,1.0
1,0-52,53-104,0,SARIMAX,0.01981831453717927,0.0006082774008485714,0.024663280415398343,0.5959958588870469,1.117443731886637
2,0-52,53-104,0,RF,0.014848227908565255,0.00036839253818190653,0.019193554599966797,0.46381822962044444,0.8372083899931893
3,0-52,53-104,0,XGB,0.015986666022687276,0.00040246705483104947,0.020061581563552,0.4847943717631612,0.90139853756502
4,0-52,53-104,0,ENet,0.018955016388026717,0.00047718302911052996,0.021844519429608196,0.5278796210456922,1.0687671855683263
5,0-52,53-104,1,SNaive,0.017188226900752775,0.0004356746994152561,0.020872822028064536,0.49898625205975283,1.0
6,0-52,53-104,1,SARIMAX,0.05827825174284336,0.004487003647251814,0.06698510018841364,1.6013476300388365,3.390591250589728
7,0-52,53-104,1,RF,0.013722639847030808,0.00032096775039396996,0.017915572845822427,0.4282901725421051,0.7983743713803203
8,0-52,53-104,1,XGB,0.015803987419294903,0.00039912994927729926,0.019978236891109766,0.4776002754037341,0.9194658361533935
9,0-52,53-104,1,ENet,0.018537738352754272,0.00046445140863252355,0.02155113474118065,0.5152020142593828,1.0785137094008455
10,0-52,53-104,2,SNaive,0.0169829384197002,0.0004494125898500865,0.021199353524343295,0.5008991172069749,1.0
11,0-52,53-104,2,SARIMAX,0.01778805581721881,0.0004308608366920711,0.020757187591098923,0.4904516040143307,1.0474074260661907
12,0-52,53-104,2,RF,0.014593077018364885,0.00034846771211994687,0.018667289897570747,0.4410714232206532,0.8592786865102756
13,0-52,53-104,2,XGB,0.014456501181735783,0.0003608370995625276,0.0189957126626649,0.44883140858612347,0.851236742692669
14,0-52,53-104,2,ENet,0.018088869543978862,0.00045259323865130124,0.021274238850104633,0.5026685104822244,1.0651201280336613
15,0-52,53-104,3,SNaive,0.017288529447578842,0.00046184395659970166,0.021490555055644834,0.5025888017653715,1.0
16,0-52,53-104,3,SARIMAX,0.019126402037586334,0.0005246987693380452,0.022906304139647785,0.5356982134993681,1.1063058946442015
17,0-52,53-104,3,RF,0.016649705761878256,0.00043059382899802653,0.020750754901883123,0.4852874676740832,0.9630492756693051
18,0-52,53-104,3,XGB,0.01663185995116372,0.0004396583612447687,0.02096803188772777,0.49036881525603737,0.9620170415068422
19,0-52,53-104,3,ENet,0.017575489223033116,0.00043900712048087353,0.020952496760073096,0.49000550303943713,1.016598275540113
20,0-52,53-104,4,SNaive,0.016976498762024596,0.00045017884773633883,0.021217418498402175,0.4961671293546411,1.0
21,0-52,53-104,4,SARIMAX,0.018444163766905365,0.000484265166400699,0.02200602568390528,0.5146086265353177,1.086452750090251
22,0-52,53-104,4,RF,0.016496562385991023,0.00043831910108024953,0.020936071768129033,0.48958786526917036,0.9717293664164037
23,0-52,53-104,4,XGB,0.016786530291159223,0.0004662831681043846,0.021593590903422815,0.5049638820017917,0.9888099146043988
24,0-52,53-104,4,ENet,0.01751548886772859,0.0004381341749471803,0.02093165485448249,0.4894845762019929,1.0317491912354555
25,0-52,53-104,5,SNaive,0.016831899176036044,0.0004370710947960562,0.020906245353866298,0.49052668283337664,1.0
26,0-52,53-104,5,SARIMAX,0.018714533490393957,0.0005123969372821347,0.022636186456250415,0.531116576240165,1.1118491915064619
27,0-52,53-104,5,RF,0.01876190267315375,0.0006228597289130554,0.024957157869297846,0.5855739113054832,1.114663442130493
28,0-52,53-104,5,XGB,0.01984202698598491,0.000694269779595166,0.026348999593820747,0.6182309232463215,1.178834710121984
29,0-52,53-104,5,ENet,0.017681179198007317,0.0004433777516423295,0.021056537028731233,0.4940530011885439,1.0504565773053354
30,0-52,53-104,6,SNaive,0.017275064708802582,0.0004318401981589766,0.020780765100423433,0.4902108206967547,1.0
31,0-52,53-104,6,SARIMAX,0.018189210723600996,0.0004434196428513309,0.021057531736918524,0.4967396467222687,1.052917081944857
32,0-52,53-104,6,RF,0.02145654461411772,0.0007217043126532791,0.0268645549498457,0.633725248612169,1.2420529228573278
33,0-52,53-104,6,XGB,0.02249633158624459,0.0008244188993308208,0.02871269578654747,0.6773222303375579,1.3022429707473968
34,0-52,53-104,6,ENet,0.017830042433846265,0.0004473964555641565,0.021151748286232903,0.49896218144317167,1.0321259418936295
35,0-52,53-104,7,SNaive,0.018074167684002485,0.0004542863976826903,0.02131399534772142,0.5050563391446271,1.0
36,0-52,53-104,7,SARIMAX,0.020762653339281716,0.0006029394600297425,0.024554825595587977,0.5818510383117,1.1487474113487848
37,0-52,53-104,7,RF,0.024768803188205867,0.0009284986266586068,0.030471275435376952,0.7220472074516208,1.3703979968122586
38,0-52,53-104,7,XGB,0.025111848634149756,0.0010831231237573068,0.03291083596260215,0.7798550228752933,1.389377871954588
39,0-52,53-104,7,ENet,0.017894236505643955,0.0004524633368707267,0.02127118560096561,0.5040419195755382,0.9900448429214371
40,0-52,53-104,8,SNaive,0.018642028406305713,0.0004663065676632184,0.021594132713846564,0.5116660812105862,1.0
41,0-52,53-104,8,SARIMAX,0.019651738230528557,0.0005454261739775273,0.023354360919912307,0.5533741266398192,1.0541630879545976
42,0-52,53-104,8,RF,0.023663323668342416,0.0008158532094716317,0.028563144250443293,0.6767945848691449,1.2693534819600552
43,0-52,53-104,8,XGB,0.023596388975123787,0.0008806905604191429,0.029676431059329607,0.7031735604137863,1.2657629556632501
44,0-52,53-104,8,ENet,0.01778260104496682,0.0004503639178882749,0.021221779328988295,0.5028432866218615,0.9538983986823993
45,0-104,105-156,0,SNaive,0.0154715702773502,0.0004339425059467416,0.020831286708860343,0.39981215511014234,1.0
46,0-104,105-156,0,SARIMAX,0.03052235577397157,0.0015592018984509745,0.03948673066298316,0.7578636454514402,1.972802710184832
47,0-104,105-156,0,RF,0.020669729702368522,0.0006160997089183087,0.02482135590410622,0.476393030131718,1.335981373049653
48,0-104,105-156,0,XGB,0.02050249183441323,0.0005974463530598211,0.024442715746410444,0.4691258392195406,1.3251720069053436
49,0-104,105-156,0,ENet,0.02228510351252568,0.0008069756704428986,0.028407317198970033,0.5452179151942066,1.440390542978707
50,0-104,105-156,1,SNaive,0.01640629634602115,0.0004981232211313873,0.022318674269126905,0.42996653039241717,1.0
51,0-104,105-156,1,SARIMAX,0.03557791365160594,0.002197098972080394,0.04687322233514988,0.9030068960518576,2.1685524204391373
52,0-104,105-156,1,RF,0.020553088284642414,0.0006374054613929089,0.025246890133101718,0.4863782509135992,1.2527561279622346
53,0-104,105-156,1,XGB,0.02048004006720661,0.0006292983424192058,0.025085819548486068,0.48327524579867315,1.2483036777629233
54,0-104,105-156,1,ENet,0.022395052825834393,0.000801994912013136,0.028319514685339085,0.5455719871540868,1.3650279352210795
55,0-104,105-156,2,SNaive,0.01759977956856635,0.0005875658905561728,0.024239758467364578,0.47195453315010827,1.0
