,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.03025641025641025,0.002276923076923077,0.047717115136217916,2.045019220123625,1.0
1,0-52,53-104,0,SARIMAX,0.023248464126467843,0.0020194925703478153,0.04493876467313955,1.9259470574202666,0.7683814414680051
2,0-52,53-104,0,RF,0.026418715153651136,0.0015499960636235987,0.039369989377997024,1.6872852590570155,0.8731609245698259
3,0-52,53-104,0,XGB,0.02593137230773349,0.0015399230517006864,0.03924185331633416,1.6817937135571785,0.8570538305098357
4,0-52,53-104,0,ENet,0.02702951136913401,0.0015672177037787576,0.03958810053259385,1.6966328799683081,0.8933482571154463
5,0-52,53-104,1,SNaive,0.02769230769230769,0.0024820512820512824,0.049820189502362215,1.8504641815163108,1.0
6,0-52,53-104,1,SARIMAX,0.027114079533353267,0.0028895015055670384,0.05375408361759168,1.9965802486534052,0.9791195387044236
7,0-52,53-104,1,RF,0.029989905560712557,0.0023574811128789347,0.04855389904919001,1.8034305361127718,1.0829688119146201
8,0-52,53-104,1,XGB,0.030375241085115336,0.002359445155418809,0.048574120222797744,1.8041816082753446,1.0968837058513872
9,0-52,53-104,1,ENet,0.030774068698597005,0.0023071835644281353,0.04803315068187944,1.784088453898379,1.1112858141160031
10,0-52,53-104,2,SNaive,0.038461538461538464,0.0032888888888888902,0.057348835113617526,2.051930797643196,1.0
11,0-52,53-104,2,SARIMAX,0.029279250650428502,0.0030108729865011554,0.05487142231162917,1.9632894221592088,0.761260516911141
12,0-52,53-104,2,RF,0.0309169243772104,0.002410035552680808,0.04909211293762785,1.75650679318118,0.8038400338074704
13,0-52,53-104,2,XGB,0.03102335114829027,0.0024405967985013165,0.04940239668782595,1.7676086888304698,0.806607129855547
14,0-52,53-104,2,ENet,0.03135261943064642,0.0023751014114580266,0.048735012172544154,1.7437297933295615,0.8151681051968068
15,0-52,53-104,3,SNaive,0.029230769230769234,0.0029128205128205135,0.05397055227455537,1.9310564575299627,1.0
16,0-52,53-104,3,SARIMAX,0.028065632768903632,0.0029948486456816393,0.054725210330172684,1.9580579842905823,0.960140068409861
17,0-52,53-104,3,RF,0.031948236837041497,0.0024589002992855473,0.04958729977812411,1.7742244874741653,1.0929659970566827
18,0-52,53-104,3,XGB,0.03196202772356069,0.00246728580862085,0.049671780807827394,1.7772472032158424,1.0934377905428656
