,date,incidence,gr
0,29/12/2014,2.0,59
1,14/12/2015,3.0,59
2,21/12/2015,4.0,60
3,28/12/2015,6.0,63
4,04/01/2016,6.0,60
5,11/01/2016,8.0,54
6,18/01/2016,4.0,53
7,25/01/2016,8.0,57
8,01/02/2016,12.0,60
9,08/02/2016,12.0,61
10,15/02/2016,24.0,52
11,22/02/2016,16.0,40
12,29/02/2016,4.0,34
13,07/03/2016,0.0,40
14,14/03/2016,4.0,46
15,21/03/2016,8.0,36
16,28/03/2016,4.0,37
17,04/04/2016,0.0,30
18,11/04/2016,8.0,28
19,18/04/2016,4.0,31
20,25/04/2016,8.0,29
21,02/05/2016,8.0,29
22,09/05/2016,12.0,28
23,16/05/2016,9.0,30
24,23/05/2016,2.0,33
25,30/05/2016,1.0,30
26,12/09/2016,2.0,25
27,19/09/2016,4.0,28
28,26/09/2016,6.0,30
29,03/10/2016,4.0,31
30,10/10/2016,8.0,29
31,17/10/2016,12.0,31
32,24/10/2016,7.0,35
33,31/10/2016,8.0,30
34,07/11/2016,0.0,31
35,14/11/2016,4.0,42
36,21/11/2016,12.0,39
37,28/11/2016,8.0,38
38,05/12/2016,4.0,36
39,12/12/2016,4.0,36
40,19/12/2016,24.0,37
41,26/12/2016,0.0,33
42,02/01/2017,4.0,36
43,09/01/2017,8.0,29
44,16/01/2017,0.0,35
45,23/01/2017,16.0,36
46,30/01/2017,4.0,35
47,06/02/2017,8.0,34
48,13/02/2017,12.0,32
49,20/02/2017,4.0,31
50,27/02/2017,4.0,28
51,06/03/2017,0.0,32
52,13/03/2017,12.0,33
53,20/03/2017,4.0,32
54,27/03/2017,6.0,35
55,03/04/2017,10.0,35
56,10/04/2017,9.0,32
57,17/04/2017,24.0,36
58,24/04/2017,0.0,37
59,01/05/2017,20.0,36
60,08/05/2017,8.0,35
61,15/05/2017,4.0,32
62,22/05/2017,0.0,36
63,29/05/2017,12.0,38
64,05/06/2017,3.0,31
65,12/06/2017,9.0,36
66,19/06/2017,6.0,43
67,26/06/2017,12.0,42
68,03/07/2017,6.0,40
69,10/07/2017,12.0,37
70,17/07/2017,15.0,40
71,24/07/2017,15.0,40
72,31/07/2017,15.0,39
73,07/08/2017,30.0,40
74,14/08/2017,12.0,41
75,21/08/2017,8.0,39
76,28/08/2017,12.0,40
77,04/09/2017,12.0,39
78,11/09/2017,16.0,38
79,18/09/2017,8.0,41
80,25/09/2017,4.0,43
81,02/10/2017,12.0,36
82,09/10/2017,16.0,33
83,16/10/2017,6.0,36
84,23/10/2017,6.0,40
85,30/10/2017,3.0,39
86,06/11/2017,4.0,40
87,13/11/2017,6.0,44
88,20/11/2017,2.0,46
89,04/12/2017,2.0,45
90,11/12/2017,2.0,47
91,18/12/2017,3.0,48
92,25/12/2017,0.0,52
93,01/01/2018,4.0,51
94,08/01/2018,8.0,43
95,15/01/2018,12.0,54
96,22/01/2018,24.0,51
97,29/01/2018,12.0,58
98,05/02/2018,12.0,50
99,12/02/2018,12.0,48
100,19/02/2018,8.0,49
101,26/02/2018,16.0,46
102,05/03/2018,4.0,39
103,12/03/2018,4.0,43
104,19/03/2018,12.0,45
105,26/03/2018,0.0,47
106,02/04/2018,16.0,55
107,09/04/2018,16.0,49
108,16/04/2018,0.0,48
109,23/04/2018,15.0,49
110,30/04/2018,3.0,50
111,07/05/2018,6.0,55
112,14/05/2018,4.0,47
113,21/05/2018,12.0,60
114,28/05/2018,12.0,63
115,04/06/2018,12.0,59
116,11/06/2018,16.0,54
117,18/06/2018,4.0,57
118,25/06/2018,8.0,55
119,02/07/2018,8.0,60
120,09/07/2018,8.0,52
121,16/07/2018,4.0,54
