,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.05802387267904509,0.006191118631665599,0.0786836617835342,0.984688481075266,1.0
1,0-52,53-104,0,SARIMAX,0.06145819485873695,0.006041045908926403,0.07772416554023853,0.9726808434413252,1.0591880896797181
2,0-52,53-104,0,RF,0.04847684080765981,0.004034097567776686,0.06351454611171119,0.7948542368170992,0.8354637250051542
3,0-52,53-104,0,XGB,0.04895416122493124,0.004640127533694561,0.06811848158682458,0.8524702923894726,0.8436900014536722
4,0-52,53-104,0,ENet,0.04462078312646543,0.003458728006441571,0.058810951415884875,0.7359909936527333,0.7690073251966844
5,0-52,53-104,1,SNaive,0.0649867374005305,0.006359759443885484,0.0797480999390298,1.0063609599000578,1.0
6,0-52,53-104,1,SARIMAX,0.04644498703129604,0.0038221181643355484,0.06182328173378981,0.7801632540130126,0.7146840861550453
7,0-52,53-104,1,RF,0.05071243017040431,0.004348859590597242,0.06594588380329164,0.8321873872415378,0.7803504560915276
8,0-52,53-104,1,XGB,0.051309031271777154,0.004814307032687967,0.06938520759274247,0.8755890631787081,0.7895308077330607
9,0-52,53-104,1,ENet,0.044602378625718926,0.0034536500552354997,0.05876776374199975,0.7416049181835614,0.6863304792610627
10,0-52,53-104,2,SNaive,0.06034482758620689,0.00624828500868929,0.07904609420261882,0.9770615578487636,1.0
11,0-52,53-104,2,SARIMAX,0.04658793514137993,0.0036433403358521136,0.06036008893177771,0.746090279582957,0.7720286394857246
12,0-52,53-104,2,RF,0.04884563520770417,0.00415948671909004,0.06449408282230269,0.7971891548855118,0.8094419548705263
13,0-52,53-104,2,XGB,0.05093220296990254,0.0044886922186802534,0.06699770308510773,0.8281355430519871,0.8440193635012422
14,0-52,53-104,2,ENet,0.0467318953005355,0.003630984812930775,0.060257653563101636,0.7448241112553873,0.7744142649803026
15,0-52,53-104,3,SNaive,0.0639920424403183,0.006405492545504436,0.08003432104731342,0.9772611833145639,1.0
16,0-52,53-104,3,SARIMAX,0.06013462840198359,0.005415136028172493,0.07358760784379727,0.8985434220926825,0.9397204106755571
17,0-52,53-104,3,RF,0.05829988067488069,0.005642621039751234,0.07511738174185276,0.9172227665320969,0.9110489125152341
18,0-52,53-104,3,XGB,0.0650285289611109,0.006982047966570184,0.08355864986086231,1.0202950930378978,1.0161971157860648
19,0-52,53-104,3,ENet,0.046819555467347174,0.003609989075608419,0.06008318463271083,0.7336473070941534,0.7316465248161611
20,0-52,53-104,4,SNaive,0.05686339522546418,0.005863841123204975,0.07657572149973499,0.9523809321369101,1.0
21,0-52,53-104,4,SARIMAX,0.06116442291378248,0.0057303286214305665,0.07569893408384669,0.9414762276160066,1.0756378980056445
22,0-52,53-104,4,RF,0.051989879792142764,0.004430059951132511,0.06655869553358533,0.8277980442445086,0.91429432917261
23,0-52,53-104,4,XGB,0.0580699447887043,0.005995314923218354,0.07742941897766219,0.962998464480945,1.0212183876544152
24,0-52,53-104,4,ENet,0.04752698794025562,0.0036631543274773387,0.060523997946908124,0.7527438260118552,0.8358098870426297
25,0-52,53-104,5,SNaive,0.06399204244031831,0.006374051038141407,0.0798376542625183,1.0117242237636777,1.0
26,0-52,53-104,5,SARIMAX,0.046201036756110196,0.003358092939250348,0.05794905468815128,0.734346003947329,0.7219809681680225
27,0-52,53-104,5,RF,0.057206296337761905,0.005368866756222432,0.0732725511786128,0.9285294720785556,0.8939595324077196
28,0-52,53-104,5,XGB,0.06605705763976057,0.007644484598164353,0.08743274328399146,1.1079712342206651,1.0322698748265173
29,0-52,53-104,5,ENet,0.04573512332105529,0.0032437370355840873,0.05695381493441934,0.721734058160541,0.7147001654730711
30,0-52,53-104,6,SNaive,0.061505305039787794,0.005860982804353791,0.07655705587569177,0.9640754927811541,1.0
31,0-52,53-104,6,SARIMAX,0.059116834416364096,0.00595641618853053,0.07717782186956645,0.9718927380317848,0.9611664291091867
32,0-52,53-104,6,RF,0.05185124962441774,0.004793651330776263,0.06923619956912903,0.8718846676429779,0.8430370289339295
33,0-52,53-104,6,XGB,0.05105792993259065,0.004805626917336019,0.06932262918655076,0.8729730673346018,0.8301386343757058
34,0-52,53-104,6,ENet,0.04602810169661179,0.003306278672123032,0.05750024932226844,0.7240949977284411,0.7483598637034026
35,0-52,53-104,7,SNaive,0.051558355437665786,0.004446114973017471,0.06667919445387348,0.8649653783779888,1.0
36,0-52,53-104,7,SARIMAX,0.043537324015331065,0.0030619366951580487,0.05533476931512454,0.7178050075458736,0.8444280979436558
37,0-52,53-104,7,RF,0.04957450404002129,0.004141617861690786,0.06435540273893704,0.8348210523038027,0.9615222134064579
38,0-52,53-104,7,XGB,0.050129007465800214,0.004278296959468405,0.06540869177310005,0.8484843629577193,0.9722770837096684
39,0-52,53-104,7,ENet,0.04379472999349381,0.0030002157099667578,0.05477422486869858,0.7105336008773975,0.8494206151792755
40,0-52,53-104,8,SNaive,0.0571949602122016,0.0054007934693130885,0.07349009096002732,0.9615883485268649,1.0
41,0-52,53-104,8,SARIMAX,0.04335419669235371,0.0030528149408198054,0.05525228448507632,0.7229539696615626,0.7580072882558768
42,0-52,53-104,8,RF,0.04484747292936948,0.0034309704984695827,0.05857448675378712,0.7664236531428283,0.7841158165505989
43,0-52,53-104,8,XGB,0.04414864037410092,0.003413554056005526,0.058425628417720296,0.7644759015524704,0.7718973876422514
44,0-52,53-104,8,ENet,0.0442094993203107,0.003009701513692595,0.05486074656521359,0.7178308531049206,0.772961448985838
45,0-104,105-156,0,SNaive,0.05271883289124668,0.004115979145705663,0.06415589720131473,0.7995627518973769,1.0
46,0-104,105-156,0,SARIMAX,0.04147952768054734,0.0024491673960082773,0.04948906339796983,0.616772790116847,0.7868066382674893
47,0-104,105-156,0,RF,0.04194848984827433,0.0025712174144991813,0.05070717320556512,0.6319538611073735,0.7957021722163232
48,0-104,105-156,0,XGB,0.04335621160526689,0.0027572141153462174,0.05250918124810382,0.6544119448110789,0.8224046176194022
49,0-104,105-156,0,ENet,0.03750238373427774,0.0022922758035421745,0.04787771719226152,0.5966908886440526,0.7113659707080608
50,0-104,105-156,1,SNaive,0.061339522546419105,0.005925294978505442,0.07697593765915062,0.9514730654917962,1.0
51,0-104,105-156,1,SARIMAX,0.04116732820374306,0.0022891558069951376,0.04784512312655426,0.5913970956954413,0.6711387127702111
52,0-104,105-156,1,RF,0.04840760173734312,0.003507816704419342,0.05922682419663697,0.7320823843322013,0.7891747396747396
53,0-104,105-156,1,XGB,0.05406026047498818,0.004154085469961096,0.06445219522996169,0.7966713967769036,0.8813283545544018
54,0-104,105-156,1,ENet,0.03750158332614233,0.0020892097611093586,0.04570787416965876,0.564979297113487,0.6113771638467311
55,0-104,105-156,2,SNaive,0.0576923076923077,0.0054908305131254,0.07410013841502187,0.9390168800827984,1.0
56,0-104,105-156,2,SARIMAX,0.0402793463783684,0.0024051526218918117,0.0490423553868675,0.6214779153226572,0.6981753372250521
57,0-104,105-156,2,RF,0.042991487678987673,0.002916749720212013,0.054006941407674744,0.6843904843930548,0.7451857864357863
58,0-104,105-156,2,XGB,0.045572061846817065,0.0035135543403207324,0.059275242220683776,0.7511518089814383,0.7899157386781623
59,0-104,105-156,2,ENet,0.036930664190597984,0.002068322391924659,0.04547881256062716,0.5763197423649224,0.6401315126370316
60,0-104,105-156,3,SNaive,0.0580238726790451,0.005585155035214487,0.07473389482165697,0.9757464362862227,1.0
61,0-104,105-156,3,SARIMAX,0.04079831516971155,0.0023453857380156037,0.04842918271058891,0.6323048270785114,0.7031298202962858
62,0-104,105-156,3,RF,0.04113387869314593,0.0025322502705915286,0.050321469280929475,0.6570110448107502,0.7089130179344463
63,0-104,105-156,3,XGB,0.0420680261780298,0.0028146196447212213,0.05305298902720959,0.692674523402875,0.7250123825882163
64,0-104,105-156,3,ENet,0.03616594085354858,0.0020851629456225063,0.045663584458762174,0.5961964100763062,0.6232941577960143
65,0-104,105-156,4,SNaive,0.0606763925729443,0.005619454861428702,0.07496302329434627,0.9703368165482763,1.0
66,0-104,105-156,4,SARIMAX,0.04280645237459789,0.0026625276919894298,0.05159968693693238,0.6679169776900775,0.705487761539821
67,0-104,105-156,4,RF,0.0435076292242241,0.002843214775203703,0.05332180393801116,0.6902084149229256,0.7170437690724584
68,0-104,105-156,4,XGB,0.043801620963279074,0.003137341052367795,0.056011972402048076,0.7250305097192146,0.721889009974042
69,0-104,105-156,4,ENet,0.036410546030307286,0.002020660593613478,0.04495175851525141,0.5818648226695204,0.6000776329366491
70,0-104,105-156,5,SNaive,0.05139257294429708,0.004378944480014635,0.0661735935250205,0.8792051016363959,1.0
71,0-104,105-156,5,SARIMAX,0.04290968923605362,0.0024872656691679713,0.0498724941141705,0.6626230936050144,0.8349395015221789
72,0-104,105-156,5,RF,0.04895545905244182,0.0036880303138241517,0.060729155385400774,0.8068684257373073,0.952578480659126
73,0-104,105-156,5,XGB,0.05674931340383376,0.004835447042086735,0.06953737874040648,0.9238975078461057,1.1042318014578234
74,0-104,105-156,5,ENet,0.0363122574415431,0.0019814472802746935,0.044513450554576124,0.5914209994387736,0.7065662480238322
75,0-104,105-156,6,SNaive,0.055205570291777195,0.005715208542943382,0.07559899829325374,0.9764735711025837,1.0
76,0-104,105-156,6,SARIMAX,0.041135529341158245,0.0025428800253053706,0.05042697715811816,0.6513394565690981,0.7451336726302298
77,0-104,105-156,6,RF,0.04789576969964903,0.0032153419166349793,0.056703985015472934,0.7324163546324042,0.8675894379227715
78,0-104,105-156,6,XGB,0.05485130469848968,0.0044188107773292734,0.0664741361533136,0.8586123967383034,0.9935827926164856
79,0-104,105-156,6,ENet,0.036549280897976384,0.0020494954077844526,0.0452713530589097,0.5847468986110135,0.6620578449747553
80,0-104,105-156,7,SNaive,0.05653183023872679,0.004806263148266716,0.06932721794697026,0.8694007872268704,1.0
81,0-104,105-156,7,SARIMAX,0.044293297239656956,0.0028795544558941643,0.053661480187320254,0.6729439677545027,0.7835107593830227
82,0-104,105-156,7,RF,0.058197368244782055,0.00508383090983363,0.07130098814065364,0.8941529323584673,1.0294619508871712
83,0-104,105-156,7,XGB,0.06338571970408477,0.006321379187564342,0.07950710149140354,0.9970620295138175,1.1212394758212296
84,0-104,105-156,7,ENet,0.03925311006434929,0.0022938898503718067,0.047894570155413305,0.6006237987057237,0.6943541346280202
85,0-104,105-156,8,SNaive,0.0664787798408488,0.006578420836001098,0.0811074647366141,0.9923736861891607,1.0
86,0-104,105-156,8,SARIMAX,0.04289488038017904,0.0027678775601136024,0.05261062212247259,0.643706435380841,0.6452416919033417
87,0-104,105-156,8,RF,0.05029073357198362,0.003402181402317537,0.0583282213196797,0.7136629432054927,0.7564930296912848
88,0-104,105-156,8,XGB,0.05835240517958469,0.004543505301465604,0.06740552871586725,0.8247264689941404,0.8777598704320572
89,0-104,105-156,8,ENet,0.03833624134704854,0.0022775175684711674,0.04772334406211668,0.5839091508776629,0.5766688473950046
90,0-156,157-208,0,SNaive,0.17954244031830235,0.061984073447361204,0.24896600861836782,1.109950453796005,1.0
91,0-156,157-208,0,SARIMAX,0.16770081205903817,0.05938669336169892,0.24369385171090985,1.0864459079971975,0.9340455201663144
92,0-156,157-208,0,RF,0.17210306423792826,0.06334374022294553,0.2516818233860871,1.122058210395327,0.9585648046936135
93,0-156,157-208,0,XGB,0.17237719034761267,0.06285011816652751,0.25069925840841156,1.1176776989797033,0.9600916086581716
94,0-156,157-208,0,ENet,0.1686882606429086,0.0601453596423655,0.24524550891375257,1.0933635696731379,0.9395453261292934
95,0-156,157-208,1,SNaive,0.17291114058355436,0.06094650370438123,0.24687345686481005,1.0783060766173311,1.0
96,0-156,157-208,1,SARIMAX,0.17155315328601559,0.060136725038397336,0.24522790428170554,1.0711185507800491,0.9921463284959214
97,0-156,157-208,1,RF,0.17520677495213305,0.06164926950638912,0.2482927093299139,1.0845051576234908,1.0132763820817514
98,0-156,157-208,1,XGB,0.17659706863468458,0.06258589771418531,0.2501717364415599,1.0927124650365598,1.0213168916629123
