,date,incidence,gr
0,29/12/2014,1.0,53
1,14/12/2015,3.0,49
2,21/12/2015,0.0,51
3,28/12/2015,6.0,54
4,04/01/2016,3.0,53
5,11/01/2016,24.0,50
6,18/01/2016,12.0,59
7,25/01/2016,4.0,56
8,01/02/2016,0.0,58
9,08/02/2016,8.0,77
10,15/02/2016,8.0,100
11,22/02/2016,4.0,90
12,29/02/2016,8.0,73
13,07/03/2016,4.0,60
14,14/03/2016,0.0,52
15,21/03/2016,4.0,50
16,28/03/2016,12.0,51
17,04/04/2016,4.0,44
18,11/04/2016,4.0,44
19,18/04/2016,4.0,45
20,25/04/2016,8.0,43
21,02/05/2016,4.0,41
22,09/05/2016,4.0,41
23,16/05/2016,0.0,36
24,23/05/2016,2.0,37
25,30/05/2016,0.0,40
26,12/09/2016,2.0,39
27,19/09/2016,4.0,38
28,26/09/2016,0.0,37
29,03/10/2016,12.0,42
30,10/10/2016,12.0,38
31,17/10/2016,12.0,36
32,24/10/2016,9.0,40
33,31/10/2016,16.0,39
34,07/11/2016,24.0,44
35,14/11/2016,8.0,44
36,21/11/2016,16.0,43
37,28/11/2016,8.0,40
38,05/12/2016,4.0,40
39,12/12/2016,8.0,44
40,19/12/2016,20.0,45
41,26/12/2016,0.0,44
42,02/01/2017,16.0,44
43,09/01/2017,8.0,41
44,16/01/2017,12.0,39
45,23/01/2017,12.0,42
46,30/01/2017,4.0,38
47,06/02/2017,8.0,40
48,13/02/2017,4.0,42
49,20/02/2017,20.0,45
50,27/02/2017,32.0,50
51,06/03/2017,0.0,44
52,13/03/2017,9.0,47
53,20/03/2017,6.0,41
54,27/03/2017,2.0,45
55,03/04/2017,2.0,43
56,10/04/2017,9.0,42
57,17/04/2017,12.0,37
58,24/04/2017,8.0,43
59,01/05/2017,8.0,44
60,08/05/2017,28.0,42
61,15/05/2017,76.0,40
62,22/05/2017,44.0,40
63,29/05/2017,40.0,43
64,05/06/2017,61.0,45
65,12/06/2017,3.0,42
66,19/06/2017,12.0,40
67,26/06/2017,27.0,39
68,03/07/2017,12.0,38
69,10/07/2017,12.0,40
70,17/07/2017,30.0,45
71,24/07/2017,15.0,44
72,31/07/2017,15.0,43
73,07/08/2017,20.0,38
74,14/08/2017,4.0,41
75,21/08/2017,4.0,37
76,28/08/2017,8.0,45
77,04/09/2017,8.0,41
78,11/09/2017,4.0,41
79,18/09/2017,0.0,37
80,25/09/2017,0.0,40
81,02/10/2017,12.0,41
82,09/10/2017,12.0,39
83,16/10/2017,12.0,42
84,23/10/2017,45.0,41
85,30/10/2017,6.0,42
86,06/11/2017,26.0,43
87,13/11/2017,8.0,42
88,20/11/2017,2.0,43
89,04/12/2017,4.0,42
90,11/12/2017,4.0,45
91,18/12/2017,6.0,51
92,25/12/2017,4.0,44
93,01/01/2018,16.0,44
94,08/01/2018,8.0,47
95,15/01/2018,12.0,49
96,22/01/2018,16.0,50
97,29/01/2018,12.0,50
98,05/02/2018,4.0,38
99,12/02/2018,8.0,46
100,19/02/2018,24.0,49
101,26/02/2018,12.0,54
102,05/03/2018,16.0,62
103,12/03/2018,28.0,59
104,19/03/2018,20.0,54
105,26/03/2018,16.0,46
106,02/04/2018,4.0,40
107,09/04/2018,12.0,44
108,16/04/2018,18.0,45
109,23/04/2018,21.0,40
110,30/04/2018,27.0,42
111,07/05/2018,12.0,46
112,14/05/2018,16.0,38
113,21/05/2018,52.0,42
114,28/05/2018,32.0,43
115,04/06/2018,20.0,44
116,11/06/2018,16.0,44
117,18/06/2018,12.0,44
118,25/06/2018,28.0,49
119,02/07/2018,24.0,40
120,09/07/2018,4.0,40
121,16/07/2018,12.0,40
122,23/07/2018,16.0,37
123,30/07/2018,4.0,38
124,06/08/2018,0.0,39
125,13/08/2018,4.0,39
126,20/08/2018,12.0,41
127,27/08/2018,8.0,37
128,03/09/2018,4.0,39
129,10/09/2018,8.0,42
130,17/09/2018,8.0,44
131,24/09/2018,16.0,38
132,01/10/2018,20.0,38
133,08/10/2018,18.0,42
134,15/10/2018,18.0,38
135,22/10/2018,12.0,38
136,29/10/2018,27.0,34
137,05/11/2018,52.0,36
138,12/11/2018,8.0,34
139,19/11/2018,20.0,32
140,26/11/2018,16.0,33
141,03/12/2018,20.0,33
142,10/12/2018,32.0,32
143,17/12/2018,16.0,39
144,24/12/2018,12.0,35
145,31/12/2018,12.0,40
146,07/01/2019,24.0,43
147,14/01/2019,24.0,41
148,21/01/2019,8.0,39
149,28/01/2019,24.0,39
150,04/02/2019,28.0,37
151,11/02/2019,32.0,46
152,18/02/2019,36.0,54
153,25/02/2019,84.0,58
154,04/03/2019,16.0,67
155,11/03/2019,60.0,65
156,18/03/2019,69.0,57
157,25/03/2019,16.0,46
158,01/04/2019,21.0,45
159,22/07/2019,9.0,44
160,29/07/2019,12.0,44
161,05/08/2019,18.0,47
162,12/08/2019,20.0,45
163,19/08/2019,24.0,46
164,26/08/2019,12.0,46
165,02/09/2019,36.0,40
166,09/09/2019,24.0,48
167,16/09/2019,28.0,45
168,23/09/2019,17.0,44
169,30/09/2019,12.0,43
170,07/10/2019,48.0,43
171,14/10/2019,36.0,45
172,21/10/2019,44.0,41
173,28/10/2019,24.0,38
174,04/11/2019,12.0,38
175,11/11/2019,24.0,41
176,18/11/2019,18.0,40
177,25/11/2019,24.0,41
178,02/12/2019,32.0,35
179,09/12/2019,28.0,37
180,16/12/2019,32.0,34
181,23/12/2019,44.0,34
182,30/12/2019,56.0,34
183,06/01/2020,56.0,33
184,13/01/2020,80.0,36
185,20/01/2020,92.0,32
186,27/01/2020,48.0,33
187,03/02/2020,104.0,31
188,10/02/2020,56.0,30
189,17/02/2020,120.0,30
190,24/02/2020,156.0,31
191,02/03/2020,80.0,31
192,09/03/2020,100.0,29
193,16/03/2020,76.0,28
194,23/03/2020,76.0,30
195,30/03/2020,52.0,30
196,06/04/2020,32.0,31
197,13/04/2020,36.0,34
198,20/04/2020,32.0,33
199,27/04/2020,24.0,32
