,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.07186883629191321,0.013334945380063724,0.11547703399405322,1.1902791610670393,1.0
1,0-52,53-104,0,SARIMAX,0.09996055429150043,0.0185617127817062,0.13624137690770086,1.4043075596890338,1.3908748137438278
2,0-52,53-104,0,RF,0.06720589840181185,0.01135363581771141,0.10655344113500703,1.0982992560192848,0.9351187784485382
3,0-52,53-104,0,XGB,0.06767482558059593,0.011468340729259018,0.10709033910329642,1.103833330121907,0.94164354221234
4,0-52,53-104,0,ENet,0.0643374827881359,0.011581551006648856,0.10761761476007939,1.109268222279243,0.895206964626687
5,0-52,53-104,1,SNaive,0.07260848126232741,0.013609941587012593,0.1166616543128572,1.1874019319772873,1.0
6,0-52,53-104,1,SARIMAX,0.10659339510228413,0.02049111788117545,0.14314718956785513,1.4569761628286588,1.468057081612443
7,0-52,53-104,1,RF,0.06608242915177089,0.01149112848229544,0.1071966813026198,1.0910658453285471,0.9101199750070721
8,0-52,53-104,1,XGB,0.06836281121084815,0.011867496526624778,0.1089380398512144,1.108789685411608,0.9415265272366727
9,0-52,53-104,1,ENet,0.06477532262508952,0.011497364241839565,0.10722576295760065,1.0913618433024552,0.8921178559163433
10,0-52,53-104,2,SNaive,0.07729289940828402,0.013527758812522127,0.11630889395279334,1.1808482449875592,1.0
11,0-52,53-104,2,SARIMAX,0.07861987909149669,0.0160818514215242,0.12681423982157602,1.2875057740082916,1.0171681964756318
12,0-52,53-104,2,RF,0.06796880345438039,0.010923971280368268,0.10451780365262307,1.06113695022538,0.8793667202901655
13,0-52,53-104,2,XGB,0.06880067508399976,0.011240320161265006,0.10602037616074095,1.0763921044004139,0.8901293082638055
14,0-52,53-104,2,ENet,0.06445380410584758,0.011443451796209618,0.10697407067233451,1.086074669954916,0.8338903650823535
15,0-52,53-104,3,SNaive,0.07532051282051282,0.012735959389065899,0.11285370791013426,1.1316060303671316,1.0
16,0-52,53-104,3,SARIMAX,0.11355429467751413,0.022681827018417422,0.15060487050031757,1.5101442639042972,1.5076144655057195
17,0-52,53-104,3,RF,0.06838384838643714,0.012485900721323275,0.11174032719355745,1.1204419458518398,0.907904710492272
18,0-52,53-104,3,XGB,0.06836158833494024,0.012613461747738825,0.112309668985973,1.1261508464947012,0.9076091727872918
19,0-52,53-104,3,ENet,0.06402324529611253,0.011359702503818011,0.10658190514256166,1.0687174468683072,0.8500107460590259
20,0-52,53-104,4,SNaive,0.07938856015779092,0.013564899104839934,0.11646844682075885,1.1550024946332471,1.0
21,0-52,53-104,4,SARIMAX,0.10229235607913362,0.019989278330789225,0.14138344433061895,1.4020812963447205,1.2885024728477206
22,0-52,53-104,4,RF,0.07122809081943697,0.011675727475737939,0.10805428022867923,1.0715602948839196,0.8972084980237155
23,0-52,53-104,4,XGB,0.07129135686827041,0.011822715497838627,0.10873231119514855,1.0782842401161923,0.8980054144649219
24,0-52,53-104,4,ENet,0.06458806338290621,0.011139050854050018,0.1055417019668056,1.0466433818517449,0.8135688977672907
25,0-52,53-104,5,SNaive,0.07827909270216962,0.013696865675415972,0.1170336091702549,1.147976587169417,1.0
26,0-52,53-104,5,SARIMAX,0.07686088695929175,0.01497799608257769,0.12238462355450413,1.2004644090376513,0.981882700809094
27,0-52,53-104,5,RF,0.07841430239987933,0.011925899798673617,0.1092057681566025,1.071193701676372,1.0017272772721593
28,0-52,53-104,5,XGB,0.08018545843674608,0.012272931807576843,0.11078326501587162,1.086667286346736,1.024353446990369
29,0-52,53-104,5,ENet,0.0662069741957959,0.011327830725310423,0.10643228234567942,1.0439887235648748,0.8457810624823564
30,0-52,53-104,6,SNaive,0.08431952662721892,0.014070639255550497,0.1186197254066561,1.1374033244666601,1.0
31,0-52,53-104,6,SARIMAX,0.08311919513821923,0.01588983804229501,0.12605490090549837,1.2086966384697433,0.9857644897094072
32,0-52,53-104,6,RF,0.0779357213299521,0.01284966794136988,0.11335637583025439,1.0869348944858437,0.9242903091060988
