,date,incidence,gr
0,29/12/2014,93.0,58
1,14/12/2015,103.0,0
2,21/12/2015,136.0,0
3,28/12/2015,186.0,0
4,04/01/2016,279.0,0
5,11/01/2016,468.0,0
6,18/01/2016,384.0,0
7,25/01/2016,424.0,0
8,01/02/2016,488.0,0
9,08/02/2016,420.0,0
10,15/02/2016,332.0,0
11,22/02/2016,460.0,30
12,29/02/2016,460.0,0
13,07/03/2016,512.0,0
14,14/03/2016,580.0,0
15,21/03/2016,420.0,0
16,28/03/2016,320.0,0
17,04/04/2016,420.0,28
18,11/04/2016,480.0,41
19,18/04/2016,460.0,47
20,25/04/2016,480.0,46
21,02/05/2016,492.0,30
22,09/05/2016,504.0,35
23,16/05/2016,408.0,44
24,23/05/2016,258.0,0
25,30/05/2016,97.0,40
26,12/09/2016,137.0,39
27,19/09/2016,252.0,0
28,26/09/2016,393.0,0
29,03/10/2016,396.0,0
30,10/10/2016,480.0,0
31,17/10/2016,612.0,0
32,24/10/2016,531.0,38
33,31/10/2016,564.0,35
34,07/11/2016,544.0,0
35,14/11/2016,628.0,0
36,21/11/2016,708.0,0
37,28/11/2016,584.0,0
38,05/12/2016,560.0,0
39,12/12/2016,528.0,42
40,19/12/2016,468.0,0
41,26/12/2016,352.0,39
42,02/01/2017,528.0,34
43,09/01/2017,484.0,61
44,16/01/2017,532.0,32
45,23/01/2017,456.0,41
46,30/01/2017,616.0,0
47,06/02/2017,448.0,0
48,13/02/2017,472.0,38
49,20/02/2017,488.0,42
50,27/02/2017,568.0,0
51,06/03/2017,608.0,43
52,13/03/2017,396.0,38
53,20/03/2017,244.0,41
54,27/03/2017,304.0,37
55,03/04/2017,278.0,33
56,10/04/2017,279.0,49
57,17/04/2017,464.0,49
58,24/04/2017,480.0,55
59,01/05/2017,420.0,36
60,08/05/2017,524.0,40
61,15/05/2017,620.0,36
62,22/05/2017,448.0,0
63,29/05/2017,392.0,40
64,05/06/2017,459.0,34
65,12/06/2017,276.0,0
66,19/06/2017,300.0,0
67,26/06/2017,336.0,38
68,03/07/2017,279.0,36
69,10/07/2017,332.0,48
70,17/07/2017,725.0,0
71,24/07/2017,640.0,46
72,31/07/2017,690.0,0
73,07/08/2017,765.0,0
74,14/08/2017,588.0,0
75,21/08/2017,556.0,0
76,28/08/2017,424.0,0
77,04/09/2017,564.0,0
78,11/09/2017,568.0,52
79,18/09/2017,620.0,0
80,25/09/2017,664.0,46
81,02/10/2017,560.0,0
82,09/10/2017,612.0,0
83,16/10/2017,432.0,0
84,23/10/2017,396.0,0
85,30/10/2017,369.0,0
86,06/11/2017,282.0,0
87,13/11/2017,302.0,0
88,20/11/2017,142.0,0
89,04/12/2017,136.0,0
90,11/12/2017,288.0,0
91,18/12/2017,417.0,0
92,25/12/2017,332.0,0
93,01/01/2018,500.0,0
94,08/01/2018,520.0,46
95,15/01/2018,512.0,0
96,22/01/2018,592.0,43
97,29/01/2018,472.0,0
98,05/02/2018,580.0,0
99,12/02/2018,444.0,77
100,19/02/2018,528.0,0
101,26/02/2018,620.0,46
102,05/03/2018,728.0,0
103,12/03/2018,680.0,0
104,19/03/2018,612.0,0
105,26/03/2018,536.0,58
106,02/04/2018,568.0,54
107,09/04/2018,524.0,51
108,16/04/2018,375.0,51
109,23/04/2018,465.0,0
110,30/04/2018,438.0,51
111,07/05/2018,336.0,33
112,14/05/2018,632.0,48
113,21/05/2018,712.0,52
114,28/05/2018,544.0,43
115,04/06/2018,628.0,59
116,11/06/2018,468.0,36
117,18/06/2018,548.0,64
118,25/06/2018,628.0,58
119,02/07/2018,720.0,0
120,09/07/2018,756.0,51
121,16/07/2018,728.0,36
122,23/07/2018,660.0,40
123,30/07/2018,620.0,44
124,06/08/2018,512.0,45
125,13/08/2018,696.0,50
126,20/08/2018,496.0,43
127,27/08/2018,572.0,59
128,03/09/2018,628.0,0
129,10/09/2018,668.0,43
130,17/09/2018,636.0,0
131,24/09/2018,596.0,37
132,01/10/2018,664.0,57
133,08/10/2018,498.0,0
134,15/10/2018,531.0,48
135,22/10/2018,456.0,38
136,29/10/2018,414.0,0
137,05/11/2018,764.0,50
138,12/11/2018,616.0,61
139,19/11/2018,672.0,52
140,26/11/2018,712.0,50
141,03/12/2018,652.0,0
142,10/12/2018,760.0,0
143,17/12/2018,728.0,0
144,24/12/2018,520.0,0
145,31/12/2018,592.0,36
146,07/01/2019,728.0,0
147,14/01/2019,676.0,0
148,21/01/2019,808.0,33
149,28/01/2019,640.0,0
150,04/02/2019,840.0,44
151,11/02/2019,764.0,66
152,18/02/2019,812.0,46
153,25/02/2019,888.0,36
154,04/03/2019,804.0,0
155,11/03/2019,836.0,0
156,18/03/2019,705.0,60
157,25/03/2019,424.0,42
158,01/04/2019,224.0,65
159,22/07/2019,217.0,0
160,29/07/2019,500.0,51
161,05/08/2019,573.0,47
162,12/08/2019,792.0,49
163,19/08/2019,800.0,84
164,26/08/2019,756.0,77
165,02/09/2019,936.0,0
166,09/09/2019,815.0,51
167,16/09/2019,874.0,70
168,23/09/2019,864.0,59
169,30/09/2019,996.0,47
170,07/10/2019,968.0,42
171,14/10/2019,992.0,66
172,21/10/2019,876.0,47
173,28/10/2019,684.0,43
174,04/11/2019,606.0,0
175,11/11/2019,501.0,45
176,18/11/2019,504.0,0
177,25/11/2019,546.0,39
178,02/12/2019,652.0,38
179,09/12/2019,464.0,48
180,16/12/2019,616.0,42
181,23/12/2019,376.0,65
182,30/12/2019,516.0,53
183,06/01/2020,596.0,51
184,13/01/2020,560.0,55
185,20/01/2020,808.0,46
