,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.07168455708357625,0.008469433435330208,0.09202952480226227,0.5516190788240231,1.0
1,0-52,53-104,0,SARIMAX,0.19278879102312083,0.0449119986202898,0.2119245116080011,1.2702619526137426,2.6894047876776366
2,0-52,53-104,0,RF,0.06413723761919037,0.0055314377384820985,0.07437363604451579,0.4457908121531499,0.8947148483377452
3,0-52,53-104,0,XGB,0.06486738289146607,0.006079113620182934,0.07796867076065189,0.4673392200441644,0.9049003792523665
4,0-52,53-104,0,ENet,0.05919059910303105,0.004923141016816666,0.07016509828124426,0.4205651062814742,0.8257092114557026
5,0-52,53-104,1,SNaive,0.07741177680990431,0.009494789257667734,0.09744120923750758,0.5754216434927819,1.0
6,0-52,53-104,1,SARIMAX,0.07249962100714445,0.008039872263339074,0.08966533479187525,0.5295026068951021,0.9365451097341124
7,0-52,53-104,1,RF,0.06271519346150248,0.005323720089779638,0.07296382726926842,0.4308748396222162,0.8101505487402596
8,0-52,53-104,1,XGB,0.06198549207527101,0.0057653656497943335,0.07593000493740491,0.448391071635824,0.8007243165014187
9,0-52,53-104,1,ENet,0.05819346368349977,0.004782662365717475,0.06915679551365488,0.40839309409805324,0.7517391549660738
10,0-52,53-104,2,SNaive,0.08295037552728145,0.010292978814006933,0.10145431885339792,0.5912178832767885,1.0
11,0-52,53-104,2,SARIMAX,0.07134646701318746,0.007927505597020934,0.08903654079657933,0.5188541579989921,0.8601102353023394
12,0-52,53-104,2,RF,0.06312831919339541,0.005630792062859916,0.075038603817368,0.4372821681160397,0.7610371718285135
13,0-52,53-104,2,XGB,0.05837130552778854,0.004814045005564851,0.0693833193611033,0.404326397052293,0.7036894668257514
14,0-52,53-104,2,ENet,0.05779033885133364,0.004721960741776101,0.06871652451758675,0.4004406971587934,0.6966856808541758
15,0-52,53-104,3,SNaive,0.08142426009122397,0.010204260506185616,0.10101613983015593,0.5815171257702023,1.0
16,0-52,53-104,3,SARIMAX,0.08082374512687604,0.009380521417793166,0.09685309193718683,0.5575518104331338,0.9926248643380347
17,0-52,53-104,3,RF,0.06053983154071644,0.004975611279415099,0.07053801301011461,0.4060644432874848,0.7435109815292201
18,0-52,53-104,3,XGB,0.05604679508023509,0.0042683849190152875,0.06533287777999135,0.3761001694263399,0.688330419182721
19,0-52,53-104,3,ENet,0.05679061515037593,0.004604187312620205,0.06785416208767303,0.39061438474200844,0.6974655352931712
20,0-52,53-104,4,SNaive,0.07555986144929525,0.0092627608767384,0.0962432380831942,0.5514283203355819,1.0
21,0-52,53-104,4,SARIMAX,0.07895838565243057,0.009565238739305674,0.09780203852326226,0.5603595109888108,1.044977904114024
22,0-52,53-104,4,RF,0.06716804578108952,0.006506191200119974,0.08066096453750088,0.46214924889698655,0.8889381808377576
23,0-52,53-104,4,XGB,0.06585148300511416,0.00628851870218347,0.07930018097194652,0.4543526014562046,0.8715140782689771
24,0-52,53-104,4,ENet,0.060298725803434046,0.005349019129107559,0.07313698878889914,0.4190404197269756,0.7980258916157191
25,0-52,53-104,5,SNaive,0.07549984567371995,0.00908116164854869,0.09529512919634817,0.5459692842590268,1.0
26,0-52,53-104,5,SARIMAX,0.07680360142715352,0.00922533150778281,0.09604858930657342,0.5502860429492828,1.01726832342238
27,0-52,53-104,5,RF,0.06838064246148054,0.006807627697501525,0.08250834925934178,0.4727106702138025,0.9057057249758397
28,0-52,53-104,5,XGB,0.07165513885386622,0.007647178444077916,0.08744814717349886,0.5010119900642606,0.9490766267726028
29,0-52,53-104,5,ENet,0.054950093679489775,0.00449171016086866,0.06702022202938945,0.3839753716779581,0.7278172980241846
30,0-52,53-104,6,SNaive,0.07308206728625809,0.0077613344346584255,0.0880984360511492,0.5057811177033786,1.0
31,0-52,53-104,6,SARIMAX,0.07439074063570504,0.008619570287515256,0.09284164091352143,0.5330122873395102,1.0179069010776742
32,0-52,53-104,6,RF,0.07112388808382128,0.007259110501230384,0.08520041373861036,0.48914330856549326,0.9732057497119404
33,0-52,53-104,6,XGB,0.07609186747792472,0.008694268440474393,0.0932430610848571,0.5353168769784109,1.0411838403513878
34,0-52,53-104,6,ENet,0.05531382638577842,0.004439206106311143,0.06662736754751115,0.3825137645831617,0.7568727656419114
35,0-52,53-104,7,SNaive,0.06792071058678281,0.006701362800359252,0.0818618519235868,0.47192758802686197,1.0
36,0-52,53-104,7,SARIMAX,0.07621250116566264,0.009097123200020634,0.09537884042082202,0.549852037926206,1.122080445084351
37,0-52,53-104,7,RF,0.06381068975674768,0.005671916828798913,0.07531212936040856,0.4341689165717978,0.9394879589078544
38,0-52,53-104,7,XGB,0.0667607225503726,0.006266866547513683,0.07916354304548075,0.45637203472976934,0.9829214384480256
39,0-52,53-104,7,ENet,0.05590882002190981,0.004468395586176783,0.06684605886794512,0.3853626394880213,0.8231483378030134
40,0-52,53-104,8,SNaive,0.06824651051133443,0.006593509471040579,0.08120042777621667,0.4656289623454675,1.0
41,0-52,53-104,8,SARIMAX,0.07534916785708648,0.008843116958680902,0.09403784854345032,0.5392427975768866,1.1040735605752683
42,0-52,53-104,8,RF,0.05749578602452154,0.004882522916551936,0.06987505217566521,0.4006856728397684,0.8424721732105643
43,0-52,53-104,8,XGB,0.05704333978702266,0.005141854061501121,0.07170672256839745,0.41118905081060014,0.8358425853516549
44,0-52,53-104,8,ENet,0.05666825389801893,0.004535635194275015,0.06734712461772228,0.38618973583641386,0.8303465404082078
45,0-104,105-156,0,SNaive,0.08495661716794128,0.011528261799875135,0.10736974340974804,0.4483130733994191,1.0
46,0-104,105-156,0,SARIMAX,0.1373357921257513,0.02482014569717745,0.15754410714837114,0.6578117878340881,1.616540261416806
47,0-104,105-156,0,RF,0.09691010534742907,0.012885290549331543,0.1135133937001777,0.4739653536054244,1.1407010846001349
48,0-104,105-156,0,XGB,0.10207839572813748,0.015401258402682083,0.12410180660523071,0.5181763555240098,1.201535549918967
49,0-104,105-156,0,ENet,0.08424843101615281,0.00955745136925642,0.0977622185164413,0.40819768450217114,0.9916641437077405
50,0-104,105-156,1,SNaive,0.09435337288658732,0.01331171002004063,0.11537638415221994,0.48368341391626507,1.0
51,0-104,105-156,1,SARIMAX,0.13635101720298,0.024289503212326362,0.1558509005823398,0.653361571429868,1.4451101537925286
52,0-104,105-156,1,RF,0.0999560381647658,0.012930647347506152,0.11371300430252537,0.47671015634495545,1.0593795972181395
53,0-104,105-156,1,XGB,0.1027495789400373,0.014583335434566311,0.12076148158484273,0.506258937751769,1.0889868141072414
54,0-104,105-156,1,ENet,0.0822216125381529,0.009237709385843786,0.09611300320895079,0.402927044866623,0.871422080872331
55,0-104,105-156,2,SNaive,0.10222401316917587,0.014461409080354353,0.12025559895636607,0.5104495247061182,1.0
56,0-104,105-156,2,SARIMAX,0.13340902764478565,0.02342897863822137,0.15306527574280646,0.6497169190457084,1.305065448995825
57,0-104,105-156,2,RF,0.09681236797698779,0.012918860234131826,0.11366116414207549,0.4824580952352834,0.9470609201848487
58,0-104,105-156,2,XGB,0.09956695233468212,0.015042724021488636,0.1226487832042725,0.5206078855016205,0.9740074689682116
59,0-104,105-156,2,ENet,0.0817602667803292,0.009102107490449847,0.09540496575362231,0.40496592130575343,0.7998146839042589
60,0-104,105-156,3,SNaive,0.10466751260331288,0.014254268459107251,0.11939124113228429,0.512506598973358,1.0
61,0-104,105-156,3,SARIMAX,0.13260818870145308,0.022987657945006217,0.15161681287049342,0.6508401820309474,1.2669469771774804
62,0-104,105-156,3,RF,0.09078126600418639,0.011212933705844707,0.10589114082794984,0.4545551912557049,0.8673299264141778
63,0-104,105-156,3,XGB,0.09162988296671531,0.012601545993158946,0.11225660779285532,0.48188000833710476,0.8754376662603053
64,0-104,105-156,3,ENet,0.08213808037704604,0.009082787087082584,0.0953036572597431,0.4091066713829965,0.7847523871934093
65,0-104,105-156,4,SNaive,0.10793408553105387,0.01550801754342805,0.1245311910463722,0.5321226552932543,1.0
66,0-104,105-156,4,SARIMAX,0.15544863406225676,0.029738950600597763,0.17244984952326797,0.7368794200247614,1.4402181970359347
67,0-104,105-156,4,RF,0.0910518383679637,0.011136215875548262,0.10552827050391882,0.4509230421488524,0.8435874350532858
68,0-104,105-156,4,XGB,0.09640367456361039,0.012225049561107038,0.110566946060326,0.47245333824341235,0.893171736150708
69,0-104,105-156,4,ENet,0.0811187920416632,0.008948268683203262,0.09459528890596647,0.40420633487823515,0.7515586169331503
70,0-104,105-156,5,SNaive,0.10064645563976815,0.014630971516155899,0.12095855288550661,0.5148197990933422,1.0
71,0-104,105-156,5,SARIMAX,0.15269291017395178,0.028768832267314047,0.16961377381366777,0.7219045439545669,1.5171215836995522
72,0-104,105-156,5,RF,0.0791628156161547,0.008696423647814748,0.09325461730024283,0.39690722315833904,0.7865435013379181
73,0-104,105-156,5,XGB,0.07754107474337399,0.008442023433409572,0.09188048450791698,0.39105868453749104,0.7704302575831136
74,0-104,105-156,5,ENet,0.08339411673306073,0.00927703321081575,0.09631735674745104,0.40994275367084,0.8285847345836335
75,0-104,105-156,6,SNaive,0.1013666449466717,0.014265227329789012,0.11943712709952886,0.5018614005468928,1.0
76,0-104,105-156,6,SARIMAX,0.1532110546132955,0.028537842666588223,0.16893147328602867,0.7098310871888912,1.5114543318849982
77,0-104,105-156,6,RF,0.08801790548873238,0.009761219295530517,0.0987988830682337,0.41514181589258975,0.8683123086005066
