,date,incidence,gr
0,29/12/2014,0.0,65
1,14/12/2015,0.0,70
2,21/12/2015,0.0,57
3,28/12/2015,0.0,68
4,04/01/2016,0.0,57
5,11/01/2016,0.0,59
6,18/01/2016,0.0,74
7,25/01/2016,0.0,59
8,01/02/2016,0.0,62
9,08/02/2016,0.0,46
10,15/02/2016,0.0,64
11,22/02/2016,0.0,48
12,29/02/2016,0.0,38
13,07/03/2016,0.0,45
14,14/03/2016,0.0,55
15,21/03/2016,0.0,45
16,28/03/2016,0.0,41
17,04/04/2016,0.0,47
18,11/04/2016,0.0,46
19,18/04/2016,0.0,40
20,25/04/2016,0.0,43
21,02/05/2016,0.0,33
22,09/05/2016,0.0,51
23,16/05/2016,0.0,42
24,23/05/2016,0.0,34
25,30/05/2016,0.0,46
26,12/09/2016,15.0,23
27,19/09/2016,66.0,48
28,26/09/2016,156.0,46
29,03/10/2016,184.0,49
30,10/10/2016,141.0,26
31,17/10/2016,86.0,35
32,24/10/2016,104.0,50
33,31/10/2016,110.0,51
34,07/11/2016,222.0,57
35,14/11/2016,268.0,48
36,21/11/2016,396.0,29
37,28/11/2016,368.0,47
38,05/12/2016,340.0,49
39,12/12/2016,284.0,66
40,19/12/2016,360.0,48
41,26/12/2016,224.0,44
42,02/01/2017,180.0,32
43,09/01/2017,92.0,41
44,16/01/2017,67.0,32
45,23/01/2017,0.0,56
46,30/01/2017,0.0,40
47,06/02/2017,0.0,34
48,13/02/2017,0.0,39
49,20/02/2017,0.0,39
50,27/02/2017,0.0,54
51,06/03/2017,0.0,34
52,13/03/2017,0.0,47
53,20/03/2017,0.0,52
54,27/03/2017,0.0,41
55,03/04/2017,0.0,28
56,10/04/2017,0.0,48
57,17/04/2017,0.0,44
58,24/04/2017,0.0,48
59,01/05/2017,0.0,50
60,08/05/2017,0.0,55
61,15/05/2017,0.0,26
62,22/05/2017,0.0,31
63,29/05/2017,0.0,49
64,05/06/2017,0.0,55
65,12/06/2017,0.0,34
66,19/06/2017,0.0,44
67,26/06/2017,0.0,46
68,03/07/2017,0.0,44
69,10/07/2017,0.0,35
70,17/07/2017,0.0,46
71,24/07/2017,0.0,39
72,31/07/2017,0.0,39
73,07/08/2017,0.0,45
74,14/08/2017,0.0,50
75,21/08/2017,0.0,48
76,28/08/2017,0.0,33
77,04/09/2017,0.0,36
78,11/09/2017,0.0,27
79,18/09/2017,0.0,44
80,25/09/2017,0.0,48
81,02/10/2017,0.0,63
82,09/10/2017,0.0,43
83,16/10/2017,0.0,46
84,23/10/2017,0.0,53
85,30/10/2017,0.0,51
86,06/11/2017,0.0,42
87,13/11/2017,0.0,63
88,20/11/2017,0.0,68
89,04/12/2017,0.0,63
90,11/12/2017,0.0,38
91,18/12/2017,0.0,69
92,25/12/2017,0.0,64
93,01/01/2018,0.0,67
94,08/01/2018,0.0,73
95,15/01/2018,0.0,45
96,22/01/2018,0.0,60
97,29/01/2018,0.0,63
98,05/02/2018,0.0,72
99,12/02/2018,0.0,36
100,19/02/2018,0.0,57
101,26/02/2018,0.0,56
102,05/03/2018,0.0,50
103,12/03/2018,0.0,47
104,19/03/2018,0.0,64
105,26/03/2018,0.0,51
106,02/04/2018,0.0,55
107,09/04/2018,0.0,32
108,16/04/2018,0.0,58
109,23/04/2018,0.0,79
110,30/04/2018,0.0,73
111,07/05/2018,0.0,49
112,14/05/2018,0.0,41
113,21/05/2018,0.0,76
114,28/05/2018,0.0,68
115,04/06/2018,0.0,42
116,11/06/2018,0.0,48
117,18/06/2018,0.0,60
118,25/06/2018,0.0,45
119,02/07/2018,0.0,54
120,09/07/2018,0.0,52
121,16/07/2018,0.0,62
122,23/07/2018,0.0,46
123,30/07/2018,0.0,44
124,06/08/2018,0.0,46
