,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.1778846153846154,0.11621888563176443,0.3409089110477525,inf,1.0
1,0-52,53-104,0,SARIMAX,0.17864636410639223,0.11084324976619679,0.33293129886839534,inf,1.0042822630845833
2,0-52,53-104,0,RF,0.19534670807587476,0.08119362431666058,0.28494494962476624,inf,1.0981652778319446
3,0-52,53-104,0,XGB,0.19636825478608863,0.0947979872453156,0.3078928177878068,inf,1.1039080269055792
4,0-52,53-104,0,ENet,0.17452830188679236,0.030460128159487357,0.17452830188679244,inf,0.9811320754716976
5,0-52,53-104,1,SNaive,0.1778846153846154,0.11621888563176443,0.3409089110477525,inf,1.0
6,0-52,53-104,1,SARIMAX,0.1902589378735426,0.12115902785874483,0.3480790540362129,inf,1.0695637588566718
7,0-52,53-104,1,RF,0.19375542956272124,0.07267718579354586,0.26958706533056415,inf,1.089219712136379
8,0-52,53-104,1,XGB,0.196726676986705,0.09121311615325417,0.3020150925918342,inf,1.1059229408982336
9,0-52,53-104,1,ENet,0.17452830188679236,0.030460128159487357,0.17452830188679244,inf,0.9811320754716976
10,0-52,53-104,2,SNaive,0.1778846153846154,0.11621888563176443,0.3409089110477525,inf,1.0
11,0-52,53-104,2,SARIMAX,0.17856511774980188,0.11579591939492923,0.3402879947851955,inf,1.003825526809697
12,0-52,53-104,2,RF,0.1862152544600462,0.07362628811023766,0.2713416446294923,inf,1.0468317007483678
13,0-52,53-104,2,XGB,0.1932090915954457,0.08404041979814267,0.28989725731393645,inf,1.08614840680683
14,0-52,53-104,2,ENet,0.17452830188679236,0.030460128159487357,0.17452830188679244,inf,0.9811320754716976
15,0-52,53-104,3,SNaive,0.1778846153846154,0.11621888563176443,0.3409089110477525,inf,1.0
16,0-52,53-104,3,SARIMAX,0.18759894095777113,0.11826118734121246,0.34389124347853417,inf,1.0546102626815241
17,0-52,53-104,3,RF,0.1885915508103008,0.0728815171186659,0.26996577027220675,inf,1.0601903396903396
18,0-52,53-104,3,XGB,0.20957635378559084,0.09723368410732133,0.3118231615953525,inf,1.1781589618216999
19,0-52,53-104,3,ENet,0.17452830188679236,0.030460128159487357,0.17452830188679244,inf,0.9811320754716976
20,0-52,53-104,4,SNaive,0.1778846153846154,0.11621888563176443,0.3409089110477525,inf,1.0
21,0-52,53-104,4,SARIMAX,0.18046501836304094,0.11379643856251317,0.3373372771611717,inf,1.0145060491760138
22,0-52,53-104,4,RF,0.1964240817053317,0.09734199277335281,0.3119967832740473,inf,1.1042218647218647
23,0-52,53-104,4,XGB,0.23233608457667287,0.1454706210605416,0.3814061104132203,inf,1.306105556539134
24,0-52,53-104,4,ENet,0.17452830188679236,0.030460128159487357,0.17452830188679244,inf,0.9811320754716976
25,0-52,53-104,5,SNaive,0.1778846153846154,0.11621888563176443,0.3409089110477525,inf,1.0
26,0-52,53-104,5,SARIMAX,0.18350840288480402,0.11809296967445128,0.3436465766953765,inf,1.0316148054064658
27,0-52,53-104,5,RF,0.2099173904798905,0.11107097569093546,0.3332731247654624,inf,1.1800761410761411
28,0-52,53-104,5,XGB,0.2518541535156636,0.171052558535787,0.41358500762937117,inf,1.4158287548988655
29,0-52,53-104,5,ENet,0.17452830188679236,0.030460128159487357,0.17452830188679244,inf,0.9811320754716976
30,0-52,53-104,6,SNaive,0.1778846153846154,0.11621888563176443,0.3409089110477525,inf,1.0
31,0-52,53-104,6,SARIMAX,0.17922185732388607,0.11201005983755483,0.33467904003321575,inf,1.0075174681991432
32,0-52,53-104,6,RF,0.20205742097408763,0.10530210870375059,0.32450286393767097,inf,1.1358903665570332
33,0-52,53-104,6,XGB,0.2594013598919936,0.18695819516389503,0.4323866269484927,inf,1.4582562934468828
34,0-52,53-104,6,ENet,0.17452830188679236,0.030460128159487357,0.17452830188679244,inf,0.9811320754716976
35,0-52,53-104,7,SNaive,0.1778846153846154,0.11621888563176443,0.3409089110477525,inf,1.0
36,0-52,53-104,7,SARIMAX,0.18566470392903983,0.11822963575077308,0.34384536604522253,inf,1.043736713979467
