,date,incidence,gr
0,29/12/2014,101.0,56
1,14/12/2015,124.0,70
2,21/12/2015,170.0,61
3,28/12/2015,159.0,61
4,04/01/2016,303.0,61
5,11/01/2016,472.0,63
6,18/01/2016,532.0,68
7,25/01/2016,464.0,67
8,01/02/2016,532.0,69
9,08/02/2016,452.0,47
10,15/02/2016,492.0,38
11,22/02/2016,528.0,32
12,29/02/2016,508.0,33
13,07/03/2016,460.0,43
14,14/03/2016,524.0,40
15,21/03/2016,408.0,44
16,28/03/2016,348.0,44
17,04/04/2016,524.0,45
18,11/04/2016,552.0,47
19,18/04/2016,616.0,54
20,25/04/2016,508.0,55
21,02/05/2016,452.0,51
22,09/05/2016,536.0,47
23,16/05/2016,363.0,55
24,23/05/2016,230.0,57
25,30/05/2016,97.0,54
26,12/09/2016,135.0,55
27,19/09/2016,316.0,54
28,26/09/2016,477.0,58
29,03/10/2016,628.0,58
30,10/10/2016,592.0,56
31,17/10/2016,592.0,67
32,24/10/2016,526.0,59
33,31/10/2016,556.0,60
34,07/11/2016,544.0,56
35,14/11/2016,612.0,60
36,21/11/2016,632.0,60
37,28/11/2016,644.0,52
38,05/12/2016,500.0,52
39,12/12/2016,452.0,54
40,19/12/2016,408.0,57
41,26/12/2016,220.0,64
42,02/01/2017,424.0,51
43,09/01/2017,468.0,54
44,16/01/2017,616.0,59
45,23/01/2017,608.0,56
46,30/01/2017,648.0,55
47,06/02/2017,568.0,56
48,13/02/2017,452.0,61
49,20/02/2017,492.0,51
50,27/02/2017,536.0,50
51,06/03/2017,572.0,51
52,13/03/2017,426.0,57
53,20/03/2017,262.0,59
54,27/03/2017,286.0,54
55,03/04/2017,340.0,56
56,10/04/2017,345.0,66
57,17/04/2017,472.0,58
58,24/04/2017,664.0,67
59,01/05/2017,480.0,60
60,08/05/2017,644.0,60
61,15/05/2017,612.0,75
62,22/05/2017,576.0,72
63,29/05/2017,492.0,67
64,05/06/2017,586.0,57
65,12/06/2017,354.0,63
66,19/06/2017,312.0,82
67,26/06/2017,402.0,78
68,03/07/2017,417.0,68
69,10/07/2017,324.0,72
70,17/07/2017,680.0,66
71,24/07/2017,745.0,82
72,31/07/2017,750.0,72
73,07/08/2017,695.0,74
74,14/08/2017,668.0,74
75,21/08/2017,592.0,67
76,28/08/2017,464.0,63
77,04/09/2017,688.0,69
78,11/09/2017,692.0,69
79,18/09/2017,688.0,76
80,25/09/2017,656.0,77
81,02/10/2017,692.0,72
82,09/10/2017,764.0,59
83,16/10/2017,480.0,64
84,23/10/2017,438.0,57
85,30/10/2017,399.0,63
86,06/11/2017,378.0,56
87,13/11/2017,342.0,72
88,20/11/2017,164.0,78
89,04/12/2017,154.0,58
90,11/12/2017,302.0,69
91,18/12/2017,429.0,75
92,25/12/2017,296.0,67
93,01/01/2018,396.0,63
94,08/01/2018,676.0,64
95,15/01/2018,632.0,66
96,22/01/2018,676.0,65
97,29/01/2018,676.0,68
98,05/02/2018,664.0,55
99,12/02/2018,624.0,56
100,19/02/2018,704.0,56
101,26/02/2018,616.0,56
102,05/03/2018,660.0,45
103,12/03/2018,660.0,51
104,19/03/2018,812.0,62
105,26/03/2018,548.0,59
106,02/04/2018,552.0,64
107,09/04/2018,584.0,78
108,16/04/2018,495.0,72
109,23/04/2018,588.0,62
110,30/04/2018,594.0,74
111,07/05/2018,339.0,66
112,14/05/2018,732.0,72
113,21/05/2018,800.0,68
114,28/05/2018,584.0,74
115,04/06/2018,748.0,79
116,11/06/2018,664.0,68
117,18/06/2018,512.0,65
118,25/06/2018,644.0,58
119,02/07/2018,572.0,69
120,09/07/2018,696.0,76
121,16/07/2018,676.0,75
122,23/07/2018,568.0,79
123,30/07/2018,592.0,82
124,06/08/2018,564.0,66
125,13/08/2018,624.0,63
126,20/08/2018,628.0,70
127,27/08/2018,552.0,82
128,03/09/2018,728.0,75
129,10/09/2018,728.0,68
130,17/09/2018,656.0,71
131,24/09/2018,756.0,72
132,01/10/2018,728.0,73
133,08/10/2018,585.0,70
134,15/10/2018,531.0,78
135,22/10/2018,450.0,66
136,29/10/2018,513.0,85
137,05/11/2018,832.0,77
138,12/11/2018,768.0,82
139,19/11/2018,772.0,72
140,26/11/2018,768.0,69
141,03/12/2018,864.0,67
142,10/12/2018,812.0,69
143,17/12/2018,708.0,73
144,24/12/2018,408.0,74
145,31/12/2018,592.0,74
146,07/01/2019,996.0,73
147,14/01/2019,980.0,74
148,21/01/2019,916.0,74
149,28/01/2019,804.0,70
150,04/02/2019,1028.0,67
151,11/02/2019,808.0,71
152,18/02/2019,852.0,71
153,25/02/2019,912.0,61
154,04/03/2019,988.0,61
155,11/03/2019,996.0,54
156,18/03/2019,738.0,74
157,25/03/2019,452.0,71
158,01/04/2019,265.0,81
159,22/07/2019,237.0,73
160,29/07/2019,456.0,80
161,05/08/2019,702.0,84
162,12/08/2019,848.0,94
163,19/08/2019,1024.0,83
164,26/08/2019,716.0,87
165,02/09/2019,1124.0,81
166,09/09/2019,1387.0,83
167,16/09/2019,1596.0,83
168,23/09/2019,1991.0,86
169,30/09/2019,2276.0,85
170,07/10/2019,2308.0,85
171,14/10/2019,2184.0,85
172,21/10/2019,2228.0,89
173,28/10/2019,1500.0,78
174,04/11/2019,1050.0,95
175,11/11/2019,1047.0,89
176,18/11/2019,1131.0,86
177,25/11/2019,1212.0,75
178,02/12/2019,1244.0,87
179,09/12/2019,1024.0,100
180,16/12/2019,1216.0,85
181,23/12/2019,780.0,83
182,30/12/2019,1216.0,81
183,06/01/2020,1644.0,86
184,13/01/2020,1756.0,80
185,20/01/2020,1800.0,88
186,27/01/2020,1848.0,85
187,03/02/2020,1952.0,79
188,10/02/2020,1972.0,80
189,17/02/2020,1832.0,86
190,24/02/2020,2392.0,64
191,02/03/2020,2380.0,82
192,09/03/2020,1940.0,87
193,16/03/2020,1328.0,84
194,23/03/2020,924.0,83
195,30/03/2020,956.0,81
196,06/04/2020,1072.0,88
197,13/04/2020,1196.0,75
198,20/04/2020,1380.0,83
199,27/04/2020,1656.0,82
200,04/05/2020,1560.0,84
201,11/05/2020,1684.0,79
202,18/05/2020,1816.0,66
203,25/05/2020,1544.0,75
204,01/06/2020,2256.0,86
205,08/06/2020,2080.0,85
206,15/06/2020,2224.0,78
207,22/06/2020,2140.0,72
208,29/06/2020,2188.0,78
209,06/07/2020,2440.0,84
210,13/07/2020,2420.0,84
211,20/07/2020,2332.0,94
212,27/07/2020,2468.0,98
213,03/08/2020,2420.0,37
214,10/08/2020,2396.0,57
215,17/08/2020,1636.0,55
216,24/08/2020,2492.0,56
217,31/08/2020,1695.0,44
218,07/09/2020,2002.0,62
219,14/09/2020,2012.0,60
220,21/09/2020,2145.0,61
221,28/09/2020,2896.0,67
222,05/10/2020,2896.0,64
223,12/10/2020,2908.0,64
224,19/10/2020,2019.0,48
225,26/10/2020,1268.0,54
226,02/11/2020,1258.0,55
227,09/11/2020,1398.0,54
228,16/11/2020,2175.0,57
229,23/11/2020,2043.0,57
230,30/11/2020,1314.0,56
231,07/12/2020,1200.0,51
232,14/12/2020,597.0,56
233,21/12/2020,796.0,63
234,28/12/2020,1143.0,46
235,04/01/2021,1806.0,52
236,11/01/2021,2408.0,56
237,18/01/2021,2300.0,57
238,25/01/2021,2252.0,64
239,01/02/2021,3036.0,58
240,08/02/2021,3048.0,55
241,15/02/2021,2496.0,53
242,22/02/2021,2992.0,56
243,01/03/2021,3412.0,48
244,08/03/2021,3432.0,58
245,15/03/2021,3224.0,56
246,22/03/2021,2896.0,66
247,29/03/2021,2872.0,57
248,05/04/2021,2788.0,52
249,12/04/2021,3552.0,54
250,19/04/2021,2344.0,47
251,26/04/2021,3436.0,61
252,03/05/2021,3032.0,53
253,10/05/2021,3800.0,47
254,17/05/2021,3752.0,65
255,24/05/2021,3280.0,60
256,31/05/2021,2720.0,56
257,07/06/2021,3632.0,57
258,14/06/2021,3608.0,67
259,21/06/2021,3572.0,53
260,28/06/2021,3644.0,46
261,05/07/2021,3452.0,53
262,12/07/2021,3200.0,63
263,19/07/2021,2476.0,51
264,26/07/2021,3448.0,45
265,02/08/2021,3280.0,50
266,09/08/2021,3508.0,56
267,16/08/2021,3684.0,59
