,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.014227668535696753,0.000327917175872624,0.018108483533212382,0.4074514076853792,1.0
1,0-52,53-104,0,SARIMAX,0.030415806917472296,0.0011962848526274384,0.03458735104958803,0.7782355075407592,2.1377927691497756
2,0-52,53-104,0,RF,0.016250927095732053,0.0003791634636229332,0.019472120162502417,0.4381340246563987,1.1422059106141678
3,0-52,53-104,0,XGB,0.02081351501151663,0.0006483750834102998,0.025463210390881584,0.5729370379869232,1.462890069395151
4,0-52,53-104,0,ENet,0.013996364230512025,0.00026163469097131414,0.016175125686414746,0.36394973208717263,0.9837426416981536
5,0-52,53-104,1,SNaive,0.01520632541794786,0.00036139542153781993,0.019010402981994357,0.4233455258900458,1.0
6,0-52,53-104,1,SARIMAX,0.01349891354536889,0.000300473345195513,0.017334166988797386,0.3860171742118665,0.887716997653902
7,0-52,53-104,1,RF,0.015579828439345144,0.0003418230579047974,0.018488457423614265,0.41172224167520416,1.024562345677309
8,0-52,53-104,1,XGB,0.017886117494147143,0.00048404693582403477,0.02200106669741344,0.4899450663923454,1.176228773391654
9,0-52,53-104,1,ENet,0.013446400634179893,0.00023478245199560406,0.015322612440298948,0.34122156314580127,0.884263637966688
10,0-52,53-104,2,SNaive,0.016963385959019146,0.00041858765058006497,0.02045941471743669,0.45129655684213005,1.0
11,0-52,53-104,2,SARIMAX,0.014603158348460023,0.00031995258637129703,0.017887218519694364,0.394558702724817,0.8608634139280295
12,0-52,53-104,2,RF,0.014741426045402354,0.0002971383634765791,0.01723770180379563,0.3802315745276116,0.8690143631121349
13,0-52,53-104,2,XGB,0.017497191001986455,0.00044626885090001217,0.02112507635252503,0.4659798118660992,1.031468071542845
14,0-52,53-104,2,ENet,0.01323243561060535,0.00022851369929979335,0.01511666958360185,0.3334455568851383,0.7800586299558837
15,0-52,53-104,3,SNaive,0.017706260820133848,0.000463677554028965,0.021533173338571465,0.470888736474674,1.0
16,0-52,53-104,3,SARIMAX,0.01883416849629035,0.0004936702397090125,0.022218691224035057,0.48587968304075757,1.0637010652680523
17,0-52,53-104,3,RF,0.013635792862127053,0.0002576408672621509,0.016051195197310103,0.3510085070383378,0.770111374764216
18,0-52,53-104,3,XGB,0.014688143535138596,0.0003085595920109698,0.017565864396919664,0.3841313846730826,0.8295451921975903
19,0-52,53-104,3,ENet,0.013132735588227695,0.00022487747832214977,0.014995915387936468,0.3279315843641923,0.7417001094491061
20,0-52,53-104,4,SNaive,0.017564145629311904,0.0004724287459638735,0.021735426058945188,0.4728069831558984,1.0
21,0-52,53-104,4,SARIMAX,0.014506338226348347,0.00030664204157157516,0.01751119760529174,0.380918068445104,0.8259062827479329
22,0-52,53-104,4,RF,0.011851153729775245,0.00018958170375110286,0.013768867192006134,0.29951179888868373,0.6747355652755156
23,0-52,53-104,4,XGB,0.01182419255213234,0.00019250309365537204,0.013874548412664538,0.30181066429763526,0.6732005530858017
24,0-52,53-104,4,ENet,0.012469567285576143,0.0002000088876979652,0.014142449847815096,0.3076382781200264,0.7099444259199446
25,0-52,53-104,5,SNaive,0.017967881966874242,0.00046807620514502027,0.021635068873128653,0.4687139041124914,1.0
26,0-52,53-104,5,SARIMAX,0.015530276959620015,0.00036576869957175446,0.019125080380791984,0.4143361476828944,0.8643354285302954
27,0-52,53-104,5,RF,0.011963198814118368,0.00020378201604150784,0.014275223852588366,0.30926621695837786,0.6658101848717526
28,0-52,53-104,5,XGB,0.01195575169459371,0.00020697009182442874,0.014386455151441189,0.3116759923397525,0.6653957164587038
29,0-52,53-104,5,ENet,0.012725650371467065,0.0002037431705302405,0.014273863195723872,0.3092367389477067,0.7082443214469126
30,0-52,53-104,6,SNaive,0.01661132787266479,0.00040490102942225813,0.020122152703482252,0.4370075374733257,1.0
31,0-52,53-104,6,SARIMAX,0.013478857719975392,0.0003020169954536116,0.017378636179332704,0.37742457843790955,0.8114256622527982
32,0-52,53-104,6,RF,0.011873506532679991,0.00019307903345104177,0.013895288174451143,0.3017741569244857,0.7147837080633845
33,0-52,53-104,6,XGB,0.012129068647453719,0.00020365842937203687,0.014270894483950082,0.3099314744238788,0.730168517558011
34,0-52,53-104,6,ENet,0.012529084234783995,0.00020078102128005058,0.0141697219902174,0.3077342372297438,0.7542494092481048
35,0-52,53-104,7,SNaive,0.015970194568615797,0.00037629515036761036,0.019398328545717807,0.42338146025043877,1.0
36,0-52,53-104,7,SARIMAX,0.015947867288563487,0.0003754376022015484,0.01937621227695311,0.42289875793189513,0.9986019406365789
37,0-52,53-104,7,RF,0.01283799098603221,0.00021405923475719817,0.014630763300566316,0.31932616854969764,0.8038719209633857
38,0-52,53-104,7,XGB,0.012782062272826173,0.00021298774999984146,0.014594099835201945,0.3185259639615948,0.8003698525968583
39,0-52,53-104,7,ENet,0.012969443283850595,0.00021398200118841372,0.014628123638676757,0.31926855616815997,0.8121030227983447
40,0-52,53-104,8,SNaive,0.015802240252189865,0.0003370075497290116,0.018357765379506615,0.39943153474249155,1.0
41,0-52,53-104,8,SARIMAX,0.017742184502875284,0.00041898091206477755,0.02046902323181977,0.4453686598093577,1.1227638752307023
42,0-52,53-104,8,RF,0.014737016636952597,0.00028411818215803804,0.016855805592081264,0.36675162568980607,0.9325903417340051
43,0-52,53-104,8,XGB,0.014358940543396072,0.0002771846527867898,0.016648863408256727,0.36224894072901703,0.9086648674010774
44,0-52,53-104,8,ENet,0.01301283351363843,0.00021564478255620047,0.014684848741345635,0.3195155591630443,0.8234802981074231
45,0-104,105-156,0,SNaive,0.01798887625642748,0.0004839553709347957,0.021998985679680682,0.3776265882135989,1.0
46,0-104,105-156,0,SARIMAX,0.02251663228969469,0.0008260112493829127,0.028740411433779315,0.493347451178973,1.2516975473467626
47,0-104,105-156,0,RF,0.019784641424851788,0.0006172095822961538,0.02484370307132481,0.42645797247285955,1.0998264228863477
48,0-104,105-156,0,XGB,0.02099239144331854,0.0006921880062197788,0.026309466095300733,0.45161872751553067,1.1669651369033067
49,0-104,105-156,0,ENet,0.017869308778781397,0.000466286900222355,0.02159367732051109,0.37066921231108013,0.9933532547591258
50,0-104,105-156,1,SNaive,0.02000109816283817,0.0005661621649722364,0.023794162413756793,0.40953181402553923,1.0
51,0-104,105-156,1,SARIMAX,0.03146974064045768,0.001354824348622513,0.03680793866304541,0.6335176514766746,1.5734006395172908
52,0-104,105-156,1,RF,0.01833003076749282,0.0005536747704505333,0.023530294737859392,0.4049902711843216,0.9164512177411251
53,0-104,105-156,1,XGB,0.018903426744950772,0.0006028466760878966,0.0245529362009495,0.42259140402499223,0.9451194424950696
54,0-104,105-156,1,ENet,0.01754250536161856,0.00045417204163250303,0.021311312527212,0.36679839057870595,0.8770771094065402
55,0-104,105-156,2,SNaive,0.020206196222319835,0.0005943601035151651,0.024379501707688062,0.4229805976303663,1.0
56,0-104,105-156,2,SARIMAX,0.030817947914766698,0.0013085675732730226,0.03617412850744331,0.6276155549976189,1.5251731486565039
57,0-104,105-156,2,RF,0.018138151088674007,0.000528076159048835,0.02297990772498521,0.39869785771461036,0.897652922356487
58,0-104,105-156,2,XGB,0.019050424169330397,0.000594614630775752,0.02438472125688034,0.4230711560044948,0.9428011071320406
59,0-104,105-156,2,ENet,0.017561377151568615,0.00045013924506450597,0.021216485219387918,0.3681027489943544,0.8691085129704054
60,0-104,105-156,3,SNaive,0.02000432805353867,0.0005855610382422791,0.02419836850372932,0.42395996240854633,1.0
61,0-104,105-156,3,SARIMAX,0.027199631906040137,0.0010653061232319234,0.03263902760855359,0.5718418956981048,1.3596873553185234
62,0-104,105-156,3,RF,0.016618697746667636,0.0004428426898931807,0.021043827833670866,0.3686918172156958,0.8307551097037658
63,0-104,105-156,3,XGB,0.017365106868566706,0.00048604310167377234,0.022046385229188305,0.3862568111387563,0.8680674912994593
64,0-104,105-156,3,ENet,0.016249693133678626,0.0003948109394177708,0.019869850009946496,0.34812350518515767,0.8123088708697783
65,0-104,105-156,4,SNaive,0.02046135758765923,0.0006039781690374765,0.02457596730624202,0.431051217185077,1.0
66,0-104,105-156,4,SARIMAX,0.03117010368166917,0.0012770144229899366,0.03573533857388141,0.6267814811456082,1.5233643978964846
67,0-104,105-156,4,RF,0.015391816131499052,0.0003670953025997148,0.019159731276813745,0.3360529164486602,0.7522382650104434
68,0-104,105-156,4,XGB,0.015567871909223275,0.000380206398984864,0.0194988819932032,0.34200146477179105,0.7608425708083347
69,0-104,105-156,4,ENet,0.015120728416975147,0.0003448776688006666,0.018570882283851422,0.32572477465095573,0.7389895001930296
70,0-104,105-156,5,SNaive,0.0200414717965944,0.0006302794825616584,0.02510536760459122,0.43891934345938666,1.0
71,0-104,105-156,5,SARIMAX,0.028384457940517825,0.001146001287976838,0.033852640782911426,0.5918486875326467,1.416286100571772
72,0-104,105-156,5,RF,0.01340923641375785,0.00030284201391276585,0.01740235656205118,0.30424692588308444,0.6690744347446803
73,0-104,105-156,5,XGB,0.013477682756503906,0.00029785060258396586,0.017258348779184116,0.30172922518638184,0.6724896700847158
74,0-104,105-156,5,ENet,0.015081043233246856,0.000341003636509297,0.018466283776366513,0.32284765867261184,0.7524918023141166
75,0-104,105-156,6,SNaive,0.018936849177023846,0.0006492969965501337,0.025481306806169373,0.4423198271834765,1.0
76,0-104,105-156,6,SARIMAX,0.027434492037517796,0.0010604748460515785,0.03256493276596128,0.5652816608995145,1.4487358367306518
77,0-104,105-156,6,RF,0.014617306823671811,0.00033764896656792185,0.018375226980038146,0.31896822577010825,0.7718975151054721
78,0-104,105-156,6,XGB,0.014469101927281795,0.00033655999229031963,0.01834557146262606,0.3184534474882669,0.7640712450114042
79,0-104,105-156,6,ENet,0.015529440561121441,0.000356740504923477,0.01888757541145705,0.32786187755048185,0.8200646483451626
80,0-104,105-156,7,SNaive,0.02022719051187308,0.0006884369086191641,0.026238081267866448,0.4468751472993699,1.0
81,0-104,105-156,7,SARIMAX,0.041655970647459774,0.0020267846308428144,0.04501982486463951,0.7667573197288726,2.059404672290415
82,0-104,105-156,7,RF,0.016739888430506483,0.000424351804070407,0.020599801068709546,0.350846505997801,0.8275933536434731
83,0-104,105-156,7,XGB,0.01689806950504859,0.0004206946861122435,0.02051084313508939,0.34933141465845674,0.8354135733842848
