,date,incidence,gr
0,29/12/2014,16.0,78
1,14/12/2015,15.0,63
2,21/12/2015,24.0,57
3,28/12/2015,15.0,57
4,04/01/2016,48.0,53
5,11/01/2016,60.0,58
6,18/01/2016,28.0,48
7,25/01/2016,84.0,52
8,01/02/2016,64.0,53
9,08/02/2016,76.0,54
10,15/02/2016,44.0,81
11,22/02/2016,72.0,64
12,29/02/2016,36.0,60
13,07/03/2016,48.0,51
14,14/03/2016,60.0,58
15,21/03/2016,28.0,42
16,28/03/2016,44.0,41
17,04/04/2016,48.0,35
18,11/04/2016,84.0,31
19,18/04/2016,88.0,27
20,25/04/2016,28.0,26
21,02/05/2016,52.0,27
22,09/05/2016,56.0,31
23,16/05/2016,63.0,26
24,23/05/2016,12.0,24
25,30/05/2016,9.0,24
26,12/09/2016,10.0,23
27,19/09/2016,16.0,24
28,26/09/2016,45.0,23
29,03/10/2016,40.0,23
30,10/10/2016,36.0,23
31,17/10/2016,68.0,24
32,24/10/2016,75.0,22
33,31/10/2016,44.0,23
34,07/11/2016,80.0,26
35,14/11/2016,60.0,26
36,21/11/2016,44.0,31
37,28/11/2016,88.0,41
38,05/12/2016,68.0,35
39,12/12/2016,56.0,32
40,19/12/2016,56.0,32
41,26/12/2016,40.0,32
42,02/01/2017,68.0,35
43,09/01/2017,80.0,32
44,16/01/2017,72.0,33
45,23/01/2017,56.0,36
46,30/01/2017,52.0,30
47,06/02/2017,56.0,30
48,13/02/2017,72.0,35
49,20/02/2017,60.0,34
50,27/02/2017,60.0,35
51,06/03/2017,84.0,39
52,13/03/2017,57.0,45
53,20/03/2017,32.0,41
54,27/03/2017,34.0,37
55,03/04/2017,28.0,35
56,10/04/2017,24.0,36
57,17/04/2017,48.0,31
58,24/04/2017,64.0,37
59,01/05/2017,68.0,29
60,08/05/2017,64.0,30
61,15/05/2017,44.0,27
62,22/05/2017,76.0,28
63,29/05/2017,60.0,28
64,05/06/2017,54.0,28
65,12/06/2017,30.0,29
66,19/06/2017,15.0,27
67,26/06/2017,51.0,26
68,03/07/2017,30.0,29
69,10/07/2017,36.0,25
70,17/07/2017,120.0,26
71,24/07/2017,85.0,27
72,31/07/2017,55.0,25
73,07/08/2017,55.0,22
74,14/08/2017,52.0,25
75,21/08/2017,44.0,27
76,28/08/2017,68.0,27
77,04/09/2017,56.0,25
78,11/09/2017,68.0,29
79,18/09/2017,92.0,25
80,25/09/2017,88.0,20
81,02/10/2017,76.0,24
82,09/10/2017,88.0,24
83,16/10/2017,72.0,25
84,23/10/2017,63.0,26
85,30/10/2017,51.0,24
86,06/11/2017,14.0,26
87,13/11/2017,44.0,27
88,20/11/2017,21.0,34
89,04/12/2017,22.0,31
90,11/12/2017,46.0,33
91,18/12/2017,54.0,41
92,25/12/2017,32.0,44
93,01/01/2018,92.0,45
94,08/01/2018,68.0,43
95,15/01/2018,116.0,45
96,22/01/2018,80.0,44
97,29/01/2018,112.0,44
98,05/02/2018,56.0,58
99,12/02/2018,56.0,45
100,19/02/2018,92.0,50
101,26/02/2018,80.0,45
102,05/03/2018,104.0,44
103,12/03/2018,104.0,48
104,19/03/2018,108.0,53
105,26/03/2018,64.0,55
106,02/04/2018,100.0,41
107,09/04/2018,80.0,41
108,16/04/2018,42.0,43
109,23/04/2018,72.0,42
110,30/04/2018,57.0,38
111,07/05/2018,54.0,43
112,14/05/2018,72.0,33
113,21/05/2018,48.0,36
114,28/05/2018,52.0,40
115,04/06/2018,44.0,41
116,11/06/2018,40.0,42
117,18/06/2018,60.0,39
118,25/06/2018,48.0,42
119,02/07/2018,76.0,39
120,09/07/2018,72.0,38
121,16/07/2018,52.0,33
122,23/07/2018,60.0,29
123,30/07/2018,64.0,30
124,06/08/2018,64.0,29
125,13/08/2018,84.0,26
126,20/08/2018,68.0,36
127,27/08/2018,32.0,30
128,03/09/2018,80.0,32
129,10/09/2018,88.0,32
130,17/09/2018,96.0,32
131,24/09/2018,84.0,26
132,01/10/2018,72.0,28
133,08/10/2018,63.0,29
134,15/10/2018,78.0,24
135,22/10/2018,75.0,25
136,29/10/2018,45.0,25
137,05/11/2018,88.0,49
138,12/11/2018,80.0,35
139,19/11/2018,84.0,28
140,26/11/2018,84.0,32
141,03/12/2018,100.0,33
142,10/12/2018,160.0,37
143,17/12/2018,104.0,42
144,24/12/2018,52.0,39
145,31/12/2018,80.0,44
146,07/01/2019,144.0,46
147,14/01/2019,164.0,46
148,21/01/2019,140.0,47
149,28/01/2019,108.0,53
150,04/02/2019,140.0,52
151,11/02/2019,176.0,52
152,18/02/2019,128.0,61
153,25/02/2019,144.0,77
154,04/03/2019,124.0,99
155,11/03/2019,104.0,100
156,18/03/2019,102.0,94
157,25/03/2019,58.0,86
158,01/04/2019,31.0,62
159,22/07/2019,20.0,57
160,29/07/2019,56.0,55
161,05/08/2019,132.0,51
162,12/08/2019,108.0,47
163,19/08/2019,108.0,47
164,26/08/2019,84.0,43
165,02/09/2019,132.0,47
166,09/09/2019,96.0,47
167,16/09/2019,96.0,47
168,23/09/2019,103.0,45
169,30/09/2019,112.0,39
170,07/10/2019,148.0,46
171,14/10/2019,116.0,42
172,21/10/2019,136.0,40
173,28/10/2019,116.0,36
174,04/11/2019,93.0,34
175,11/11/2019,57.0,41
176,18/11/2019,90.0,34
177,25/11/2019,96.0,31
178,02/12/2019,92.0,34
179,09/12/2019,68.0,25
180,16/12/2019,104.0,29
181,23/12/2019,80.0,30
182,30/12/2019,140.0,29
183,06/01/2020,92.0,25
184,13/01/2020,112.0,27
185,20/01/2020,108.0,25
186,27/01/2020,156.0,26
187,03/02/2020,108.0,25
188,10/02/2020,120.0,22
189,17/02/2020,96.0,24
190,24/02/2020,160.0,24
191,02/03/2020,152.0,24
192,09/03/2020,88.0,27
193,16/03/2020,104.0,28
194,23/03/2020,84.0,29
195,30/03/2020,108.0,30
196,06/04/2020,68.0,36
197,13/04/2020,72.0,35
198,20/04/2020,60.0,38
199,27/04/2020,152.0,40
200,04/05/2020,100.0,38
