,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.12951923076923075,0.026462019230769237,0.16267150712638412,0.5300074167025046,1.0
1,0-52,53-104,0,SARIMAX,0.4354903006506631,0.22853503689413987,0.47805338289163885,1.5575674129301513,3.3623601535017795
2,0-52,53-104,0,RF,0.1435940025946276,0.029533134725744373,0.17185207221835985,0.5599190322903954,1.108669359305217
3,0-52,53-104,0,XGB,0.15299871540986573,0.03537311210856436,0.18807740988370814,0.6127835409744876,1.181281841323388
4,0-52,53-104,0,ENet,0.11297169811320754,0.02061000287537311,0.1435618433824709,0.46774535437897785,0.8722387976075416
5,0-52,53-104,1,SNaive,0.1235576923076923,0.025471634615384615,0.15959835404973516,0.514833400160436,1.0
6,0-52,53-104,1,SARIMAX,0.1406421318794697,0.029649097580700005,0.17218913316670134,0.5554488166667785,1.1382709506198325
7,0-52,53-104,1,RF,0.1438793398962149,0.029644367558079223,0.17217539765622503,0.5554045085684678,1.1644709221172258
8,0-52,53-104,1,XGB,0.14376542363029257,0.030949762733833965,0.17592544652162734,0.5675014403923463,1.163548953894975
9,0-52,53-104,1,ENet,0.11179608127721335,0.020341514226250787,0.14262368045402132,0.46007638856135913,0.9048087511930109
10,0-52,53-104,2,SNaive,0.15144230769230768,0.03417836538461539,0.18487391753466845,0.5844038730579185,1.0
11,0-52,53-104,2,SARIMAX,0.14490075411851908,0.0313415784984934,0.17703552891578966,0.5596259880620706,0.956804979576253
12,0-52,53-104,2,RF,0.14590394078144078,0.030490809763809672,0.17461617841371307,0.5519781931618893,0.9634291962711011
13,0-52,53-104,2,XGB,0.14705078183458403,0.03243526043971183,0.1800979190321527,0.5693064917733702,0.9710019879870946
14,0-52,53-104,2,ENet,0.11411103047895499,0.021090358600104057,0.14522519960428376,0.45907053978253837,0.7534950584007187
15,0-52,53-104,3,SNaive,0.15278846153846154,0.03548028846153846,0.18836212055914656,0.5861657851032689,1.0
16,0-52,53-104,3,SARIMAX,0.15153209184426653,0.033319489219770966,0.18253626823119554,0.5680362625985739,0.9917770643048281
17,0-52,53-104,3,RF,0.11386018696581193,0.02093109783724571,0.14467583708845685,0.4502180447995068,0.7452145654150057
18,0-52,53-104,3,XGB,0.12156614613074525,0.02389426347022202,0.1545776939607459,0.481031722678563,0.795650043901668
19,0-52,53-104,3,ENet,0.11427793904208998,0.02112326929923049,0.14533846462389263,0.4522800814148665,0.747948751439733
20,0-52,53-104,4,SNaive,0.15086538461538462,0.03370528846153846,0.1835900009846355,0.5682547649524431,1.0
21,0-52,53-104,4,SARIMAX,0.13152174839443004,0.02925802144127012,0.17104976305528785,0.5294397427901767,0.8717821435959671
22,0-52,53-104,4,RF,0.1267674793956044,0.0272408216335044,0.1650479373803393,0.5108626633200978,0.8402688245470272
23,0-52,53-104,4,XGB,0.1227376441542919,0.02829594250274725,0.1682139783215035,0.5206623138522727,0.8135573608697487
24,0-52,53-104,4,ENet,0.11225326560232222,0.02068337418188789,0.14381715538101805,0.4451483380841035,0.744062436114819
25,0-52,53-104,5,SNaive,0.15778846153846154,0.034615865384615384,0.1860533939078118,0.5717953004258993,1.0
26,0-52,53-104,5,SARIMAX,0.13741391670350353,0.0299405733176358,0.17303344566191764,0.5317812750839077,0.8708743045194617
27,0-52,53-104,5,RF,0.1375680593364969,0.02884880445319477,0.16984935811828894,0.5219956632476966,0.8718511987200291
28,0-52,53-104,5,XGB,0.16693950564528887,0.0430510104756034,0.20748737425588912,0.63766805326869,1.0579956482090214
29,0-52,53-104,5,ENet,0.1136574746008708,0.02085187926171372,0.14440179798642994,0.4437880316367824,0.7203155002127095
30,0-52,53-104,6,SNaive,0.14576923076923076,0.03081442307692308,0.17554037449237447,0.5406040552918847,1.0
31,0-52,53-104,6,SARIMAX,0.4195662668586013,0.2075898807610232,0.45562032522816975,1.4031540960535878,2.8782910127502994
32,0-52,53-104,6,RF,0.13570016344766345,0.03005048410056133,0.17335075454280932,0.5338607779820009,0.9309246041264512
33,0-52,53-104,6,XGB,0.15651311511030566,0.038634091383789,0.19655556818311967,0.6053236331372356,1.0737047474585613
34,0-52,53-104,6,ENet,0.11283925979680696,0.02075330445408987,0.1440600723798578,0.44365553827376997,0.774095185941156
35,0-52,53-104,7,SNaive,0.1267307692307692,0.026391346153846154,0.16245413553937663,0.5023856704161512,1.0
36,0-52,53-104,7,SARIMAX,0.3199214486870445,0.14067922652110598,0.37507229505937384,1.159902428967436,2.5244181080009587
37,0-52,53-104,7,RF,0.13587153561716067,0.028587795337155254,0.16907925756033843,0.5228737075906986,1.072127443413104
38,0-52,53-104,7,XGB,0.13988676001819284,0.03034207829270905,0.17418977665956475,0.5386778701336524,1.1038105494607025
39,0-52,53-104,7,ENet,0.11004172714078372,0.020207766759317587,0.1421540247735448,0.43960804568684675,0.8683110487588399
40,0-52,53-104,8,SNaive,0.13096153846153846,0.024223076923076924,0.15563764622698753,0.4801636074638596,1.0
41,0-52,53-104,8,SARIMAX,0.13797562442283343,0.029419377176696716,0.17152077768217097,0.5291652589423252,1.0535583656369072
42,0-52,53-104,8,RF,0.12801697944416696,0.02642971684399338,0.16257218963892128,0.5015576304493568,0.9775158489128755
43,0-52,53-104,8,XGB,0.13270530970050737,0.028325520047474042,0.16830187178838518,0.5192344902400493,1.013315140150717
44,0-52,53-104,8,ENet,0.11153664731494921,0.02053582903168387,0.14330327641643045,0.4421103751797322,0.8516748399966753
45,0-104,105-156,0,SNaive,0.1644230769230769,0.04596442307692306,0.21439315072297216,0.5076704844077665,1.0
46,0-104,105-156,0,SARIMAX,0.3149632062190931,0.14805438303748777,0.3847783557289674,0.9111327184838937,1.9155656986424376
47,0-104,105-156,0,RF,0.1607058371863179,0.04786339173824978,0.21877703658805187,0.5180512706092303,0.9773922261624014
48,0-104,105-156,0,XGB,0.16722532462615233,0.04497268162900674,0.21206763456267141,0.5021637976893858,1.0170429100070084
49,0-104,105-156,0,ENet,0.16131868131868138,0.04867522448979592,0.22062462348930123,0.5224262486996204,0.9811194653299922
50,0-104,105-156,1,SNaive,0.1751923076923077,0.05141538461538461,0.22674960775133574,0.5376643685850185,1.0
51,0-104,105-156,1,SARIMAX,0.3635605652170618,0.1814262896024513,0.4259416504668818,1.0099847617089763,2.07520849520167
52,0-104,105-156,1,RF,0.15640727082746314,0.0457006775508471,0.21377716798303578,0.5069043654864505,0.8927747621326106
53,0-104,105-156,1,XGB,0.16350855239308795,0.04535121629076723,0.2129582501120049,0.5049625629650822,0.9333089708496787
54,0-104,105-156,1,ENet,0.15942307692307692,0.04801923076923076,0.21913290663255203,0.5196037913767763,0.9099890230515916
55,0-104,105-156,2,SNaive,0.17932692307692302,0.055300480769230775,0.23516054254323954,0.5665206491660161,1.0
56,0-104,105-156,2,SARIMAX,0.29253240767359456,0.1270722593338922,0.35647196149752397,0.8587696084258164,1.6312799141047638
57,0-104,105-156,2,RF,0.15551631575155614,0.0457924631932589,0.21399173627329374,0.5155232933153243,0.8672223505716806
58,0-104,105-156,2,XGB,0.15573577762796328,0.04462718205203953,0.21125146639027037,0.5089217629045197,0.8684461594267124
59,0-104,105-156,2,ENet,0.15576465201465203,0.04641851234083376,0.21544955869259458,0.5190353047030307,0.868607174773395
60,0-104,105-156,3,SNaive,0.18509615384615385,0.056962019230769226,0.23866717250340322,0.5830722560571748,1.0
61,0-104,105-156,3,SARIMAX,0.3449701236331848,0.1790278391893643,0.4231168150633632,1.0336891887852893,1.8637346939143489
62,0-104,105-156,3,RF,0.16991768717393715,0.04873846931592123,0.22076790825643394,0.5393437270065569,0.9179968553812708
63,0-104,105-156,3,XGB,0.17631236039675197,0.05343851666132882,0.23116772409081857,0.5647508410957277,0.9525447003253092
64,0-104,105-156,3,ENet,0.15610164835164836,0.04623468328100471,0.21502251807893216,0.5253075377075157,0.8433543599257884
65,0-104,105-156,4,SNaive,0.1983653846153846,0.06153894230769231,0.2480704381978883,0.6040581965015308,1.0
66,0-104,105-156,4,SARIMAX,0.3025390405493296,0.12140314926737686,0.3484295470642191,0.8484353288381826,1.5251604564774737
67,0-104,105-156,4,RF,0.15348588926564888,0.043503716780549234,0.2085754462551842,0.5078868276876412,0.7737533923231936
68,0-104,105-156,4,XGB,0.1654671538105378,0.046591060013431856,0.21584962361197635,0.5255996454143184,0.8341533687007239
69,0-104,105-156,4,ENet,0.15421153846153846,0.045804673076923076,0.21402026323907528,0.5211451036493521,0.7774115365971885
70,0-104,105-156,5,SNaive,0.18990384615384612,0.06286394230769231,0.25072682805733476,0.602068578110432,1.0
71,0-104,105-156,5,SARIMAX,0.33842587920509115,0.16691146495327358,0.4085479958992255,0.9810434443204674,1.782090705687569
72,0-104,105-156,5,RF,0.16600462322933474,0.04748430201418615,0.21790893055170124,0.5232631904266203,0.8741509273848515
73,0-104,105-156,5,XGB,0.17838493208472544,0.05337351368277572,0.23102708430566257,0.5547637212604226,0.9393434398385544
74,0-104,105-156,5,ENet,0.15949725274725274,0.04802767150706436,0.2191521651890858,0.5262485610636093,0.8398842676311031
75,0-104,105-156,6,SNaive,0.17673076923076925,0.05660192307692307,0.23791158668068915,0.564646394678039,1.0
76,0-104,105-156,6,SARIMAX,0.30347569132190355,0.12884568514917197,0.35895081160121645,0.8519142949914766,1.7171638681979307
77,0-104,105-156,6,RF,0.18221247618033687,0.053117679773422556,0.2304727310842273,0.5469914201907722,1.0310172754491314
78,0-104,105-156,6,XGB,0.19116832039677176,0.05516861571515485,0.2348800027996314,0.5574513987029134,1.0816923460970762
79,0-104,105-156,6,ENet,0.16411538461538464,0.049224846153846154,0.22186673061512885,0.5265664076671246,0.9286180631120784
80,0-104,105-156,7,SNaive,0.16692307692307692,0.05895384615384615,0.2428041312536633,0.5692432292691836,1.0
81,0-104,105-156,7,SARIMAX,0.3417419422115605,0.16005668355604802,0.4000708481707309,0.9379478857023448,2.0473019579494407
82,0-104,105-156,7,RF,0.17808748744311248,0.049371408769156515,0.22219677938520288,0.520930231200656,1.066883565327402
83,0-104,105-156,7,XGB,0.17995648755477023,0.051388283590829364,0.22668984006970705,0.5314640073771311,1.0780803401898678
84,0-104,105-156,7,ENet,0.16776556776556775,0.05005088086516656,0.2237205418936012,0.5245026230147548,1.0050471801623875
85,0-104,105-156,8,SNaive,0.18019230769230765,0.06112596153846154,0.24723665088020735,0.5780713060148733,1.0
86,0-104,105-156,8,SARIMAX,0.3405594645860153,0.1619739306697137,0.40245984976108323,0.9410032458442594,1.8899778184069158
87,0-104,105-156,8,RF,0.16522622798408854,0.04695432208619023,0.21668946002560951,0.50664801804549,0.9169438479373112
88,0-104,105-156,8,XGB,0.16061779354627312,0.04622038437080651,0.21498926571065474,0.5026727435680777,0.8913687582077059
89,0-104,105-156,8,ENet,0.16920512820512823,0.05042126495726497,0.22454679903589134,0.5250194941486669,0.939025257915333
90,0-156,157-208,0,SNaive,0.2057692307692308,0.059176923076923085,0.243263073804725,0.4720029790240933,1.0
91,0-156,157-208,0,SARIMAX,0.4058339531115423,0.19263672494136738,0.43890400424394327,0.8516047843539198,1.9722771553084297
92,0-156,157-208,0,RF,0.2214822402327436,0.07283758149691498,0.26988438542626914,0.5236562702300745,1.0763622889815576
93,0-156,157-208,0,XGB,0.24030353080194733,0.08493224954396571,0.2914313805065709,0.5654638726246899,1.1678302431496506
94,0-156,157-208,0,ENet,0.20811611954924059,0.06325422797617006,0.251503932327449,0.48799270451594584,1.0114054408000477
95,0-156,157-208,1,SNaive,0.2117307692307693,0.06252115384615384,0.25004230411303174,0.47854986433116126,1.0
96,0-156,157-208,1,SARIMAX,0.43297674850759804,0.21605946216815558,0.4648219682503782,0.8896114224887621,2.04494013827385
97,0-156,157-208,1,RF,0.2200611739394969,0.06723031597035702,0.2592880945403337,0.4962451570149927,1.0393443274163336
98,0-156,157-208,1,XGB,0.2279563039082747,0.07275227719438224,0.26972630052403535,0.5162225847349959,1.0766328613288174
99,0-156,157-208,1,ENet,0.21300306396077529,0.06484132832584542,0.2546396047865403,0.4873485259072542,1.0060090214314543
100,0-156,157-208,2,SNaive,0.20528846153846156,0.062155288461538456,0.24930962368416199,0.46776476390317245,1.0
101,0-156,157-208,2,SARIMAX,0.47191442867772976,0.24763365810058857,0.4976280318677683,0.9336697693351598,2.2987869125285196
102,0-156,157-208,2,RF,0.20554086444067496,0.0655747942513499,0.25607575881240674,0.48045965932690426,1.0012295035986039
103,0-156,157-208,2,XGB,0.22194031043694568,0.07296572390077895,0.2701216835072278,0.506813189333424,1.0811143927607658
104,0-156,157-208,2,ENet,0.21612044327630475,0.06661383798673129,0.25809656717347346,0.48425118141874873,1.0527646885590487
105,0-156,157-208,3,SNaive,0.2100961538461538,0.06629374999999998,0.2574757270113049,0.4745255291365534,1.0
