,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.015070418087659465,0.0003639819521210722,0.019078311039530522,0.5891486630910312,1.0
1,0-52,53-104,0,SARIMAX,0.022354911010581,0.0008565804810858169,0.02926739621295029,0.9037931772517891,1.483363691740344
2,0-52,53-104,0,RF,0.014312893216088075,0.0003263216328473447,0.01806437468741569,0.5578377548523452,0.9497343161175007
3,0-52,53-104,0,XGB,0.014648921331253107,0.00032841304655134465,0.018122170028761583,0.5596225065537024,0.9720315153863247
4,0-52,53-104,0,ENet,0.013704936478677971,0.00028471552722842113,0.016873515556291793,0.5210633745847376,0.9093932496737015
5,0-52,53-104,1,SNaive,0.015859858532272324,0.00036356713940797515,0.019067436623940177,0.5800457089403819,1.0
6,0-52,53-104,1,SARIMAX,0.03106466133419847,0.0012858662165982305,0.035858976792404865,1.0908569424225525,1.9586972526259776
7,0-52,53-104,1,RF,0.014198059979813236,0.0002895422453461838,0.017015940918626387,0.5176376724409801,0.8952198376121964
8,0-52,53-104,1,XGB,0.01425018637748481,0.0002846339340982711,0.016871097596133783,0.5132314300426173,0.8985065250416904
9,0-52,53-104,1,ENet,0.013440805343267415,0.0002775262965452326,0.01665912052136104,0.5067829285979456,0.847473217741349
10,0-52,53-104,2,SNaive,0.01538619426550461,0.0003699578477691269,0.019234288335395384,0.5759919082792445,1.0
11,0-52,53-104,2,SARIMAX,0.017741547770686268,0.0004793132442116429,0.021893223705330443,0.655616650875087,1.1530822674234844
12,0-52,53-104,2,RF,0.01287244456007482,0.00026736745899140875,0.016351374834900238,0.4896598943466863,0.8366230360768587
13,0-52,53-104,2,XGB,0.013467829662954038,0.00028517478869139184,0.016887119016913213,0.5057033428157046,0.8753190964934396
14,0-52,53-104,2,ENet,0.013504998612579257,0.0002782590773673888,0.016681099405236717,0.4995338590685923,0.8777348302989428
15,0-52,53-104,3,SNaive,0.01581249210559555,0.0003787142848846603,0.019460582850589554,0.5754227242880205,1.0
16,0-52,53-104,3,SARIMAX,0.014431001713061959,0.0003239845971526049,0.017999572138042753,0.5322226428268327,0.9126329750359385
17,0-52,53-104,3,RF,0.013539461213757828,0.0002862038059373509,0.01691755910104501,0.5002290024387427,0.856250939026027
18,0-52,53-104,3,XGB,0.013336352417211393,0.0002755230723706017,0.016598887684739654,0.49080632605073327,0.8434061075351982
19,0-52,53-104,3,ENet,0.013373782710976731,0.000274945996325173,0.01658149559976943,0.4902920659696529,0.8457732419195432
20,0-52,53-104,4,SNaive,0.014809902740937223,0.00035327783968857517,0.018795686730965037,0.5522818904163311,1.0
