,date,incidence,gr
0,29/12/2014,0.0,26
1,14/12/2015,0.0,30
2,21/12/2015,0.0,28
3,28/12/2015,0.0,31
4,04/01/2016,0.0,26
5,11/01/2016,0.0,27
6,18/01/2016,0.0,36
7,25/01/2016,0.0,35
8,01/02/2016,0.0,52
9,08/02/2016,0.0,81
10,15/02/2016,0.0,100
11,22/02/2016,0.0,75
12,29/02/2016,0.0,60
13,07/03/2016,0.0,53
14,14/03/2016,0.0,28
15,21/03/2016,0.0,21
16,28/03/2016,0.0,18
17,04/04/2016,0.0,17
18,11/04/2016,0.0,16
19,18/04/2016,0.0,14
20,25/04/2016,0.0,11
21,02/05/2016,0.0,11
22,09/05/2016,0.0,11
23,16/05/2016,0.0,10
24,23/05/2016,0.0,10
25,30/05/2016,0.0,10
26,12/09/2016,0.0,12
27,19/09/2016,0.0,10
28,26/09/2016,0.0,11
29,03/10/2016,0.0,10
30,10/10/2016,0.0,10
31,17/10/2016,0.0,9
32,24/10/2016,0.0,11
33,31/10/2016,0.0,11
34,07/11/2016,0.0,11
35,14/11/2016,0.0,13
36,21/11/2016,0.0,16
37,28/11/2016,0.0,20
38,05/12/2016,0.0,20
39,12/12/2016,0.0,22
40,19/12/2016,0.0,22
41,26/12/2016,0.0,24
42,02/01/2017,0.0,21
43,09/01/2017,0.0,18
44,16/01/2017,0.0,19
45,23/01/2017,0.0,18
46,30/01/2017,0.0,16
47,06/02/2017,0.0,16
48,13/02/2017,0.0,15
49,20/02/2017,0.0,16
50,27/02/2017,0.0,17
51,06/03/2017,0.0,21
52,13/03/2017,0.0,22
53,20/03/2017,0.0,24
54,27/03/2017,0.0,22
55,03/04/2017,0.0,19
56,10/04/2017,0.0,26
57,17/04/2017,0.0,17
58,24/04/2017,0.0,16
59,01/05/2017,0.0,14
60,08/05/2017,0.0,13
61,15/05/2017,0.0,12
62,22/05/2017,0.0,12
63,29/05/2017,0.0,12
64,05/06/2017,0.0,11
65,12/06/2017,0.0,11
66,19/06/2017,0.0,11
67,26/06/2017,0.0,11
68,03/07/2017,0.0,12
69,10/07/2017,0.0,10
70,17/07/2017,0.0,11
71,24/07/2017,0.0,11
72,31/07/2017,0.0,11
73,07/08/2017,0.0,10
74,14/08/2017,0.0,10
75,21/08/2017,0.0,12
76,28/08/2017,0.0,12
77,04/09/2017,0.0,12
78,11/09/2017,0.0,12
79,18/09/2017,0.0,13
