,date,incidence,gr
0,29/12/2014,4656.0,23
1,14/12/2015,4861.0,62
2,21/12/2015,7764.0,0
3,28/12/2015,10482.0,0
4,04/01/2016,13968.0,0
5,11/01/2016,18624.0,0
6,18/01/2016,19664.0,0
7,25/01/2016,22692.0,0
8,01/02/2016,22312.0,51
9,08/02/2016,21056.0,50
10,15/02/2016,19252.0,100
11,22/02/2016,20644.0,94
12,29/02/2016,21408.0,0
13,07/03/2016,22536.0,0
14,14/03/2016,23028.0,0
15,21/03/2016,19500.0,0
16,28/03/2016,17848.0,0
17,04/04/2016,17732.0,0
18,11/04/2016,16280.0,0
19,18/04/2016,14924.0,0
20,25/04/2016,15376.0,0
21,02/05/2016,14348.0,0
22,09/05/2016,17300.0,0
23,16/05/2016,11793.0,0
24,23/05/2016,7164.0,0
25,30/05/2016,2636.0,0
26,12/09/2016,2966.0,0
27,19/09/2016,6674.0,0
28,26/09/2016,11736.0,0
29,03/10/2016,17920.0,0
30,10/10/2016,17416.0,0
31,17/10/2016,18804.0,0
32,24/10/2016,17900.0,0
33,31/10/2016,19608.0,0
34,07/11/2016,21036.0,0
35,14/11/2016,21636.0,0
36,21/11/2016,23664.0,0
37,28/11/2016,23616.0,0
38,05/12/2016,23024.0,0
39,12/12/2016,21400.0,0
40,19/12/2016,26224.0,0
41,26/12/2016,21128.0,0
42,02/01/2017,27444.0,0
43,09/01/2017,24596.0,0
44,16/01/2017,23716.0,0
45,23/01/2017,24660.0,0
46,30/01/2017,25752.0,0
47,06/02/2017,20592.0,0
48,13/02/2017,17392.0,0
49,20/02/2017,19828.0,0
50,27/02/2017,17932.0,0
51,06/03/2017,18072.0,0
52,13/03/2017,13896.0,0
53,20/03/2017,8586.0,0
54,27/03/2017,9184.0,0
55,03/04/2017,9738.0,0
56,10/04/2017,11064.0,0
57,17/04/2017,14384.0,0
58,24/04/2017,16744.0,0
59,01/05/2017,13091.0,26
60,08/05/2017,15602.0,0
61,15/05/2017,15277.0,0
62,22/05/2017,15068.0,0
63,29/05/2017,10804.0,0
64,05/06/2017,12951.0,0
65,12/06/2017,8598.0,0
66,19/06/2017,8817.0,0
67,26/06/2017,8586.0,0
68,03/07/2017,9471.0,0
69,10/07/2017,7748.0,0
70,17/07/2017,15775.0,0
71,24/07/2017,15040.0,26
72,31/07/2017,15435.0,0
73,07/08/2017,14730.0,0
74,14/08/2017,11740.0,0
75,21/08/2017,11332.0,0
76,28/08/2017,9496.0,0
77,04/09/2017,12168.0,37
78,11/09/2017,13853.0,59
79,18/09/2017,17732.0,0
80,25/09/2017,19956.0,0
81,02/10/2017,20356.0,0
82,09/10/2017,20504.0,0
83,16/10/2017,14907.0,0
84,23/10/2017,13143.0,0
85,30/10/2017,13218.0,0
86,06/11/2017,10478.0,0
87,13/11/2017,11354.0,0
88,20/11/2017,6192.0,0
89,04/12/2017,6147.0,28
90,11/12/2017,13436.0,0
91,18/12/2017,23826.0,65
92,25/12/2017,23968.0,0
93,01/01/2018,31272.0,0
94,08/01/2018,31824.0,0
95,15/01/2018,31020.0,0
96,22/01/2018,30784.0,0
97,29/01/2018,28128.0,0
98,05/02/2018,27924.0,0
99,12/02/2018,25768.0,0
100,19/02/2018,26060.0,0
101,26/02/2018,23228.0,0
102,05/03/2018,25688.0,0
103,12/03/2018,25168.0,0
104,19/03/2018,23408.0,0
105,26/03/2018,18344.0,0
106,02/04/2018,18108.0,0
107,09/04/2018,18040.0,0
108,16/04/2018,12045.0,0
109,23/04/2018,14481.0,0
110,30/04/2018,13702.0,0
111,07/05/2018,10239.0,0
112,14/05/2018,18212.0,0
113,21/05/2018,17852.0,0
114,28/05/2018,12172.0,0
115,04/06/2018,18304.0,0
116,11/06/2018,17244.0,0
117,18/06/2018,12424.0,0
118,25/06/2018,15392.0,0
119,02/07/2018,14720.0,37
120,09/07/2018,12312.0,0
121,16/07/2018,11412.0,0
122,23/07/2018,10188.0,46
123,30/07/2018,10636.0,0
124,06/08/2018,9008.0,0
125,13/08/2018,11032.0,0
126,20/08/2018,10004.0,0
127,27/08/2018,9864.0,0
128,03/09/2018,13040.0,0
129,10/09/2018,15037.0,0
130,17/09/2018,18228.0,0
131,24/09/2018,20445.0,0
132,01/10/2018,21272.0,0
133,08/10/2018,15588.0,0
134,15/10/2018,15585.0,28
135,22/10/2018,15240.0,41
136,29/10/2018,16143.0,0
137,05/11/2018,23296.0,0
138,12/11/2018,25668.0,0
139,19/11/2018,26548.0,0
140,26/11/2018,28836.0,0
141,03/12/2018,29188.0,0
142,10/12/2018,30400.0,27
143,17/12/2018,29684.0,0
144,24/12/2018,22788.0,0
145,31/12/2018,34016.0,0
146,07/01/2019,37932.0,0
147,14/01/2019,34016.0,26
148,21/01/2019,35444.0,31
149,28/01/2019,34608.0,27
150,04/02/2019,38724.0,0
151,11/02/2019,35192.0,0
152,18/02/2019,31000.0,31
153,25/02/2019,30920.0,0
154,04/03/2019,28532.0,0
155,11/03/2019,26840.0,0
156,18/03/2019,21315.0,0
157,25/03/2019,13418.0,36
158,01/04/2019,7385.0,0
159,22/07/2019,4448.0,0
160,29/07/2019,9138.0,0
161,05/08/2019,12408.0,0
162,12/08/2019,16272.0,0
163,19/08/2019,16452.0,0
164,26/08/2019,13888.0,0
165,02/09/2019,18360.0,0
166,09/09/2019,21431.0,0
167,16/09/2019,26956.0,0
168,23/09/2019,29900.0,0
169,30/09/2019,32900.0,0
170,07/10/2019,34204.0,0
171,14/10/2019,34604.0,0
172,21/10/2019,35820.0,0
173,28/10/2019,27508.0,39
174,04/11/2019,20097.0,0
175,11/11/2019,20088.0,0
176,18/11/2019,22524.0,0
177,25/11/2019,24528.0,0
178,02/12/2019,33896.0,0
179,09/12/2019,29776.0,0
180,16/12/2019,36492.0,60
181,23/12/2019,26896.0,0
182,30/12/2019,35076.0,26
183,06/01/2020,33628.0,0
184,13/01/2020,27948.0,0
185,20/01/2020,29860.0,0
186,27/01/2020,35120.0,33
187,03/02/2020,34184.0,0
188,10/02/2020,33164.0,0
189,17/02/2020,31520.0,0
190,24/02/2020,35868.0,0
191,02/03/2020,36936.0,0
192,09/03/2020,34968.0,0
193,16/03/2020,22096.0,0
194,23/03/2020,18332.0,0
195,30/03/2020,14668.0,0
196,06/04/2020,12604.0,35
197,13/04/2020,12584.0,26
198,20/04/2020,13184.0,0
199,27/04/2020,12200.0,0
200,04/05/2020,10212.0,0
201,11/05/2020,11060.0,0
202,18/05/2020,10724.0,0
203,25/05/2020,11044.0,0
204,01/06/2020,18440.0,0
205,08/06/2020,13240.0,0
206,15/06/2020,12688.0,0
207,22/06/2020,13584.0,0
208,29/06/2020,11976.0,0
209,06/07/2020,11396.0,0
210,13/07/2020,11604.0,0
211,20/07/2020,11616.0,0
212,27/07/2020,11904.0,0
213,03/08/2020,12412.0,0
214,10/08/2020,11400.0,0
215,17/08/2020,8192.0,0
216,24/08/2020,11884.0,0
217,31/08/2020,8895.0,0
218,07/09/2020,14906.0,0
219,14/09/2020,19003.0,0
220,21/09/2020,18036.0,0
221,28/09/2020,22092.0,0
222,05/10/2020,21108.0,0
223,12/10/2020,21080.0,0
224,19/10/2020,15531.0,0
225,26/10/2020,9016.0,0
226,02/11/2020,9106.0,0
227,09/11/2020,9588.0,0
228,16/11/2020,15033.0,0
229,23/11/2020,14652.0,0
230,30/11/2020,8890.0,0
231,07/12/2020,9220.0,0
232,14/12/2020,4544.0,0
233,21/12/2020,7198.0,0
234,28/12/2020,9168.0,0
235,04/01/2021,12399.0,0
236,11/01/2021,16984.0,0
237,18/01/2021,16572.0,0
238,25/01/2021,15424.0,0
239,01/02/2021,19308.0,0
240,08/02/2021,18568.0,0
241,15/02/2021,16324.0,0
242,22/02/2021,18220.0,0
243,01/03/2021,20340.0,0
244,08/03/2021,20820.0,0
245,15/03/2021,20592.0,0
246,22/03/2021,21368.0,0
247,29/03/2021,19564.0,0
248,05/04/2021,21376.0,0
249,12/04/2021,23128.0,0
250,19/04/2021,17544.0,0
251,26/04/2021,24804.0,0
252,03/05/2021,23132.0,0
253,10/05/2021,29508.0,0
254,17/05/2021,31868.0,0
255,24/05/2021,30848.0,0
256,31/05/2021,28268.0,0
257,07/06/2021,36260.0,0
258,14/06/2021,47056.0,0
259,21/06/2021,38600.0,0
260,28/06/2021,36952.0,0
261,05/07/2021,35404.0,0
262,12/07/2021,31392.0,0
263,19/07/2021,23084.0,0
264,26/07/2021,29976.0,0
265,02/08/2021,28700.0,0
266,09/08/2021,29128.0,0
267,16/08/2021,30712.0,0
268,23/08/2021,29004.0,0
269,30/08/2021,29120.0,0
270,06/09/2021,24968.0,0
271,13/09/2021,36812.0,0
272,20/09/2021,45148.0,0
273,27/09/2021,50112.0,0
274,04/10/2021,53016.0,0
275,11/10/2021,36492.0,0
276,18/10/2021,48508.0,0
277,25/10/2021,48452.0,0
278,01/11/2021,51260.0,0
279,08/11/2021,54064.0,0
280,15/11/2021,56616.0,0
281,22/11/2021,58240.0,0
282,29/11/2021,41784.0,0
283,06/12/2021,42804.0,0
284,13/12/2021,39555.0,0
285,20/12/2021,33903.0,0
286,27/12/2021,28360.0,0
287,03/01/2022,38304.0,0
288,10/01/2022,38336.0,0
289,17/01/2022,36184.0,0
290,24/01/2022,13968.0,0
291,31/01/2022,18936.0,0
292,07/02/2022,27284.0,0
293,14/02/2022,36388.0,0
294,21/02/2022,38256.0,0
295,28/02/2022,32896.0,0
296,07/03/2022,14108.0,0
297,14/03/2022,26334.0,0
298,21/03/2022,21378.0,0
299,28/03/2022,11713.0,0
300,11/04/2022,9123.0,0
301,18/04/2022,18724.0,0
302,25/04/2022,32109.0,0
303,02/05/2022,37380.0,0
304,09/05/2022,43424.0,0
305,16/05/2022,45924.0,0
306,23/05/2022,46980.0,0
307,30/05/2022,31356.0,0
308,06/06/2022,51380.0,0
309,13/06/2022,55480.0,0
310,20/06/2022,52716.0,0
311,27/06/2022,49252.0,0
312,04/07/2022,49208.0,0
313,11/07/2022,33885.0,0
314,18/07/2022,10408.0,0
315,25/07/2022,18054.0,0
316,01/08/2022,18942.0,0
317,08/08/2022,25683.0,0
318,15/08/2022,26094.0,0
319,21/08/2022,0.0,0
320,22/08/2022,25230.0,0
321,28/08/2022,0.0,0
322,29/08/2022,21696.0,0
323,05/09/2022,26580.0,0
324,11/09/2022,0.0,0
325,12/09/2022,39668.0,48
326,19/09/2022,39988.0,0
327,26/09/2022,54252.0,0
328,03/10/2022,43098.0,0
329,10/10/2022,45141.0,0
330,17/10/2022,44892.0,0
331,24/10/2022,41127.0,0
332,31/10/2022,58644.0,0
333,07/11/2022,64948.0,0
334,14/11/2022,69688.0,0
335,21/11/2022,77844.0,0
336,28/11/2022,86496.0,0
337,05/12/2022,82446.0,0
338,12/12/2022,94317.0,0
339,19/12/2022,95157.0,0
340,26/12/2022,56562.0,0
341,02/01/2023,87584.0,0
342,09/01/2023,78508.0,0
343,16/01/2023,68216.0,0
344,23/01/2023,69900.0,0
345,30/01/2023,75032.0,0
346,06/02/2023,76948.0,0
347,13/02/2023,71708.0,0
348,20/02/2023,70280.0,0
349,27/02/2023,68504.0,51
350,06/03/2023,69988.0,0
