,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.029776354707293933,0.001288684325406859,0.035898249614805165,0.4663199602971765,1.0
1,0-52,53-104,0,SARIMAX,0.03597678619565629,0.001603413023276726,0.0400426400637711,0.5201557882373985,1.208233396912199
2,0-52,53-104,0,RF,0.03019973554670365,0.001169228974585144,0.03419399032849404,0.4441815515653776,1.0142186927705428
3,0-52,53-104,0,XGB,0.0319915355658324,0.0013307333755966386,0.036479218407151195,0.4738667723865595,1.074393957229286
4,0-52,53-104,0,ENet,0.029975339830181906,0.0011605089796549299,0.034066243991008605,0.4425221205997032,1.0066826555783617
5,0-52,53-104,1,SNaive,0.029456002867605073,0.0012864706473396342,0.0358674036883022,0.46069665246647573,1.0
6,0-52,53-104,1,SARIMAX,0.03855621652964975,0.0025411775246661395,0.0504100934800377,0.6474893337303276,1.3089425847406082
7,0-52,53-104,1,RF,0.030877761849178818,0.0011991830772848156,0.03462922288017471,0.4447929155132876,1.0482672067885137
8,0-52,53-104,1,XGB,0.03284407717961985,0.0013542381187396984,0.0367999744393892,0.47267499990827977,1.115021523023441
9,0-52,53-104,1,ENet,0.02931821745670386,0.0011294784258638808,0.033607713785139874,0.43167220500308995,0.9953223316985501
10,0-52,53-104,2,SNaive,0.030029452336082174,0.0013588522841304078,0.03686261363672424,0.4686750655510096,1.0
11,0-52,53-104,2,SARIMAX,0.03367739267348571,0.0018255127785660537,0.04272601992423415,0.5432230168501869,1.1214787501475783
12,0-52,53-104,2,RF,0.030026921562104663,0.0012059767888446574,0.03472717651702564,0.44152489812344203,0.9999157236053063
13,0-52,53-104,2,XGB,0.03168018679033592,0.0013561924712756192,0.03682651858750185,0.4682161493784592,1.0549705148059025
14,0-52,53-104,2,ENet,0.028687418991547007,0.0011021367754225303,0.033198445376591515,0.42208845298925746,0.9553094299051657
15,0-52,53-104,3,SNaive,0.0299790116779067,0.0013765252468923928,0.037101553160108984,0.4673016588939735,1.0
16,0-52,53-104,3,SARIMAX,0.030797194253115095,0.0013015531381088707,0.03607704447580027,0.4543977622386849,1.0272918461755483
17,0-52,53-104,3,RF,0.027805891630156412,0.0010948483679021103,0.03308849298324283,0.4167563442598897,0.9275119516581066
18,0-52,53-104,3,XGB,0.02886104333770756,0.001189316611000675,0.034486469970129954,0.43436415065680206,0.9627082989856187
19,0-52,53-104,3,ENet,0.027962326939270237,0.0010727625898083655,0.032753054663777016,0.412531429942515,0.9327301126433506
20,0-52,53-104,4,SNaive,0.02912196765787926,0.0013109949730917355,0.03620766456279299,0.45553956199774626,1.0
21,0-52,53-104,4,SARIMAX,0.03082344454763689,0.0012940426806882393,0.03597280473758252,0.45258471961287766,1.058425890370676
22,0-52,53-104,4,RF,0.027158257700755868,0.0010401319856570656,0.032251077279016056,0.4057605425547268,0.9325694616451479
23,0-52,53-104,4,XGB,0.027406674766166348,0.0010753460426993233,0.032792469298595424,0.4125719590447507,0.9410996910695071
24,0-52,53-104,4,ENet,0.027543318070931674,0.001049325582127782,0.03239329532677684,0.4075498307611718,0.9457917952010202
25,0-52,53-104,5,SNaive,0.02837778908220897,0.0012278977171603386,0.035041371507980944,0.4408179643376681,1.0
26,0-52,53-104,5,SARIMAX,0.031327873769764016,0.0013253384323600886,0.036405197875579366,0.45797480315996836,1.1039575239286192
27,0-52,53-104,5,RF,0.027920587717931006,0.0010513984825320443,0.03242527536555464,0.40790766070547907,0.9838887602218244
28,0-52,53-104,5,XGB,0.027917822716872102,0.0010615357552210374,0.03258121782900445,0.4098694058179982,0.9837913248278656
29,0-52,53-104,5,ENet,0.0279471400666543,0.0010714074167988404,0.03273236039149698,0.4117707685174451,0.9848244338448248
30,0-52,53-104,6,SNaive,0.028312681282294545,0.001130561572958218,0.03362382448440715,0.4244379475791934,1.0
31,0-52,53-104,6,SARIMAX,0.030822235744168893,0.0012667285577942636,0.035591130324762986,0.4492715072930331,1.0886371176524248
32,0-52,53-104,6,RF,0.028469916932830415,0.001084720051697572,0.03293508845741228,0.4157439423550966,1.0055535415020618
33,0-52,53-104,6,XGB,0.028270477824661275,0.0010768155593366797,0.03281486796159143,0.4142263832646124,0.998509379694121
34,0-52,53-104,6,ENet,0.028181129237889378,0.0010768618530518344,0.03281557333114621,0.4142352872370399,0.9953535999260009
35,0-52,53-104,7,SNaive,0.029388927524286637,0.0011367496527995861,0.033715718186026915,0.42697266674760065,1.0
36,0-52,53-104,7,SARIMAX,0.03674157062622022,0.0019074242673253134,0.043674068591388567,0.553084274559843,1.2501841244753642
37,0-52,53-104,7,RF,0.028668283050001814,0.0010970104815352982,0.033121148553987345,0.41944309315351697,0.9754790482337509
38,0-52,53-104,7,XGB,0.02876530511622926,0.0011122795008175858,0.03335085457402232,0.42235206846886286,0.9787803618372252
39,0-52,53-104,7,ENet,0.028304932603639997,0.0010872111727917423,0.032972885418048305,0.4175655028206351,0.9631155332309816
40,0-52,53-104,8,SNaive,0.028701181670794933,0.001099535632942987,0.03315924656778237,0.4186879060230542,1.0
41,0-52,53-104,8,SARIMAX,0.03001712088435907,0.0012282025525292655,0.035045720887567224,0.44250762644711233,1.0458496527654533
42,0-52,53-104,8,RF,0.02839333661564964,0.001094559934539269,0.03308413418149656,0.4177394934086085,0.9892741330765994
43,0-52,53-104,8,XGB,0.028462823163867165,0.0011020662329168445,0.033197382922707096,0.4191694377898917,0.9916951674791038
44,0-52,53-104,8,ENet,0.028063491741434,0.0010818254445142512,0.03289111497827721,0.41530232084339497,0.9777817534944975
45,0-104,105-156,0,SNaive,0.026886391181971295,0.0012658660406799618,0.03557901123808757,0.37136189970892375,1.0
46,0-104,105-156,0,SARIMAX,0.04781024515597397,0.0035425253513532264,0.05951911752834736,0.6212407760973477,1.7782321484645063
47,0-104,105-156,0,RF,0.037433870128030886,0.0025109755660456716,0.05010963546111338,0.5230277281747465,1.3922980542339285
