,date,incidence,gr
0,29/12/2014,0.0,33
1,14/12/2015,1.0,30
2,21/12/2015,0.0,39
3,28/12/2015,0.0,38
4,04/01/2016,0.0,34
5,11/01/2016,0.0,100
6,18/01/2016,0.0,41
7,25/01/2016,0.0,43
8,01/02/2016,0.0,34
9,08/02/2016,0.0,38
10,15/02/2016,4.0,34
11,22/02/2016,0.0,71
12,29/02/2016,4.0,34
13,07/03/2016,0.0,33
14,14/03/2016,0.0,37
15,21/03/2016,0.0,38
16,28/03/2016,0.0,28
17,04/04/2016,0.0,28
18,11/04/2016,0.0,27
19,18/04/2016,0.0,35
20,25/04/2016,0.0,27
21,02/05/2016,0.0,28
22,09/05/2016,0.0,24
23,16/05/2016,0.0,22
24,23/05/2016,0.0,27
25,30/05/2016,0.0,27
26,12/09/2016,0.0,24
27,19/09/2016,0.0,27
28,26/09/2016,0.0,21
29,03/10/2016,0.0,20
30,10/10/2016,0.0,21
31,17/10/2016,0.0,25
32,24/10/2016,0.0,26
33,31/10/2016,0.0,19
34,07/11/2016,0.0,22
35,14/11/2016,0.0,27
36,21/11/2016,0.0,27
37,28/11/2016,0.0,26
38,05/12/2016,0.0,27
39,12/12/2016,0.0,28
40,19/12/2016,0.0,28
41,26/12/2016,0.0,26
42,02/01/2017,0.0,23
43,09/01/2017,4.0,23
44,16/01/2017,0.0,33
45,23/01/2017,0.0,38
46,30/01/2017,0.0,32
47,06/02/2017,0.0,32
48,13/02/2017,0.0,28
49,20/02/2017,0.0,22
50,27/02/2017,0.0,23
51,06/03/2017,0.0,27
52,13/03/2017,0.0,26
53,20/03/2017,2.0,30
54,27/03/2017,0.0,32
55,03/04/2017,0.0,36
56,10/04/2017,0.0,29
57,17/04/2017,0.0,29
58,24/04/2017,0.0,31
59,01/05/2017,0.0,39
60,08/05/2017,0.0,35
61,15/05/2017,0.0,29
62,22/05/2017,0.0,33
63,29/05/2017,0.0,37
64,05/06/2017,0.0,38
65,12/06/2017,0.0,32
66,19/06/2017,0.0,30
67,26/06/2017,0.0,30
68,03/07/2017,0.0,29
69,10/07/2017,0.0,28
70,17/07/2017,0.0,30
71,24/07/2017,0.0,30
72,31/07/2017,0.0,27
73,07/08/2017,0.0,26
74,14/08/2017,0.0,26
75,21/08/2017,0.0,20
76,28/08/2017,0.0,24
77,04/09/2017,4.0,29
78,11/09/2017,0.0,22
79,18/09/2017,0.0,21
80,25/09/2017,0.0,29
81,02/10/2017,0.0,24
82,09/10/2017,0.0,23
83,16/10/2017,0.0,19
84,23/10/2017,0.0,23
85,30/10/2017,0.0,21
86,06/11/2017,0.0,28
87,13/11/2017,0.0,26
88,20/11/2017,0.0,31
89,04/12/2017,0.0,32
90,11/12/2017,0.0,27
91,18/12/2017,0.0,29
92,25/12/2017,0.0,32
93,01/01/2018,0.0,36
94,08/01/2018,0.0,26
95,15/01/2018,0.0,25
96,22/01/2018,0.0,29
97,29/01/2018,0.0,28
98,05/02/2018,0.0,24
99,12/02/2018,0.0,25
100,19/02/2018,0.0,21
101,26/02/2018,4.0,27
102,05/03/2018,0.0,28
103,12/03/2018,0.0,26
104,19/03/2018,0.0,30
105,26/03/2018,4.0,35
106,02/04/2018,0.0,29
107,09/04/2018,0.0,37
108,16/04/2018,3.0,41
109,23/04/2018,0.0,40
110,30/04/2018,0.0,38
111,07/05/2018,0.0,33
112,14/05/2018,0.0,37
113,21/05/2018,0.0,34
114,28/05/2018,0.0,36
115,04/06/2018,0.0,38
