,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.044871794871794865,0.019230769230769232,0.1386750490563073,6.489992295835181,1.0
1,0-52,53-104,0,SARIMAX,0.050446988068330034,0.0192669831986167,0.1388055589615081,6.496100159398578,1.124247162665641
2,0-52,53-104,0,RF,0.045603988603988614,0.009000217368365517,0.0948694754300113,4.439891450124529,1.0163174603174607
3,0-52,53-104,0,XGB,0.03964567303609149,0.010242891076760536,0.10120716909765107,4.73649551377007,0.8835321419471819
4,0-52,53-104,0,ENet,0.04547653604257377,0.008125084308779574,0.0901392495463523,4.218516878769288,1.013477088948787
5,0-52,53-104,1,SNaive,0.053418803418803416,0.023029439696106362,0.15175453764585217,5.918426968188235,1.0
6,0-52,53-104,1,SARIMAX,0.046117751822231254,0.0126647929637797,0.1125379623228522,4.388980530591236,0.8633243141121691
7,0-52,53-104,1,RF,0.042546740296740285,0.01279422395433873,0.11311155535284063,4.411350658760785,0.7964749783549782
8,0-52,53-104,1,XGB,0.039613284145255015,0.01275928675679606,0.11295701287125143,4.405323501978806,0.7415606791991739
9,0-52,53-104,1,ENet,0.05345911949685535,0.010772253207283465,0.10378946578185796,4.0477891654924605,1.0007547169811322
10,0-52,53-104,2,SNaive,0.053418803418803416,0.023029439696106362,0.15175453764585217,5.918426968188235,1.0
11,0-52,53-104,2,SARIMAX,0.048852125148913794,0.020053329593283868,0.14160977929960863,5.522781392684737,0.9145117827876663
12,0-52,53-104,2,RF,0.03758628301897532,0.010396688266976815,0.10196415187200261,3.976601923008102,0.703615218115218
13,0-52,53-104,2,XGB,0.03362730222253072,0.010707037727754665,0.10347481687712554,4.035517858207896,0.6295030976057752
14,0-52,53-104,2,ENet,0.051604579906466684,0.010752306468456938,0.1036933289486693,4.044039828998103,0.9660377358490564
15,0-52,53-104,3,SNaive,0.053418803418803416,0.023029439696106362,0.15175453764585217,5.918426968188235,1.0
