,date,incidence,gr
0,29/12/2014,26.0,58
1,14/12/2015,20.0,41
2,21/12/2015,38.0,56
3,28/12/2015,45.0,50
4,04/01/2016,78.0,56
5,11/01/2016,116.0,35
6,18/01/2016,108.0,27
7,25/01/2016,104.0,80
8,01/02/2016,152.0,33
9,08/02/2016,120.0,39
10,15/02/2016,92.0,26
11,22/02/2016,68.0,31
12,29/02/2016,100.0,53
13,07/03/2016,112.0,69
14,14/03/2016,84.0,64
15,21/03/2016,64.0,49
16,28/03/2016,64.0,52
17,04/04/2016,100.0,58
18,11/04/2016,96.0,40
19,18/04/2016,92.0,42
20,25/04/2016,56.0,39
21,02/05/2016,108.0,67
22,09/05/2016,60.0,29
23,16/05/2016,60.0,63
24,23/05/2016,38.0,67
25,30/05/2016,18.0,42
26,12/09/2016,27.0,48
27,19/09/2016,46.0,43
28,26/09/2016,54.0,25
29,03/10/2016,92.0,45
30,10/10/2016,120.0,49
31,17/10/2016,64.0,66
32,24/10/2016,92.0,68
33,31/10/2016,80.0,64
34,07/11/2016,132.0,50
35,14/11/2016,148.0,46
36,21/11/2016,84.0,39
37,28/11/2016,88.0,41
38,05/12/2016,100.0,28
39,12/12/2016,72.0,44
40,19/12/2016,104.0,49
41,26/12/2016,64.0,63
42,02/01/2017,108.0,46
43,09/01/2017,80.0,40
44,16/01/2017,120.0,43
45,23/01/2017,116.0,34
46,30/01/2017,136.0,39
47,06/02/2017,112.0,38
48,13/02/2017,64.0,58
49,20/02/2017,64.0,34
50,27/02/2017,120.0,43
51,06/03/2017,108.0,50
52,13/03/2017,90.0,31
53,20/03/2017,28.0,53
54,27/03/2017,44.0,42
55,03/04/2017,52.0,50
56,10/04/2017,57.0,64
57,17/04/2017,48.0,73
58,24/04/2017,92.0,55
59,01/05/2017,100.0,44
60,08/05/2017,72.0,59
61,15/05/2017,88.0,41
62,22/05/2017,92.0,35
63,29/05/2017,48.0,38
64,05/06/2017,91.0,54
65,12/06/2017,57.0,53
66,19/06/2017,51.0,86
67,26/06/2017,30.0,55
68,03/07/2017,30.0,57
69,10/07/2017,48.0,0
70,17/07/2017,90.0,45
71,24/07/2017,75.0,29
72,31/07/2017,165.0,30
73,07/08/2017,105.0,58
74,14/08/2017,84.0,94
75,21/08/2017,44.0,45
76,28/08/2017,48.0,42
77,04/09/2017,48.0,30
78,11/09/2017,84.0,66
79,18/09/2017,120.0,48
80,25/09/2017,156.0,47
81,02/10/2017,132.0,64
82,09/10/2017,132.0,61
83,16/10/2017,72.0,28
84,23/10/2017,57.0,62
85,30/10/2017,105.0,52
86,06/11/2017,50.0,53
87,13/11/2017,76.0,72
88,20/11/2017,32.0,38
89,04/12/2017,25.0,74
90,11/12/2017,62.0,39
91,18/12/2017,84.0,40
92,25/12/2017,48.0,59
93,01/01/2018,124.0,47
94,08/01/2018,124.0,44
95,15/01/2018,108.0,54
96,22/01/2018,140.0,59
97,29/01/2018,160.0,31
98,05/02/2018,148.0,46
99,12/02/2018,80.0,34
100,19/02/2018,120.0,38
101,26/02/2018,172.0,44
102,05/03/2018,292.0,46
103,12/03/2018,92.0,32
104,19/03/2018,92.0,43
105,26/03/2018,80.0,0
106,02/04/2018,124.0,51
107,09/04/2018,92.0,31
108,16/04/2018,69.0,56
109,23/04/2018,96.0,56
110,30/04/2018,69.0,56
111,07/05/2018,45.0,50
112,14/05/2018,96.0,51
113,21/05/2018,88.0,51
114,28/05/2018,52.0,42
115,04/06/2018,88.0,62
116,11/06/2018,60.0,33
117,18/06/2018,44.0,42
118,25/06/2018,80.0,56
119,02/07/2018,124.0,42
120,09/07/2018,64.0,49
121,16/07/2018,48.0,33
122,23/07/2018,68.0,30
123,30/07/2018,40.0,61
124,06/08/2018,156.0,42
125,13/08/2018,76.0,39
126,20/08/2018,124.0,33
127,27/08/2018,80.0,33
128,03/09/2018,116.0,100
129,10/09/2018,156.0,59
130,17/09/2018,220.0,74
131,24/09/2018,128.0,76
132,01/10/2018,136.0,35
133,08/10/2018,135.0,53
134,15/10/2018,84.0,50
135,22/10/2018,135.0,46
136,29/10/2018,93.0,45
137,05/11/2018,168.0,60
138,12/11/2018,104.0,46
