,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.01668009128742113,0.0004958382504228287,0.022267425770008276,0.5802188178777145,1.0
1,0-52,53-104,0,SARIMAX,0.01951737182118344,0.0006656457982830762,0.02580011236958235,0.6722694780621562,1.170099820490909
2,0-52,53-104,0,RF,0.015909891494970036,0.0004389553564538416,0.020951261452567517,0.5459237308620041,0.9538252051994511
3,0-52,53-104,0,XGB,0.016429763925472466,0.000475817357158631,0.021813238117222095,0.5683841215048093,0.9849924465259107
4,0-52,53-104,0,ENet,0.01548802295863444,0.0004407363536002082,0.020993721766285466,0.5470301125913788,0.9285334649405871
5,0-52,53-104,1,SNaive,0.018240703450127536,0.0006079516980739536,0.024656676541536443,0.6352532072906354,1.0
6,0-52,53-104,1,SARIMAX,0.021617227426288545,0.0008727189337131588,0.029541816696221627,0.7611136794471418,1.185109307072113
7,0-52,53-104,1,RF,0.019171446990327877,0.0006076689327462212,0.024650941822701646,0.6351054583218488,1.0510256384982692
8,0-52,53-104,1,XGB,0.019166097264053744,0.0006202523711534304,0.024904866415089048,0.6416475570289608,1.0507323534125947
9,0-52,53-104,1,ENet,0.01505298925777045,0.0004288844367375154,0.020709525265865353,0.5335590270832028,0.8252417073128395
10,0-52,53-104,2,SNaive,0.01976775406094778,0.000690764680923942,0.026282402495280792,0.6656272543556195,1.0
11,0-52,53-104,2,SARIMAX,0.03270424569056227,0.0015656097260669005,0.03956778646913295,1.0020924484779306,1.6544239466825013
12,0-52,53-104,2,RF,0.015145551922384379,0.00048012913873049853,0.021911849276829615,0.5549387684253423,0.7661746435982426
13,0-52,53-104,2,XGB,0.016673141891647626,0.0005221460300699388,0.022850514875379476,0.5787113822582293,0.8434515039109213
14,0-52,53-104,2,ENet,0.01496635956921295,0.00042014922621733033,0.02049754195549628,0.5191200680883699,0.7571097618408642
15,0-52,53-104,3,SNaive,0.018727345952476843,0.0006101261703493003,0.024700732182453628,0.620297527272135,1.0
16,0-52,53-104,3,SARIMAX,0.03223074794260463,0.0015682433419670415,0.039601052283582586,0.9944820512782357,1.7210526266986514
17,0-52,53-104,3,RF,0.015525498389045506,0.00045489722653909684,0.021328319824568856,0.5356077686412588,0.8290282258064514
18,0-52,53-104,3,XGB,0.016240402165236964,0.0005203619857484053,0.022811444183751393,0.5728527525487201,0.8672025500275996
19,0-52,53-104,3,ENet,0.014817425157739293,0.00042286670598605926,0.02056372305751221,0.5164068202457933,0.7912186379928314
20,0-52,53-104,4,SNaive,0.0188448113840784,0.0005750417557248511,0.02398002826780759,0.6006800523477049,1.0
21,0-52,53-104,4,SARIMAX,0.01767029053277023,0.0005393530804468306,0.02322397641332833,0.5817415731076343,0.9376740457959425
22,0-52,53-104,4,RF,0.01484755690547576,0.0004163505940999747,0.02040467088928353,0.5111202806364793,0.7878856732957359
23,0-52,53-104,4,XGB,0.015248296711390573,0.0004318263283959636,0.020780431381373286,0.5205327729629243,0.8091509328808433
24,0-52,53-104,4,ENet,0.014716740502080817,0.0004203820818438718,0.0205032212553021,0.513588886526256,0.7809439002671416
25,0-52,53-104,5,SNaive,0.021177339240166463,0.0006500427455856309,0.025495935864086865,0.6322737453236225,1.0
26,0-52,53-104,5,SARIMAX,0.019687919683990498,0.0006574018977861357,0.025639849800381743,0.6358426672094669,0.9296691836833295
27,0-52,53-104,5,RF,0.015406868691227326,0.0005023641858833956,0.02241348223465947,0.5558319739191958,0.7275167345860689
28,0-52,53-104,5,XGB,0.015588320156211526,0.0005114712950153581,0.02261573114041105,0.5608475447854248,0.736084924523738
29,0-52,53-104,5,ENet,0.014688688834933473,0.00042324087181932725,0.020572818762127063,0.5101853581659077,0.6936040769028174
30,0-52,53-104,6,SNaive,0.020497717814471742,0.000619157185674688,0.024882869321577204,0.6200376117965414,1.0
31,0-52,53-104,6,SARIMAX,0.017625621447293356,0.0005014874500860429,0.022393915470190623,0.5580172321553835,0.8598821394081912
32,0-52,53-104,6,RF,0.016356456976221373,0.0005248196869881199,0.022908943384366724,0.5708508275815102,0.7979647843855784
33,0-52,53-104,6,XGB,0.01664843120851505,0.0005691569681873065,0.02385701088123377,0.5944750125170323,0.8122090156183618
34,0-52,53-104,6,ENet,0.014574103906564637,0.0004189273159394741,0.020467713989096928,0.5100196579712583,0.7110110519852639
35,0-52,53-104,7,SNaive,0.019499261645858506,0.0006035222175130622,0.02456668918501356,0.6192800938719661,1.0
36,0-52,53-104,7,SARIMAX,0.0179121351087962,0.0005305548842016449,0.023033777028564916,0.5806382574814892,0.9186058136001576
37,0-52,53-104,7,RF,0.01924936672547929,0.0005826542299994362,0.024138231708214174,0.608479485598942,0.9871843906237193
38,0-52,53-104,7,XGB,0.01914330079322882,0.0005896982259090812,0.024283702887102725,0.6121465407987419,0.9817449060844163
39,0-52,53-104,7,ENet,0.0153346483274337,0.0004461817227903887,0.021123014055536408,0.5324715116740802,0.7864219992499388
40,0-52,53-104,8,SNaive,0.018106457242582894,0.0005675226209545445,0.02382273328051474,0.5974934013688696,1.0
41,0-52,53-104,8,SARIMAX,0.021937412064043645,0.0007959610841816905,0.02821278228359781,0.707599377880539,1.2115794807418805
42,0-52,53-104,8,RF,0.01734288732161768,0.00048430769142997063,0.022006991875991835,0.5519531396776538,0.9578288612324755
43,0-52,53-104,8,XGB,0.017168706064676978,0.0004851490242505208,0.02202609870700031,0.5524323544392098,0.9482090192828829
44,0-52,53-104,8,ENet,0.014767082829910053,0.00042573145415372634,0.02063326087058772,0.5174988559764576,0.8155699721964782
