,date,incidence,gr
0,29/12/2014,362.0,72
1,14/12/2015,347.0,59
2,21/12/2015,450.0,63
3,28/12/2015,732.0,61
4,04/01/2016,1086.0,66
5,11/01/2016,1392.0,59
6,18/01/2016,1360.0,60
7,25/01/2016,1496.0,61
8,01/02/2016,1720.0,60
9,08/02/2016,1500.0,61
10,15/02/2016,1376.0,62
11,22/02/2016,1436.0,65
12,29/02/2016,1624.0,63
13,07/03/2016,1512.0,52
14,14/03/2016,1504.0,47
15,21/03/2016,1384.0,37
16,28/03/2016,1368.0,34
17,04/04/2016,1460.0,35
18,11/04/2016,1316.0,35
19,18/04/2016,1016.0,32
20,25/04/2016,1124.0,30
21,02/05/2016,964.0,33
22,09/05/2016,1096.0,36
23,16/05/2016,714.0,30
24,23/05/2016,458.0,23
25,30/05/2016,167.0,29
26,12/09/2016,199.0,30
27,19/09/2016,352.0,28
28,26/09/2016,759.0,31
29,03/10/2016,1052.0,29
30,10/10/2016,1112.0,29
31,17/10/2016,1304.0,22
32,24/10/2016,1279.0,29
33,31/10/2016,1292.0,30
34,07/11/2016,1424.0,36
35,14/11/2016,1348.0,39
36,21/11/2016,1400.0,44
37,28/11/2016,1468.0,40
38,05/12/2016,1572.0,43
39,12/12/2016,1384.0,43
40,19/12/2016,1768.0,40
41,26/12/2016,1492.0,37
42,02/01/2017,2244.0,40
43,09/01/2017,2028.0,36
44,16/01/2017,1632.0,38
45,23/01/2017,1732.0,39
46,30/01/2017,1884.0,32
47,06/02/2017,1644.0,38
48,13/02/2017,1364.0,38
49,20/02/2017,1640.0,41
50,27/02/2017,1556.0,39
51,06/03/2017,1484.0,44
52,13/03/2017,933.0,42
53,20/03/2017,608.0,41
54,27/03/2017,688.0,40
55,03/04/2017,676.0,40
56,10/04/2017,843.0,38
57,17/04/2017,1128.0,35
58,24/04/2017,1380.0,41
59,01/05/2017,928.0,36
60,08/05/2017,1040.0,36
61,15/05/2017,1032.0,36
62,22/05/2017,964.0,37
63,29/05/2017,704.0,43
64,05/06/2017,816.0,39
65,12/06/2017,381.0,39
66,19/06/2017,312.0,42
67,26/06/2017,531.0,37
68,03/07/2017,555.0,36
69,10/07/2017,516.0,37
70,17/07/2017,940.0,38
71,24/07/2017,950.0,40
72,31/07/2017,1140.0,42
73,07/08/2017,1060.0,39
74,14/08/2017,912.0,38
75,21/08/2017,836.0,38
76,28/08/2017,564.0,41
77,04/09/2017,908.0,41
78,11/09/2017,944.0,43
79,18/09/2017,1060.0,44
80,25/09/2017,1352.0,34
81,02/10/2017,1216.0,36
82,09/10/2017,1300.0,40
83,16/10/2017,1011.0,37
84,23/10/2017,666.0,42
85,30/10/2017,750.0,41
86,06/11/2017,572.0,41
87,13/11/2017,632.0,41
88,20/11/2017,379.0,46
89,04/12/2017,411.0,50
90,11/12/2017,894.0,49
91,18/12/2017,1473.0,55
92,25/12/2017,1316.0,61
93,01/01/2018,2100.0,62
94,08/01/2018,2304.0,55
95,15/01/2018,1660.0,61
96,22/01/2018,1708.0,54
97,29/01/2018,1576.0,54
98,05/02/2018,1624.0,52
99,12/02/2018,1724.0,63
100,19/02/2018,1752.0,63
101,26/02/2018,1632.0,61
102,05/03/2018,1776.0,58
103,12/03/2018,1560.0,59
104,19/03/2018,1760.0,57
105,26/03/2018,1152.0,53
106,02/04/2018,1296.0,42
107,09/04/2018,1440.0,47
108,16/04/2018,834.0,49
109,23/04/2018,867.0,51
110,30/04/2018,840.0,50
111,07/05/2018,507.0,53
112,14/05/2018,1120.0,55
113,21/05/2018,1184.0,52
114,28/05/2018,700.0,53
115,04/06/2018,812.0,57
116,11/06/2018,776.0,56
117,18/06/2018,656.0,56
118,25/06/2018,792.0,59
119,02/07/2018,796.0,54
120,09/07/2018,744.0,48
121,16/07/2018,652.0,40
122,23/07/2018,628.0,40
123,30/07/2018,776.0,43
124,06/08/2018,580.0,39
125,13/08/2018,836.0,41
126,20/08/2018,748.0,45
127,27/08/2018,696.0,44
128,03/09/2018,820.0,46
129,10/09/2018,856.0,43
130,17/09/2018,1028.0,40
131,24/09/2018,1064.0,42
132,01/10/2018,1480.0,36
133,08/10/2018,1050.0,39
134,15/10/2018,927.0,35
135,22/10/2018,867.0,31
136,29/10/2018,1137.0,28
137,05/11/2018,1468.0,30
138,12/11/2018,1560.0,33
139,19/11/2018,1564.0,35
140,26/11/2018,1748.0,37
141,03/12/2018,1860.0,41
142,10/12/2018,1992.0,47
143,17/12/2018,2096.0,50
144,24/12/2018,1320.0,51
145,31/12/2018,2552.0,50
146,07/01/2019,2744.0,47
147,14/01/2019,2296.0,45
148,21/01/2019,2116.0,49
149,28/01/2019,2024.0,51
150,04/02/2019,2424.0,53
151,11/02/2019,2204.0,63
152,18/02/2019,2056.0,66
153,25/02/2019,2144.0,79
154,04/03/2019,1996.0,100
155,11/03/2019,1696.0,93
156,18/03/2019,1398.0,87
157,25/03/2019,900.0,67
158,01/04/2019,477.0,54
159,22/07/2019,200.0,54
160,29/07/2019,554.0,58
161,05/08/2019,750.0,64
162,12/08/2019,1088.0,66
163,19/08/2019,1152.0,64
164,26/08/2019,852.0,65
165,02/09/2019,1212.0,63
166,09/09/2019,1433.0,60
167,16/09/2019,1550.0,63
168,23/09/2019,1842.0,64
169,30/09/2019,1988.0,58
170,07/10/2019,2088.0,52
171,14/10/2019,2024.0,61
172,21/10/2019,2048.0,49
173,28/10/2019,1680.0,46
174,04/11/2019,1290.0,49
175,11/11/2019,1173.0,49
176,18/11/2019,1314.0,45
177,25/11/2019,1341.0,42
178,02/12/2019,1780.0,45
179,09/12/2019,1676.0,32
180,16/12/2019,2224.0,31
181,23/12/2019,1516.0,33
182,30/12/2019,2500.0,38
183,06/01/2020,2940.0,38
184,13/01/2020,2228.0,38
185,20/01/2020,2172.0,36
186,27/01/2020,2380.0,42
187,03/02/2020,2432.0,41
188,10/02/2020,2504.0,41
189,17/02/2020,2524.0,34
190,24/02/2020,2612.0,35
191,02/03/2020,2508.0,35
192,09/03/2020,2408.0,33
193,16/03/2020,1752.0,39
194,23/03/2020,1832.0,43
195,30/03/2020,1592.0,45
196,06/04/2020,1204.0,49
197,13/04/2020,1264.0,53
198,20/04/2020,1180.0,48
199,27/04/2020,1364.0,48
200,04/05/2020,996.0,51
201,11/05/2020,1116.0,58
202,18/05/2020,1052.0,56
203,25/05/2020,864.0,54
204,01/06/2020,940.0,64
205,08/06/2020,1228.0,67
206,15/06/2020,888.0,73
207,22/06/2020,872.0,71
208,29/06/2020,1212.0,76
209,06/07/2020,1252.0,69
210,13/07/2020,1200.0,62
211,20/07/2020,1188.0,65
212,27/07/2020,1136.0,91
213,03/08/2020,1192.0,80
214,10/08/2020,940.0,78
215,17/08/2020,688.0,81
216,24/08/2020,1176.0,73
217,31/08/2020,915.0,66
218,07/09/2020,1298.0,56
219,14/09/2020,1502.0,50
220,21/09/2020,1581.0,39
221,28/09/2020,2176.0,44
222,05/10/2020,2112.0,50
223,12/10/2020,2020.0,57
224,19/10/2020,1512.0,59
225,26/10/2020,880.0,71
226,02/11/2020,826.0,73
227,09/11/2020,886.0,83
228,16/11/2020,1428.0,88
229,23/11/2020,1401.0,69
230,30/11/2020,850.0,60
231,07/12/2020,862.0,53
232,14/12/2020,469.0,50
233,21/12/2020,666.0,42
234,28/12/2020,873.0,48
235,04/01/2021,1497.0,66
236,11/01/2021,2056.0,69
237,18/01/2021,1808.0,82
238,25/01/2021,1860.0,90
239,01/02/2021,2144.0,91
240,08/02/2021,2040.0,79
241,15/02/2021,2016.0,65
242,22/02/2021,1880.0,59
243,01/03/2021,1840.0,48
244,08/03/2021,2088.0,49
245,15/03/2021,1872.0,54
246,22/03/2021,1760.0,59
247,29/03/2021,1808.0,64
248,05/04/2021,2044.0,72
249,12/04/2021,2124.0,88
250,19/04/2021,1468.0,92
251,26/04/2021,2040.0,91
252,03/05/2021,1712.0,89
253,10/05/2021,2300.0,74
254,17/05/2021,2008.0,62
255,24/05/2021,2336.0,55
256,31/05/2021,1592.0,45
257,07/06/2021,2104.0,50
258,14/06/2021,1804.0,63
259,21/06/2021,1860.0,67
260,28/06/2021,2108.0,72
261,05/07/2021,2360.0,86
262,12/07/2021,2244.0,100
263,19/07/2021,1212.0,90
264,26/07/2021,1748.0,74
265,02/08/2021,2056.0,75
266,09/08/2021,2216.0,62
267,16/08/2021,2420.0,55
268,23/08/2021,2216.0,47
269,30/08/2021,2580.0,49
270,06/09/2021,1760.0,56
271,13/09/2021,2412.0,68
272,20/09/2021,2860.0,79
273,27/09/2021,3104.0,97
