,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.15209135433854537,0.03602885747587404,0.1898126905027007,0.6183650457409229,1.0
1,0-52,53-104,0,SARIMAX,0.4830854796553836,0.28862294890806794,0.5372363994630929,1.7501896730290403,3.1762849489791973
2,0-52,53-104,0,RF,0.21839918555227528,0.059266898716851965,0.2434479384115872,0.7930960526017758,1.4359737047651837
3,0-52,53-104,0,XGB,0.20675705479579107,0.05494820188362004,0.23441032802250852,0.7636536462651364,1.3594267451624071
4,0-52,53-104,0,ENet,0.1502735480899568,0.029675700940950504,0.1722663662499169,0.5612032533948872,0.9880479317414568
5,0-52,53-104,1,SNaive,0.15337471517246798,0.036641417418637925,0.1914194802485837,0.6164462867215904,1.0
6,0-52,53-104,1,SARIMAX,0.5505531093763968,0.35777866809006625,0.5981460257245435,1.9262663131063424,3.589594991308095
7,0-52,53-104,1,RF,0.19824154278929557,0.05401500601519423,0.23241128633350452,0.7484560832911216,1.2925307966595105
8,0-52,53-104,1,XGB,0.19710289003065368,0.05372013101966985,0.2317760363360929,0.7464103275428782,1.285106804006214
9,0-52,53-104,1,ENet,0.1472586137627477,0.028963227240950976,0.17018586087260884,0.5480656506390923,0.9601231441385708
10,0-52,53-104,2,SNaive,0.16509520442104714,0.039684803482992415,0.1992104502354041,0.6334155729878382,1.0
11,0-52,53-104,2,SARIMAX,0.19928495915445982,0.06306964148230446,0.2511366987963019,0.7985218434994671,1.2070911438845768
12,0-52,53-104,2,RF,0.18119382303090165,0.047669198009236975,0.218332768977167,0.694217476042406,1.0975111219390585
13,0-52,53-104,2,XGB,0.1708651674281912,0.044602210271331676,0.21119235372364142,0.6715135957297095,1.0349493071429787
14,0-52,53-104,2,ENet,0.1444784104313466,0.02849921043947553,0.1688170916686919,0.5367759307963295,0.8751217876860862
15,0-52,53-104,3,SNaive,0.17147272203451983,0.04206903506234399,0.20510737447089508,0.6419546409273911,1.0
16,0-52,53-104,3,SARIMAX,0.15688537437953293,0.03642030773837435,0.19084105359794665,0.5973032434972703,0.9149290482946304
17,0-52,53-104,3,RF,0.1481091090557383,0.032809722644762965,0.18113454293635703,0.5669233530496801,0.863747348840254
18,0-52,53-104,3,XGB,0.14389493692707173,0.03250550168353758,0.18029282205217595,0.5642888957106426,0.8391710076084503
19,0-52,53-104,3,ENet,0.13381079620248745,0.02555338239069062,0.15985425358960775,0.5003193094765811,0.7803619993595803
