,date,incidence,gr
0,29/12/2014,605.0,62
1,14/12/2015,697.0,62
2,21/12/2015,1116.0,62
3,28/12/2015,1332.0,62
4,04/01/2016,1815.0,66
5,11/01/2016,2748.0,64
6,18/01/2016,2616.0,61
7,25/01/2016,2740.0,60
8,01/02/2016,2804.0,61
9,08/02/2016,2364.0,63
10,15/02/2016,2636.0,50
11,22/02/2016,2808.0,50
12,29/02/2016,2692.0,61
13,07/03/2016,2872.0,56
14,14/03/2016,2764.0,65
15,21/03/2016,2252.0,62
16,28/03/2016,2452.0,62
17,04/04/2016,2872.0,60
18,11/04/2016,2844.0,53
19,18/04/2016,3036.0,66
20,25/04/2016,2864.0,63
21,02/05/2016,2688.0,59
22,09/05/2016,3244.0,55
23,16/05/2016,2352.0,57
24,23/05/2016,1466.0,66
25,30/05/2016,623.0,62
26,12/09/2016,982.0,60
27,19/09/2016,1878.0,58
28,26/09/2016,2721.0,64
29,03/10/2016,3704.0,51
30,10/10/2016,3240.0,59
31,17/10/2016,3224.0,58
32,24/10/2016,3024.0,61
33,31/10/2016,3212.0,56
34,07/11/2016,3272.0,61
35,14/11/2016,3120.0,62
36,21/11/2016,3260.0,64
37,28/11/2016,3056.0,54
38,05/12/2016,2908.0,58
39,12/12/2016,2632.0,57
40,19/12/2016,2968.0,58
41,26/12/2016,2028.0,54
42,02/01/2017,2672.0,56
43,09/01/2017,2800.0,53
44,16/01/2017,3428.0,59
45,23/01/2017,3228.0,66
46,30/01/2017,3368.0,56
47,06/02/2017,2548.0,58
48,13/02/2017,2596.0,59
49,20/02/2017,3120.0,55
50,27/02/2017,2892.0,59
51,06/03/2017,3148.0,58
52,13/03/2017,2313.0,63
53,20/03/2017,1486.0,65
54,27/03/2017,1650.0,60
55,03/04/2017,1670.0,57
56,10/04/2017,2049.0,64
57,17/04/2017,2844.0,67
58,24/04/2017,3508.0,68
59,01/05/2017,2756.0,60
60,08/05/2017,3360.0,65
61,15/05/2017,3280.0,69
62,22/05/2017,3560.0,70
63,29/05/2017,2912.0,67
64,05/06/2017,3424.0,64
65,12/06/2017,2163.0,68
66,19/06/2017,3174.0,64
67,26/06/2017,2766.0,69
68,03/07/2017,3096.0,72
69,10/07/2017,2496.0,60
70,17/07/2017,5125.0,61
71,24/07/2017,5210.0,61
72,31/07/2017,4855.0,63
73,07/08/2017,4940.0,59
74,14/08/2017,4256.0,72
75,21/08/2017,4380.0,64
76,28/08/2017,3752.0,67
77,04/09/2017,4188.0,63
78,11/09/2017,3800.0,65
79,18/09/2017,3956.0,67
80,25/09/2017,3968.0,69
81,02/10/2017,3824.0,66
82,09/10/2017,3944.0,75
83,16/10/2017,2769.0,54
84,23/10/2017,2568.0,67
85,30/10/2017,2520.0,61
86,06/11/2017,1784.0,57
87,13/11/2017,1882.0,66
88,20/11/2017,884.0,67
89,04/12/2017,876.0,64
90,11/12/2017,1624.0,63
91,18/12/2017,2691.0,66
92,25/12/2017,2232.0,63
93,01/01/2018,2876.0,68
94,08/01/2018,3336.0,61
95,15/01/2018,3320.0,65
96,22/01/2018,3596.0,65
97,29/01/2018,3636.0,65
98,05/02/2018,3588.0,59
99,12/02/2018,3292.0,55
100,19/02/2018,3524.0,51
101,26/02/2018,3168.0,67
102,05/03/2018,3892.0,59
103,12/03/2018,3888.0,60
104,19/03/2018,3552.0,57
105,26/03/2018,3020.0,61
106,02/04/2018,3060.0,69
107,09/04/2018,3516.0,74
108,16/04/2018,2445.0,72
109,23/04/2018,3045.0,69
110,30/04/2018,3064.0,71
111,07/05/2018,2265.0,69
112,14/05/2018,4135.0,69
113,21/05/2018,4448.0,74
114,28/05/2018,3880.0,72
115,04/06/2018,4740.0,72
116,11/06/2018,4624.0,65
117,18/06/2018,3468.0,67
118,25/06/2018,5376.0,69
119,02/07/2018,5904.0,88
120,09/07/2018,5724.0,75
121,16/07/2018,4988.0,67
122,23/07/2018,5228.0,81
123,30/07/2018,4864.0,71
124,06/08/2018,4784.0,74
125,13/08/2018,5324.0,61
126,20/08/2018,4624.0,75
127,27/08/2018,4256.0,78
128,03/09/2018,4420.0,72
129,10/09/2018,4527.0,78
130,17/09/2018,4522.0,72
131,24/09/2018,4533.0,75
132,01/10/2018,4548.0,71
133,08/10/2018,3264.0,79
134,15/10/2018,3228.0,76
135,22/10/2018,2988.0,79
136,29/10/2018,3126.0,81
137,05/11/2018,4320.0,80
138,12/11/2018,4456.0,69
139,19/11/2018,4284.0,68
140,26/11/2018,4364.0,66
141,03/12/2018,4252.0,66
142,10/12/2018,4148.0,64
143,17/12/2018,4060.0,64
144,24/12/2018,2800.0,68
145,31/12/2018,3688.0,66
146,07/01/2019,4800.0,70
147,14/01/2019,4684.0,67
148,21/01/2019,4652.0,61
149,28/01/2019,4456.0,70
150,04/02/2019,4592.0,69
151,11/02/2019,4492.0,88
152,18/02/2019,4360.0,100
153,25/02/2019,4804.0,81
154,04/03/2019,4896.0,93
155,11/03/2019,4800.0,76
156,18/03/2019,3846.0,80
157,25/03/2019,2446.0,68
158,01/04/2019,1187.0,73
159,22/07/2019,2092.0,77
160,29/07/2019,4096.0,74
161,05/08/2019,5448.0,73
162,12/08/2019,6520.0,74
163,19/08/2019,6680.0,87
164,26/08/2019,7152.0,81
165,02/09/2019,6852.0,81
166,09/09/2019,7748.0,89
167,16/09/2019,8404.0,79
168,23/09/2019,8815.0,76
169,30/09/2019,10096.0,76
170,07/10/2019,9556.0,83
171,14/10/2019,9664.0,82
172,21/10/2019,9884.0,80
173,28/10/2019,7424.0,81
174,04/11/2019,5088.0,85
175,11/11/2019,4857.0,84
176,18/11/2019,4935.0,92
177,25/11/2019,4857.0,85
178,02/12/2019,5784.0,87
179,09/12/2019,5004.0,82
180,16/12/2019,5868.0,86
181,23/12/2019,3940.0,81
182,30/12/2019,5644.0,81
183,06/01/2020,6880.0,73
184,13/01/2020,6752.0,79
185,20/01/2020,7548.0,81
186,27/01/2020,7964.0,77
187,03/02/2020,11240.0,95
188,10/02/2020,10956.0,81
189,17/02/2020,11916.0,83
190,24/02/2020,13080.0,76
191,02/03/2020,13296.0,89
192,09/03/2020,12440.0,88
193,16/03/2020,7836.0,81
194,23/03/2020,7072.0,78
195,30/03/2020,6984.0,88
196,06/04/2020,7156.0,77
197,13/04/2020,8232.0,77
198,20/04/2020,9524.0,76
199,27/04/2020,9488.0,78
200,04/05/2020,9176.0,83
201,11/05/2020,10032.0,85
202,18/05/2020,11700.0,77
203,25/05/2020,10284.0,81
204,01/06/2020,12888.0,79
205,08/06/2020,11796.0,77
206,15/06/2020,11608.0,75
207,22/06/2020,13352.0,81
208,29/06/2020,13204.0,75
209,06/07/2020,12892.0,77
210,13/07/2020,13596.0,84
211,20/07/2020,14096.0,80
212,27/07/2020,13168.0,81
213,03/08/2020,14624.0,62
214,10/08/2020,16524.0,60
215,17/08/2020,9336.0,55
216,24/08/2020,13500.0,60
217,31/08/2020,8853.0,62
218,07/09/2020,10363.0,62
219,14/09/2020,10073.0,50
220,21/09/2020,8805.0,57
221,28/09/2020,11276.0,59
222,05/10/2020,10912.0,54
223,12/10/2020,10836.0,66
224,19/10/2020,8124.0,67
225,26/10/2020,5036.0,67
226,02/11/2020,5040.0,67
227,09/11/2020,5276.0,65
228,16/11/2020,7770.0,80
229,23/11/2020,7566.0,64
230,30/11/2020,4852.0,67
231,07/12/2020,4916.0,65
232,14/12/2020,2445.0,69
233,21/12/2020,3768.0,67
234,28/12/2020,4563.0,67
235,04/01/2021,6393.0,62
236,11/01/2021,9464.0,61
237,18/01/2021,9572.0,51
238,25/01/2021,9128.0,59
239,01/02/2021,11500.0,70
240,08/02/2021,11528.0,60
241,15/02/2021,10160.0,67
242,22/02/2021,11652.0,70
243,01/03/2021,12000.0,65
244,08/03/2021,12452.0,61
245,15/03/2021,12224.0,83
246,22/03/2021,10768.0,61
247,29/03/2021,10900.0,87
248,05/04/2021,10572.0,65
249,12/04/2021,12752.0,61
250,19/04/2021,9568.0,60
251,26/04/2021,12288.0,63
252,03/05/2021,10436.0,56
253,10/05/2021,12756.0,58
254,17/05/2021,12744.0,61
255,24/05/2021,12072.0,59
256,31/05/2021,11612.0,54
257,07/06/2021,15912.0,56
258,14/06/2021,15732.0,61
259,21/06/2021,13484.0,53
260,28/06/2021,14756.0,55
261,05/07/2021,14556.0,54
262,12/07/2021,13876.0,65
263,19/07/2021,14884.0,63
264,26/07/2021,16220.0,60
265,02/08/2021,14400.0,66
266,09/08/2021,14504.0,66
267,16/08/2021,14488.0,61
268,23/08/2021,14516.0,63
269,30/08/2021,12652.0,64
270,06/09/2021,12388.0,74
271,13/09/2021,14856.0,68
272,20/09/2021,15696.0,79
273,27/09/2021,15636.0,66
274,04/10/2021,15744.0,80
275,11/10/2021,10920.0,82
276,18/10/2021,13436.0,75
277,25/10/2021,13500.0,63
278,01/11/2021,13892.0,63
279,08/11/2021,14788.0,66
280,15/11/2021,14096.0,64
281,22/11/2021,14316.0,64
282,29/11/2021,9984.0,59
283,06/12/2021,9696.0,62
284,13/12/2021,9618.0,65
285,20/12/2021,8265.0,59
286,27/12/2021,7504.0,62
287,03/01/2022,11992.0,58
288,10/01/2022,14144.0,71
289,17/01/2022,12852.0,70
290,24/01/2022,5288.0,71
291,31/01/2022,6868.0,73
292,07/02/2022,9944.0,73
293,14/02/2022,12584.0,65
294,21/02/2022,14732.0,81
295,28/02/2022,12092.0,79
296,07/03/2022,4636.0,67
297,14/03/2022,9327.0,60
298,21/03/2022,7298.0,52
299,28/03/2022,3732.0,64
300,11/04/2022,3048.0,61
301,18/04/2022,6852.0,73
302,25/04/2022,12315.0,72
303,02/05/2022,14068.0,71
304,09/05/2022,16872.0,63
305,16/05/2022,17572.0,77
306,23/05/2022,18164.0,66
307,30/05/2022,11536.0,65
308,06/06/2022,19192.0,69
309,13/06/2022,18964.0,70
310,20/06/2022,19656.0,76
311,27/06/2022,19056.0,67
312,04/07/2022,18200.0,63
313,11/07/2022,14973.0,63
314,18/07/2022,4850.0,69
315,25/07/2022,8130.0,59
316,01/08/2022,8526.0,74
317,08/08/2022,13779.0,61
318,15/08/2022,13887.0,66
319,21/08/2022,0.0,73
320,22/08/2022,13362.0,72
321,28/08/2022,0.0,67
322,29/08/2022,11010.0,67
323,05/09/2022,12966.0,67
324,11/09/2022,0.0,69
325,12/09/2022,16628.0,75
326,19/09/2022,13952.0,69
327,26/09/2022,16364.0,70
328,03/10/2022,12294.0,66
329,10/10/2022,12474.0,68
330,17/10/2022,12504.0,81
331,24/10/2022,11583.0,69
332,31/10/2022,16784.0,68
333,07/11/2022,17592.0,74
334,14/11/2022,17632.0,64
335,21/11/2022,17588.0,71
336,28/11/2022,17240.0,67
337,05/12/2022,14661.0,71
338,12/12/2022,13992.0,79
339,19/12/2022,12609.0,66
340,26/12/2022,6864.0,68
341,02/01/2023,13916.0,69
342,09/01/2023,17112.0,78
343,16/01/2023,17860.0,72
344,23/01/2023,17740.0,75
345,30/01/2023,18380.0,76
346,06/02/2023,18440.0,81
347,13/02/2023,18188.0,75
348,20/02/2023,18452.0,65
349,27/02/2023,18772.0,74
350,06/03/2023,19088.0,86
351,13/03/2023,18532.0,70
352,20/03/2023,19080.0,81
353,27/03/2023,18680.0,71
354,03/04/2023,18189.0,72
355,10/04/2023,21756.0,70
356,17/04/2023,28354.0,79
357,24/04/2023,29420.0,72
358,01/05/2023,23644.0,78
359,08/05/2023,25924.0,76
360,15/05/2023,31668.0,82
361,22/05/2023,31332.0,81
362,29/05/2023,23880.0,78
363,05/06/2023,34984.0,69
364,12/06/2023,41316.0,71
365,19/06/2023,44896.0,70
366,26/06/2023,37700.0,74
367,03/07/2023,38988.0,70
368,10/07/2023,10564.0,62
369,17/07/2023,47636.0,71
370,24/07/2023,52052.0,84
371,31/07/2023,49084.0,74
372,07/08/2023,50480.0,80
373,14/08/2023,54276.0,79
374,21/08/2023,56484.0,71
375,28/08/2023,44600.0,79
376,04/09/2023,57688.0,88
377,11/09/2023,44073.0,84
378,18/09/2023,39879.0,66
379,25/09/2023,40827.0,69
380,02/10/2023,22014.0,78
381,09/10/2023,53204.0,78
382,16/10/2023,55460.0,71
383,23/10/2023,52964.0,78
384,30/10/2023,52667.0,76
385,06/11/2023,51706.0,78
386,13/11/2023,44244.0,74
387,20/11/2023,48460.0,90
388,27/11/2023,37845.0,79
389,04/12/2023,38094.0,84
390,11/12/2023,37053.0,81
391,18/12/2023,37374.0,71
392,25/12/2023,28696.0,86
393,01/01/2024,42580.0,79
394,08/01/2024,51664.0,76
395,15/01/2024,41511.0,79
396,22/01/2024,28294.0,76
397,29/01/2024,13470.0,84
