,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.017278290112328388,0.0004951599842415193,0.022252190549281195,0.4072950586195652,1.0
1,0-52,53-104,0,SARIMAX,0.02611085054434317,0.0009248910533068751,0.030412021526147765,0.5566492909001247,1.511194127115193
2,0-52,53-104,0,RF,0.016654386582846577,0.0003969501255080008,0.019923607241360705,0.3646736154497532,0.9638908986117415
3,0-52,53-104,0,XGB,0.016338419685710294,0.0003805444200478176,0.019507547771255556,0.3570582318815419,0.9456039677243596
4,0-52,53-104,0,ENet,0.019320845215124397,0.0005162142958782695,0.022720349818571663,0.41586405575297836,1.1182151179032818
5,0-52,53-104,1,SNaive,0.017672986249639974,0.0005042411527565002,0.022455314577099563,0.40720157740614077,1.0
6,0-52,53-104,1,SARIMAX,0.01867832638281812,0.0005360882945566991,0.023153580599049883,0.41986383714029085,1.0568856965640783
7,0-52,53-104,1,RF,0.017431263829700245,0.000432403774727419,0.02079432073253221,0.3770813441202761,0.9863224914835967
8,0-52,53-104,1,XGB,0.017226874737285732,0.0004207724278755241,0.02051273818571095,0.3719751650533131,0.9747574345358114
9,0-52,53-104,1,ENet,0.018663893640092497,0.00047181539401666673,0.021721311977333846,0.393891275498831,1.0560690409903255
10,0-52,53-104,2,SNaive,0.018979083771588284,0.0005539964741626608,0.023537129692523275,0.42321179592000857,1.0
11,0-52,53-104,2,SARIMAX,0.016330304361033356,0.0004447491405406039,0.02108907633208728,0.37919431916254154,0.8604369187452476
12,0-52,53-104,2,RF,0.017669129260352738,0.00043095807193415124,0.02075952966553316,0.3732688712250165,0.9309790437198792
13,0-52,53-104,2,XGB,0.017243603257920362,0.00040969273629198286,0.020240867972791652,0.36394302099061976,0.9085582563123549
14,0-52,53-104,2,ENet,0.01737802548953187,0.000426672215583844,0.020656045497235043,0.3714081634289998,0.915640907573568
15,0-52,53-104,3,SNaive,0.019713805297462215,0.0006060005189211943,0.02461707779004637,0.4377858616594389,1.0
16,0-52,53-104,3,SARIMAX,0.01786991767966635,0.0005016122259017133,0.022396701228120923,0.39829906819591937,0.9064671893643369
17,0-52,53-104,3,RF,0.01680901132440881,0.00041818180848866236,0.020449494088819468,0.36367027258585793,0.8526517874543814
18,0-52,53-104,3,XGB,0.016531812103018864,0.0004065806271045855,0.020163844551686703,0.3585903305304751,0.8385906147275902
19,0-52,53-104,3,ENet,0.0159434042773307,0.0003739585357361172,0.01933800754307737,0.34390378773738717,0.8087431136079607
