,date,incidence,gr
0,29/12/2014,16.0,58
1,14/12/2015,23.0,62
2,21/12/2015,22.0,70
3,28/12/2015,27.0,45
4,04/01/2016,48.0,47
5,11/01/2016,80.0,57
6,18/01/2016,68.0,53
7,25/01/2016,124.0,52
8,01/02/2016,104.0,62
9,08/02/2016,172.0,48
10,15/02/2016,148.0,64
11,22/02/2016,112.0,56
12,29/02/2016,204.0,59
13,07/03/2016,252.0,69
14,14/03/2016,296.0,55
15,21/03/2016,256.0,53
16,28/03/2016,172.0,60
17,04/04/2016,84.0,52
18,11/04/2016,76.0,56
19,18/04/2016,92.0,60
20,25/04/2016,144.0,80
21,02/05/2016,104.0,71
22,09/05/2016,148.0,81
23,16/05/2016,87.0,76
24,23/05/2016,38.0,70
25,30/05/2016,6.0,84
26,12/09/2016,10.0,92
27,19/09/2016,24.0,77
28,26/09/2016,42.0,65
29,03/10/2016,60.0,64
30,10/10/2016,60.0,66
31,17/10/2016,44.0,58
32,24/10/2016,34.0,56
33,31/10/2016,68.0,78
34,07/11/2016,80.0,91
35,14/11/2016,88.0,100
36,21/11/2016,120.0,77
37,28/11/2016,108.0,81
38,05/12/2016,104.0,97
39,12/12/2016,108.0,68
40,19/12/2016,84.0,80
41,26/12/2016,52.0,57
42,02/01/2017,88.0,67
43,09/01/2017,64.0,60
44,16/01/2017,112.0,50
45,23/01/2017,132.0,65
46,30/01/2017,112.0,64
47,06/02/2017,136.0,59
48,13/02/2017,120.0,82
49,20/02/2017,196.0,0
50,27/02/2017,152.0,0
51,06/03/2017,168.0,0
52,13/03/2017,156.0,0
53,20/03/2017,110.0,45
54,27/03/2017,132.0,0
55,03/04/2017,94.0,53
56,10/04/2017,111.0,0
57,17/04/2017,60.0,0
58,24/04/2017,124.0,0
59,01/05/2017,136.0,0
60,08/05/2017,128.0,0
61,15/05/2017,168.0,0
62,22/05/2017,124.0,0
63,29/05/2017,88.0,0
64,05/06/2017,87.0,0
65,12/06/2017,48.0,0
66,19/06/2017,78.0,0
67,26/06/2017,48.0,0
68,03/07/2017,84.0,0
69,10/07/2017,80.0,0
70,17/07/2017,125.0,0
71,24/07/2017,105.0,0
72,31/07/2017,80.0,0
73,07/08/2017,55.0,0
74,14/08/2017,32.0,0
75,21/08/2017,60.0,45
76,28/08/2017,44.0,0
77,04/09/2017,44.0,0
78,11/09/2017,48.0,0
79,18/09/2017,56.0,0
80,25/09/2017,48.0,0
81,02/10/2017,60.0,0
82,09/10/2017,164.0,0
83,16/10/2017,108.0,0
84,23/10/2017,99.0,0
85,30/10/2017,36.0,0
86,06/11/2017,74.0,44
87,13/11/2017,60.0,47
88,20/11/2017,32.0,0
89,04/12/2017,39.0,0
90,11/12/2017,92.0,0
91,18/12/2017,162.0,0
92,25/12/2017,80.0,0
93,01/01/2018,112.0,0
94,08/01/2018,180.0,0
95,15/01/2018,212.0,43
96,22/01/2018,252.0,0
97,29/01/2018,256.0,0
98,05/02/2018,300.0,0
99,12/02/2018,304.0,0
100,19/02/2018,272.0,0
101,26/02/2018,268.0,0
102,05/03/2018,336.0,0
103,12/03/2018,504.0,0
104,19/03/2018,552.0,0
105,26/03/2018,340.0,43
106,02/04/2018,264.0,0
107,09/04/2018,288.0,0
108,16/04/2018,177.0,0
109,23/04/2018,270.0,46
110,30/04/2018,186.0,0
111,07/05/2018,147.0,0
112,14/05/2018,220.0,49
113,21/05/2018,212.0,0
114,28/05/2018,108.0,0
115,04/06/2018,136.0,52
116,11/06/2018,156.0,0
117,18/06/2018,76.0,0
118,25/06/2018,120.0,0
119,02/07/2018,112.0,0
120,09/07/2018,108.0,0
121,16/07/2018,104.0,0
122,23/07/2018,80.0,0
123,30/07/2018,76.0,0
124,06/08/2018,68.0,47
125,13/08/2018,72.0,43
126,20/08/2018,52.0,0
127,27/08/2018,48.0,50
128,03/09/2018,56.0,0
129,10/09/2018,64.0,0
130,17/09/2018,80.0,0
131,24/09/2018,84.0,0
132,01/10/2018,80.0,0
133,08/10/2018,66.0,57
134,15/10/2018,75.0,0
135,22/10/2018,60.0,0
136,29/10/2018,57.0,58
137,05/11/2018,112.0,0
138,12/11/2018,172.0,0
139,19/11/2018,116.0,0
140,26/11/2018,116.0,0
141,03/12/2018,120.0,0
142,10/12/2018,144.0,0
143,17/12/2018,144.0,0
144,24/12/2018,100.0,0
145,31/12/2018,124.0,47
146,07/01/2019,108.0,0
147,14/01/2019,140.0,0
148,21/01/2019,184.0,0
149,28/01/2019,204.0,0
150,04/02/2019,196.0,0
151,11/02/2019,212.0,59
152,18/02/2019,196.0,0
153,25/02/2019,144.0,0
154,04/03/2019,184.0,44
155,11/03/2019,196.0,53
156,18/03/2019,153.0,48
157,25/03/2019,124.0,0
158,01/04/2019,57.0,0
159,22/07/2019,23.0,0
160,29/07/2019,50.0,52
161,05/08/2019,54.0,0
162,12/08/2019,72.0,0
163,19/08/2019,64.0,63
164,26/08/2019,72.0,0
165,02/09/2019,96.0,41
166,09/09/2019,80.0,0
167,16/09/2019,84.0,0
168,23/09/2019,108.0,45
169,30/09/2019,144.0,48
170,07/10/2019,104.0,0
171,14/10/2019,188.0,0
172,21/10/2019,144.0,0
173,28/10/2019,104.0,48
174,04/11/2019,114.0,0
175,11/11/2019,132.0,0
176,18/11/2019,126.0,0
177,25/11/2019,132.0,44
178,02/12/2019,184.0,0
179,09/12/2019,188.0,0
180,16/12/2019,160.0,0
181,23/12/2019,176.0,0
182,30/12/2019,116.0,0
183,06/01/2020,168.0,62
184,13/01/2020,152.0,0
185,20/01/2020,272.0,0
186,27/01/2020,316.0,0
187,03/02/2020,240.0,0
188,10/02/2020,304.0,0
189,17/02/2020,244.0,0
190,24/02/2020,232.0,0
191,02/03/2020,292.0,0
192,09/03/2020,340.0,0
193,16/03/2020,196.0,43
194,23/03/2020,76.0,0
195,30/03/2020,60.0,0
196,06/04/2020,24.0,0
197,13/04/2020,28.0,0
198,20/04/2020,12.0,0
199,27/04/2020,32.0,0
200,04/05/2020,24.0,0
201,11/05/2020,4.0,0
202,18/05/2020,20.0,44
203,25/05/2020,8.0,53
204,01/06/2020,16.0,0
205,08/06/2020,16.0,50
206,15/06/2020,4.0,71
207,22/06/2020,20.0,55
208,29/06/2020,24.0,0
209,06/07/2020,28.0,0
210,13/07/2020,20.0,0
211,20/07/2020,32.0,0
