,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.13681498240321768,0.03674057397384963,0.19167830856372253,0.9046374746747597,1.0
1,0-52,53-104,0,SARIMAX,0.13628053223007067,0.04527627281165888,0.21278221920935705,1.0042386688593472,0.9960936283164377
2,0-52,53-104,0,RF,0.15123723335488043,0.03536734939125852,0.18806208919199668,0.8875705066655942,1.105414266027955
3,0-52,53-104,0,XGB,0.15097583279054838,0.034752690264171944,0.1864207345339352,0.8798240331911543,1.1035036524406092
4,0-52,53-104,0,ENet,0.1432259287327555,0.033412874424425004,0.1827918882894561,0.8626974718854591,1.0468585107926531
5,0-52,53-104,1,SNaive,0.14869281045751634,0.039813746849502334,0.19953382382318627,0.9106502809908332,1.0
6,0-52,53-104,1,SARIMAX,0.1858086980667994,0.07675952951429142,0.2770551019459693,1.2644488117493942,1.2496145408448487
7,0-52,53-104,1,RF,0.14090640486964015,0.034878224044645974,0.18675712582026416,0.852338845848858,0.9476342832991184
8,0-52,53-104,1,XGB,0.14086430738485747,0.034165538911567046,0.18483922449406415,0.8435857565322096,0.9473511661487118
9,0-52,53-104,1,ENet,0.1397425861110319,0.0343688781769143,0.18538845211316238,0.8460923705792742,0.9398072824170498
10,0-52,53-104,2,SNaive,0.1527777777777778,0.04068711655937723,0.2017104770689347,0.9034812416948315,1.0
11,0-52,53-104,2,SARIMAX,0.1890627481940094,0.08022384546935114,0.2832381426809446,1.2686517456267954,1.237501624542607
12,0-52,53-104,2,RF,0.13842168234815289,0.03467843408806646,0.1862214651646433,0.8341044204644065,0.9060328299151824
13,0-52,53-104,2,XGB,0.1372262019291333,0.0342429091951162,0.18504839689961164,0.8288501313065786,0.8982078671725088
14,0-52,53-104,2,ENet,0.14230594331374616,0.03477417894384084,0.1864783605243269,0.8352550802711018,0.9314570835081566
15,0-52,53-104,3,SNaive,0.15855957767722473,0.043410941551079954,0.20835292546801437,0.9084290313870514,1.0
16,0-52,53-104,3,SARIMAX,0.15376030394397874,0.04345659286876642,0.20846244954131768,0.9089065617485811,0.9697320477037613
17,0-52,53-104,3,RF,0.13826503806650867,0.037864402161784355,0.1945877749546059,0.8484122962262471,0.872006851254176
18,0-52,53-104,3,XGB,0.13733198777470476,0.037547022401626856,0.19377054059280233,0.8448491141012934,0.8661223105315506
19,0-52,53-104,3,ENet,0.1393404723863979,0.03708877818654399,0.19258447026316527,0.8396777889649227,0.878789376382229
20,0-52,53-104,4,SNaive,0.16277023629964804,0.04617440448611153,0.21488230379933926,0.9285016206531125,1.0
21,0-52,53-104,4,SARIMAX,0.16889253206147584,0.06104882930474641,0.24708061296821004,1.0676297932247545,1.0376131158927429
22,0-52,53-104,4,RF,0.13721872830328713,0.03928845622983747,0.19821315856884342,0.8564746175553121,0.8430210056995773
23,0-52,53-104,4,XGB,0.13800890134650295,0.03969651234840074,0.1992398362486798,0.8609108688089595,0.8478755359944229
24,0-52,53-104,4,ENet,0.13749871186221987,0.03942143292049176,0.1985483138193114,0.8579228158840144,0.8447411209079703
25,0-52,53-104,5,SNaive,0.16804927099044745,0.04927335229382519,0.2219760173843679,0.932563006896386,1.0
