,date,incidence,gr
0,29/12/2014,272.0,16
1,14/12/2015,320.0,15
2,21/12/2015,486.0,18
3,28/12/2015,603.0,20
4,04/01/2016,816.0,18
5,11/01/2016,1360.0,18
6,18/01/2016,1284.0,19
7,25/01/2016,1380.0,24
8,01/02/2016,1416.0,34
9,08/02/2016,1160.0,68
10,15/02/2016,1312.0,100
11,22/02/2016,1220.0,86
12,29/02/2016,1380.0,63
13,07/03/2016,1196.0,58
14,14/03/2016,1244.0,41
15,21/03/2016,1184.0,35
16,28/03/2016,988.0,31
17,04/04/2016,1080.0,29
18,11/04/2016,1260.0,27
19,18/04/2016,1080.0,24
20,25/04/2016,1140.0,23
21,02/05/2016,1064.0,23
22,09/05/2016,1208.0,24
23,16/05/2016,978.0,26
24,23/05/2016,504.0,22
25,30/05/2016,183.0,21
26,12/09/2016,295.0,23
27,19/09/2016,642.0,23
28,26/09/2016,996.0,20
29,03/10/2016,1152.0,21
30,10/10/2016,1188.0,20
31,17/10/2016,1472.0,18
32,24/10/2016,1185.0,19
33,31/10/2016,1460.0,21
34,07/11/2016,1364.0,21
35,14/11/2016,1440.0,23
36,21/11/2016,1408.0,21
37,28/11/2016,1424.0,21
38,05/12/2016,1312.0,24
39,12/12/2016,1268.0,27
40,19/12/2016,1416.0,26
41,26/12/2016,1072.0,29
42,02/01/2017,1652.0,25
43,09/01/2017,1468.0,23
44,16/01/2017,1568.0,26
45,23/01/2017,1476.0,25
46,30/01/2017,1600.0,21
47,06/02/2017,1316.0,20
48,13/02/2017,1164.0,23
49,20/02/2017,1360.0,26
50,27/02/2017,1376.0,28
51,06/03/2017,1236.0,30
52,13/03/2017,987.0,28
53,20/03/2017,606.0,30
54,27/03/2017,672.0,28
55,03/04/2017,738.0,26
56,10/04/2017,693.0,27
57,17/04/2017,1020.0,23
58,24/04/2017,1304.0,27
59,01/05/2017,1036.0,22
60,08/05/2017,1168.0,21
61,15/05/2017,1128.0,21
62,22/05/2017,1088.0,23
63,29/05/2017,820.0,23
64,05/06/2017,1105.0,20
65,12/06/2017,627.0,21
66,19/06/2017,606.0,22
67,26/06/2017,705.0,21
68,03/07/2017,771.0,22
69,10/07/2017,684.0,23
70,17/07/2017,1325.0,21
71,24/07/2017,1295.0,23
72,31/07/2017,1395.0,22
73,07/08/2017,1180.0,18
74,14/08/2017,1164.0,21
75,21/08/2017,1012.0,21
76,28/08/2017,848.0,21
77,04/09/2017,1136.0,23
78,11/09/2017,1108.0,24
79,18/09/2017,1192.0,25
80,25/09/2017,1316.0,20
81,02/10/2017,1236.0,23
82,09/10/2017,1380.0,23
83,16/10/2017,1008.0,25
84,23/10/2017,930.0,23
85,30/10/2017,951.0,23
86,06/11/2017,750.0,25
87,13/11/2017,644.0,24
88,20/11/2017,375.0,23
89,04/12/2017,375.0,21
90,11/12/2017,692.0,19
91,18/12/2017,1062.0,23
92,25/12/2017,1172.0,22
93,01/01/2018,1472.0,23
94,08/01/2018,1760.0,21
95,15/01/2018,1628.0,22
96,22/01/2018,1744.0,23
97,29/01/2018,1616.0,21
98,05/02/2018,1716.0,19
99,12/02/2018,1508.0,20
100,19/02/2018,1612.0,22
101,26/02/2018,1440.0,24
102,05/03/2018,1692.0,24
103,12/03/2018,1668.0,29
104,19/03/2018,1568.0,28
105,26/03/2018,1212.0,23
106,02/04/2018,1136.0,21
107,09/04/2018,1404.0,20
108,16/04/2018,957.0,21
109,23/04/2018,1029.0,20
110,30/04/2018,1014.0,21
111,07/05/2018,669.0,20
112,14/05/2018,1284.0,20
113,21/05/2018,1300.0,21
114,28/05/2018,1040.0,21
115,04/06/2018,1088.0,20
116,11/06/2018,1196.0,20
117,18/06/2018,1000.0,23
118,25/06/2018,1168.0,23
119,02/07/2018,1156.0,20
120,09/07/2018,1024.0,21
121,16/07/2018,964.0,19
122,23/07/2018,1076.0,18
123,30/07/2018,1064.0,19
124,06/08/2018,996.0,17
125,13/08/2018,1184.0,17
126,20/08/2018,1064.0,19
127,27/08/2018,916.0,18
128,03/09/2018,1208.0,19
129,10/09/2018,1416.0,19
130,17/09/2018,1504.0,19
131,24/09/2018,1492.0,18
132,01/10/2018,1484.0,17
133,08/10/2018,1185.0,18
134,15/10/2018,1140.0,16
135,22/10/2018,978.0,17
136,29/10/2018,1026.0,20
137,05/11/2018,1564.0,18
138,12/11/2018,1528.0,18
139,19/11/2018,1512.0,18
140,26/11/2018,1652.0,18
141,03/12/2018,1548.0,19
142,10/12/2018,1596.0,19
143,17/12/2018,1400.0,19
144,24/12/2018,1000.0,19
145,31/12/2018,1700.0,20
146,07/01/2019,2284.0,21
147,14/01/2019,1916.0,19
148,21/01/2019,2000.0,22
149,28/01/2019,1892.0,19
150,04/02/2019,2016.0,18
151,11/02/2019,1836.0,18
152,18/02/2019,1556.0,17
153,25/02/2019,1856.0,17
154,04/03/2019,2100.0,23
155,11/03/2019,1780.0,21
156,18/03/2019,1401.0,22
157,25/03/2019,798.0,20
158,01/04/2019,448.0,20
159,22/07/2019,349.0,19
160,29/07/2019,706.0,19
161,05/08/2019,948.0,19
162,12/08/2019,1508.0,19
163,19/08/2019,1400.0,17
164,26/08/2019,1192.0,17
165,02/09/2019,1432.0,19
166,09/09/2019,4337.0,22
167,16/09/2019,7800.0,23
168,23/09/2019,11580.0,20
169,30/09/2019,15608.0,19
170,07/10/2019,16760.0,21
171,14/10/2019,18044.0,21
172,21/10/2019,18108.0,20
173,28/10/2019,13012.0,19
174,04/11/2019,9990.0,21
175,11/11/2019,9933.0,21
176,18/11/2019,10746.0,18
177,25/11/2019,11148.0,17
178,02/12/2019,14040.0,18
179,09/12/2019,12008.0,26
180,16/12/2019,14192.0,21
181,23/12/2019,10112.0,17
182,30/12/2019,15232.0,18
183,06/01/2020,16420.0,19
184,13/01/2020,13928.0,19
185,20/01/2020,14340.0,20
186,27/01/2020,16232.0,19
187,03/02/2020,16776.0,19
188,10/02/2020,16536.0,19
189,17/02/2020,16296.0,17
190,24/02/2020,18972.0,20
191,02/03/2020,19484.0,19
192,09/03/2020,20152.0,18
193,16/03/2020,16104.0,18
194,23/03/2020,13448.0,21
195,30/03/2020,11464.0,19
196,06/04/2020,9884.0,18
197,13/04/2020,9528.0,18
198,20/04/2020,9540.0,20
199,27/04/2020,10696.0,20
200,04/05/2020,8832.0,19
201,11/05/2020,9396.0,20
202,18/05/2020,9312.0,19
203,25/05/2020,6956.0,18
204,01/06/2020,8944.0,19
205,08/06/2020,9568.0,22
206,15/06/2020,9120.0,19
207,22/06/2020,8564.0,20
208,29/06/2020,9528.0,25
209,06/07/2020,9400.0,20
210,13/07/2020,9864.0,18
211,20/07/2020,9368.0,21
212,27/07/2020,9604.0,19
213,03/08/2020,9528.0,65
214,10/08/2020,8928.0,59
215,17/08/2020,6580.0,61
216,24/08/2020,9864.0,53
217,31/08/2020,7149.0,59
218,07/09/2020,11571.0,64
219,14/09/2020,14551.0,62
220,21/09/2020,14265.0,62
221,28/09/2020,18020.0,65
222,05/10/2020,17392.0,57
223,12/10/2020,18168.0,64
224,19/10/2020,13527.0,58
225,26/10/2020,8056.0,65
226,02/11/2020,8112.0,59
227,09/11/2020,8442.0,65
228,16/11/2020,13017.0,57
229,23/11/2020,12528.0,58
230,30/11/2020,7822.0,60
231,07/12/2020,8050.0,65
232,14/12/2020,3978.0,65
233,21/12/2020,5828.0,60
234,28/12/2020,8043.0,66
235,04/01/2021,11895.0,68
236,11/01/2021,16344.0,63
237,18/01/2021,16072.0,66
238,25/01/2021,14724.0,56
239,01/02/2021,18900.0,52
240,08/02/2021,17408.0,51
241,15/02/2021,14876.0,60
242,22/02/2021,17844.0,50
243,01/03/2021,19500.0,51
244,08/03/2021,19252.0,54
245,15/03/2021,20612.0,60
246,22/03/2021,19192.0,60
247,29/03/2021,16792.0,63
248,05/04/2021,18036.0,58
249,12/04/2021,20436.0,57
250,19/04/2021,15500.0,71
251,26/04/2021,22468.0,61
252,03/05/2021,20472.0,56
253,10/05/2021,25896.0,64
254,17/05/2021,27736.0,58
255,24/05/2021,25972.0,66
