,train_weeks,test_weeks,horizon,model,mae,mse,rmse,nrmse,mase
0,0-52,53-104,0,SNaive,0.0019852294300134275,6.118804304268185e-06,0.002473621697889187,0.384889213014567,1.0
1,0-52,53-104,0,SARIMAX,0.00255969211628533,1.0051232517221344e-05,0.003170367883577763,0.4933011384554761,1.289368411321616
2,0-52,53-104,0,RF,0.0021591218218245415,6.835806519529121e-06,0.0026145375345420305,0.4068153569826945,1.0875930958820905
3,0-52,53-104,0,XGB,0.0019427996916801563,5.6098946051319475e-06,0.0023685216074868197,0.3685359076092798,0.9786272872586902
4,0-52,53-104,0,ENet,0.001771672503328931,4.6234125134173895e-06,0.0021502122019506327,0.33456752215963653,0.8924270799858876
5,0-52,53-104,1,SNaive,0.0020453339317070387,6.676404593080467e-06,0.002583873950695054,0.39786849532409574,1.0
6,0-52,53-104,1,SARIMAX,0.002902991732167792,1.2539343818221955e-05,0.0035410935907176973,0.5452625033669551,1.4193240952810824
7,0-52,53-104,1,RF,0.0021653914314849958,7.508640624842104e-06,0.00274018988846432,0.42193824026606674,1.0586982389119008
8,0-52,53-104,1,XGB,0.0018617120197113055,5.300247822751721e-06,0.0023022267096773335,0.3545000624461065,0.9102239936720348
9,0-52,53-104,1,ENet,0.0017226815222738914,4.454452967094934e-06,0.0021105575014898157,0.32498657188244523,0.8422495200263651
10,0-52,53-104,2,SNaive,0.0021401654788236256,7.070413304100781e-06,0.0026590248784283273,0.4062099859644846,1.0
11,0-52,53-104,2,SARIMAX,0.0022157411708288704,6.947342309151807e-06,0.002635781157295083,0.4026591234991141,1.035313013294087
12,0-52,53-104,2,RF,0.002202870542700309,7.756171677522496e-06,0.0027849904268278007,0.4254533048452026,1.0292991661145523
13,0-52,53-104,2,XGB,0.001966208503331621,5.998939168148434e-06,0.002449273191815979,0.3741669500508115,0.9187179789538411
14,0-52,53-104,2,ENet,0.001671873287378717,4.317094076181474e-06,0.002077761794860391,0.31741244558292747,0.7811887930729952
15,0-52,53-104,3,SNaive,0.0022427883502338284,7.79866575073417e-06,0.0027926091296015935,0.4218400964869502,1.0
16,0-52,53-104,3,SARIMAX,0.0029751118646858528,1.2921976733935128e-05,0.0035947151116514264,0.5430029406795184,1.3265236839560335
17,0-52,53-104,3,RF,0.002036796398230979,6.1013170589186676e-06,0.0024700844234395447,0.3731208354472808,0.9081536374213051
18,0-52,53-104,3,XGB,0.001818665172708322,4.820441290360049e-06,0.0021955503388353566,0.33165084112877435,0.8108946938834919
19,0-52,53-104,3,ENet,0.0016536529290036722,4.2505036694538266e-06,0.0020616749669755963,0.31142817581413207,0.7373200992555833
20,0-52,53-104,4,SNaive,0.002158642047862773,7.50041293529154e-06,0.00273868817781279,0.4118668687787064,1.0
21,0-52,53-104,4,SARIMAX,0.0025005173835338313,8.747943441843369e-06,0.0029576922493463327,0.44480253554174226,1.1583751859228084
22,0-52,53-104,4,RF,0.0018116588187095774,4.83879642297441e-06,0.002199726442759283,0.33081328845277536,0.8392585609565345
23,0-52,53-104,4,XGB,0.0016989503918477895,4.3507210065624e-06,0.002085838202393081,0.3136858208825879,0.7870459085747382
24,0-52,53-104,4,ENet,0.0016242685059534622,4.138461017071904e-06,0.0020343207753626036,0.3059381986704367,0.7524492110962153
25,0-52,53-104,5,SNaive,0.0020970905859432044,7.222365876474273e-06,0.0026874459764754852,0.40409975955881966,1.0
26,0-52,53-104,5,SARIMAX,0.003347360137035758,1.5373345282627742e-05,0.0039208857778093645,0.5895668281110145,1.5961924389309212
27,0-52,53-104,5,RF,0.0016979592954576453,4.534360889661656e-06,0.002129403881292052,0.3201893559781424,0.80967379608638
28,0-52,53-104,5,XGB,0.0016160236641627316,4.200278036385417e-06,0.0020494579860015224,0.30816823356399575,0.7706026983264034
29,0-52,53-104,5,ENet,0.001619810799380107,4.130896429980258e-06,0.0020324606835017147,0.30561242187012544,0.7724085980060647
30,0-52,53-104,6,SNaive,0.0019252362329525824,6.191905143469523e-06,0.0024883539023759305,0.3759880147917759,1.0
31,0-52,53-104,6,SARIMAX,0.0025262495917890517,8.433196650611985e-06,0.002903996668491888,0.43879125927612567,1.3121764220667833
32,0-52,53-104,6,RF,0.0015471108959765403,4.130296798078201e-06,0.0020323131643716235,0.3070806734434666,0.8035953559859295
33,0-52,53-104,6,XGB,0.0014839424090283503,3.9697828277488146e-06,0.001992431385957573,0.30105457294468035,0.7707845840572745
34,0-52,53-104,6,ENet,0.0016171548737148372,4.133075553857058e-06,0.0020329966930265914,0.3071839540024696,0.8399773731843467
35,0-52,53-104,7,SNaive,0.001918224041088328,5.713845252067634e-06,0.002390365087610601,0.36342513251323294,1.0
36,0-52,53-104,7,SARIMAX,0.0033028024855897313,1.4994928498862374e-05,0.003872328562875621,0.5887391546973196,1.7218022581532477
37,0-52,53-104,7,RF,0.0015977550361773055,4.200347872621331e-06,0.002049475023663702,0.3115970593437975,0.8329345279557645
38,0-52,53-104,7,XGB,0.0015675934523454972,3.9964830166115595e-06,0.001999120560799563,0.30394129268543946,0.8172108256218621
39,0-52,53-104,7,ENet,0.0016604205364613032,4.27311029288092e-06,0.002067150283090448,0.3142843616026303,0.8656030270161995
40,0-52,53-104,8,SNaive,0.0017390235823351538,4.882465818917381e-06,0.0022096302448412907,0.33528848501917513,1.0
41,0-52,53-104,8,SARIMAX,0.003002452654796934,1.2352829605238542e-05,0.0035146592445411463,0.5333131080243162,1.7265163539445814
42,0-52,53-104,8,RF,0.0017251683982903996,4.315677934824349e-06,0.002077420981607808,0.31522709978128455,0.992032779666996
43,0-52,53-104,8,XGB,0.0016585834698892806,4.171711899072779e-06,0.0020424769029471984,0.3099246980686631,0.9537440933734443
44,0-52,53-104,8,ENet,0.0016731709889949255,4.281540091905239e-06,0.0020691882688400392,0.31397787095761703,0.9621324322400495
45,0-104,105-156,0,SNaive,0.0019769928871887473,6.391954696223999e-06,0.002528231535327411,0.32214153892133,1.0
46,0-104,105-156,0,SARIMAX,0.003755390820765338,1.971113984234259e-05,0.0044397229465747735,0.5656994473841666,1.899546955935408
